time,open,high,low,close,volume
2023-03-30,12.85,12.97,12.23,12.23,26109949
2023-03-31,12.15,12.39,11.68,12.0,20452552
2023-04-03,12.04,12.19,11.76,11.8,14411894
2023-04-04,11.72,12.04,11.72,11.92,7834872
2023-04-05,11.92,12.07,11.84,12.04,9156549
2023-04-06,12.07,12.15,11.8,11.8,13644034
2023-04-07,11.76,11.88,11.45,11.53,12318737
2023-04-10,11.41,11.65,11.22,11.26,12805370
2023-04-11,11.22,11.61,11.22,11.61,5873111
2023-04-12,11.61,11.68,11.45,11.45,4073331
2023-04-13,11.49,11.53,11.3,11.37,3997485
2023-04-14,11.49,11.65,11.37,11.41,6846766
2023-04-17,11.37,11.61,11.37,11.53,2531760
2023-04-18,11.61,11.68,11.53,11.61,3261140
2023-04-19,11.61,11.68,11.41,11.41,3685230
2023-04-20,11.41,11.45,11.3,11.41,3067469
2023-04-21,11.37,11.37,10.94,11.02,7165266
2023-04-24,11.02,11.06,10.75,10.79,5181835
2023-04-25,10.91,11.3,10.83,10.98,3830558
2023-04-26,10.98,11.53,10.91,11.53,5073145
2023-04-27,11.53,11.57,11.3,11.3,2544593
2023-04-28,11.3,11.41,11.26,11.33,3120362
2023-05-04,11.3,11.45,11.14,11.22,3347615
2023-05-05,11.22,11.49,11.14,11.3,3183765
2023-05-08,11.45,11.45,11.3,11.3,2758932
2023-05-09,11.45,11.76,11.37,11.72,11876180
2023-05-10,11.72,11.84,11.65,11.8,4726400
2023-05-11,11.84,12.07,11.72,11.84,8511361
2023-05-12,11.84,12.15,11.84,12.0,7825040
2023-05-15,12.15,12.15,11.68,11.68,8947264
2023-05-16,11.68,11.8,11.45,11.53,5606827
2023-05-17,11.53,11.61,11.3,11.3,7630525
2023-05-18,11.33,11.41,11.22,11.33,5894886
2023-05-19,11.33,11.49,11.3,11.37,3723049
2023-05-22,11.37,11.92,11.37,11.88,8646033
2023-05-23,11.92,12.0,11.68,11.76,5207823
2023-05-24,11.84,11.84,11.53,11.53,6698719
2023-05-25,11.45,11.65,11.37,11.57,4057004
2023-05-26,11.61,11.61,11.37,11.45,4748450
2023-05-29,11.53,11.84,11.41,11.8,6983816
2023-05-30,11.88,12.15,11.8,12.07,16871999
2023-05-31,12.15,12.31,12.0,12.07,12531044
2023-06-01,12.07,12.11,11.72,11.96,9528504
2023-06-02,12.07,12.54,11.96,12.35,15210714
2023-06-05,12.7,12.97,12.46,12.66,13973325
2023-06-06,12.62,12.89,12.5,12.78,10302178
2023-06-07,13.05,13.36,12.97,13.01,13092168
2023-06-08,13.01,13.13,12.7,12.7,16299100
2023-06-09,12.78,13.01,12.58,13.01,10675468
2023-06-12,13.05,13.09,12.54,12.85,10794560
2023-06-13,12.93,13.71,12.78,13.59,21313540
2023-06-14,13.63,13.63,13.28,13.32,8969733
2023-06-15,13.32,13.36,12.97,13.05,13481872
2023-06-16,13.17,13.4,12.97,13.09,15751564
2023-06-19,13.09,13.09,12.78,12.78,7319609
2023-06-20,12.78,13.2,12.78,13.2,5814767
2023-06-21,13.17,13.83,13.13,13.79,17541352
2023-06-22,13.87,13.94,13.71,13.79,11373466
2023-06-23,13.87,14.22,13.79,14.18,16009390
2023-06-26,14.18,14.33,13.63,14.1,12455374
2023-06-27,14.22,14.22,13.83,14.06,7501176
2023-06-28,14.06,14.29,14.02,14.14,10930130
2023-06-29,14.14,14.18,13.44,13.44,14873182
