time,open,high,low,close,volume
2023-03-30,46.05,46.05,46.05,46.05,0
2023-03-31,46.05,46.05,46.05,46.05,0
2023-04-03,46.05,46.05,46.05,46.05,0
2023-04-04,46.05,46.05,46.05,46.05,0
2023-04-05,46.05,46.05,46.05,46.05,0
2023-04-06,42.06,42.06,42.06,42.06,100
2023-04-07,42.06,42.06,42.06,42.06,110
2023-04-10,46.22,46.22,46.22,46.22,200
2023-04-11,46.22,46.22,46.22,46.22,0
2023-04-12,42.06,46.3,42.06,46.3,200
2023-04-13,46.81,46.81,42.14,46.81,400
2023-04-14,46.81,46.81,46.81,46.81,110
2023-04-17,46.81,46.81,46.81,46.81,0
2023-04-18,42.48,47.15,42.48,47.15,200
2023-04-19,47.15,47.15,47.15,47.15,0
2023-04-20,47.15,47.15,47.15,47.15,100
2023-04-21,47.15,47.15,47.15,47.15,0
2023-04-24,47.15,47.15,47.15,47.15,0
2023-04-25,47.15,47.15,47.15,47.15,0
2023-04-26,43.07,43.07,43.07,43.07,100
2023-04-27,43.33,43.33,43.33,43.33,100
2023-04-28,47.24,47.24,47.24,47.24,1500
2023-05-04,47.24,47.24,47.24,47.24,0
2023-05-05,47.24,47.24,47.24,47.24,0
2023-05-08,47.24,47.24,47.24,47.24,0
2023-05-09,43.33,47.24,43.33,47.24,200
2023-05-10,47.58,47.58,47.58,47.58,9500
2023-05-11,47.58,47.58,47.58,47.58,100
2023-05-12,47.58,47.58,47.58,47.58,0
2023-05-15,51.83,51.83,51.83,51.83,100
2023-05-16,48.43,51.74,48.43,51.74,200
2023-05-17,46.73,46.73,46.73,46.73,100
2023-05-18,47.66,50.13,47.66,50.13,400
2023-05-19,50.13,50.13,50.13,50.13,0
2023-05-22,45.88,45.88,45.88,45.88,100
2023-05-23,48.43,49.28,48.43,49.28,300
2023-05-24,45.88,45.88,45.88,45.88,100
2023-05-25,45.88,45.88,45.88,45.88,0
2023-05-26,45.88,45.88,45.88,45.88,0
2023-05-29,45.11,45.11,45.11,45.11,100
2023-05-30,43.07,49.62,43.07,49.62,1200
2023-05-31,49.62,49.62,49.62,49.62,0
2023-06-01,50.58,50.58,50.49,50.49,1000
2023-06-02,50.58,50.58,50.58,50.58,100
2023-06-05,52.06,52.06,51.01,51.54,800
2023-06-06,51.54,51.54,51.54,51.54,200
2023-06-07,51.54,51.54,51.54,51.54,0
2023-06-08,51.54,51.54,51.54,51.54,0
2023-06-09,52.32,52.32,52.32,52.32,1000
2023-06-12,52.32,52.32,52.32,52.32,0
2023-06-13,52.32,52.32,52.32,52.32,0
2023-06-14,52.32,52.32,52.32,52.32,0
2023-06-15,52.32,52.32,52.32,52.32,0
2023-06-16,52.32,52.32,52.32,52.32,0
2023-06-19,52.32,52.32,52.32,52.32,0
2023-06-20,52.32,52.32,52.32,52.32,0
2023-06-21,52.32,52.32,52.32,52.32,0
2023-06-22,52.32,52.32,52.32,52.32,0
2023-06-23,52.32,52.32,52.32,52.32,0
2023-06-26,53.19,53.19,53.19,53.19,400
2023-06-27,53.19,53.19,53.19,53.19,200
2023-06-28,53.19,53.19,53.19,53.19,0
2023-06-29,47.87,52.32,47.87,52.32,900
2023-06-30,52.32,52.32,52.32,52.32,0
