time,open,high,low,close,volume
2023-03-30,26.03,26.03,25.86,25.86,7947
2023-03-31,25.86,25.86,25.78,25.78,16322
2023-04-03,26.19,26.19,25.7,25.7,10200
2023-04-04,25.78,26.03,25.78,26.03,14411
2023-04-05,26.03,26.03,25.94,26.03,9486
2023-04-06,26.11,26.52,25.94,26.19,28212
2023-04-07,26.03,26.03,25.94,26.03,11755
2023-04-10,26.11,26.11,25.94,26.11,30133
2023-04-11,26.11,26.77,26.03,26.77,37340
2023-04-12,26.77,26.77,26.36,26.44,16300
2023-04-13,26.44,26.61,26.36,26.61,30145
2023-04-14,26.61,26.61,26.36,26.36,30534
2023-04-17,25.61,26.36,25.61,26.28,15406
2023-04-18,26.28,26.52,26.28,26.44,27800
2023-04-19,26.28,27.02,26.28,26.94,33995
2023-04-20,26.94,28.34,26.94,28.34,105881
2023-04-21,28.51,29.33,28.51,28.84,114009
2023-04-24,28.92,28.92,27.93,28.09,53190
2023-04-25,28.01,28.09,27.35,27.51,53900
2023-04-26,27.1,30.16,27.1,29.58,84019
2023-04-27,29.58,30.99,29.25,29.25,74707
2023-04-28,29.25,29.58,28.59,28.67,40431
2023-05-04,28.26,30.08,28.26,29.66,85446
2023-05-05,29.66,29.75,28.84,29.17,30029
2023-05-08,29.25,29.33,28.75,28.75,27879
2023-05-09,29.33,29.33,28.67,28.92,55666
2023-05-10,28.92,29.33,28.59,29.33,29686
2023-05-11,29.42,29.42,28.92,28.92,23602
2023-05-12,28.92,29.33,28.75,29.33,31029
2023-05-15,29.33,29.33,28.92,29.0,41065
2023-05-16,29.0,29.42,29.0,29.25,45254
2023-05-17,29.33,29.75,28.92,29.42,55137
2023-05-18,29.42,29.5,29.25,29.33,15567
2023-05-19,29.0,29.08,28.84,28.92,61661
2023-05-22,28.92,29.33,28.92,28.92,22846
2023-05-23,29.0,29.0,28.84,28.84,21243
2023-05-24,29.33,29.33,28.51,28.67,22061
2023-05-25,28.67,29.08,28.67,29.08,14803
2023-05-26,29.08,29.08,28.92,29.08,15402
2023-05-29,28.84,29.08,28.84,29.08,25539
2023-05-30,29.08,29.17,28.92,29.08,26534
2023-05-31,29.34,29.5,29.34,29.34,19052
2023-06-01,29.34,29.5,29.17,29.34,24571
2023-06-02,29.34,29.92,29.08,29.67,81505
2023-06-05,29.76,29.76,29.34,29.76,29198
2023-06-06,29.76,29.84,29.42,29.76,21212
2023-06-07,29.76,30.26,29.67,29.92,31450
2023-06-08,30.17,30.43,29.59,29.92,41860
2023-06-09,30.01,30.17,29.59,29.92,39763
2023-06-12,30.17,32.86,30.17,32.86,245509
2023-06-13,33.36,33.78,32.77,32.94,66782
2023-06-14,32.94,32.94,31.52,31.6,134271
2023-06-15,31.6,31.85,31.18,31.35,45549
2023-06-16,31.35,32.02,31.18,31.18,32578
2023-06-19,31.18,32.35,31.18,31.85,68231
2023-06-20,31.93,31.93,31.18,31.77,30970
2023-06-21,31.68,31.68,31.26,31.68,18702
2023-06-22,32.19,32.19,31.18,31.68,52341
2023-06-23,31.18,31.52,31.18,31.52,26861
2023-06-26,31.52,32.19,31.26,32.19,44616
2023-06-27,32.27,33.44,31.93,32.27,39311
2023-06-28,31.93,32.19,31.68,31.68,35432
2023-06-29,31.43,31.6,31.18,31.18,34166
2023-06-30,30.93,31.6,30.93,31.43,14980
2023-07-03,31.52,32.44,31.26,32.35,64828
2023-07-04,32.6,33.44,32.35,33.36,102848
2023-07-05,32.69,35.12,32.69,34.36,198291
2023-07-06,34.36,34.78,33.53,33.95,65116
