time,open,high,low,close,volume
2023-03-30,7.43,7.63,7.42,7.42,4000
2023-03-31,7.47,7.74,7.45,7.7,1900
2023-04-03,7.7,7.82,7.65,7.7,10517
2023-04-04,7.5,7.8,7.5,7.77,2000
2023-04-05,7.77,8.0,7.75,7.86,29332
2023-04-06,7.87,8.19,7.87,8.1,38100
2023-04-07,8.22,8.22,8.02,8.02,1500
2023-04-10,8.03,8.1,7.51,7.99,26100
2023-04-11,8.0,8.0,7.53,7.96,8900
2023-04-12,7.96,7.96,7.6,7.62,10100
2023-04-13,7.62,7.74,7.55,7.74,12800
2023-04-14,7.7,7.82,7.41,7.41,25400
2023-04-17,7.4,7.65,7.4,7.41,9600
2023-04-18,7.42,7.74,7.42,7.72,14800
2023-04-19,7.7,7.9,7.55,7.56,600
2023-04-20,7.55,7.9,7.55,7.9,1900
2023-04-21,7.57,7.76,7.45,7.72,4500
2023-04-24,7.67,7.73,7.66,7.72,1100
2023-04-25,7.51,7.9,7.51,7.8,5733
2023-04-26,7.89,7.89,7.7,7.8,3500
2023-04-27,7.74,7.84,7.53,7.84,14800
2023-04-28,7.83,7.83,7.52,7.55,3300
2023-05-04,7.55,7.8,7.55,7.8,9200
2023-05-05,7.75,7.89,7.57,7.75,11900
2023-05-08,7.75,7.76,7.74,7.76,4500
2023-05-09,7.61,7.76,7.61,7.76,3300
2023-05-10,7.8,8.1,7.8,7.95,19400
2023-05-11,7.8,8.35,7.8,7.88,8700
2023-05-12,7.9,8.0,7.82,8.0,1300
2023-05-15,7.6,8.09,7.6,7.67,7200
2023-05-16,7.68,7.69,7.67,7.67,29400
2023-05-17,7.68,7.9,7.68,7.68,7100
2023-05-18,7.62,7.7,7.62,7.68,4300
2023-05-19,7.62,7.8,7.6,7.8,8600
2023-05-22,7.75,7.88,7.7,7.8,6000
2023-05-23,7.81,7.83,7.6,7.6,7100
2023-05-24,7.6,7.6,7.56,7.57,17348
2023-05-25,7.61,7.61,7.55,7.58,4060
2023-05-26,7.51,7.6,7.51,7.6,2100
2023-05-29,7.61,7.83,7.61,7.7,15107
2023-05-30,7.8,8.0,7.75,7.97,26432
2023-05-31,7.84,8.52,7.84,8.52,73600
2023-06-01,9.11,9.11,9.11,9.11,16800
2023-06-02,9.74,9.74,8.66,8.72,99900
2023-06-05,8.8,8.8,8.3,8.69,23400
2023-06-06,8.69,8.8,8.56,8.75,45900
2023-06-07,8.71,9.04,8.6,8.74,94200
2023-06-08,8.7,8.89,8.7,8.71,16700
2023-06-09,8.51,8.99,8.51,8.79,22910
2023-06-12,8.8,8.89,8.7,8.84,22400
2023-06-13,9.2,9.2,8.8,8.9,20401
2023-06-14,8.95,9.0,8.6,8.7,19500
2023-06-15,8.5,8.6,8.3,8.34,17703
2023-06-16,8.34,8.69,8.33,8.43,13600
2023-06-19,8.4,8.4,8.28,8.28,18300
2023-06-20,8.29,8.61,8.2,8.4,7101
2023-06-21,8.4,8.98,8.33,8.98,49870
2023-06-22,9.6,9.6,8.72,9.15,37682
2023-06-23,9.54,9.54,8.6,8.8,44301
2023-06-26,9.0,9.0,8.5,8.8,30600
2023-06-27,8.99,8.99,8.51,8.77,37500
2023-06-28,8.76,8.76,8.51,8.7,7500
2023-06-29,8.6,8.65,8.5,8.5,24919
2023-06-30,8.55,8.89,8.41,8.5,38100
2023-07-03,8.6,8.85,8.55,8.6,3100
2023-07-04,8.55,8.77,8.55,8.77,7805
2023-07-05,8.98,8.98,8.61,8.63,6400
2023-07-06,8.63,8.63,8.58,8.58,8700
2023-07-07,8.58,8.6,8.58,8.6,23000
2023-07-10,8.7,9.2,8.7,8.93,12230
2023-07-11,9.0,9.0,8.8,8.8,13510
2023-07-12,9.38,9.38,8.6,8.8,13101
2023-07-13,8.57,8.92,8.55,8.92,16102
2023-07-14,8.92,8.92,8.7,8.73,14300
2023-07-17,8.73,8.95,8.6,8.89,12000
2023-07-18,8.88,8.88,8.72,8.88,10702
2023-07-19,8.88,8.99,8.6,8.99,5900
2023-07-20,8.88,8.9,8.88,8.9,1300
2023-07-21,8.95,8.95,8.53,8.9,12726
2023-07-24,8.71,8.89,8.68,8.89,14101
2023-07-25,8.88,8.94,8.8,8.9,17900
2023-07-26,8.93,8.95,8.67,8.93,10470
2023-07-27,8.9,8.93,8.89,8.93,6200
2023-07-28,8.95,9.55,8.95,9.55,77901
2023-07-31,10.2,10.2,9.8,10.2,106936
2023-08-01,10.7,10.85,10.05,10.05,105490
2023-08-02,10.3,10.7,9.6,10.4,51483
2023-08-03,9.8,10.4,9.7,9.78,31013
2023-08-04,9.71,9.98,9.7,9.8,49000
2023-08-07,9.8,9.81,9.66,9.8,56445
2023-08-08,9.8,9.84,9.56,9.84,25000
2023-08-09,9.62,10.0,9.62,9.95,29100
2023-08-10,9.81,10.5,9.81,10.0,60901
2023-08-11,10.35,10.35,9.7,10.0,14560
2023-08-14,10.0,10.3,9.8,10.0,38302
2023-08-15,10.3,10.3,10.0,10.2,59250
2023-08-16,10.25,10.25,10.0,10.2,29701
2023-08-17,10.05,10.2,9.8,9.8,34000
2023-08-18,10.0,10.1,9.15,9.15,25570
2023-08-21,8.55,9.35,8.52,8.68,26300
2023-08-22,8.68,8.89,8.3,8.71,47400
2023-08-23,8.5,8.95,8.5,8.55,18200
2023-08-24,8.55,8.77,8.5,8.76,6115
2023-08-25,8.76,8.8,8.56,8.64,21700
2023-08-28,8.64,8.8,8.62,8.65,5801
2023-08-29,8.8,8.87,8.66,8.66,15500
2023-08-30,8.8,8.87,8.66,8.85,10600
2023-08-31,8.8,9.0,8.71,8.9,17601
2023-09-05,8.9,9.0,8.67,8.9,21912
2023-09-06,8.8,9.2,8.8,9.0,6603
2023-09-07,8.95,9.1,8.85,8.85,8907
2023-09-08,8.81,9.0,8.77,8.78,17200
2023-09-11,8.8,8.9,8.63,8.63,33303
