time,open,high,low,close,volume
2023-03-30,44.8,45.5,44.8,45.4,46000
2023-03-31,45.5,45.9,45.2,45.8,40800
2023-04-03,46.0,46.3,45.8,46.1,45400
2023-04-04,45.8,46.2,45.6,46.0,50600
2023-04-05,46.0,46.1,45.6,45.7,53900
2023-04-06,45.5,46.4,44.8,46.0,62800
2023-04-07,46.0,46.5,45.8,45.8,48000
2023-04-10,46.5,47.6,46.5,47.3,48402
2023-04-11,47.5,49.2,47.5,48.4,54900
2023-04-12,48.5,48.9,48.1,48.5,45500
2023-04-13,48.0,48.0,46.6,47.3,46800
2023-04-14,46.8,46.8,45.6,46.1,35300
2023-04-17,46.0,46.3,46.0,46.2,44400
2023-04-18,46.4,46.5,45.0,45.3,41600
2023-04-19,45.7,45.7,43.8,43.9,56100
2023-04-20,44.6,44.7,43.0,44.0,49808
2023-04-21,44.0,44.4,43.3,44.0,48900
2023-04-24,44.3,44.4,43.5,43.9,45600
2023-04-25,43.5,43.5,42.2,43.4,46800
2023-04-26,43.0,43.0,40.9,42.6,45101
2023-04-27,42.0,43.1,41.7,42.1,44120
2023-04-28,42.5,43.2,41.4,43.2,53400
2023-05-04,43.3,44.1,43.2,44.1,45900
2023-05-05,43.6,43.6,41.0,41.6,43200
2023-05-08,42.0,43.2,42.0,42.9,47004
2023-05-09,42.6,42.7,40.5,40.9,46800
2023-05-10,41.3,41.5,39.3,39.6,43300
2023-05-11,40.0,41.1,38.3,40.4,43600
2023-05-12,40.5,42.2,39.4,42.0,55901
2023-05-15,41.0,42.3,40.6,42.2,48400
2023-05-16,41.4,42.7,40.9,42.3,43700
2023-05-17,41.8,43.0,39.6,42.6,48900
2023-05-18,42.0,42.7,41.9,41.9,48500
2023-05-19,42.2,43.6,42.1,43.1,53200
2023-05-22,42.8,43.8,42.3,43.6,45000
2023-05-23,43.0,44.3,42.8,43.8,47900
2023-05-24,43.6,44.1,42.8,44.0,44310
2023-05-25,44.0,44.0,43.1,43.7,43000
2023-05-26,43.8,44.8,43.7,44.8,46700
2023-05-29,44.4,45.1,44.0,45.0,46200
2023-05-30,44.8,44.9,44.0,44.3,44800
2023-05-31,44.5,44.7,43.9,43.9,41400
2023-06-01,43.7,44.0,43.0,44.0,46600
2023-06-02,44.0,44.5,43.1,44.1,44200
2023-06-05,43.7,44.8,43.6,44.5,42500
2023-06-06,44.2,44.7,44.2,44.5,39400
2023-06-07,44.6,45.0,44.4,44.8,38600
2023-06-08,44.8,45.0,44.3,44.5,31000
2023-06-09,45.0,45.0,44.4,44.5,41600
2023-06-12,44.8,45.0,43.6,44.7,41200
2023-06-13,44.2,45.1,44.2,44.4,35200
2023-06-14,44.7,44.8,43.8,44.3,40600
2023-06-15,44.3,44.7,43.4,44.0,30600
2023-06-16,44.5,45.5,44.2,45.2,35400
2023-06-19,44.5,45.6,44.5,45.4,40200
2023-06-20,45.0,45.3,44.8,44.9,41800
2023-06-21,44.7,45.1,44.6,44.9,34600
2023-06-22,44.5,45.3,44.5,45.0,39609
2023-06-23,45.2,46.0,44.8,45.8,41500
2023-06-26,45.2,45.8,45.2,45.8,35800
2023-06-27,45.4,46.3,45.4,46.1,42400
2023-06-28,45.8,45.9,45.4,45.6,36900
2023-06-29,46.1,46.8,45.8,46.6,42400
2023-06-30,46.3,46.9,46.3,46.6,41800
2023-07-03,46.4,47.0,46.3,46.7,42700
2023-07-04,46.7,46.9,46.4,46.5,52000
2023-07-05,46.3,46.7,46.2,46.5,39200
2023-07-06,46.3,46.8,46.2,46.4,40600
2023-07-07,46.3,46.4,46.1,46.1,41100
2023-07-10,46.1,46.3,45.9,46.2,41800
2023-07-11,46.1,46.2,45.6,45.7,47490
2023-07-12,45.8,46.4,45.7,46.3,48800
2023-07-13,46.1,46.5,46.0,46.3,41310
2023-07-14,46.2,46.4,46.1,46.3,38600
2023-07-17,46.2,46.5,46.1,46.4,39300
2023-07-18,46.2,46.3,46.0,46.1,39400
2023-07-19,46.2,46.4,46.1,46.3,39700
2023-07-20,46.2,46.3,45.9,46.1,38200
2023-07-21,46.0,46.2,45.9,46.1,39000
2023-07-24,46.0,46.0,45.6,45.7,40300
2023-07-25,45.7,45.8,45.4,45.5,39600
2023-07-26,45.6,45.8,45.1,45.2,44400
2023-07-27,45.3,45.3,44.7,44.9,40500
2023-07-28,45.1,45.3,44.4,44.8,40100
2023-07-31,45.0,45.4,44.8,45.2,40500
2023-08-01,45.1,45.3,44.9,45.3,40000
2023-08-02,45.3,45.7,45.3,45.5,34100
2023-08-03,45.5,45.5,45.0,45.2,32700
2023-08-04,45.3,45.8,45.3,45.7,36200
2023-08-07,45.8,45.9,45.3,45.5,34500
2023-08-08,45.7,46.0,45.6,45.7,31000
2023-08-09,46.0,46.1,45.3,45.4,31900
2023-08-10,45.6,45.7,45.3,45.4,31300
2023-08-11,45.5,45.6,45.2,45.3,30804
2023-08-14,45.7,45.8,45.5,45.8,33600
2023-08-15,46.0,46.1,45.7,45.8,33100
2023-08-16,45.9,46.1,45.5,46.0,29900
2023-08-17,45.5,45.8,44.9,45.6,32100
2023-08-18,45.2,45.3,44.6,44.7,29700
2023-08-21,44.7,45.1,44.7,44.8,33500
2023-08-22,44.9,44.9,44.3,44.4,31600
2023-08-23,44.7,44.8,44.3,44.4,31100
2023-08-24,44.5,44.8,44.3,44.8,30500
2023-08-25,44.6,44.9,44.4,44.6,29400
2023-08-28,44.8,45.0,44.5,45.0,30600
2023-08-29,45.0,45.2,44.8,44.8,30600
2023-08-30,45.0,45.1,44.7,44.8,30200
2023-08-31,44.9,45.3,44.8,45.2,31500
2023-09-05,45.1,45.3,44.6,44.8,33200
2023-09-06,45.0,45.1,44.7,44.7,31200
2023-09-07,44.8,45.2,44.7,44.9,30200
2023-09-08,45.0,45.5,45.0,45.4,31000
2023-09-11,45.0,45.6,45.0,45.3,32400
2023-09-12,44.8,45.3,44.8,45.3,30700
2023-09-13,45.2,45.3,44.8,45.0,35800
2023-09-14,45.1,45.1,44.7,44.8,37100
2023-09-15,44.9,45.3,44.8,45.2,35800
2023-09-18,45.1,45.3,44.9,45.0,38900
2023-09-19,44.7,45.1,44.7,44.9,32500
2023-09-20,44.8,44.8,44.3,44.6,30800
2023-09-21,44.6,44.8,44.4,44.5,34900
2023-09-22,44.1,44.6,43.9,44.0,30500
2023-09-25,43.9,44.1,43.6,43.6,35600
2023-09-26,44.3,44.3,43.5,43.9,34600
2023-09-27,43.8,44.2,43.4,43.9,38100
2023-09-28,44.3,44.4,43.4,43.8,35800
2023-09-29,44.0,44.5,43.8,44.2,33600
2023-10-02,44.0,44.5,43.9,44.1,37500
2023-10-03,44.1,44.1,42.7,42.8,36800
2023-10-04,42.3,43.3,42.0,43.1,35500
2023-10-05,42.8,42.8,42.0,42.2,33600
2023-10-06,44.1,44.1,42.3,43.0,35200
2023-10-09,43.0,43.9,42.9,43.7,38100
2023-10-10,44.0,44.3,43.6,44.0,36400
2023-10-11,44.0,44.5,43.9,44.5,39000
2023-10-12,44.2,44.8,44.2,44.4,33800
2023-10-13,44.7,44.8,44.0,44.6,36700
2023-10-16,44.4,44.7,44.2,44.3,39300
2023-10-17,44.4,44.6,44.0,44.0,37900
2023-10-18,44.2,44.3,43.7,44.0,36900
2023-10-19,43.8,43.9,43.5,43.5,37300
2023-10-20,43.7,44.0,43.5,43.9,37500
2023-10-23,43.9,43.9,43.4,43.6,35800
2023-10-24,43.8,44.3,43.7,44.2,37600
2023-10-25,44.1,44.6,43.8,43.9,36300
2023-10-26,43.8,43.9,43.0,43.0,38400
2023-10-27,43.5,43.8,42.7,43.3,35900
2023-10-30,43.3,43.3,42.8,42.9,35700
2023-10-31,43.1,43.5,42.7,42.7,35900
2023-11-01,43.0,43.2,42.6,43.2,34900
2023-11-02,43.1,43.7,43.0,43.5,40300
2023-11-03,43.5,43.9,43.1,43.6,37900
2023-11-06,43.7,44.1,43.5,43.9,36700
2023-11-07,44.1,44.4,43.9,44.4,40600
2023-11-08,44.4,44.6,44.0,44.2,38000
2023-11-09,43.8,44.3,43.7,44.1,34300
2023-11-10,43.9,43.9,43.3,43.4,36700
2023-11-13,43.2,43.6,43.1,43.6,37400
2023-11-14,43.2,43.5,43.0,43.3,39400
2023-11-15,43.3,43.6,43.2,43.4,38900
2023-11-16,43.3,43.4,42.8,42.9,39400
2023-11-17,42.8,43.0,42.5,42.7,39100
2023-11-20,42.6,42.7,42.3,42.4,37300
2023-11-21,42.4,42.7,42.3,42.6,35100
2023-11-22,42.3,42.5,42.2,42.5,35100
2023-11-23,42.2,42.5,42.1,42.3,35000
2023-11-24,42.3,42.3,42.0,42.2,33100
2023-11-27,42.2,42.5,42.0,42.1,32400
2023-11-28,42.0,42.1,41.8,42.0,30200
2023-11-29,42.0,42.3,42.0,42.2,24800
2023-11-30,42.3,42.5,42.2,42.4,33900
2023-12-01,42.5,43.6,42.4,43.4,36100
2023-12-04,43.6,44.2,43.5,44.0,31700
2023-12-05,44.3,44.4,44.0,44.2,27900
2023-12-06,44.2,45.6,44.2,45.3,29200
2023-12-07,45.3,46.0,45.2,45.7,26700
2023-12-08,45.2,45.7,43.1,44.3,23800
2023-12-11,44.4,44.7,44.2,44.6,31200
2023-12-12,44.6,45.0,44.5,44.9,24200
2023-12-13,44.9,45.2,44.6,44.8,29400
2023-12-14,44.7,44.9,44.5,44.5,27500
2023-12-15,44.6,44.6,44.2,44.4,30100
2023-12-18,44.5,44.7,44.0,44.1,30800
2023-12-19,44.3,44.3,43.6,43.7,28400
2023-12-20,43.4,43.8,43.4,43.6,31000
2023-12-21,43.5,43.5,43.2,43.3,28100
2023-12-22,43.2,43.4,43.1,43.4,29300
2023-12-25,43.1,43.5,43.1,43.5,28500
2023-12-26,43.2,44.0,43.2,43.7,26200
2023-12-27,43.4,43.8,43.4,43.6,27900
2023-12-28,43.5,44.0,43.2,43.9,25500
2023-12-29,43.6,43.8,43.2,43.3,27100
2024-01-02,43.2,43.7,43.2,43.7,22500
2024-01-03,43.5,43.6,43.3,43.4,27100
2024-01-04,43.4,44.0,43.4,43.8,31800
2024-01-05,43.7,44.2,43.5,44.0,28100
2024-01-08,43.9,44.2,43.8,44.2,27700
2024-01-09,44.0,44.2,43.7,43.8,29900
2024-01-10,43.9,44.1,43.8,43.9,27900
2024-01-11,43.8,44.3,43.8,44.1,28900
2024-01-12,44.0,44.0,43.6,43.7,26800
2024-01-15,43.6,43.9,43.6,43.8,20700
