time,open,high,low,close,volume
2023-03-30,5.0,5.1,5.0,5.0,10700
2023-03-31,5.0,5.1,5.0,5.0,10200
2023-04-03,5.1,5.1,5.0,5.1,7020
2023-04-04,5.1,5.1,5.1,5.1,9500
2023-04-05,5.2,5.2,5.1,5.2,16600
2023-04-06,5.2,5.3,5.2,5.2,10200
2023-04-07,5.3,5.3,5.1,5.2,4000
2023-04-10,5.2,5.2,5.1,5.2,3400
2023-04-11,5.1,5.1,5.1,5.1,1500
2023-04-12,5.0,5.1,5.0,5.1,7650
2023-04-13,5.1,5.2,5.1,5.2,800
2023-04-14,5.2,5.2,5.1,5.2,3400
2023-04-17,5.1,5.1,5.1,5.1,2900
2023-04-18,5.1,5.1,5.1,5.1,25200
2023-04-19,5.2,5.2,5.2,5.2,7900
2023-04-20,5.0,5.1,5.0,5.1,17910
2023-04-21,5.1,5.2,5.1,5.2,14112
2023-04-24,5.2,5.2,5.1,5.2,400
2023-04-25,5.2,5.3,5.2,5.2,53600
2023-04-26,5.1,5.1,5.0,5.0,10001
2023-04-27,5.1,5.2,5.1,5.1,6327
2023-04-28,5.0,5.1,4.9,5.0,35901
2023-05-04,5.0,5.1,5.0,5.1,2200
2023-05-05,5.1,5.1,4.9,4.9,3500
2023-05-08,5.0,5.1,5.0,5.1,15400
2023-05-09,5.1,5.1,5.0,5.0,35700
2023-05-10,5.0,5.1,5.0,5.0,7406
2023-05-11,5.1,5.1,5.0,5.0,18500
2023-05-12,5.1,5.1,5.0,5.0,3400
2023-05-15,5.0,5.1,4.9,5.0,56000
2023-05-16,5.0,5.1,5.0,5.0,57109
2023-05-17,5.0,5.1,5.0,5.0,68800
2023-05-18,5.0,5.1,5.0,5.0,18200
2023-05-19,5.1,5.1,5.0,5.1,32600
2023-05-22,5.1,5.1,4.9,5.0,33800
2023-05-23,5.1,5.1,5.0,5.0,31500
2023-05-24,5.0,5.0,5.0,5.0,1600
2023-05-25,5.0,5.1,5.0,5.0,2000
2023-05-26,5.1,5.1,5.0,5.0,35000
2023-05-29,5.1,5.3,5.1,5.2,33519
