time,open,high,low,close,volume
2023-03-30,28.14,28.7,27.59,27.59,5403
2023-03-31,26.66,29.07,26.66,29.07,5705
2023-04-03,28.7,29.72,28.7,29.72,21802
2023-04-04,28.14,28.14,28.14,28.14,221
2023-04-05,28.14,28.14,28.14,28.14,101
2023-04-06,28.23,28.23,28.23,28.23,2000
2023-04-07,28.23,28.23,28.23,28.23,0
2023-04-10,28.7,28.7,27.77,28.6,6700
2023-04-11,28.05,28.05,28.05,28.05,177
2023-04-12,28.05,28.05,28.05,28.05,3
2023-04-13,28.05,28.05,28.05,28.05,0
2023-04-14,28.05,28.05,28.05,28.05,226
2023-04-17,28.05,28.6,28.05,28.6,610
2023-04-18,28.14,28.14,28.14,28.14,100
2023-04-19,27.91,28.51,26.94,28.51,604
2023-04-20,28.51,28.51,28.51,28.51,0
2023-04-21,27.96,27.96,27.96,27.96,230
2023-04-24,27.96,27.96,27.96,27.96,11
2023-04-25,27.77,28.23,27.77,27.77,2506
2023-04-26,28.7,28.7,28.51,28.51,2103
2023-04-27,27.77,27.77,27.77,27.77,1100
2023-04-28,28.51,28.51,28.51,28.51,131
2023-05-04,28.51,28.51,28.51,28.51,10
2023-05-05,28.51,28.51,28.51,28.51,0
2023-05-08,27.77,28.51,27.77,28.51,1003
2023-05-09,27.49,27.49,27.31,27.31,1831
2023-05-10,27.31,27.31,27.31,27.31,107
2023-05-11,28.88,28.88,27.31,27.31,1905
2023-05-12,27.12,27.12,27.03,27.12,3000
2023-05-15,26.98,28.7,26.98,28.7,14701
2023-05-16,27.31,27.59,27.31,27.59,9727
2023-05-17,27.12,28.51,27.12,28.51,7200
2023-05-18,27.31,27.31,27.31,27.31,3652
2023-05-19,27.77,27.77,27.31,27.31,2530
2023-05-22,27.77,27.77,27.77,27.77,102
2023-05-23,27.22,27.31,27.22,27.31,4900
2023-05-24,27.73,28.7,27.31,28.7,25900
2023-05-25,27.73,27.73,27.73,27.73,100
2023-05-26,27.73,27.73,27.73,27.73,3
2023-05-29,27.4,27.96,27.4,27.96,8450
2023-05-30,27.91,27.91,27.59,27.59,3302
2023-05-31,27.77,28.14,27.77,27.77,26900
2023-06-01,27.77,28.56,27.77,28.56,11011
2023-06-02,28.28,29.39,28.28,29.39,350
2023-06-05,29.35,29.35,27.77,27.96,11625
2023-06-06,27.96,27.96,27.22,27.31,95200
2023-06-07,27.31,27.96,27.22,27.26,23507
2023-06-08,27.31,27.77,27.22,27.31,9817
2023-06-09,27.4,28.42,26.66,28.42,109505
2023-06-12,28.37,28.42,27.22,28.42,17120
2023-06-13,28.37,28.42,27.4,27.4,4251
2023-06-14,27.59,28.23,27.31,28.23,26569
2023-06-15,28.19,28.19,27.31,28.05,13317
2023-06-16,27.4,28.42,27.35,28.42,26700
2023-06-19,27.49,28.14,27.4,27.59,7812
2023-06-20,27.54,27.77,27.4,27.77,2627
2023-06-21,27.45,28.42,27.45,28.42,43700
2023-06-22,27.49,28.37,27.49,28.14,17703
2023-06-23,28.14,28.42,27.49,28.42,7027
2023-06-26,28.42,28.42,27.54,27.96,903
2023-06-27,27.54,28.33,27.54,28.28,10002
2023-06-28,28.47,28.47,27.59,28.23,1413
2023-06-29,27.54,28.33,27.49,28.33,17400
2023-06-30,28.42,28.42,28.42,28.42,4401
2023-07-03,28.51,28.51,27.59,28.28,6201
2023-07-04,27.59,28.7,27.59,28.7,3704
2023-07-05,28.7,28.7,28.7,28.7,16
2023-07-06,28.7,28.7,28.7,28.7,83
2023-07-07,28.7,28.7,28.7,28.7,0
2023-07-10,27.63,28.23,27.49,28.23,20116
2023-07-11,27.49,28.19,27.49,28.19,244
2023-07-12,27.68,28.1,27.68,28.1,2407
2023-07-13,27.54,28.7,26.94,28.47,13000
2023-07-14,28.47,28.47,27.77,27.77,201
2023-07-17,27.68,28.42,27.4,28.42,4050
2023-07-18,27.63,28.05,27.49,27.54,2812
2023-07-19,27.59,27.63,27.49,27.49,2401
2023-07-20,27.54,28.19,27.31,28.19,2380
2023-07-21,27.31,27.77,27.26,27.26,8700
2023-07-24,27.35,27.45,26.94,27.4,12900
2023-07-25,27.4,28.42,27.31,28.42,55611
2023-07-26,28.19,28.23,27.49,27.49,1044
2023-07-27,27.49,27.68,27.49,27.68,6500
2023-07-28,28.05,28.05,28.05,28.05,196
2023-07-31,27.86,27.86,27.86,27.86,300
2023-08-01,27.68,27.68,27.68,27.68,300
2023-08-02,27.68,27.96,27.68,27.96,1210
2023-08-03,27.49,27.86,27.49,27.86,6100
2023-08-04,27.54,27.54,27.45,27.45,7306
2023-08-07,27.45,27.45,27.45,27.45,1500
2023-08-08,27.45,27.77,27.31,27.77,7701
2023-08-09,27.35,27.68,27.22,27.68,1810
2023-08-10,27.59,27.59,27.59,27.59,608
2023-08-11,26.66,27.73,26.57,27.59,2629
2023-08-14,27.31,27.31,27.17,27.17,5467
2023-08-15,27.4,27.4,27.4,27.4,100
2023-08-16,27.4,28.42,27.31,28.42,25017
2023-08-17,28.19,28.19,27.31,27.31,19564
2023-08-18,27.31,27.35,27.31,27.31,7636
2023-08-21,27.31,27.31,26.85,27.12,4607
2023-08-22,28.42,28.42,28.42,28.42,27110
2023-08-23,27.22,27.4,27.22,27.31,17513
2023-08-24,27.31,27.91,27.31,27.91,1300
2023-08-25,27.91,28.15,27.72,28.05,4000
2023-08-28,27.86,28.05,27.86,28.05,500
2023-08-29,27.96,27.96,27.96,27.96,106
