time,open,high,low,close,volume
2023-03-30,15.2,15.2,15.2,15.2,0
2023-03-31,15.2,15.2,15.2,15.2,0
2023-04-03,15.2,15.2,15.2,15.2,0
2023-04-04,15.2,15.2,15.2,15.2,0
2023-04-05,15.2,15.2,15.2,15.2,0
2023-04-06,15.2,15.2,15.2,15.2,0
2023-04-07,15.2,15.2,15.2,15.2,0
2023-04-10,15.2,15.2,15.2,15.2,0
2023-04-11,15.2,15.2,15.2,15.2,0
2023-04-12,15.2,15.2,15.2,15.2,0
2023-04-13,15.2,15.2,15.2,15.2,0
2023-04-14,15.2,15.2,15.2,15.2,0
2023-04-17,15.2,15.2,15.2,15.2,0
2023-04-18,15.2,15.2,15.2,15.2,0
2023-04-19,15.2,15.2,15.2,15.2,0
2023-04-20,15.2,15.2,15.2,15.2,0
2023-04-21,15.0,15.0,9.2,9.2,2000
2023-04-24,12.1,12.1,12.1,12.1,0
2023-04-25,12.1,12.1,12.1,12.1,0
2023-04-26,12.1,12.1,12.1,12.1,0
2023-04-27,12.1,12.1,12.1,12.1,0
2023-04-28,12.1,12.1,12.1,12.1,0
2023-05-04,12.1,12.1,12.1,12.1,0
2023-05-05,12.1,12.1,12.1,12.1,0
2023-05-08,12.1,12.1,12.1,12.1,0
2023-05-09,12.1,12.1,12.1,12.1,0
2023-05-10,12.1,12.1,12.1,12.1,0
2023-05-11,12.1,12.1,12.1,12.1,0
2023-05-12,12.1,12.1,12.1,12.1,0
2023-05-15,12.1,12.1,12.1,12.1,0
2023-05-16,12.1,12.1,12.1,12.1,0
2023-05-17,13.9,13.9,13.9,13.9,100
2023-05-18,13.9,13.9,13.9,13.9,5
2023-05-19,13.9,13.9,13.9,13.9,0
2023-05-22,13.9,13.9,13.9,13.9,0
2023-05-23,13.9,13.9,13.9,13.9,0
2023-05-24,13.9,13.9,13.9,13.9,0
2023-05-25,12.0,12.0,12.0,12.0,2000
2023-05-26,12.0,12.0,12.0,12.0,0
2023-05-29,12.0,12.0,12.0,12.0,0
2023-05-30,12.0,12.0,12.0,12.0,0
2023-05-31,12.0,12.0,12.0,12.0,0
2023-06-01,12.0,12.0,12.0,12.0,0
2023-06-02,12.0,12.0,12.0,12.0,0
2023-06-05,13.6,13.6,13.6,13.6,300
2023-06-06,13.6,13.6,13.6,13.6,0
2023-06-07,13.6,13.6,13.6,13.6,0
2023-06-08,13.6,13.6,13.6,13.6,0
2023-06-09,13.6,13.6,13.6,13.6,0
2023-06-12,13.6,13.6,13.6,13.6,0
2023-06-13,13.6,13.6,13.6,13.6,0
2023-06-14,13.6,13.6,13.6,13.6,0
2023-06-15,13.6,13.6,13.6,13.6,0
2023-06-16,13.6,13.6,13.6,13.6,0
2023-06-19,13.6,13.6,13.6,13.6,0
2023-06-20,13.6,13.6,13.6,13.6,0
2023-06-21,13.6,13.6,13.6,13.6,0
2023-06-22,13.6,13.6,13.6,13.6,0
2023-06-23,13.9,14.5,13.9,14.5,1000
2023-06-26,14.0,15.0,13.9,13.9,2600
2023-06-27,14.3,14.3,14.2,14.2,1100
2023-06-28,14.3,14.3,14.3,14.3,0
2023-06-29,14.3,14.3,14.3,14.3,0
2023-06-30,14.3,14.3,14.3,14.3,0
2023-07-03,14.3,14.3,14.3,14.3,0
2023-07-04,14.3,14.3,14.3,14.3,0
2023-07-05,14.3,14.3,14.3,14.3,0
2023-07-06,14.3,14.3,14.3,14.3,0
2023-07-07,14.3,15.0,14.3,15.0,300
2023-07-10,14.8,14.8,14.8,14.8,0
2023-07-11,14.8,14.8,14.8,14.8,200
2023-07-12,14.8,14.8,14.8,14.8,0
2023-07-13,14.8,14.8,14.8,14.8,400
2023-07-14,14.8,14.8,14.8,14.8,0
2023-07-17,14.0,14.1,14.0,14.1,3000
2023-07-18,14.1,14.1,14.1,14.1,0
2023-07-19,14.1,14.1,14.1,14.1,0
2023-07-20,14.0,14.0,14.0,14.0,1500
2023-07-21,14.0,14.0,14.0,14.0,0
2023-07-24,14.0,14.0,14.0,14.0,0
2023-07-25,14.5,14.5,14.0,14.0,1000
2023-07-26,14.3,14.3,14.3,14.3,0
2023-07-27,14.3,14.3,14.0,14.0,2000
2023-07-28,14.1,14.1,14.1,14.1,0
2023-07-31,14.1,14.1,14.1,14.1,800
2023-08-01,14.1,14.1,14.1,14.1,0
2023-08-02,12.2,12.2,12.2,12.2,5000
2023-08-03,12.2,12.2,12.2,12.2,0
2023-08-04,13.9,13.9,13.8,13.8,4100
2023-08-07,13.8,13.8,13.8,13.8,700
2023-08-08,13.8,13.8,13.8,13.8,5
2023-08-09,12.5,13.9,12.5,13.9,1300
2023-08-10,13.0,13.0,13.0,13.0,1300
2023-08-11,13.2,14.5,13.2,14.4,400
2023-08-14,14.8,14.8,13.6,13.8,800
2023-08-15,15.9,15.9,13.6,13.6,1600
2023-08-16,12.0,12.0,12.0,12.0,100
2023-08-17,12.3,12.4,12.3,12.4,300
2023-08-18,10.5,14.1,10.5,13.0,400
2023-08-21,13.8,13.8,13.8,13.8,100
2023-08-22,12.2,12.2,12.2,12.2,474
2023-08-23,13.6,13.6,13.6,13.6,100
2023-08-24,13.6,13.6,13.6,13.6,0
2023-08-25,12.5,13.0,12.5,12.7,500
2023-08-28,14.3,14.3,14.3,14.3,100
2023-08-29,16.4,16.4,12.4,12.4,400
2023-08-30,12.6,12.6,12.6,12.6,100
2023-08-31,13.8,13.8,13.8,13.8,100
2023-09-05,13.8,13.8,13.8,13.8,0
2023-09-06,13.4,13.4,13.4,13.4,300
2023-09-07,13.4,13.4,13.4,13.4,200
2023-09-08,11.7,11.7,11.7,11.7,100
2023-09-11,11.7,11.7,11.7,11.7,0
2023-09-12,11.7,11.7,11.7,11.7,0
2023-09-13,12.1,12.2,12.1,12.2,300
2023-09-14,12.2,12.2,12.2,12.2,0
2023-09-15,10.4,12.2,10.4,12.2,205
2023-09-18,12.5,12.9,12.5,12.9,572
2023-09-19,12.0,12.0,12.0,12.0,100
2023-09-20,13.6,13.6,13.6,13.6,100
2023-09-21,12.5,12.5,12.5,12.5,100
2023-09-22,13.3,13.3,13.3,13.3,100
2023-09-25,13.3,13.3,13.3,13.3,1
2023-09-26,13.3,13.3,13.3,13.3,0
2023-09-27,13.3,13.3,13.3,13.3,0
2023-09-28,13.3,13.3,13.3,13.3,0
2023-09-29,13.3,13.3,13.3,13.3,0
2023-10-02,11.5,11.5,11.5,11.5,200
2023-10-03,12.0,13.2,12.0,12.6,1001
2023-10-04,12.5,12.5,12.5,12.5,0
2023-10-05,12.5,12.5,12.5,12.5,0
2023-10-06,14.3,14.3,14.3,14.3,100
2023-10-09,13.7,13.7,13.7,13.7,1000
2023-10-10,13.7,13.7,13.7,13.7,0
2023-10-11,13.7,13.7,13.7,13.7,0
2023-10-12,11.7,13.7,11.7,13.7,600
2023-10-13,12.0,12.0,12.0,12.0,900
2023-10-16,13.7,13.7,12.1,12.1,200
2023-10-17,12.9,12.9,12.9,12.9,500
2023-10-18,14.8,14.8,14.8,14.8,100
2023-10-19,16.0,16.0,14.0,14.0,232
2023-10-20,12.9,13.7,12.9,13.7,1300
2023-10-23,13.6,13.6,13.6,13.6,0
2023-10-24,13.6,13.6,13.6,13.6,0
2023-10-25,13.6,13.6,13.6,13.6,4
2023-10-26,13.6,13.6,13.6,13.6,0
2023-10-27,13.6,13.6,13.6,13.6,0
2023-10-30,13.6,13.6,13.6,13.6,4
2023-10-31,13.6,13.6,13.6,13.6,0
2023-11-01,14.5,14.5,14.5,14.5,101
2023-11-02,14.5,14.5,14.5,14.5,0
2023-11-03,14.4,14.4,14.3,14.3,200
2023-11-06,14.4,14.4,14.4,14.4,0
2023-11-07,14.4,14.4,14.4,14.4,0
2023-11-08,14.4,14.4,14.4,14.4,4
2023-11-09,14.4,14.4,14.4,14.4,0
2023-11-10,14.4,14.4,14.4,14.4,10
2023-11-13,14.4,14.4,14.4,14.4,1
2023-11-14,14.0,14.0,14.0,14.0,100
2023-11-15,14.5,14.5,14.5,14.5,1600
2023-11-16,14.5,14.5,14.5,14.5,10
2023-11-17,14.5,14.5,14.5,14.5,0
2023-11-20,14.2,14.2,14.2,14.2,100
2023-11-21,14.2,14.2,14.2,14.2,0
2023-11-22,13.2,14.0,13.2,14.0,429
2023-11-23,13.7,13.7,13.7,13.7,0
2023-11-24,15.0,15.7,13.2,15.7,10000
2023-11-27,13.5,13.5,13.5,13.5,100
2023-11-28,13.5,13.5,13.5,13.5,0
2023-11-29,13.5,13.5,13.5,13.5,0
2023-11-30,13.5,13.5,13.5,13.5,0
2023-12-01,13.5,13.5,13.5,13.5,0
2023-12-04,14.8,15.5,14.8,15.5,7800
2023-12-05,15.0,15.0,15.0,15.0,0
2023-12-06,15.0,15.0,15.0,15.0,0
2023-12-07,15.0,15.0,15.0,15.0,0
2023-12-08,15.0,15.0,15.0,15.0,0
2023-12-11,15.0,15.0,15.0,15.0,0
2023-12-12,15.5,16.5,15.5,16.5,1800
2023-12-13,15.9,15.9,15.9,15.9,0
2023-12-14,15.9,15.9,15.9,15.9,0
2023-12-15,15.0,15.0,15.0,15.0,600
2023-12-18,15.0,15.0,15.0,15.0,0
2023-12-19,15.0,15.0,15.0,15.0,0
2023-12-20,14.8,15.5,14.8,15.0,3200
2023-12-21,15.5,15.5,15.5,15.5,1000
2023-12-22,15.5,15.5,15.0,15.0,3600
2023-12-25,15.5,15.5,14.9,15.5,6900
2023-12-26,15.5,15.5,14.5,14.5,2800
2023-12-27,15.5,15.5,15.5,15.5,100
2023-12-28,15.5,15.5,15.5,15.5,0
2023-12-29,15.0,15.0,14.5,14.5,2800
2024-01-02,15.4,15.4,15.4,15.4,2000
2024-01-03,15.4,15.4,15.4,15.4,0
2024-01-04,15.4,15.4,15.4,15.4,200
2024-01-05,15.4,15.4,15.4,15.4,100
2024-01-08,15.5,15.5,15.5,15.5,100
2024-01-09,15.5,16.0,15.5,16.0,400
2024-01-10,15.7,15.7,15.7,15.7,300
2024-01-11,15.7,15.7,15.7,15.7,0
2024-01-12,15.0,15.0,14.8,14.8,300
2024-01-15,14.9,14.9,14.9,14.9,0
2024-01-16,14.9,14.9,14.9,14.9,0
2024-01-17,15.5,15.5,14.8,15.4,4400
2024-01-18,15.1,15.1,15.1,15.1,0
2024-01-19,15.1,15.1,15.1,15.1,0
2024-01-22,14.8,14.8,14.5,14.5,1200
2024-01-23,14.6,15.0,14.6,15.0,2300
2024-01-24,14.8,14.8,14.8,14.8,0
2024-01-25,15.0,15.0,15.0,15.0,200
2024-01-26,15.1,15.1,15.1,15.1,200
2024-01-29,15.5,15.6,15.5,15.6,300
2024-01-30,15.0,15.0,15.0,15.0,100
2024-01-31,15.4,15.4,15.3,15.3,600
2024-02-01,15.3,15.3,15.3,15.3,0
2024-02-02,15.6,15.6,15.5,15.5,400
2024-02-05,14.8,16.0,14.8,16.0,3600
2024-02-06,15.3,16.0,15.3,16.0,500
2024-02-07,15.7,15.7,15.7,15.7,0
2024-02-15,15.7,15.7,15.7,15.7,0
2024-02-16,16.5,16.5,16.5,16.5,200
2024-02-19,16.5,17.2,16.0,17.2,1526
2024-02-20,17.0,17.0,17.0,17.0,1000
2024-02-21,17.0,17.0,17.0,17.0,0
2024-02-22,18.0,18.5,18.0,18.5,300
2024-02-23,18.5,19.0,18.5,19.0,500
2024-02-26,18.6,18.6,18.6,18.6,0
2024-02-27,18.0,18.0,18.0,18.0,2900
2024-02-28,18.2,18.2,18.2,18.2,100
2024-02-29,18.6,19.0,18.6,19.0,2300
2024-03-01,21.7,21.8,21.7,21.8,5300
2024-03-04,21.0,21.0,21.0,21.0,410
2024-03-05,20.5,20.5,20.5,20.5,1001
2024-03-06,19.0,19.0,19.0,19.0,200
2024-03-07,20.5,20.5,20.5,20.5,100
2024-03-08,20.5,20.5,20.5,20.5,0
2024-03-11,20.5,20.5,20.5,20.5,0
2024-03-12,20.5,20.5,20.5,20.5,0
2024-03-13,19.5,19.5,19.5,19.5,300
2024-03-14,19.5,19.5,19.5,19.5,0
2024-03-15,19.5,19.5,19.5,19.5,0
2024-03-18,19.5,19.5,19.5,19.5,400
2024-03-19,19.5,19.5,19.5,19.5,0
2024-03-20,19.5,19.5,19.5,19.5,0
2024-03-21,20.0,20.5,20.0,20.5,200
2024-03-22,20.5,20.5,20.5,20.5,100
2024-03-25,20.6,20.8,20.6,20.8,400
2024-03-26,20.7,20.7,20.7,20.7,0
2024-03-27,21.5,21.5,21.5,21.5,900
2024-03-28,21.5,22.0,21.5,21.9,2110
2024-03-29,21.8,22.0,21.8,22.0,400
2024-04-01,22.0,22.2,22.0,22.2,1100
2024-04-02,22.1,22.1,22.1,22.1,0
2024-04-03,23.1,23.1,23.1,23.1,100
2024-04-04,23.0,23.1,23.0,23.0,6700
