time,open,high,low,close,volume
2023-03-30,16.93,17.22,16.83,17.02,14700
2023-03-31,16.93,16.93,16.93,16.93,1800
2023-04-03,17.31,17.31,17.02,17.12,10100
2023-04-04,17.12,17.22,16.93,17.12,8902
2023-04-05,17.22,17.22,17.02,17.02,9900
2023-04-06,16.93,17.12,16.93,17.02,8239
2023-04-07,16.93,16.93,16.83,16.93,2600
2023-04-10,17.02,17.31,16.73,17.02,8001
2023-04-11,17.22,17.22,17.12,17.12,5411
2023-04-12,16.93,16.93,16.93,16.93,100
2023-04-13,16.73,17.02,16.73,16.83,4700
2023-04-14,16.83,17.22,16.73,16.73,21200
2023-04-17,16.73,16.73,16.44,16.44,6401
2023-04-18,17.22,17.22,16.64,16.64,8011
2023-04-19,16.93,17.22,16.73,16.73,17800
2023-04-20,17.22,17.22,16.64,16.64,6100
2023-04-21,17.22,17.22,16.83,16.83,5900
2023-04-24,16.64,16.64,16.54,16.64,1700
2023-04-25,16.54,16.64,16.44,16.64,6611
2023-04-26,16.44,16.54,16.44,16.54,20302
2023-04-27,16.35,16.44,16.35,16.44,7300
2023-04-28,17.12,17.12,16.54,16.64,11700
2023-05-04,16.64,17.02,16.54,16.83,14200
2023-05-05,16.93,17.7,16.93,17.51,70358
2023-05-08,17.51,17.51,17.22,17.31,21408
2023-05-09,17.51,17.6,17.41,17.41,11500
2023-05-10,17.51,18.77,17.51,18.47,86020
2023-05-11,19.06,20.99,19.06,20.31,90656
2023-05-12,20.22,20.22,19.15,19.15,17201
2023-05-15,20.12,20.99,19.15,19.15,14500
2023-05-16,19.25,20.02,18.96,19.35,25400
2023-05-17,19.93,20.22,19.25,19.25,9869
2023-05-18,19.73,19.73,18.96,19.35,16713
2023-05-19,18.86,20.12,18.86,19.35,10100
2023-05-22,19.35,20.89,19.35,19.93,60800
2023-05-23,19.93,20.22,19.64,19.73,22208
2023-05-24,20.22,20.22,19.44,20.22,3938
2023-05-25,20.8,20.8,19.64,19.73,8000
2023-05-26,20.02,20.02,18.96,19.83,45200
2023-05-29,20.12,20.12,19.35,19.64,44800
2023-05-30,19.35,19.73,19.35,19.73,21710
2023-05-31,19.64,19.93,19.64,19.73,22520
2023-06-01,19.73,20.22,19.35,20.02,14800
2023-06-02,19.73,20.99,19.73,20.8,84520
2023-06-05,20.7,21.57,20.7,21.47,56478
2023-06-06,21.28,22.44,21.28,22.34,121033
2023-06-07,22.54,22.54,21.47,22.15,32640
2023-06-08,22.05,22.25,21.57,21.67,40806
2023-06-09,21.57,21.67,21.28,21.28,9901
2023-06-12,21.47,21.96,21.47,21.57,22700
2023-06-13,22.25,22.34,21.76,22.15,47420
2023-06-14,21.28,22.63,21.28,22.15,7828
2023-06-15,22.44,22.44,22.15,22.25,11506
2023-06-16,22.63,22.63,22.15,22.15,9722
2023-06-19,21.96,21.96,21.76,21.96,17854
2023-06-20,23.02,23.02,21.96,22.25,22100
2023-06-21,22.25,22.34,21.57,22.25,50376
2023-06-22,23.12,23.12,22.25,22.34,20901
2023-06-23,22.54,22.54,21.76,21.76,38512
2023-06-26,22.05,22.15,21.86,22.15,12500
2023-06-27,21.86,22.73,21.86,22.73,60600
2023-06-28,25.54,25.54,22.34,22.54,7400
2023-06-29,22.34,23.12,22.25,22.44,26500
