time,open,high,low,close,volume
2023-03-30,36.75,36.75,36.06,36.06,242552
2023-03-31,36.25,36.8,35.84,36.66,435876
2023-04-03,37.39,37.53,37.11,37.34,362704
2023-04-04,37.34,37.62,37.25,37.57,474304
2023-04-05,37.62,38.9,37.57,38.8,1223862
2023-04-06,38.8,38.9,38.21,38.21,614589
2023-04-07,38.07,38.35,37.53,37.94,473912
2023-04-10,38.26,38.8,37.89,37.89,378712
2023-04-11,37.89,38.12,37.43,37.98,319067
2023-04-12,38.21,39.53,38.07,38.99,1024126
2023-04-13,39.17,39.17,38.39,38.39,267367
2023-04-14,38.39,38.62,36.7,36.7,561403
2023-04-17,36.98,38.94,36.8,37.43,341383
2023-04-18,37.43,37.62,36.98,37.16,254269
2023-04-19,37.25,37.39,36.7,36.7,380966
2023-04-20,36.7,36.98,36.52,36.61,233647
2023-04-21,36.61,37.43,35.88,36.61,371501
2023-04-24,36.52,37.02,36.43,36.57,144675
2023-04-25,37.34,37.34,36.57,36.57,272300
2023-04-26,36.52,37.21,36.34,37.07,376786
2023-04-27,37.34,37.53,37.11,37.3,297800
2023-04-28,37.34,37.8,37.3,37.66,292201
2023-05-04,37.8,38.21,37.3,37.66,534202
2023-05-05,37.34,37.66,37.3,37.34,200206
2023-05-08,37.39,38.21,37.39,38.16,499906
2023-05-09,38.44,38.71,38.07,38.26,400804
2023-05-10,38.26,38.8,38.21,38.71,538248
2023-05-11,38.8,38.85,38.26,38.3,354945
2023-05-12,38.3,38.76,38.03,38.62,459017
2023-05-15,38.71,38.9,38.03,38.03,483567
2023-05-16,38.07,38.21,37.75,38.03,257414
2023-05-17,38.03,38.53,37.71,38.16,431150
2023-05-18,38.16,38.21,37.89,37.89,206170
2023-05-19,37.89,39.67,37.89,39.44,1207532
2023-05-22,39.53,39.99,39.35,39.58,584838
2023-05-23,39.67,40.4,39.44,39.72,763487
2023-05-24,40.08,40.77,39.35,39.72,576429
2023-05-25,41.09,42.27,40.13,41.86,1796312
2023-05-26,42.0,42.78,41.82,42.0,913985
2023-05-29,42.05,42.73,41.77,42.0,885896
2023-05-30,42.14,42.59,41.41,41.82,853471
2023-05-31,42.0,43.78,41.82,43.37,1214604
2023-06-01,43.37,43.6,42.96,43.37,372970
2023-06-02,43.41,43.55,42.59,42.78,717852
2023-06-05,43.1,43.23,42.59,42.59,493739
2023-06-06,42.59,43.14,42.09,42.91,753540
