time,open,high,low,close,volume
2023-03-30,33.93,34.22,32.97,32.97,688513
2023-03-31,32.97,33.36,31.92,32.01,1031272
2023-04-03,32.11,33.07,32.11,32.88,591994
2023-04-04,32.88,33.93,32.59,32.59,581239
2023-04-05,32.68,32.68,31.82,32.4,1022468
2023-04-06,32.2,33.36,31.82,31.82,894081
2023-04-07,31.82,32.2,31.43,31.53,565767
2023-04-10,31.53,32.01,30.38,30.67,1176698
2023-04-11,30.86,31.63,30.28,31.63,538001
2023-04-12,31.92,32.01,31.24,31.43,311445
2023-04-13,31.43,31.82,30.57,30.86,457288
2023-04-14,30.86,31.43,30.57,30.95,523413
2023-04-17,30.95,31.53,30.76,31.53,405672
2023-04-18,31.72,33.45,31.24,33.07,1817645
2023-04-19,33.26,33.45,32.4,32.49,620691
2023-04-20,32.11,32.68,31.63,31.63,549603
2023-04-21,31.72,31.72,28.55,30.28,1378681
2023-04-24,30.28,31.15,30.09,30.57,371515
2023-04-25,30.76,30.76,29.8,29.9,550281
2023-04-26,29.8,30.28,29.51,30.18,372697
2023-04-27,30.18,30.67,30.18,30.38,292746
2023-04-28,30.09,30.67,30.09,30.18,321713
2023-05-04,30.18,31.24,29.99,31.15,604890
2023-05-05,31.24,31.24,30.76,30.86,338449
2023-05-08,30.95,31.72,30.95,31.34,406523
2023-05-09,31.63,32.2,31.34,31.72,480255
2023-05-10,32.11,32.11,31.63,31.72,368219
2023-05-11,32.01,32.11,31.43,31.72,404205
2023-05-12,31.72,33.16,31.72,33.07,1033937
2023-05-15,33.07,33.74,32.11,32.3,602413
2023-05-16,32.3,33.65,32.2,32.49,792415
2023-05-17,32.68,32.88,32.3,32.49,487803
2023-05-18,32.59,32.97,32.49,32.78,334237
2023-05-19,32.97,32.97,32.2,32.3,358909
2023-05-22,32.4,35.09,32.4,34.9,1116472
2023-05-23,34.9,35.47,34.7,34.99,356990
2023-05-24,35.28,35.76,34.8,35.09,791936
2023-05-25,35.09,35.95,34.99,35.66,575653
2023-05-26,35.66,35.95,35.38,35.57,381678
2023-05-29,35.57,36.63,35.28,35.66,542423
2023-05-30,35.66,36.34,35.38,36.14,516681
2023-05-31,36.34,36.53,35.09,35.09,515146
2023-06-01,35.09,35.95,35.09,35.95,525816
2023-06-02,36.34,36.34,35.38,35.86,439074
2023-06-05,36.53,36.53,35.66,35.76,265063
2023-06-06,35.95,36.34,35.28,36.24,604369
2023-06-07,36.53,37.11,35.66,36.24,363847
2023-06-08,36.24,36.43,35.09,35.09,874626
2023-06-09,34.99,35.09,34.41,34.41,697481
2023-06-12,34.51,35.09,34.32,34.51,534189
2023-06-13,34.51,35.09,34.51,34.9,212200
2023-06-14,34.9,35.28,34.8,34.8,269673
2023-06-15,34.7,35.95,33.07,35.95,478327
2023-06-16,35.95,36.34,34.7,34.7,397948
2023-06-19,35.09,35.86,34.8,34.99,373176
2023-06-20,35.09,36.05,35.09,35.95,298965
2023-06-21,36.34,37.49,36.14,37.49,1070785
2023-06-22,37.78,37.78,36.82,37.01,310600
2023-06-23,37.01,37.49,36.24,36.43,360205
2023-06-26,36.43,36.63,32.88,35.86,543472
2023-06-27,35.95,36.43,35.66,36.14,248505
2023-06-28,36.05,36.43,35.95,36.14,245601
2023-06-29,36.34,37.3,35.76,36.14,442366
2023-06-30,36.14,36.24,35.95,36.05,193260
2023-07-03,36.14,37.01,36.14,36.43,296315
2023-07-04,36.43,36.72,36.24,36.63,258762
2023-07-05,36.82,38.26,36.82,36.91,841963
2023-07-06,36.91,37.3,36.43,36.72,282077
2023-07-07,36.72,37.3,36.63,37.01,274861
2023-07-10,36.91,38.26,36.82,37.11,399879
2023-07-11,37.49,37.59,36.53,36.72,385215
2023-07-12,36.72,37.39,36.63,36.91,286251
2023-07-13,36.91,37.97,36.82,37.2,250727
2023-07-14,37.49,37.49,36.63,36.72,404909
