time,open,high,low,close,volume
2023-03-30,34.52,35.18,34.43,34.9,1565649
2023-03-31,35.47,35.94,35.32,35.42,2458985
2023-04-03,35.99,35.99,34.99,35.47,1452451
2023-04-04,35.89,35.94,35.51,35.89,1627668
2023-04-05,35.94,36.08,35.7,35.99,966043
2023-04-06,36.13,36.13,35.32,35.32,1259657
2023-04-07,35.32,36.03,35.28,35.65,1153646
2023-04-10,35.84,35.94,35.18,35.28,1303919
2023-04-11,35.28,35.51,34.8,34.95,793575
2023-04-12,34.99,35.37,34.8,34.99,561916
2023-04-13,35.18,35.51,34.99,35.18,580434
2023-04-14,35.28,35.28,34.52,34.52,588315
2023-04-17,34.33,34.52,34.09,34.14,607481
2023-04-18,34.24,34.9,34.24,34.8,492954
2023-04-19,34.95,34.95,34.43,34.43,324936
2023-04-20,34.43,34.61,34.38,34.47,407986
2023-04-21,34.47,34.95,34.43,34.76,573973
2023-04-24,34.8,34.8,34.57,34.76,361009
2023-04-25,34.76,34.8,34.43,34.43,338159
2023-04-26,34.76,34.9,34.43,34.9,489281
2023-04-27,34.99,35.51,34.99,35.42,853140
2023-04-28,35.51,35.75,35.28,35.42,350269
2023-05-04,35.61,35.65,35.18,35.42,662459
2023-05-05,35.61,35.94,35.47,35.75,1144379
2023-05-08,35.89,36.13,35.75,35.75,676867
2023-05-09,35.84,36.08,35.75,35.94,659987
2023-05-10,35.84,35.94,35.47,35.7,627098
2023-05-11,35.7,35.84,35.56,35.7,590115
2023-05-12,35.7,35.7,35.37,35.51,552065
2023-05-15,35.61,35.89,35.47,35.75,695698
2023-05-16,35.7,36.08,35.7,35.99,987603
2023-05-17,35.94,36.03,35.47,35.47,598368
2023-05-18,35.47,35.56,35.23,35.42,446091
2023-05-19,35.7,35.89,35.42,35.56,625167
2023-05-22,35.56,35.89,35.56,35.7,499289
2023-05-23,35.84,35.94,35.42,35.47,553593
2023-05-24,35.51,35.61,35.28,35.28,606559
2023-05-25,35.18,35.56,34.99,35.32,375506
2023-05-26,35.32,36.13,35.32,35.61,737912
2023-05-29,35.65,36.08,35.65,35.84,868705
2023-05-30,36.13,36.13,35.8,35.84,507956
2023-05-31,35.84,35.89,35.42,35.47,950240
2023-06-01,35.42,35.65,35.42,35.42,417118
2023-06-02,35.51,36.41,35.47,36.17,1189394
2023-06-05,36.7,37.31,36.41,36.98,1442179
2023-06-06,36.98,37.22,36.65,36.79,690527
2023-06-07,36.88,36.88,36.27,36.79,1273069
2023-06-08,36.88,37.26,36.22,36.22,541009
2023-06-09,36.13,36.22,35.84,35.94,591277
2023-06-12,35.94,36.13,35.61,35.89,570223
2023-06-13,35.7,35.99,35.65,35.99,420185
2023-06-14,36.22,36.32,35.99,35.99,436764
2023-06-15,35.94,36.6,35.94,36.22,1436676
2023-06-16,36.55,36.55,35.18,35.18,621083
2023-06-19,35.56,35.75,35.18,35.18,750739
2023-06-20,35.18,35.47,34.99,35.18,556311
2023-06-21,35.32,35.47,35.18,35.47,455025
2023-06-22,35.56,35.75,35.51,35.61,381244
2023-06-23,35.65,35.75,35.28,35.47,686755
2023-06-26,35.47,35.65,35.04,35.51,830371
2023-06-27,35.8,36.32,35.65,36.08,859176
2023-06-28,36.36,36.36,35.84,36.03,410237
2023-06-29,36.13,36.13,35.47,35.47,689478
2023-06-30,35.56,35.84,35.32,35.32,444188
2023-07-03,35.51,36.03,35.37,35.61,379269
2023-07-04,35.8,37.69,35.8,37.69,3703966
2023-07-05,38.11,38.63,37.69,38.11,2214796
2023-07-06,37.97,38.78,37.69,38.11,2372197
2023-07-07,38.3,38.59,37.92,38.11,1478909
2023-07-10,38.49,39.53,38.3,39.53,2415584
2023-07-11,39.72,39.77,39.01,39.01,1677648
2023-07-12,39.06,39.67,38.87,39.25,1187672
2023-07-13,39.34,39.53,38.92,39.15,1143117
2023-07-14,39.11,39.34,38.35,38.68,1706389
2023-07-17,38.82,39.3,38.16,38.73,2240171
2023-07-18,39.01,39.06,38.35,38.35,1122551
2023-07-19,38.59,38.63,37.92,37.92,1401703
2023-07-20,37.88,38.11,37.45,37.55,2116820
2023-07-21,37.55,38.49,37.5,38.3,1741395
2023-07-24,38.4,38.68,38.11,38.11,1713518
2023-07-25,38.3,39.01,37.83,38.11,1969771
2023-07-26,38.11,38.49,38.02,38.3,1219492
2023-07-27,38.3,38.49,37.55,37.74,2128074
2023-07-28,37.92,38.02,37.64,37.88,1595657
2023-07-31,38.11,39.25,38.11,39.25,2752199
2023-08-01,39.91,39.91,38.63,38.78,3005161
2023-08-02,39.11,39.11,38.63,38.73,1348043
2023-08-03,38.78,38.87,37.92,37.92,2016664
2023-08-04,38.4,38.4,37.83,38.11,1482472
2023-08-07,38.4,38.49,38.11,38.3,1475174
2023-08-08,38.44,38.92,38.44,38.68,2949646
2023-08-09,38.96,38.96,38.4,38.49,1236142
2023-08-10,38.68,39.63,38.59,38.59,2426641
2023-08-11,38.73,38.96,37.83,38.44,1140355
2023-08-14,38.54,38.59,38.21,38.35,1197172
2023-08-15,38.44,38.44,38.02,38.16,1208223
2023-08-16,38.21,38.54,37.88,38.07,1006317
2023-08-17,38.02,38.16,37.59,37.59,1615948
2023-08-18,37.59,37.74,35.32,35.32,2703256
2023-08-21,35.18,35.8,35.13,35.47,878283
2023-08-22,35.94,35.99,34.99,35.65,1253189
2023-08-23,36.03,36.03,34.9,35.37,1209515
2023-08-24,35.37,35.75,35.37,35.75,583949
2023-08-25,35.75,35.84,35.51,35.51,933995
2023-08-28,35.47,36.32,35.47,36.08,936488
2023-08-29,36.17,36.22,35.94,35.99,798424
2023-08-30,36.22,36.84,36.22,36.32,804114
2023-08-31,36.32,36.55,36.32,36.46,729669
2023-09-05,37.07,37.31,36.88,37.03,1240789
2023-09-06,37.45,37.45,37.07,37.17,743998
2023-09-07,37.26,37.69,37.12,37.22,832586
2023-09-08,37.17,37.55,37.07,37.26,972735
2023-09-11,37.36,38.4,37.36,37.69,2042574
2023-09-12,37.83,38.07,37.55,37.83,685857
2023-09-13,38.11,38.92,37.83,38.11,2267494
2023-09-14,38.4,38.49,37.83,37.83,1097773
2023-09-15,38.26,39.06,37.92,37.97,1806046
2023-09-18,38.44,38.44,36.93,37.45,1405870
2023-09-19,37.64,37.83,37.17,37.74,653178
2023-09-20,37.83,38.4,37.64,38.21,1060515
2023-09-21,38.5,38.69,38.11,38.3,972954
2023-09-22,37.63,38.01,36.57,37.68,1040527
2023-09-25,37.68,37.73,36.09,36.09,1156166
2023-09-26,36.09,36.52,35.71,35.71,1065330
2023-09-27,35.61,35.9,34.65,35.18,1673830
2023-09-28,35.66,36.33,35.42,36.33,1126628
2023-09-29,36.33,36.33,35.75,36.09,435855
2023-10-02,36.09,36.47,35.85,36.09,568386
2023-10-03,35.71,35.8,34.65,34.65,1026654
2023-10-04,33.83,35.03,33.83,34.89,784858
2023-10-05,34.94,34.94,33.11,33.11,1531172
2023-10-06,33.59,34.17,33.06,33.68,2194708
2023-10-09,34.45,34.55,34.12,34.36,1552963
2023-10-10,34.65,34.89,34.6,34.65,1524977
2023-10-11,34.89,35.61,34.74,35.51,1353444
2023-10-12,35.61,36.09,35.18,35.32,1062329
2023-10-13,35.32,35.46,35.13,35.32,1299953
2023-10-16,36.09,36.38,35.42,35.42,1012478
2023-10-17,35.42,35.46,34.65,34.65,1005987
2023-10-18,34.79,34.79,33.15,33.68,1300180
2023-10-19,33.73,34.31,33.59,33.68,593520
2023-10-20,33.83,34.12,33.11,34.07,610773
2023-10-23,34.45,34.5,33.68,34.02,377273
2023-10-24,34.02,34.31,33.78,34.17,303488
2023-10-25,34.12,34.31,33.92,34.02,374121
2023-10-26,33.49,33.78,31.66,31.66,1804106
2023-10-27,31.76,32.24,30.99,31.76,636725
2023-10-30,31.76,32.05,31.61,31.61,267246
2023-10-31,32.05,32.05,30.32,30.7,980950
2023-11-01,30.36,31.28,30.12,31.09,633514
2023-11-02,31.37,32.29,31.37,32.14,768585
2023-11-03,32.19,32.24,31.76,31.86,572145
2023-11-06,32.05,32.19,31.86,32.0,367461
2023-11-07,32.0,32.67,31.76,31.9,482626
2023-11-08,31.95,32.91,31.71,32.91,968669
2023-11-09,33.01,33.2,32.67,32.67,844233
2023-11-10,32.38,32.72,32.1,32.1,745143
2023-11-13,32.24,32.34,31.95,32.1,603847
2023-11-14,32.43,32.48,32.05,32.24,729877
2023-11-15,32.67,33.06,32.53,32.72,1186518
2023-11-16,32.91,33.35,32.72,33.15,791252
2023-11-17,33.2,33.25,32.24,32.24,897879
2023-11-20,31.95,32.58,31.95,32.24,958688
2023-11-21,32.53,32.67,32.24,32.53,911136
2023-11-22,32.58,33.01,32.53,32.77,839265
2023-11-23,32.82,32.91,32.43,32.43,874823
2023-11-24,32.14,32.34,31.76,32.14,778636
2023-11-27,32.14,32.77,32.14,32.34,630515
2023-11-28,32.14,32.43,31.81,32.43,663805
2023-11-29,32.58,34.45,32.58,34.45,3137067
2023-11-30,34.26,34.65,33.78,33.78,818158
2023-12-01,33.78,34.45,33.49,33.88,923930
2023-12-04,34.36,34.45,33.88,34.17,935439
2023-12-05,33.92,34.89,33.92,34.21,885638
2023-12-06,34.02,34.6,34.02,34.55,721089
2023-12-07,34.45,34.45,33.49,33.83,956614
2023-12-08,33.83,34.31,33.78,34.31,629925
2023-12-11,34.55,34.55,33.88,34.31,372426
2023-12-12,34.31,34.36,33.78,34.12,547575
2023-12-13,34.07,34.17,33.4,33.4,939802
2023-12-14,33.68,33.68,32.82,33.06,442388
2023-12-15,33.2,33.44,33.01,33.01,448090
2023-12-18,33.01,33.2,32.63,32.63,352381
2023-12-19,32.72,32.82,32.29,32.67,305008
2023-12-20,32.72,33.2,32.67,33.11,267145
2023-12-21,32.72,32.87,32.72,32.72,358786
2023-12-22,32.82,33.01,32.48,32.53,635929
2023-12-25,32.58,33.4,32.58,33.35,674467
2023-12-26,33.3,33.49,33.15,33.15,782903
2023-12-27,33.4,33.44,33.06,33.15,457274
2023-12-28,33.11,33.4,32.82,33.2,963315
2023-12-29,33.2,33.35,33.11,33.2,523085
2024-01-02,33.3,33.35,33.2,33.25,634812
2024-01-03,33.25,33.59,33.11,33.59,808042
2024-01-04,33.59,33.97,33.59,33.78,1705055
2024-01-05,33.92,34.07,33.78,33.88,1409079
2024-01-08,33.88,34.21,33.68,33.97,1404589
2024-01-09,34.07,34.07,33.35,33.35,498609
2024-01-10,33.49,33.64,33.3,33.54,605412
2024-01-11,33.54,34.12,33.54,34.12,1123425
2024-01-12,34.17,34.21,33.44,33.64,1009605
2024-01-15,33.68,33.88,33.35,33.35,322356
2024-01-16,33.3,33.49,33.3,33.44,311875
2024-01-17,33.64,33.88,33.25,33.25,545724
2024-01-18,33.49,33.49,33.15,33.2,339406
2024-01-19,33.59,33.64,33.4,33.54,588898
2024-01-22,33.59,33.64,33.4,33.44,314639
2024-01-23,33.44,33.68,33.4,33.54,351684
2024-01-24,33.54,33.64,33.3,33.35,348882
2024-01-25,33.44,33.49,33.2,33.2,275454
2024-01-26,33.3,33.49,33.2,33.2,280924
2024-01-29,33.2,33.49,33.2,33.4,384441
2024-01-30,33.4,33.59,33.35,33.44,323918
2024-01-31,33.44,33.49,33.25,33.3,540842
2024-02-01,33.2,33.44,33.2,33.3,394430
2024-02-02,33.49,33.49,33.25,33.3,506928
2024-02-05,33.3,33.49,33.2,33.25,589442
2024-02-06,33.3,33.4,33.25,33.4,359358
2024-02-07,33.4,33.68,33.3,33.44,523842
2024-02-15,33.59,34.17,33.59,33.97,737296
2024-02-16,33.97,34.02,33.68,33.97,517352
2024-02-19,34.02,35.22,34.02,34.89,1887745
2024-02-20,35.13,35.13,34.65,34.74,953097
2024-02-21,34.65,34.79,34.31,34.41,890366
2024-02-22,34.36,34.94,34.31,34.5,1340903
2024-02-23,34.5,34.55,33.78,33.78,1447710
2024-02-26,33.64,33.92,33.59,33.88,444511
2024-02-27,33.97,35.13,33.97,34.31,1008741
2024-02-28,34.55,35.61,34.55,34.84,2211861
2024-02-29,34.94,35.03,34.36,34.5,839625
2024-03-01,34.65,34.74,34.36,34.55,717942
