time,open,high,low,close,volume
2023-03-30,75.32,75.32,73.4,74.26,332077
2023-03-31,74.36,74.93,73.98,74.26,406445
2023-04-03,74.55,74.55,73.12,73.4,759739
2023-04-04,73.6,74.17,72.93,73.21,791471
2023-04-05,73.5,74.36,73.21,73.88,1289643
2023-04-06,74.26,74.46,73.4,73.4,596796
2023-04-07,73.4,73.79,72.93,73.12,337218
2023-04-10,73.21,74.07,73.21,73.79,651095
2023-04-11,74.07,75.79,74.07,75.12,1033008
2023-04-12,75.51,75.51,74.46,74.46,606050
2023-04-13,74.55,74.93,73.5,73.6,408228
2023-04-14,74.17,74.55,73.88,74.17,596792
2023-04-17,74.17,75.41,74.17,74.65,693700
2023-04-18,75.03,75.98,74.36,74.74,944304
2023-04-19,75.03,75.12,74.17,74.55,303835
2023-04-20,75.03,75.03,73.6,73.88,287804
2023-04-21,74.36,74.65,73.21,73.6,399774
2023-04-24,73.4,73.88,73.12,73.12,193538
2023-04-25,73.12,73.6,72.16,72.16,380114
2023-04-26,72.16,72.45,70.73,72.26,649136
2023-04-27,72.54,73.31,71.4,72.35,373742
2023-04-28,72.45,73.6,71.68,73.6,410218
2023-05-04,73.6,73.6,72.64,72.73,269088
2023-05-05,73.4,73.6,72.64,72.83,192014
2023-05-08,72.83,73.12,72.45,72.54,223826
2023-05-09,73.12,73.12,72.07,72.26,196376
2023-05-10,72.26,72.45,71.78,71.87,333337
2023-05-11,71.87,72.45,71.49,71.68,341558
2023-05-12,71.68,71.87,71.11,71.68,353942
2023-05-15,71.68,72.16,71.68,71.87,226347
2023-05-16,71.87,71.97,71.21,71.21,206996
2023-05-17,70.92,71.49,70.92,71.3,196706
2023-05-18,71.3,71.3,70.25,70.25,397728
2023-05-19,70.54,70.54,69.29,69.29,330529
2023-05-22,69.68,69.77,68.82,68.91,284373
2023-05-23,70.06,70.25,68.91,69.01,637786
2023-05-24,69.49,69.49,68.24,68.34,438591
2023-05-25,68.15,68.62,67.86,68.05,389899
2023-05-26,68.72,68.91,68.15,68.82,297133
2023-05-29,68.91,69.2,67.96,68.24,277414
2023-05-30,68.24,68.62,67.76,67.96,498710
2023-05-31,68.05,68.15,67.67,67.76,329619
2023-06-01,67.76,67.96,67.0,67.19,358012
2023-06-02,67.76,69.77,67.29,69.77,780840
2023-06-05,71.01,71.01,69.77,70.44,554838
2023-06-06,69.87,70.15,69.2,69.58,634325
2023-06-07,69.58,69.58,68.72,69.39,768010
2023-06-08,69.39,69.58,68.82,69.01,512975
2023-06-09,69.58,69.58,68.91,69.39,715810
2023-06-12,69.1,69.87,68.81,69.87,580291
2023-06-13,70.16,71.8,70.07,70.64,1437879
2023-06-14,70.64,71.32,70.16,70.16,507740
2023-06-15,70.07,70.84,69.87,70.64,505341
2023-06-16,70.84,71.32,69.97,70.16,1006920
2023-06-19,70.07,70.16,68.62,69.68,865668
2023-06-20,69.68,69.68,68.43,69.68,1045978
2023-06-21,69.58,70.36,69.01,70.16,808067
2023-06-22,70.55,71.8,70.55,71.8,1307053
2023-06-23,71.8,73.15,71.51,73.05,1299420
2023-06-26,72.86,73.63,71.61,73.63,821679
2023-06-27,73.63,73.63,71.8,72.77,798910
2023-06-28,72.77,72.96,71.8,72.09,703220
2023-06-29,72.09,73.05,71.32,72.28,1118045
2023-06-30,72.48,72.48,71.13,72.28,1239871
2023-07-03,72.38,72.38,70.93,71.32,1031904
2023-07-04,71.32,71.51,70.93,71.32,853018
2023-07-05,71.61,72.19,71.03,71.03,1310059
2023-07-06,71.03,71.22,69.97,69.97,1153946
2023-07-07,69.97,70.55,69.2,69.2,1311175
2023-07-10,71.03,71.22,69.68,71.03,1086041
2023-07-11,71.03,72.09,71.03,71.8,1310510
2023-07-12,71.99,71.99,71.13,71.13,921399
2023-07-13,71.51,75.27,71.42,75.17,3898651
2023-07-14,77.3,77.3,75.08,75.66,1448549
2023-07-17,75.95,77.68,75.56,77.39,2522839
2023-07-18,76.91,77.49,76.14,76.81,1036054
2023-07-19,76.81,76.91,75.66,75.75,1019085
2023-07-20,75.85,76.04,75.17,76.04,701852
2023-07-21,76.33,77.78,75.85,77.1,1051223
2023-07-24,77.2,77.58,76.04,76.43,1349278
2023-07-25,76.62,78.07,76.14,77.58,1919410
2023-07-26,77.58,79.03,77.2,78.84,1612934
2023-07-27,78.84,78.84,77.3,77.97,989120
2023-07-28,78.26,79.8,78.26,79.61,1273162
2023-07-31,79.8,81.05,79.32,79.99,1247494
2023-08-01,79.9,80.38,78.07,78.07,2547760
2023-08-02,78.07,78.55,77.2,78.55,435738
2023-08-03,78.55,79.13,77.49,78.36,556610
2023-08-04,78.36,78.64,77.3,77.87,1238069
2023-08-07,77.97,79.22,77.68,79.22,619217
2023-08-08,79.61,79.61,77.97,78.45,579264
2023-08-09,78.45,78.45,77.39,77.39,597142
2023-08-10,77.39,77.58,76.04,76.14,1186133
2023-08-11,76.33,77.68,76.14,76.52,569664
2023-08-14,77.1,77.1,76.23,76.52,519997
2023-08-15,76.43,76.52,75.46,76.14,714614
