time,open,high,low,close,volume
2023-03-30,15.23,15.23,15.23,15.23,3200
2023-03-31,15.32,15.32,15.03,15.32,4429
2023-04-03,16.09,16.09,15.03,15.9,680
2023-04-04,15.9,15.9,15.9,15.9,0
2023-04-05,15.23,16.19,15.23,16.19,267
2023-04-06,15.13,16.38,14.74,16.38,1100
2023-04-07,15.61,15.61,15.61,15.61,200
2023-04-10,15.61,15.61,15.61,15.61,395
2023-04-11,15.61,15.61,15.61,15.61,172
2023-04-12,15.61,15.61,15.61,15.61,904
2023-04-13,15.61,15.71,15.61,15.71,2200
2023-04-14,15.03,15.03,15.03,15.03,100
2023-04-17,15.03,15.03,15.03,15.03,0
2023-04-18,15.03,15.03,15.03,15.03,0
2023-04-19,15.42,15.42,14.84,14.84,13046
2023-04-20,14.84,14.84,14.74,14.74,200
2023-04-21,15.23,15.42,15.23,15.42,1100
2023-04-24,15.42,15.42,15.42,15.42,0
2023-04-25,15.42,15.42,15.42,15.42,0
2023-04-26,14.65,15.71,14.65,15.71,4300
2023-04-27,14.65,15.8,14.65,15.8,251
2023-04-28,15.71,15.71,14.84,14.84,10000
2023-05-04,14.84,14.84,14.84,14.84,0
2023-05-05,14.55,15.9,14.55,15.9,200
2023-05-08,15.13,15.13,14.55,14.55,1101
2023-05-09,14.55,15.32,14.55,15.32,1600
2023-05-10,15.32,15.32,15.32,15.32,0
2023-05-11,14.55,15.23,14.55,15.23,200
2023-05-12,15.23,15.32,15.13,15.13,2610
2023-05-15,15.61,15.61,15.61,15.61,130
2023-05-16,14.94,16.38,14.94,16.38,4017
2023-05-17,16.19,16.19,15.42,15.42,331
2023-05-18,15.42,15.42,15.42,15.42,100
2023-05-19,15.03,16.19,14.74,14.94,7100
2023-05-22,15.23,15.23,14.84,15.13,933
2023-05-23,15.9,15.9,15.52,15.8,2600
2023-05-24,16.29,16.29,14.94,16.0,4100
2023-05-25,15.9,16.09,15.42,16.0,1918
2023-05-26,16.09,16.09,14.74,16.09,3700
2023-05-29,16.0,17.64,15.13,17.64,10510
2023-05-30,17.35,19.27,17.35,18.98,5566
2023-05-31,19.37,20.82,19.27,20.82,5306
2023-06-01,20.91,20.91,19.76,20.82,2600
2023-06-02,19.56,20.53,18.89,18.89,4400
2023-06-05,18.79,19.37,17.06,19.37,4100
2023-06-06,17.54,18.98,17.44,17.44,1300
2023-06-07,19.08,19.18,19.08,19.18,6000
2023-06-08,20.04,20.72,17.44,19.66,4600
2023-06-09,19.76,20.82,19.56,20.43,8800
2023-06-12,21.49,21.78,20.43,20.43,2720
2023-06-13,20.91,20.91,19.95,19.95,2508
2023-06-14,20.14,20.24,19.66,20.24,300
2023-06-15,20.43,21.01,20.43,21.01,2627
2023-06-16,20.82,20.82,19.95,20.82,509
2023-06-19,20.24,20.24,20.24,20.24,100
2023-06-20,20.43,20.82,20.43,20.82,700
2023-06-21,20.82,20.82,20.82,20.82,1
2023-06-22,20.82,21.78,19.37,21.68,1600
2023-06-23,20.82,21.01,20.82,21.01,1700
2023-06-26,20.14,20.14,20.04,20.04,2500
2023-06-27,20.04,20.04,19.76,19.76,400
2023-06-28,19.27,19.76,19.27,19.56,1900
2023-06-29,19.47,19.47,18.79,18.79,12356
2023-06-30,17.54,18.41,17.54,18.31,8500
2023-07-03,18.31,18.31,18.31,18.31,100
2023-07-04,17.64,18.31,17.54,18.31,800
2023-07-05,17.35,18.12,17.35,18.12,200
2023-07-06,17.44,17.73,17.44,17.73,270
2023-07-07,17.73,18.21,17.44,18.21,8900
2023-07-10,18.21,18.21,18.12,18.21,6716
2023-07-11,18.31,18.89,17.73,17.73,2001
2023-07-12,17.92,17.92,17.54,17.54,300
2023-07-13,17.64,18.21,17.64,18.21,300
2023-07-14,18.31,18.6,18.31,18.6,463
2023-07-17,18.7,18.79,17.64,17.64,2280
2023-07-18,18.02,18.02,17.83,17.83,926
2023-07-19,17.92,18.12,17.92,18.12,330
2023-07-20,17.83,18.21,17.15,18.21,7800
2023-07-21,17.73,18.21,17.73,17.92,600
2023-07-24,17.92,18.5,17.54,17.54,5051
2023-07-25,18.12,19.08,17.64,19.08,1310
2023-07-26,18.8,19.2,18.8,18.8,433
2023-07-27,18.3,18.8,18.0,18.8,2299
2023-07-28,18.8,18.8,18.8,18.8,12
2023-07-31,18.8,19.3,18.8,19.1,2616
2023-08-01,18.9,19.39,17.7,18.0,3700
2023-08-02,18.0,18.7,18.0,18.7,10108
2023-08-03,18.5,18.6,18.5,18.6,600
2023-08-04,18.7,18.7,18.7,18.7,100
2023-08-07,17.9,18.8,17.9,18.7,4545
2023-08-08,17.9,19.0,17.8,19.0,5800
2023-08-09,19.0,19.3,18.7,19.1,1200
2023-08-10,18.9,18.9,18.9,18.9,600
2023-08-11,19.0,19.2,19.0,19.0,503
2023-08-14,19.0,19.0,19.0,19.0,64
2023-08-15,18.4,19.2,18.0,19.2,1600
2023-08-16,18.4,19.0,18.4,18.7,2950
2023-08-17,18.6,18.7,18.6,18.6,3221
2023-08-18,18.8,19.0,18.0,18.0,3600
2023-08-21,18.0,18.0,18.0,18.0,16
2023-08-22,18.0,18.8,18.0,18.4,573
2023-08-23,18.4,18.4,18.4,18.4,200
2023-08-24,18.0,18.5,17.9,18.5,808
2023-08-25,18.4,18.8,18.4,18.8,1003
2023-08-28,18.8,18.8,18.8,18.8,44
2023-08-29,18.8,18.9,18.8,18.9,1800
2023-08-30,18.9,18.9,18.8,18.8,300
2023-08-31,18.1,18.5,18.0,18.5,1200
2023-09-05,18.0,18.5,18.0,18.5,1304
2023-09-06,18.5,18.5,18.5,18.5,725
2023-09-07,18.5,18.5,18.5,18.5,8
2023-09-08,18.5,18.5,18.5,18.5,632
2023-09-11,18.9,18.9,18.9,18.9,400
2023-09-12,17.9,17.9,17.9,17.9,2000
2023-09-13,17.7,18.7,17.6,17.8,2418
2023-09-14,17.9,18.3,17.41,17.5,6300
2023-09-15,16.41,17.6,16.41,17.5,3400
2023-09-18,17.5,17.9,17.5,17.9,900
2023-09-19,18.3,18.3,16.91,17.21,3300
2023-09-20,16.91,17.7,16.91,17.7,1900
2023-09-21,17.7,17.7,17.7,17.7,800
2023-09-22,16.81,17.41,16.71,17.41,1600
2023-09-25,16.61,17.11,16.21,17.11,4400
2023-09-26,16.41,16.41,15.62,15.81,4552
2023-09-27,16.01,16.21,14.32,16.21,12500
2023-09-28,14.62,15.02,14.62,15.02,1800
2023-09-29,14.92,15.32,14.52,14.62,7800
2023-10-02,14.92,15.12,14.42,15.12,903
