time,open,high,low,close,volume,close_t0,close_t1,close_t2,close_t3,close_t4,close_t5,close_t6,coef_close_t0_to_close_t6,ground_truth
2023-03-30,9.89,9.89,9.54,9.54,20550,1.0,1.0,1.0,1.036687631027254,1.088050314465409,1.0073375262054507,1.0,0.0036687631027253705,sideways
2023-03-31,9.47,9.54,9.47,9.54,36300,1.0,1.0,1.036687631027254,1.088050314465409,1.0073375262054507,1.0,1.0440251572327046,0.003668763102725377,sideways
2023-04-03,9.54,9.54,9.54,9.54,58258,1.0,1.036687631027254,1.088050314465409,1.0073375262054507,1.0,1.0440251572327046,1.036687631027254,0.0013102725366876467,sideways
2023-04-04,9.75,9.89,9.47,9.89,480200,1.0,1.0495449949443882,0.9716885743174923,0.9646107178968654,1.0070778564206269,1.0,0.9787664307381192,-0.004550050556117298,down
2023-04-05,9.89,10.45,9.89,10.38,61571,1.0,0.9258188824662812,0.9190751445086703,0.9595375722543352,0.9527938342967245,0.932562620423892,0.932562620423892,-0.0055394990366088555,down
2023-04-06,10.74,10.74,9.61,9.61,88710,1.0,0.9927159209157128,1.0364203954214362,1.029136316337149,1.0072840790842872,1.0072840790842872,0.9927159209157128,-0.0007804370447450634,sideways
2023-04-07,9.68,9.68,9.39,9.54,165418,1.0,1.0440251572327046,1.036687631027254,1.0146750524109016,1.0146750524109016,1.0,1.0073375262054507,-0.003144654088050337,sideways
2023-04-10,9.47,10.24,9.39,9.96,508044,1.0,0.9929718875502008,0.9718875502008031,0.9718875502008031,0.9578313253012046,0.9648594377510039,0.9718875502008031,-0.005522088353413679,down
2023-04-11,10.45,10.45,9.68,9.89,75533,1.0,0.9787664307381192,0.9787664307381192,0.9646107178968654,0.9716885743174923,0.9787664307381192,0.9858442871587462,-0.0017694641051567265,sideways
2023-04-12,9.89,9.89,9.47,9.68,115100,1.0,1.0,0.9855371900826446,0.9927685950413223,1.0,1.0072314049586777,0.9927685950413223,0.0002582644628099174,sideways
