time,open,high,low,close,volume
2023-03-30,36.43,37.88,36.38,37.88,452645
2023-03-31,37.88,39.42,37.88,39.1,685290
2023-04-03,39.1,39.87,38.97,39.74,477400
2023-04-04,39.47,39.87,39.06,39.74,797110
2023-04-05,39.74,39.92,37.93,39.42,1331069
2023-04-06,39.42,39.47,37.97,37.97,367377
2023-04-07,37.83,38.42,37.83,38.15,124464
2023-04-10,38.06,38.33,37.83,37.88,243422
2023-04-11,38.06,38.47,37.7,38.11,137867
2023-04-12,38.06,38.7,38.02,38.7,279718
2023-04-13,38.7,39.1,38.38,38.47,284065
2023-04-14,38.74,41.1,38.56,39.74,1365176
2023-04-17,39.6,39.6,39.01,39.1,237300
2023-04-18,39.33,39.33,38.97,39.24,218720
2023-04-19,39.06,39.24,38.65,38.65,293829
2023-04-20,38.51,38.56,37.88,38.06,127466
2023-04-21,38.06,39.06,37.88,38.33,170255
2023-04-24,38.51,38.51,37.97,38.33,140110
2023-04-25,38.15,38.51,38.11,38.33,84328
2023-04-26,38.15,38.79,38.02,38.42,64760
2023-04-27,38.42,39.51,38.42,39.42,237974
2023-04-28,39.51,40.05,39.19,39.69,238639
2023-05-04,39.69,40.05,38.97,38.97,199283
2023-05-05,38.97,39.51,38.7,39.42,175974
2023-05-08,39.74,41.32,39.42,41.32,734934
2023-05-09,41.32,41.55,40.92,41.1,235266
2023-05-10,41.41,41.41,41.01,41.01,194202
2023-05-11,41.01,42.32,41.01,41.82,538775
2023-05-12,41.78,42.82,41.41,42.59,564068
2023-05-15,42.95,43.0,41.69,42.14,188002
2023-05-16,42.14,42.14,41.64,41.69,147025
2023-05-17,41.69,42.14,41.55,41.69,240829
2023-05-18,41.73,41.78,41.5,41.55,52966
2023-05-19,41.55,41.78,41.46,41.78,81325
2023-05-22,41.78,42.05,41.46,41.87,148071
2023-05-23,41.96,43.5,41.96,42.59,745717
2023-05-24,42.88,42.88,41.93,42.4,193849
2023-05-25,42.22,42.22,41.55,42.03,95234
2023-05-26,41.51,43.26,41.36,41.46,291206
2023-05-29,42.55,42.55,41.46,42.5,152777
2023-05-30,42.5,42.5,42.12,42.22,249977
2023-05-31,42.26,44.2,42.12,43.92,450427
2023-06-01,44.01,44.35,43.54,43.92,217615
2023-06-02,43.97,44.68,43.92,44.68,391923
2023-06-05,44.96,46.57,44.68,46.1,541019
2023-06-06,46.48,46.48,46.0,46.38,196981
2023-06-07,46.85,46.95,45.77,46.0,392241
2023-06-08,46.0,46.0,45.06,45.06,441642
2023-06-09,45.01,45.91,44.49,45.91,216868
2023-06-12,45.91,46.85,45.81,46.05,352367
2023-06-13,46.38,46.38,45.43,45.91,298831
2023-06-14,45.91,45.95,45.24,45.86,108203
2023-06-15,45.43,45.77,45.24,45.39,87903
2023-06-16,45.39,45.67,44.96,44.96,275034
2023-06-19,44.96,45.24,44.77,45.24,224700
2023-06-20,45.1,45.29,44.82,45.29,123550
2023-06-21,45.29,45.81,44.96,45.77,502431
2023-06-22,46.14,46.29,45.77,45.86,279563
2023-06-23,45.86,46.0,45.58,45.67,530802
2023-06-26,45.62,45.67,44.68,45.2,149035
2023-06-27,45.58,46.0,45.34,45.91,387064
2023-06-28,46.1,46.85,46.0,46.29,563266
2023-06-29,46.33,46.33,44.91,45.1,713553
2023-06-30,45.15,45.29,44.77,45.01,171474
2023-07-03,45.39,45.39,44.91,44.96,216822
2023-07-04,45.15,45.34,44.96,45.29,249064
2023-07-05,45.53,46.24,45.34,46.0,836923
2023-07-06,46.14,49.22,46.14,49.22,2418009
2023-07-07,49.31,51.59,49.31,51.11,862000
2023-07-10,51.02,51.3,49.03,50.17,3525690
2023-07-11,50.26,51.59,49.41,51.59,1339425
2023-07-12,51.11,51.68,50.07,50.73,563462
2023-07-13,50.73,51.59,50.17,51.59,861308
2023-07-14,51.11,51.96,49.98,51.02,704546
2023-07-17,51.02,51.02,49.98,50.64,658729
2023-07-18,50.92,50.92,49.6,49.98,626210
2023-07-19,49.98,50.17,48.46,49.98,1081782
2023-07-20,49.88,49.88,48.94,49.03,432671
2023-07-21,49.13,50.55,49.13,49.69,398077
2023-07-24,50.07,50.36,49.41,50.17,483107
2023-07-25,50.45,50.45,49.22,49.79,340140
2023-07-26,49.79,50.17,49.41,49.69,307124
2023-07-27,49.69,49.98,48.56,48.75,613893
2023-07-28,48.46,49.31,48.46,49.03,332648
2023-07-31,49.13,50.64,49.03,50.64,891961
2023-08-01,50.64,51.02,48.75,49.98,934318
2023-08-02,49.69,50.83,49.69,50.45,591859
2023-08-03,50.17,51.78,50.17,51.11,797178
