time,open,high,low,close,volume
2023-03-30,20.35,20.5,20.1,20.1,2743374
2023-03-31,20.3,20.4,19.95,20.3,3107061
2023-04-03,21.2,21.2,20.85,21.15,6944500
2023-04-04,21.3,21.35,21.1,21.1,3262577
2023-04-05,21.15,21.75,21.15,21.4,3287925
2023-04-06,21.4,21.45,21.0,21.0,4419901
2023-04-07,20.9,21.05,20.7,20.8,3540277
2023-04-10,21.2,21.25,20.7,20.8,2633628
2023-04-11,20.8,21.5,20.8,21.15,5891650
2023-04-12,21.4,21.65,21.0,21.15,3711778
2023-04-13,21.45,21.85,21.0,21.0,7705253
2023-04-14,21.2,21.35,20.5,20.5,6249979
2023-04-17,20.5,20.65,20.3,20.35,2579158
2023-04-18,20.45,20.6,20.4,20.6,2232840
2023-04-19,20.65,20.8,20.45,20.6,1941123
2023-04-20,20.6,20.6,20.3,20.5,2046070
2023-04-21,20.5,20.65,20.3,20.3,2447802
2023-04-24,20.3,20.4,20.15,20.4,1122659
2023-04-25,20.55,20.7,20.3,20.5,1661096
2023-04-26,20.6,20.7,20.2,20.7,1789212
2023-04-27,20.9,21.3,20.75,20.75,3846530
2023-04-28,20.8,21.15,20.75,20.95,2351848
2023-05-04,20.6,20.7,20.3,20.3,3020771
2023-05-05,20.35,20.55,20.35,20.55,1608314
2023-05-08,20.85,21.45,20.7,21.2,5217246
2023-05-09,21.2,22.4,21.2,21.9,11285114
2023-05-10,21.9,22.1,21.8,21.85,3568655
2023-05-11,21.95,23.0,21.95,22.3,8785736
2023-05-12,22.3,22.6,22.05,22.45,3955378
2023-05-15,22.55,22.6,21.85,21.85,7370315
2023-05-16,22.2,22.75,22.05,22.35,5486476
2023-05-17,22.4,22.6,21.9,21.95,4406050
2023-05-18,22.1,22.7,21.95,22.4,5803707
2023-05-19,22.7,23.7,22.7,23.45,11789033
2023-05-22,23.9,24.0,23.5,23.6,4312844
2023-05-23,23.7,24.1,23.25,23.8,6587943
2023-05-24,24.0,24.0,23.4,23.4,4213629
2023-05-25,23.4,24.3,22.85,23.95,10043708
2023-05-26,24.1,24.1,23.75,23.85,4044263
2023-05-29,24.05,24.2,23.6,23.7,5469313
2023-05-30,23.75,24.1,23.65,24.05,5380245
2023-05-31,24.0,24.4,23.8,24.2,6587658
2023-06-01,24.0,24.05,23.65,23.9,4035364
2023-06-02,24.1,24.4,23.8,24.3,5939812
2023-06-05,24.9,24.9,24.15,24.2,5164186
2023-06-06,24.2,24.65,23.95,24.2,3726793
2023-06-07,24.3,24.5,24.1,24.45,3701925
2023-06-08,24.9,24.95,23.65,23.65,6269016
2023-06-09,23.65,23.75,23.05,23.6,5402138
2023-06-12,23.55,23.6,23.0,23.4,4830599
2023-06-13,23.4,23.85,23.3,23.85,3984954
2023-06-14,24.0,24.15,23.4,23.4,3421163
2023-06-15,23.3,24.4,23.3,24.4,7136451
2023-06-16,24.65,24.65,23.85,23.85,5869684
2023-06-19,23.9,24.4,23.8,24.0,4909661
2023-06-20,24.2,24.6,23.9,24.45,3751421
2023-06-21,24.6,25.3,24.45,24.9,8039021
2023-06-22,25.05,25.5,24.75,25.0,6775298
2023-06-23,24.9,25.0,24.0,24.15,13812023
2023-06-26,24.2,24.5,23.8,24.5,5571128
2023-06-27,24.7,25.3,24.5,24.75,4165044
2023-06-28,24.9,24.95,24.4,24.6,3332149
2023-06-29,24.8,24.9,24.5,24.5,5796843
2023-06-30,24.5,24.6,24.3,24.5,2742114
2023-07-03,24.65,24.95,24.45,24.85,3061974
2023-07-04,24.9,25.95,24.75,25.85,10160616
2023-07-05,25.8,25.9,25.5,25.5,3886860
2023-07-06,25.5,25.65,24.6,25.0,6607155
2023-07-07,24.8,25.05,24.6,24.85,3912286
2023-07-10,25.3,25.45,24.85,24.9,6555201
2023-07-11,25.0,25.2,24.8,24.85,4753895
2023-07-12,25.05,25.45,25.0,25.25,4256476
2023-07-13,25.45,25.65,25.1,25.3,3777811
2023-07-14,25.3,25.55,24.85,25.15,5146896
2023-07-17,25.2,25.7,25.0,25.45,5521251
2023-07-18,25.6,25.9,25.3,25.35,3227633
2023-07-19,25.45,25.45,24.8,24.95,5834548
2023-07-20,25.0,25.0,24.55,24.8,3245030
2023-07-21,24.9,25.15,24.8,25.1,2391066
2023-07-24,25.3,26.0,25.15,25.7,6761315
2023-07-25,25.9,25.9,25.4,25.7,3928889
2023-07-26,25.7,26.1,25.5,25.9,5118105
2023-07-27,26.05,26.25,25.45,25.8,5199382
2023-07-28,25.85,26.7,25.75,26.45,8432246
2023-07-31,26.85,26.85,26.2,26.2,5284656
2023-08-01,26.25,26.4,25.5,25.5,6489572
2023-08-02,25.55,26.05,25.3,25.9,5484200
2023-08-03,25.85,25.85,25.2,25.2,5288029
2023-08-04,25.45,26.1,25.15,25.85,5327829
2023-08-07,26.05,26.05,25.7,25.9,3599900
2023-08-08,26.25,26.6,26.0,26.1,7496579
2023-08-09,26.1,26.15,25.65,25.8,3561151
2023-08-10,26.05,26.35,25.55,25.65,3942309
2023-08-11,25.85,25.85,25.15,25.5,4386412
2023-08-14,25.65,25.75,25.4,25.65,3990993
2023-08-15,25.85,25.85,25.55,25.55,3108478
2023-08-16,25.8,26.35,25.6,25.75,6297954
2023-08-17,25.7,25.9,25.5,25.5,4704807
2023-08-18,25.45,25.6,23.75,23.75,7335980
2023-08-21,23.55,24.55,23.5,24.0,4264843
2023-08-22,24.1,24.25,22.85,24.0,3226299
2023-08-23,24.0,24.35,23.6,24.3,2303903
2023-08-24,24.1,24.5,24.0,24.5,2346366
2023-08-25,24.45,24.75,24.15,24.65,2660586
2023-08-28,24.85,24.85,24.5,24.6,2073915
2023-08-29,24.9,25.2,24.65,25.1,4242493
2023-08-30,25.1,25.2,24.8,25.1,1502567
2023-08-31,25.2,25.5,25.0,25.5,4282099
2023-09-05,26.1,26.25,25.8,25.9,5416191
2023-09-06,26.15,26.3,25.85,26.05,4264661
2023-09-07,26.1,26.6,25.75,26.5,8396667
2023-09-08,26.5,26.6,26.25,26.45,4072444
2023-09-11,26.6,27.2,26.0,26.0,8479718
2023-09-12,26.05,26.45,25.85,26.45,3619168
2023-09-13,26.7,27.15,26.25,26.5,6801134
2023-09-14,26.3,27.1,26.25,26.8,6530575
2023-09-15,27.1,28.2,27.0,27.2,6374553
2023-09-18,27.0,27.5,26.55,26.65,3912319
2023-09-19,26.8,27.0,26.1,26.65,3897772
2023-09-20,26.75,27.05,26.75,27.0,3096814
2023-09-21,27.2,27.2,26.5,26.5,3449512
2023-09-22,26.05,26.15,24.9,25.45,7739815
2023-09-25,25.45,26.05,24.0,24.0,3627641
2023-09-26,24.15,24.95,23.7,24.0,3502471
2023-09-27,24.25,25.2,23.95,25.2,3116077
2023-09-28,25.5,26.15,25.1,26.15,4508435
2023-09-29,26.2,26.3,25.6,25.8,2401996
2023-10-02,25.8,26.5,25.4,26.0,2761328
2023-10-03,25.55,25.55,24.5,24.55,3546427
2023-10-04,24.4,25.75,24.2,25.45,3613233
2023-10-05,25.3,26.3,25.25,25.85,5527360
2023-10-06,25.95,25.95,25.2,25.8,2153774
2023-10-09,26.5,26.9,26.35,26.5,5720609
2023-10-10,26.6,26.75,26.1,26.2,5479793
2023-10-11,26.1,28.0,26.1,27.8,15298076
2023-10-12,27.6,28.6,27.6,28.0,9749188
2023-10-13,27.8,28.7,27.7,28.45,8018585
2023-10-16,28.95,29.9,28.4,28.7,11824269
2023-10-17,28.8,28.85,27.0,27.0,7676279
2023-10-18,27.4,28.2,26.35,27.8,13620578
2023-10-19,27.7,28.3,27.5,27.8,7224080
2023-10-20,28.0,28.3,26.65,28.3,8848267
2023-10-23,28.25,28.25,27.0,27.9,6587161
