time,open,high,low,close,volume
2023-03-30,42.13,43.71,42.13,43.27,4178
2023-03-31,42.39,46.71,42.39,45.83,47100
2023-04-03,44.24,45.74,43.8,44.77,6623
2023-04-04,44.16,44.16,42.39,42.39,17662
2023-04-05,42.48,44.86,42.48,43.19,22072
2023-04-06,38.87,44.07,38.87,42.83,13850
2023-04-07,42.83,43.45,42.83,42.92,8496
2023-04-10,42.92,43.54,42.92,43.45,17664
2023-04-11,43.36,43.45,43.19,43.45,14300
2023-04-12,43.19,43.63,43.1,43.1,1462
2023-04-13,43.54,43.54,42.57,43.36,9300
2023-04-14,42.48,43.19,42.3,43.19,20301
2023-04-17,42.39,43.1,42.3,43.1,11900
2023-04-18,43.1,43.54,42.39,43.01,1801
2023-04-19,42.57,43.19,42.57,43.01,1735
2023-04-20,43.01,43.1,43.01,43.01,14600
2023-04-21,43.01,43.1,43.01,43.1,13034
2023-04-24,43.1,43.54,43.1,43.54,4692
2023-04-25,42.57,43.8,42.57,43.19,13553
2023-04-26,42.66,43.54,42.66,43.27,8900
2023-04-27,42.75,44.95,42.75,44.95,42461
2023-04-28,43.27,44.95,43.19,44.07,49150
2023-05-04,44.07,44.95,43.63,44.07,7808
2023-05-05,43.27,44.6,43.27,43.89,2906
2023-05-08,43.01,43.98,43.01,43.89,1816
2023-05-09,43.89,43.89,43.19,43.19,4600
2023-05-10,42.92,44.07,42.92,43.27,6152
2023-05-11,43.27,43.98,42.83,43.1,22504
2023-05-12,42.83,43.1,42.57,42.66,43952
2023-05-15,44.07,44.07,42.66,42.75,3930
2023-05-16,42.57,43.89,42.48,42.75,4516
2023-05-17,42.13,43.36,42.13,42.75,59391
2023-05-18,42.83,43.71,42.83,43.19,41002
2023-05-19,42.83,44.95,42.83,44.95,27880
2023-05-22,43.27,45.65,43.1,44.07,11260
2023-05-23,43.1,44.95,43.1,44.07,6462
2023-05-24,43.36,44.07,43.27,43.71,2331
2023-05-25,43.19,43.54,43.01,43.54,12490
2023-05-26,43.01,43.54,42.83,43.54,7012
2023-05-29,43.19,43.98,43.19,43.54,1500
2023-05-30,43.27,43.54,43.01,43.27,16100
2023-05-31,43.01,44.95,43.01,44.51,31900
2023-06-01,44.42,44.42,43.1,43.63,28762
2023-06-02,43.19,44.51,39.31,43.98,38856
2023-06-05,43.45,44.07,42.92,43.19,3450
2023-06-06,42.92,43.63,42.57,43.19,54202
2023-06-07,42.83,44.07,42.75,44.07,31952
2023-06-08,43.1,44.51,42.75,44.07,88264
2023-06-09,43.01,43.89,43.01,43.63,4200
2023-06-12,43.19,43.54,42.75,43.1,6800
2023-06-13,42.75,43.36,42.75,43.36,16750
2023-06-14,42.83,43.71,42.83,42.83,15074
2023-06-15,42.75,43.71,42.75,42.75,1211
2023-06-16,42.75,43.63,42.57,42.92,9885
2023-06-19,42.92,42.92,42.48,42.92,4492
2023-06-20,42.92,43.36,42.92,43.36,16100
2023-06-21,42.83,43.45,42.83,43.19,1508
2023-06-22,43.1,43.54,43.01,43.54,3851
2023-06-23,43.45,43.45,42.66,42.83,13154
2023-06-26,42.83,43.45,42.3,43.1,9101
2023-06-27,43.1,43.1,42.75,43.1,16563
2023-06-28,43.1,43.63,43.01,43.63,11912
2023-06-29,43.71,44.51,42.83,43.63,12809
2023-06-30,43.71,44.07,42.92,43.8,23152
2023-07-03,43.8,43.8,42.75,42.75,17516
2023-07-04,43.19,43.19,42.66,42.66,13428
2023-07-05,42.75,43.36,42.39,43.1,19100
2023-07-06,42.66,43.01,42.3,43.01,10900
2023-07-07,43.01,43.1,42.22,42.92,2204
2023-07-10,43.1,43.19,42.75,42.75,31259
2023-07-11,42.83,42.83,42.48,42.75,57628
2023-07-12,42.75,43.01,42.66,42.83,126166
2023-07-13,42.83,43.19,42.83,43.01,210605
2023-07-14,43.01,43.27,43.01,43.19,59091
2023-07-17,43.19,44.07,43.19,43.98,49198
2023-07-18,43.89,45.83,43.8,45.65,266530
2023-07-19,44.68,50.15,44.51,50.15,287679
2023-07-20,47.5,51.12,46.54,51.12,445931
2023-07-21,51.12,51.12,47.59,49.27,102059
2023-07-24,47.95,48.21,47.15,47.33,75601
2023-07-25,46.8,47.59,46.71,47.59,101473
2023-07-26,47.59,49.27,47.24,47.5,39310
2023-07-27,47.5,47.5,46.36,46.45,65206
2023-07-28,45.21,47.5,45.21,47.42,72364
2023-07-31,47.42,48.47,46.8,48.47,85719
2023-08-01,48.47,48.47,43.63,45.12,1028063
2023-08-02,45.04,46.18,44.07,45.65,19673
2023-08-03,45.65,45.65,43.19,43.98,121564
2023-08-04,43.63,44.07,43.36,43.36,53270
2023-08-07,44.07,44.24,43.36,43.8,65600
2023-08-08,43.54,43.89,43.36,43.89,57902
2023-08-09,43.89,43.98,43.63,43.8,44152
2023-08-10,43.89,44.07,43.45,43.63,59537
2023-08-11,43.63,43.71,43.19,43.54,47712
2023-08-14,43.54,44.07,43.19,44.07,93370
2023-08-15,44.33,44.42,43.98,44.33,50466
2023-08-16,43.71,44.42,43.71,44.33,135500
2023-08-17,44.33,44.33,43.89,44.07,60014
2023-08-18,43.89,43.89,42.57,42.75,75175
2023-08-21,42.75,42.75,42.22,42.66,54850
2023-08-22,43.54,43.54,42.39,43.01,21579
2023-08-23,42.75,43.8,42.75,43.1,47332
2023-08-24,42.83,43.71,42.83,43.71,22920
2023-08-25,43.71,43.71,42.92,43.45,43911
2023-08-28,43.63,43.71,42.75,42.75,30514
2023-08-29,43.27,44.33,42.75,43.19,55201
2023-08-30,43.01,43.54,42.83,43.36,39103
2023-08-31,43.36,44.24,43.19,43.27,97696
2023-09-05,43.36,43.98,43.27,43.63,54793
2023-09-06,43.8,45.21,43.63,45.21,155230
2023-09-07,45.65,47.24,44.42,45.12,136401
2023-09-08,44.95,46.62,44.6,45.48,104760
2023-09-11,46.01,46.01,44.68,45.12,162912
2023-09-12,45.12,45.92,44.86,45.65,111056
2023-09-13,45.83,45.83,45.12,45.57,76686
2023-09-14,46.01,46.01,44.68,45.39,78240
2023-09-15,45.39,45.57,44.68,44.95,50960
2023-09-18,44.68,45.57,44.16,44.6,22900
2023-09-19,44.95,45.12,43.71,44.77,94427
2023-09-20,44.6,44.95,44.16,44.86,20551
2023-09-21,44.86,44.95,44.07,44.95,61261
2023-09-22,44.68,44.77,43.89,44.51,73700
2023-09-25,44.51,44.95,42.92,43.19,118731
2023-09-26,42.83,44.07,42.83,43.89,72202
2023-09-27,43.89,44.07,42.83,43.19,136423
2023-09-28,44.12,44.12,42.43,43.84,71500
2023-09-29,43.28,44.03,42.72,43.94,47708
