time,open,high,low,close,volume
2023-03-30,24.47,24.66,24.18,24.37,3213691
2023-03-31,24.47,24.76,24.37,24.47,3783733
2023-04-03,25.04,25.81,25.04,25.43,6092707
2023-04-04,25.53,25.81,25.24,25.33,4803216
2023-04-05,25.33,25.81,25.24,25.43,5862327
2023-04-06,23.89,25.62,23.89,24.76,5587133
2023-04-07,24.76,25.04,24.66,24.95,3550524
2023-04-10,24.66,25.33,24.66,24.76,4041966
2023-04-11,24.66,25.43,24.56,25.14,6820712
2023-04-12,25.33,25.62,25.14,25.14,3962846
2023-04-13,25.33,25.91,25.24,25.43,7901479
2023-04-14,25.33,25.62,24.66,24.66,4935320
2023-04-17,24.08,24.85,24.08,24.66,2560557
2023-04-18,24.66,24.95,24.56,24.95,2915390
2023-04-19,25.04,25.33,24.47,24.66,2733571
2023-04-20,24.56,24.66,24.08,24.37,3249085
2023-04-21,24.37,24.56,23.98,23.98,3281541
2023-04-24,23.98,24.27,23.79,24.08,1776302
2023-04-25,24.18,24.47,23.89,23.98,2404675
2023-04-26,24.08,24.37,23.89,24.37,2241328
2023-04-27,24.37,24.76,24.08,24.08,3328973
2023-04-28,24.18,24.47,24.08,24.37,2070364
2023-05-04,24.37,24.37,23.89,24.18,3058238
2023-05-05,21.77,24.37,21.77,24.18,1694291
2023-05-08,24.27,25.14,24.27,24.76,4354185
2023-05-09,24.85,25.43,24.76,24.95,5884591
2023-05-10,24.95,25.14,24.76,25.04,2476396
2023-05-11,25.14,25.62,24.95,25.14,6300136
2023-05-12,25.14,25.43,25.04,25.33,3645339
2023-05-15,25.14,25.62,24.76,24.76,5210265
2023-05-16,24.95,26.2,24.95,25.72,10963254
2023-05-17,25.72,26.2,25.43,25.43,6475104
2023-05-18,25.53,25.81,25.43,25.62,5710502
2023-05-19,25.62,27.36,25.62,27.26,16008280
2023-05-22,27.45,28.22,27.45,27.65,7172271
2023-05-23,27.55,28.42,27.36,28.42,11852914
2023-05-24,28.42,29.19,28.42,28.42,9185536
2023-05-25,28.42,29.38,28.03,29.28,8693452
2023-05-26,29.28,29.67,28.8,29.19,6986379
2023-05-29,29.38,29.76,28.8,28.8,8143907
2023-05-30,28.8,29.48,28.7,29.48,8345882
2023-05-31,28.99,30.25,28.9,29.86,8106187
2023-06-01,29.86,29.86,29.09,29.48,6313937
2023-06-02,29.48,30.25,29.28,29.86,7893773
2023-06-05,29.96,30.53,29.86,29.96,4966435
2023-06-06,29.86,30.15,29.48,29.86,5606367
2023-06-07,30.05,30.44,29.76,29.86,6826473
2023-06-08,29.86,30.92,29.09,29.48,11490556
2023-06-09,29.67,29.76,29.09,29.48,5998134
2023-06-12,29.48,29.76,28.8,29.76,7451899
2023-06-13,29.76,30.05,29.38,29.76,6006608
2023-06-14,29.96,30.44,29.38,29.38,7616507
2023-06-15,29.38,31.79,29.38,31.79,14756686
2023-06-16,31.98,32.27,31.11,31.21,8466689
2023-06-19,31.31,32.46,31.11,31.59,9072684
2023-06-20,31.88,31.98,31.5,31.88,3518095
2023-06-21,31.98,32.46,31.59,31.88,6918294
2023-06-22,32.17,32.17,31.21,31.88,7929557
2023-06-23,31.4,31.88,30.53,30.63,15028001
2023-06-26,30.82,31.5,30.25,31.4,6524173
2023-06-27,31.5,32.17,31.4,31.59,7218552
2023-06-28,31.88,32.27,31.31,31.5,6585319
2023-06-29,31.79,32.17,31.31,31.31,6490729
2023-06-30,31.31,31.69,31.21,31.21,3150015
2023-07-03,31.21,32.36,31.21,31.98,5516059
2023-07-04,31.98,33.52,31.98,33.33,9959111
2023-07-05,33.33,33.52,32.65,32.65,5012905
2023-07-06,32.75,32.85,31.69,31.88,10332052
2023-07-07,31.88,32.27,31.79,31.98,4590807
2023-07-10,32.17,33.04,32.17,32.46,6005857
2023-07-11,32.56,32.75,32.27,32.56,4700524
2023-07-12,32.85,33.04,32.46,32.56,3980746
2023-07-13,32.75,33.14,32.46,32.75,3501309
2023-07-14,32.85,33.14,32.36,32.75,4402008
2023-07-17,32.85,33.71,32.56,33.52,6235541
2023-07-18,33.52,34.1,33.23,33.23,4343804
2023-07-19,33.33,33.42,32.56,32.65,5211610
2023-07-20,32.65,32.75,32.27,32.65,3566586
2023-07-21,32.75,33.33,32.65,33.04,3448855
2023-07-24,33.33,33.91,32.94,33.62,6308810
2023-07-25,33.71,34.1,33.14,33.71,4893418
2023-07-26,33.71,33.81,33.33,33.52,3836847
2023-07-27,33.52,33.71,32.56,32.85,7407247
2023-07-28,33.04,33.52,32.65,33.14,5608814
2023-07-31,33.14,34.2,33.04,33.14,5189440
2023-08-01,33.23,33.52,32.46,32.46,7331346
2023-08-02,32.46,33.04,32.17,32.75,5596240
2023-08-03,32.75,32.75,31.79,31.79,7404810
2023-08-04,31.88,33.04,31.59,33.04,6566290
2023-08-07,33.04,33.23,32.65,33.04,4657011
2023-08-08,33.14,35.06,32.94,34.68,21750373
2023-08-09,34.68,34.87,34.2,34.39,4942838
2023-08-10,34.68,34.87,33.71,33.71,7941612
2023-08-11,33.71,34.2,33.14,33.71,7030336
2023-08-14,33.23,34.1,33.23,33.71,5024341
2023-08-15,34.0,34.0,33.33,33.33,5186756
2023-08-16,33.33,34.2,33.14,33.42,5919263
2023-08-17,33.42,33.62,32.85,32.85,7087784
2023-08-18,32.85,33.62,29.76,30.82,12701402
2023-08-21,30.82,31.79,30.44,31.59,5205133
2023-08-22,31.79,31.79,29.96,31.79,4329512
