time,open,high,low,close,volume
2023-03-30,18.45,18.85,18.31,18.58,3052207
2023-03-31,18.58,18.76,18.4,18.4,1606710
2023-04-03,18.8,18.89,18.67,18.85,2704660
2023-04-04,18.93,19.73,18.8,19.56,5325242
2023-04-05,19.56,19.91,19.25,19.51,2705322
2023-04-06,19.65,19.65,18.85,18.98,3402650
2023-04-07,18.98,19.73,18.89,19.51,2993562
2023-04-10,19.78,19.96,19.2,19.2,2533682
2023-04-11,19.11,19.73,19.11,19.47,2792239
2023-04-12,19.65,19.69,19.38,19.38,2822343
2023-04-13,19.47,19.82,19.29,19.29,2929030
2023-04-14,19.47,19.47,18.4,18.4,2904119
2023-04-17,18.49,18.58,18.22,18.27,1855462
2023-04-18,18.31,18.45,18.18,18.45,1652501
2023-04-19,18.4,18.53,18.05,18.05,1998123
2023-04-20,18.05,18.31,17.82,18.0,2002648
2023-04-21,18.13,18.13,17.65,17.69,2466650
2023-04-24,17.65,18.31,17.65,17.96,1682333
2023-04-25,18.22,18.45,17.96,18.0,1614814
2023-04-26,18.0,18.31,18.0,18.31,1051024
2023-04-27,18.31,18.45,18.05,18.09,997168
2023-04-28,18.27,18.27,18.09,18.13,1463788
2023-05-04,18.05,18.05,17.82,17.87,1735426
2023-05-05,17.87,18.27,17.82,17.96,2361149
2023-05-08,18.13,18.4,18.13,18.22,2203805
2023-05-09,18.27,18.49,18.22,18.27,2313971
2023-05-10,18.27,18.36,18.13,18.22,2349275
2023-05-11,18.22,18.67,18.18,18.62,4140365
2023-05-12,18.67,18.71,18.45,18.49,1986559
2023-05-15,18.67,18.67,18.13,18.13,3724175
2023-05-16,18.27,18.58,18.13,18.18,1759723
2023-05-17,18.36,18.45,17.96,17.96,3223372
2023-05-18,18.0,18.13,17.91,18.05,1628667
2023-05-19,18.13,18.49,18.13,18.31,3813908
2023-05-22,18.53,18.62,18.4,18.49,2885364
2023-05-23,18.58,18.8,18.4,18.4,3515328
2023-05-24,18.53,18.8,18.4,18.4,3423111
2023-05-25,18.45,18.8,18.45,18.71,4948823
2023-05-26,18.93,19.02,18.67,18.67,2692885
2023-05-29,18.85,18.93,18.71,18.85,2924505
2023-05-30,18.93,19.2,18.85,18.93,3785142
2023-05-31,18.93,19.25,18.8,18.89,3900546
2023-06-01,18.89,18.93,18.58,18.76,2824087
2023-06-02,18.93,19.07,18.76,18.85,2554694
2023-06-05,19.07,19.65,18.89,19.25,5273688
2023-06-06,19.38,19.38,19.16,19.25,1966504
2023-06-07,19.25,19.42,19.07,19.11,2353979
2023-06-08,19.29,19.33,18.62,18.67,3650302
2023-06-09,18.71,18.76,18.4,18.4,2463418
2023-06-12,18.53,18.76,18.31,18.71,2466729
2023-06-13,18.85,18.89,18.49,18.71,1807699
2023-06-14,18.71,18.8,18.45,18.62,3190967
2023-06-15,18.62,18.71,18.49,18.71,1896578
2023-06-16,18.93,19.07,18.58,18.58,4560994
2023-06-19,18.71,18.8,18.53,18.58,1337395
2023-06-20,18.76,18.76,18.49,18.62,1406993
2023-06-21,18.76,19.11,18.67,19.11,3822894
2023-06-22,19.29,19.47,19.2,19.2,3396591
2023-06-23,19.25,19.25,18.85,18.89,3364883
2023-06-26,18.89,19.02,18.58,18.98,3535733
2023-06-27,19.33,20.27,19.2,20.27,9111536
2023-06-28,20.53,20.67,20.31,20.4,4929441
2023-06-29,20.36,21.02,20.22,20.36,7546677
2023-06-30,20.58,20.8,20.27,20.58,3947443
2023-07-03,21.11,21.11,20.49,20.62,3875163
2023-07-04,20.62,21.16,20.53,21.02,4789978
2023-07-05,21.2,21.2,20.85,20.85,3470797
2023-07-06,20.85,20.98,20.4,20.58,4427828
2023-07-07,20.45,20.71,20.36,20.49,4320972
2023-07-10,20.8,21.02,20.67,20.85,4259498
2023-07-11,20.98,21.16,20.58,20.85,3864538
2023-07-12,20.98,21.47,20.93,20.98,3893936
2023-07-13,21.07,21.11,20.93,21.07,2549432
2023-07-14,21.07,21.38,20.67,21.07,4508848
2023-07-17,21.11,21.42,20.8,21.2,3279717
2023-07-18,21.16,21.29,20.8,20.89,2105093
2023-07-19,21.2,21.69,21.07,21.07,6593646
2023-07-20,21.11,21.11,20.89,20.93,2527379
2023-07-21,20.98,21.16,20.93,21.16,3081115
2023-07-24,21.29,21.69,21.16,21.16,3841250
2023-07-25,21.33,21.51,20.89,21.25,3414176
2023-07-26,21.16,21.25,20.93,21.16,2325685
2023-07-27,21.16,21.25,20.58,20.71,5316287
2023-07-28,21.02,21.07,20.62,20.89,3941833
2023-07-31,21.25,21.42,20.85,20.98,4442949
2023-08-01,21.16,21.25,20.49,20.85,6409296
2023-08-02,20.8,20.93,20.49,20.71,3078900
2023-08-03,20.76,21.16,20.67,20.85,5033155
2023-08-04,21.16,21.25,20.8,21.02,3904527
2023-08-07,21.29,21.33,21.02,21.25,4160485
2023-08-08,21.33,21.91,21.33,21.65,6164879
2023-08-09,21.73,21.73,21.07,21.07,4684352
2023-08-10,21.16,21.29,20.67,20.71,4525141
2023-08-11,20.93,20.93,20.49,20.76,2552256
2023-08-14,20.89,21.02,20.76,20.89,2377084
2023-08-15,21.02,21.29,20.89,20.98,2757582
2023-08-16,20.98,21.29,20.89,20.89,2130435
2023-08-17,20.85,20.98,20.49,20.53,4413387
2023-08-18,20.53,20.85,19.11,19.11,5588496
2023-08-21,19.11,19.56,18.93,19.47,2269619
2023-08-22,19.6,19.6,18.76,19.42,2686053
2023-08-23,19.56,19.56,19.25,19.29,1786288
2023-08-24,19.29,19.51,19.25,19.51,1586513
2023-08-25,19.51,19.65,19.2,19.25,1780263
2023-08-28,19.38,19.47,19.25,19.33,1613750
2023-08-29,19.47,19.82,19.38,19.78,2295137
2023-08-30,19.78,19.82,19.47,19.78,1758812
2023-08-31,19.82,20.62,19.69,20.62,4926138
2023-09-05,21.02,21.11,20.53,21.11,4413355
2023-09-06,21.11,21.16,20.62,21.11,2965271
2023-09-07,21.07,21.16,20.8,20.93,3125659
2023-09-08,20.93,21.6,20.8,21.33,5443606
2023-09-11,21.42,22.8,21.42,22.45,15246922
2023-09-12,22.62,23.07,22.62,22.93,6184494
2023-09-13,23.11,23.96,22.8,23.2,7828551
2023-09-14,23.38,23.83,23.02,23.52,5014497
2023-09-15,23.83,24.19,23.25,23.38,4608430
2023-09-18,23.61,23.74,22.93,23.34,2709102
2023-09-19,23.43,23.92,22.93,23.83,4941672
2023-09-20,23.92,25.49,23.88,25.49,7046194
