time,open,high,low,close,volume,close_t0,close_t1,close_t2,close_t3,close_t4,close_t5,close_t6,coef_close_t0_to_close_t6,ground_truth
2023-03-30,33.47,34.23,33.47,34.15,317560,1.0,1.002342606149341,1.0099560761347,1.0474377745241583,1.052415812591508,1.0448023426061495,1.0398243045387994,0.008816147249529394,up
2023-03-31,34.06,34.83,34.06,34.23,52576,1.0,1.0075956763073328,1.044989775051125,1.0499561787905347,1.042360502483202,1.037394098743792,1.044989775051125,0.006854889194941791,up
2023-04-03,34.23,34.66,33.21,34.49,437945,1.0,1.0371122064366483,1.0420411713540156,1.0345027544215715,1.029573789504204,1.0371122064366483,1.0443606842563062,0.00430766681853954,up
2023-04-04,34.75,36.02,34.75,35.77,457786,1.0,1.004752585965893,0.99748392507688,0.9927313391109868,1.0,1.0069890970086666,1.019010343863573,0.0022864331642637806,sideways
2023-04-05,35.6,36.11,35.6,35.94,131549,1.0,0.9927657206455204,0.9880356149137451,0.995269894268225,1.0022259321090707,1.0141903171953257,1.0164162493043962,0.0037960092217187466,sideways
2023-04-06,36.11,36.62,35.68,35.68,234861,1.0,0.9952354260089685,1.0025224215246638,1.009529147982063,1.0215807174887894,1.023822869955157,1.023822869955157,0.005275064061499063,up
2023-04-07,35.77,36.11,35.51,35.51,264086,1.0,1.0073218811602367,1.014362151506618,1.0264714165023938,1.0287243030132358,1.0287243030132358,1.0287243030132358,0.005119282294725841,up
2023-04-10,35.6,36.62,35.6,35.77,300762,1.0,1.0069890970086666,1.019010343863573,1.021246854906346,1.021246854906346,1.021246854906346,1.033547665641599,0.004692679420104602,up
2023-04-11,35.85,36.28,35.77,36.02,40367,1.0,1.0119378123264853,1.0141588006662965,1.0141588006662965,1.0141588006662965,1.0263742365352582,1.0216546363131591,0.0033513127627508247,sideways
2023-04-12,35.94,36.62,35.77,36.45,275890,1.0,1.0021947873799726,1.0021947873799726,1.0021947873799726,1.0142661179698216,1.00960219478738,1.0021947873799726,0.0011953752694493342,sideways
2023-04-13,36.53,36.62,36.45,36.53,191055,1.0,1.0,1.0,1.012044894607172,1.0073911853271282,1.0,1.0265535176567204,0.003108990653474625,sideways
2023-04-14,36.45,36.87,36.45,36.53,591418,1.0,1.0,1.012044894607172,1.0073911853271282,1.0,1.0265535176567204,1.050643306871065,0.006892573618552276,up
2023-04-17,37.85,37.85,36.18,36.53,44269,1.0,1.012044894607172,1.0073911853271282,1.0,1.0265535176567204,1.050643306871065,1.048453326033397,0.00863282624848461,up
2023-04-18,36.62,37.5,36.27,36.97,267180,1.0,0.9954016770354341,0.988098458209359,1.0143359480659995,1.0381390316472816,1.035975114958074,1.0262374898566404,0.007496425673325843,up
2023-04-19,37.06,37.06,36.71,36.8,209645,1.0,0.992663043478261,1.0190217391304348,1.0429347826086959,1.0407608695652173,1.0309782608695652,1.0144021739130435,0.005056288819875774,up
2023-04-20,35.83,36.71,35.83,36.53,124086,1.0,1.0265535176567204,1.050643306871065,1.048453326033397,1.0385984122638925,1.0218998083766766,1.0265535176567204,0.002082437135817896,sideways
2023-04-21,36.62,38.74,36.62,37.5,472343,1.0,1.0234666666666667,1.0213333333333332,1.0117333333333334,0.9954666666666666,1.0,0.9954666666666666,-0.0030857142857142945,sideways
2023-04-24,37.68,38.65,37.68,38.38,391729,1.0,0.9979155810317872,0.9885356956748305,0.9726420010422093,0.9770713913496613,0.9726420010422093,1.0117248566961958,-0.0009584605077049119,sideways
2023-04-25,38.56,38.83,37.94,38.3,257990,1.0,0.9906005221932115,0.9746736292428199,0.9791122715404701,0.9746736292428199,1.0138381201044386,1.0253263707571802,0.004373368146214108,up
