time,open,high,low,close,volume
2023-03-30,49.33,49.84,49.18,49.4,87826
2023-03-31,49.55,49.62,49.18,49.62,75952
2023-04-03,49.77,50.14,49.77,49.99,205887
2023-04-04,50.06,51.38,50.06,51.24,422646
2023-04-05,51.38,52.27,49.92,51.46,309334
2023-04-06,51.97,51.97,50.87,50.87,284189
2023-04-07,50.87,51.24,50.65,50.94,184695
2023-04-10,51.02,51.38,50.28,51.38,279631
2023-04-11,51.02,51.38,50.5,50.5,195397
2023-04-12,51.02,52.19,50.87,51.24,515866
2023-04-13,51.24,51.38,50.43,50.65,202750
2023-04-14,51.02,51.02,49.92,49.92,240120
2023-04-17,49.92,49.92,49.55,49.77,128110
2023-04-18,49.77,50.36,49.62,49.92,193462
2023-04-19,50.36,50.36,49.48,49.62,169228
2023-04-20,49.55,49.84,49.33,49.62,76860
2023-04-21,49.48,49.84,48.81,48.96,217350
2023-04-24,49.18,49.18,48.08,48.08,244146
2023-04-25,48.15,49.55,47.71,47.71,296019
2023-04-26,48.08,48.37,47.05,47.05,422637
2023-04-27,47.05,48.08,47.05,47.27,157417
2023-04-28,48.45,49.55,48.23,48.81,1084580
2023-05-04,49.4,49.84,49.04,49.04,289692
2023-05-05,49.04,49.18,48.52,48.59,230890
2023-05-08,48.74,49.33,48.74,49.04,310204
2023-05-09,49.4,49.4,48.74,48.81,238644
2023-05-10,48.59,49.04,48.59,48.74,217788
2023-05-11,49.18,49.18,48.74,48.81,275783
2023-05-12,48.81,48.96,48.45,48.52,429753
2023-05-15,48.59,50.21,48.59,49.26,745359
2023-05-16,49.77,50.14,49.4,49.55,346038
2023-05-17,49.55,49.92,48.89,48.96,324425
2023-05-18,49.18,49.18,48.81,48.96,365083
2023-05-19,49.89,49.89,49.04,49.55,329984
2023-05-22,50.23,51.15,49.8,51.15,746528
2023-05-23,51.91,53.01,51.58,52.84,1055051
2023-05-24,53.01,53.01,52.0,52.0,561054
2023-05-25,52.17,52.17,51.41,51.49,513709
2023-05-26,51.75,52.67,51.58,51.91,583402
2023-05-29,51.91,52.51,51.49,51.91,495794
2023-05-30,51.91,52.17,51.49,51.66,476768
2023-05-31,51.66,52.93,51.32,51.91,588544
2023-06-01,52.17,52.17,51.49,51.75,466371
2023-06-02,51.75,52.17,51.49,51.83,716222
2023-06-05,52.25,53.26,51.66,52.76,1333398
2023-06-06,52.51,53.6,52.51,53.26,851927
2023-06-07,53.26,53.77,52.59,53.26,1225334
2023-06-08,52.93,53.01,52.34,52.34,1073851
2023-06-09,52.34,52.51,51.66,52.25,970672
2023-06-12,52.42,53.1,52.0,52.42,841689
2023-06-13,52.59,54.02,52.51,53.01,1507286
2023-06-14,53.35,53.35,52.51,52.59,671863
2023-06-15,52.67,52.67,51.83,52.17,917335
2023-06-16,52.25,53.1,52.17,52.67,1354180
2023-06-19,52.76,54.45,52.76,53.43,1839486
2023-06-20,53.77,53.77,53.18,53.6,505150
2023-06-21,53.86,53.86,53.1,53.43,872742
2023-06-22,53.6,53.6,52.93,53.35,980547
2023-06-23,53.35,53.94,53.1,53.1,849453
2023-06-26,53.01,53.6,52.67,52.76,870505
2023-06-27,53.01,53.43,52.76,53.01,833178
2023-06-28,53.18,55.04,53.18,55.04,2405554
2023-06-29,55.46,55.46,53.86,53.86,728864
2023-06-30,53.86,55.38,53.86,55.04,1825006
2023-07-03,55.12,55.63,55.04,55.04,833386
2023-07-04,55.04,55.21,54.45,55.21,812622
2023-07-05,55.29,56.81,54.87,55.38,1517858
2023-07-06,55.63,55.88,54.78,54.95,1185435
2023-07-07,54.87,55.04,54.36,55.04,961181
2023-07-10,55.63,55.97,55.04,55.46,1491748
2023-07-11,55.8,55.8,54.95,55.63,677015
2023-07-12,56.05,56.05,54.87,54.87,805957
2023-07-13,55.21,56.13,55.04,55.71,987093
2023-07-14,55.8,55.88,55.12,55.71,685142
2023-07-17,55.71,55.71,55.12,55.12,710061
2023-07-18,54.95,55.38,54.87,55.12,665829
2023-07-19,55.04,55.38,54.7,54.87,510570
2023-07-20,54.87,55.12,54.19,54.53,865269
2023-07-21,54.36,55.46,54.28,55.21,893221
2023-07-24,55.71,55.71,54.7,54.7,739280
2023-07-25,54.78,55.46,54.78,55.12,739161
2023-07-26,55.29,57.32,55.04,57.32,2448896
2023-07-27,56.89,57.4,56.3,56.64,833540
2023-07-28,56.47,57.82,56.13,57.4,1285943
2023-07-31,56.98,57.4,56.13,56.56,1140195
2023-08-01,56.73,56.81,55.29,55.29,1265558
