time,open,high,low,close,volume
2023-03-30,84.11,84.11,83.25,83.52,70120
2023-03-31,83.52,83.88,82.84,83.39,66534
2023-04-03,83.07,83.3,81.72,81.72,94103
2023-04-04,81.81,81.99,80.27,80.36,165102
2023-04-05,80.41,80.41,79.23,79.68,167152
2023-04-06,80.59,80.59,79.68,79.87,147454
2023-04-07,79.91,80.32,79.5,79.91,65541
2023-04-10,80.18,80.18,79.46,79.73,193779
2023-04-11,79.37,79.55,79.01,79.01,131496
2023-04-12,78.65,78.65,77.07,77.2,336200
2023-04-13,77.43,77.97,76.07,76.52,186647
2023-04-14,76.52,76.75,75.4,75.4,276997
2023-04-17,75.22,75.4,74.04,74.04,233121
2023-04-18,74.36,75.85,74.31,74.85,180040
2023-04-19,75.71,77.2,75.03,76.93,329471
2023-04-20,77.52,78.29,76.98,76.98,246631
2023-04-21,77.88,77.92,76.98,76.98,170200
2023-04-24,76.98,77.29,76.98,77.25,126828
2023-04-25,77.25,77.29,76.3,77.2,197810
2023-04-26,77.2,77.43,77.11,77.2,177595
2023-04-27,77.2,78.56,76.52,78.56,154852
2023-04-28,78.69,78.92,77.65,77.65,75525
2023-05-04,77.65,77.65,74.99,75.22,108279
2023-05-05,75.31,75.62,74.63,74.72,110357
2023-05-08,74.94,75.31,74.85,75.17,68018
2023-05-09,75.4,75.4,74.49,74.54,79636
2023-05-10,74.54,74.85,74.54,74.58,101416
2023-05-11,74.63,76.3,74.04,74.27,164530
2023-05-12,74.67,74.81,73.54,74.0,149936
2023-05-15,74.36,74.76,74.04,74.09,119316
2023-05-16,74.49,74.49,73.5,73.59,73688
2023-05-17,73.59,73.59,73.18,73.36,103382
2023-05-18,73.36,73.59,72.96,73.27,180313
2023-05-19,73.27,73.27,72.28,72.55,76255
2023-05-22,72.55,73.05,72.33,72.55,66710
2023-05-23,72.91,73.05,71.42,71.78,145123
2023-05-24,72.05,72.19,71.56,71.56,116581
2023-05-25,71.56,71.69,70.43,71.33,98068
2023-05-26,71.33,71.33,69.98,70.2,71131
2023-05-29,70.25,71.06,70.07,70.11,91386
2023-05-30,70.16,70.56,70.11,70.43,145827
2023-05-31,70.43,71.56,70.43,71.33,158142
2023-06-01,70.61,71.78,70.61,71.42,126346
2023-06-02,72.01,72.01,71.15,71.33,138837
2023-06-05,72.24,72.37,71.83,71.96,113557
2023-06-06,72.19,72.28,71.92,72.24,126962
2023-06-07,72.28,72.37,72.05,72.15,205261
2023-06-08,72.33,72.33,72.01,72.15,158445
2023-06-09,72.69,72.69,72.01,72.01,27596
2023-06-12,72.05,73.92,72.05,73.83,109454
2023-06-13,73.88,73.92,73.19,73.74,84729
2023-06-14,73.74,74.52,73.19,73.83,203504
2023-06-15,74.2,74.2,72.47,72.47,108826
2023-06-16,73.38,73.38,70.64,70.64,235092
2023-06-19,71.55,71.55,71.05,71.46,129833
2023-06-20,71.46,71.46,70.73,70.78,98003
2023-06-21,70.78,71.01,70.37,70.64,136951
2023-06-22,71.1,71.1,70.55,70.55,146129
2023-06-23,70.55,71.33,70.37,71.33,198714
2023-06-26,71.96,71.96,71.1,71.1,140069
2023-06-27,70.92,71.55,70.37,70.37,194770
2023-06-28,70.82,70.82,70.46,70.51,84963
2023-06-29,70.73,70.73,70.19,70.19,179854
2023-06-30,70.37,70.37,69.96,70.0,152764
2023-07-03,70.19,70.55,69.96,70.05,78380
2023-07-04,70.05,70.32,69.91,70.0,99059
2023-07-05,70.1,70.55,70.0,70.1,80027
2023-07-06,70.1,70.19,69.91,69.91,91589
2023-07-07,70.0,70.37,68.77,68.82,203825
2023-07-10,68.86,68.96,68.36,68.5,198740
2023-07-11,68.36,68.73,68.36,68.36,203662
2023-07-12,68.36,69.27,68.36,68.82,99205
2023-07-13,68.91,70.19,68.91,69.96,206883
2023-07-14,70.0,70.1,69.78,70.1,119440
2023-07-17,70.32,70.69,69.73,69.96,121321
2023-07-18,70.1,70.28,69.55,69.78,123270
2023-07-19,69.78,70.0,69.64,69.64,151271
2023-07-20,69.64,70.14,69.59,69.82,111083
2023-07-21,69.78,69.82,69.46,69.78,122520
2023-07-24,69.87,70.87,69.87,70.64,232461
2023-07-25,71.01,72.05,70.73,72.01,379903
2023-07-26,71.96,73.74,71.96,73.65,199814
2023-07-27,73.38,73.6,72.69,73.01,151733
2023-07-28,72.92,73.01,71.55,71.55,324848
2023-07-31,71.51,72.78,71.37,71.46,275767
2023-08-01,72.51,72.92,72.01,72.19,132722
2023-08-02,72.6,72.6,71.87,72.42,122483
2023-08-03,72.74,73.6,72.47,73.6,280516
2023-08-04,74.06,74.06,72.69,73.15,246191
2023-08-07,73.01,73.92,72.74,73.38,285605
2023-08-08,73.97,73.97,73.19,73.65,168973
2023-08-09,73.65,73.7,73.06,73.38,127854
2023-08-10,73.51,73.51,72.92,73.19,181110
2023-08-11,72.92,73.19,72.24,72.69,187621
2023-08-14,72.47,72.74,72.01,72.01,163400
2023-08-15,72.01,72.01,71.42,71.69,147896
2023-08-16,72.47,72.69,71.55,71.69,218632
2023-08-17,71.69,71.69,70.87,70.96,325963
2023-08-18,70.87,72.24,69.59,70.0,305826
2023-08-21,70.41,70.41,69.27,69.59,208436
2023-08-22,69.59,69.91,68.36,68.36,391792
2023-08-23,69.5,69.64,68.36,68.41,353811
2023-08-24,70.6,70.64,69.82,69.96,609870
2023-08-25,70.78,72.1,70.51,71.19,431279
2023-08-28,72.01,72.01,71.05,71.23,287470
2023-08-29,71.33,72.6,71.05,72.05,275818
2023-08-30,72.69,73.29,72.33,72.83,280090
2023-08-31,72.92,73.15,72.01,72.01,295944
2023-09-05,72.47,73.1,72.24,72.37,336249
2023-09-06,72.15,72.92,72.15,72.47,239685
2023-09-07,72.65,73.38,72.6,73.15,235834
2023-09-08,73.29,73.74,72.92,73.19,286244
2023-09-11,73.65,77.43,73.65,76.34,846090
2023-09-12,77.43,77.71,76.48,76.98,483829
2023-09-13,77.07,77.39,75.88,76.02,686293
2023-09-14,80.21,80.21,76.66,77.66,1163769
2023-09-15,78.39,78.39,75.75,75.75,512171
2023-09-18,75.75,75.75,73.29,73.65,484644
2023-09-19,73.56,74.56,71.55,72.01,666746
2023-09-20,72.1,73.83,72.01,73.38,523433
2023-09-21,73.47,74.56,72.92,72.92,481004
2023-09-22,72.01,72.37,70.37,71.64,464405
2023-09-25,71.74,72.37,69.27,69.27,227565
2023-09-26,69.27,69.82,68.36,68.64,414487
2023-09-27,68.64,68.91,67.36,67.54,510277
2023-09-28,67.63,67.91,65.99,65.99,452919
2023-09-29,66.54,66.81,65.99,66.08,361434
2023-10-02,66.81,66.81,66.18,66.54,218669
2023-10-03,66.72,66.72,64.08,64.08,608829
2023-10-04,63.81,63.99,63.17,63.81,336122
