time,open,high,low,close,volume
2023-03-30,5.93,5.93,5.86,5.87,220386
2023-03-31,5.89,5.89,5.77,5.8,357127
2023-04-03,5.86,6.0,5.83,5.99,807898
2023-04-04,5.99,6.14,5.98,6.09,848112
2023-04-05,6.09,6.28,6.09,6.19,1251173
2023-04-06,6.25,6.59,6.2,6.39,2654014
2023-04-07,6.36,6.39,6.2,6.28,946628
2023-04-10,6.28,6.4,6.15,6.19,1054758
2023-04-11,6.11,6.31,6.08,6.31,874731
2023-04-12,6.3,6.32,6.24,6.26,550487
2023-04-13,6.28,6.31,6.11,6.14,593622
2023-04-14,6.14,6.2,6.05,6.05,554178
2023-04-17,6.08,6.1,5.96,6.0,319838
2023-04-18,6.0,6.08,5.96,6.03,432353
2023-04-19,6.04,6.04,5.94,5.95,556154
2023-04-20,5.93,5.98,5.91,5.92,423066
2023-04-21,5.97,5.97,5.82,5.88,516789
2023-04-24,5.87,5.96,5.85,5.96,322434
2023-04-25,5.9,5.99,5.88,5.88,373151
2023-04-26,5.88,5.93,5.85,5.92,154307
2023-04-27,5.96,6.15,5.96,6.08,839134
2023-04-28,6.12,6.2,6.08,6.08,620795
2023-05-04,6.1,6.12,6.02,6.09,417873
2023-05-05,6.1,6.39,6.1,6.3,1909885
2023-05-08,6.42,6.49,6.34,6.47,1543364
2023-05-09,6.5,6.5,6.33,6.4,1002239
2023-05-10,6.5,6.84,6.42,6.84,3703497
2023-05-11,7.0,7.2,6.85,6.93,1839015
2023-05-12,6.83,6.97,6.71,6.85,1575790
2023-05-15,7.25,7.25,6.7,6.7,1550687
2023-05-16,6.65,6.78,6.61,6.65,1851900
2023-05-17,6.67,6.96,6.67,6.75,1175953
2023-05-18,6.75,6.78,6.45,6.5,2002853
2023-05-19,6.48,6.55,6.29,6.45,2431431
2023-05-22,6.5,6.56,6.44,6.48,774473
2023-05-23,6.5,6.9,6.5,6.82,2289357
2023-05-24,6.82,6.97,6.65,6.77,1212300
2023-05-25,6.74,7.0,6.65,6.83,1510987
2023-05-26,6.83,6.92,6.81,6.87,1113483
2023-05-29,6.99,7.3,6.95,7.28,3016869
2023-05-30,7.33,7.4,6.99,7.03,3628447
2023-05-31,7.19,7.29,7.04,7.09,2522541
2023-06-01,7.12,7.5,7.12,7.3,2847858
2023-06-02,7.31,7.53,7.11,7.16,2418702
2023-06-05,7.2,7.3,7.05,7.07,1720851
2023-06-06,7.02,7.15,7.02,7.11,1142141
2023-06-07,7.17,7.32,7.11,7.32,2178611
2023-06-08,7.48,7.68,7.3,7.3,4187069
2023-06-09,7.3,7.41,7.06,7.22,1826736
2023-06-12,7.3,7.35,7.11,7.2,1303563
2023-06-13,7.25,7.56,7.2,7.49,2891909
2023-06-14,7.54,7.68,7.33,7.33,2023451
2023-06-15,7.33,7.38,7.16,7.19,1326148
2023-06-16,7.26,7.3,7.1,7.1,1763847
2023-06-19,7.06,7.17,6.91,6.92,1555031
2023-06-20,6.93,7.1,6.93,7.1,614200
2023-06-21,7.1,7.19,7.07,7.19,1074978
2023-06-22,7.22,7.27,7.18,7.25,1003985
2023-06-23,7.25,7.45,7.2,7.29,1342920
2023-06-26,7.28,7.28,7.05,7.13,1350727
2023-06-27,7.13,7.17,7.06,7.06,709147
2023-06-28,7.08,7.17,7.06,7.17,684149
2023-06-29,7.18,7.19,7.06,7.06,1015616
2023-06-30,7.06,7.09,7.02,7.02,510150
2023-07-03,7.04,7.08,7.0,7.04,413112
2023-07-04,7.02,7.11,7.02,7.05,602883
2023-07-05,7.09,7.11,7.02,7.03,971382
2023-07-06,7.03,7.08,6.9,6.9,1339365
2023-07-07,6.9,7.0,6.81,6.89,944977
2023-07-10,7.03,7.03,6.9,6.91,424296
2023-07-11,6.92,7.06,6.92,6.97,638970
2023-07-12,7.0,7.03,6.89,6.95,493137
2023-07-13,6.96,7.1,6.96,7.09,1073860
2023-07-14,7.11,7.45,7.11,7.38,3111152
2023-07-17,7.43,7.6,7.35,7.4,2373486
2023-07-18,7.4,7.44,7.28,7.28,1398614
2023-07-19,7.31,7.39,7.15,7.15,1222360
2023-07-20,7.2,7.33,7.15,7.3,695758
2023-07-21,7.35,7.65,7.33,7.58,3359154
2023-07-24,7.65,7.75,7.61,7.75,2363760
2023-07-25,7.8,8.2,7.71,7.81,2472526
2023-07-26,7.81,8.0,7.67,7.73,1441332
2023-07-27,7.72,7.99,7.65,7.8,2006454
2023-07-28,7.8,7.99,7.78,7.82,1345789
2023-07-31,7.85,7.92,7.8,7.81,2105603
2023-08-01,7.85,7.85,7.5,7.52,1932046
2023-08-02,7.5,7.6,7.45,7.54,1163835
2023-08-03,7.53,7.66,7.5,7.65,1232423
2023-08-04,7.65,7.85,7.65,7.85,2257939
2023-08-07,8.15,8.3,7.99,8.11,2641646
2023-08-08,8.12,8.2,8.0,8.11,1723927
2023-08-09,8.1,8.25,8.0,8.11,1531802
2023-08-10,8.11,8.5,8.11,8.2,3437159
2023-08-11,8.16,8.28,8.01,8.18,1794456
2023-08-14,8.19,8.6,8.1,8.5,3035439
2023-08-15,8.63,8.65,8.36,8.36,1085393
2023-08-16,8.36,8.38,8.2,8.25,1180211
2023-08-17,8.28,8.29,8.0,8.02,2807880
2023-08-18,7.97,7.97,7.46,7.46,3641493
2023-08-21,7.2,7.45,7.1,7.27,1062332
2023-08-22,7.27,7.33,7.0,7.22,972415
2023-08-23,7.36,7.36,7.2,7.22,351852
2023-08-24,7.24,7.35,7.22,7.33,791519
2023-08-25,7.4,7.52,7.33,7.38,518414
2023-08-28,7.36,7.4,7.29,7.36,624720
2023-08-29,7.44,7.5,7.36,7.45,394430
2023-08-30,7.45,7.65,7.45,7.59,707810
2023-08-31,7.56,7.67,7.56,7.64,684798
2023-09-05,7.68,7.8,7.68,7.75,890118
2023-09-06,7.79,7.79,7.58,7.71,757530
2023-09-07,7.8,7.85,7.65,7.7,1123634
2023-09-08,7.79,7.79,7.69,7.72,822116
2023-09-11,7.83,7.83,7.51,7.52,992784
2023-09-12,7.42,7.56,7.41,7.52,639722
2023-09-13,7.55,7.63,7.1,7.48,874346
2023-09-14,7.48,7.48,7.16,7.2,1286943
2023-09-15,7.12,7.29,7.08,7.09,808521
2023-09-18,7.04,7.09,7.0,7.04,816984
2023-09-19,7.04,7.09,6.97,7.04,450121
2023-09-20,7.01,7.3,7.01,7.2,400175
2023-09-21,7.28,7.28,7.14,7.14,288089
2023-09-22,7.08,7.1,6.83,6.92,851108
2023-09-25,6.92,6.97,6.6,6.61,795104
2023-09-26,6.38,6.65,6.38,6.58,644196
2023-09-27,6.48,6.67,6.45,6.65,886264
2023-09-28,6.66,6.66,6.51,6.6,401209
2023-09-29,6.66,6.7,6.5,6.58,314025
2023-10-02,6.55,6.59,6.54,6.57,207720
2023-10-03,6.55,6.55,6.19,6.31,627323
2023-10-04,6.28,6.38,5.88,6.3,318992
2023-10-05,6.31,6.38,6.2,6.25,301554
2023-10-06,6.25,6.32,6.16,6.27,191166
2023-10-09,6.36,6.36,6.26,6.28,180847
2023-10-10,6.3,6.43,6.3,6.4,384394
2023-10-11,6.47,6.47,6.35,6.42,113236
2023-10-12,6.48,6.56,6.41,6.45,227513
2023-10-13,6.45,6.45,6.33,6.44,182442
2023-10-16,6.42,6.46,6.31,6.4,158012
2023-10-17,6.36,6.4,6.3,6.3,193495
2023-10-18,6.35,6.35,5.95,6.2,850522
2023-10-19,6.22,6.22,6.0,6.2,794565
2023-10-20,6.2,6.2,6.0,6.0,671911
2023-10-23,6.14,6.19,6.0,6.19,322538
2023-10-24,6.18,6.2,6.1,6.2,128262
2023-10-25,6.2,6.25,6.15,6.2,294035
2023-10-26,6.15,6.15,5.87,6.1,837847
2023-10-27,6.1,6.14,5.91,6.14,483212
2023-10-30,6.1,6.13,5.96,6.12,122622
2023-10-31,6.02,6.1,6.0,6.09,408404
2023-11-01,6.09,6.09,5.9,6.09,826172
2023-11-02,6.09,6.4,6.06,6.38,660162
2023-11-03,6.4,6.4,6.15,6.2,182353
2023-11-06,6.21,6.25,6.13,6.17,289401
2023-11-07,6.13,6.2,6.12,6.12,174237
2023-11-08,6.1,6.3,6.08,6.3,407606
2023-11-09,6.31,6.52,6.26,6.31,658292
2023-11-10,6.29,6.45,6.28,6.32,468320
2023-11-13,6.33,6.36,6.25,6.3,366614
2023-11-14,6.3,6.34,6.24,6.29,415772
2023-11-15,6.39,6.41,6.28,6.28,285639
2023-11-16,6.29,6.31,6.26,6.31,417096
2023-11-17,6.33,6.48,6.25,6.28,684017
2023-11-20,6.21,6.3,6.21,6.29,166805
2023-11-21,6.29,6.42,6.29,6.35,574456
2023-11-22,6.32,6.41,6.31,6.36,479650
2023-11-23,6.37,6.8,6.37,6.8,2191073
2023-11-24,7.03,7.03,6.54,6.71,772532
2023-11-27,6.68,6.69,6.46,6.46,527093
2023-11-28,6.42,6.52,6.25,6.4,512835
2023-11-29,6.41,6.54,6.41,6.49,237337
2023-11-30,6.49,6.65,6.4,6.4,503188
2023-12-01,6.41,6.5,6.38,6.42,421740
2023-12-04,6.45,6.68,6.44,6.59,547570
2023-12-05,6.58,6.71,6.54,6.55,345692
2023-12-06,6.6,6.7,6.55,6.7,580184
2023-12-07,6.71,6.84,6.5,6.61,739307
2023-12-08,6.61,6.65,6.53,6.6,320829
2023-12-11,6.6,6.61,6.51,6.53,189644
2023-12-12,6.61,6.67,6.53,6.67,689610
2023-12-13,6.77,6.77,6.58,6.6,413151
2023-12-14,6.63,6.67,6.52,6.52,322337
2023-12-15,6.5,6.5,6.42,6.43,374235
2023-12-18,6.43,6.61,6.43,6.56,328549
2023-12-19,6.6,6.6,6.42,6.55,277127
2023-12-20,6.51,6.56,6.42,6.45,263550
2023-12-21,6.43,6.49,6.41,6.42,172539
2023-12-22,6.4,6.42,6.38,6.4,327470
2023-12-25,6.4,6.48,6.4,6.42,201613
2023-12-26,6.42,6.48,6.38,6.4,272055
2023-12-27,6.4,6.47,6.4,6.43,698580
2023-12-28,6.46,6.55,6.42,6.55,327809
2023-12-29,6.58,6.58,6.5,6.56,245318
2024-01-02,6.58,6.66,6.5,6.56,429628
2024-01-03,6.64,6.7,6.53,6.63,529454
2024-01-04,6.62,6.64,6.59,6.6,447563
2024-01-05,6.61,6.69,6.57,6.58,148016
2024-01-08,6.58,6.71,6.54,6.54,608869
2024-01-09,6.6,6.61,6.54,6.58,296855
2024-01-10,6.58,6.58,6.45,6.45,395205
2024-01-11,6.46,6.53,6.44,6.44,264092
2024-01-12,6.41,6.44,6.35,6.37,609766
2024-01-15,6.37,6.39,6.3,6.3,278989
2024-01-16,6.28,6.3,6.12,6.3,235667
2024-01-17,6.3,6.41,6.3,6.33,145550
2024-01-18,6.39,6.39,6.28,6.32,170056
2024-01-19,6.33,6.37,6.3,6.33,254354
2024-01-22,6.34,6.34,6.28,6.3,262559
2024-01-23,6.3,6.34,6.28,6.3,139494
2024-01-24,6.27,6.35,6.27,6.29,115537
2024-01-25,6.29,6.42,6.29,6.33,261940
2024-01-26,6.33,6.39,6.32,6.33,134410
2024-01-29,6.33,6.34,6.28,6.3,222943
2024-01-30,6.3,6.35,6.29,6.29,133744
2024-01-31,6.29,6.41,6.29,6.3,353545
2024-02-01,6.3,6.52,6.3,6.47,778294
2024-02-02,6.54,6.56,6.35,6.35,682744
2024-02-05,6.4,6.78,6.39,6.6,1170863
2024-02-06,6.61,6.76,6.5,6.52,424616
2024-02-07,6.56,6.65,6.53,6.6,317482
2024-02-15,6.51,6.64,6.46,6.64,813953
2024-02-16,6.68,6.72,6.55,6.62,1392255
2024-02-19,6.62,6.68,6.53,6.61,464112
2024-02-20,6.63,6.63,6.55,6.55,442539
2024-02-21,6.63,6.95,6.57,6.75,1391623
2024-02-22,6.8,7.04,6.8,6.86,1244766
2024-02-23,6.86,6.9,6.58,6.6,982643
2024-02-26,6.59,6.59,6.5,6.55,551297
2024-02-27,6.52,6.65,6.52,6.6,291798
2024-02-28,6.6,6.66,6.55,6.59,378922
2024-02-29,6.59,6.6,6.54,6.58,424542
2024-03-01,6.61,6.65,6.55,6.57,395006
2024-03-04,6.58,6.8,6.58,6.61,536229
2024-03-05,6.63,6.66,6.61,6.65,385261
2024-03-06,6.66,6.74,6.6,6.66,538639
2024-03-07,6.69,6.89,6.65,6.7,616726
2024-03-08,6.78,6.78,6.55,6.55,515846
2024-03-11,6.55,6.65,6.42,6.43,554653
2024-03-12,6.45,6.5,6.38,6.4,454682
2024-03-13,6.4,6.55,6.4,6.49,335413
2024-03-14,6.51,6.7,6.48,6.62,815958
2024-03-15,6.64,6.64,6.56,6.56,447657
2024-03-18,6.57,6.69,6.35,6.56,487702
2024-03-19,6.55,6.59,6.48,6.5,224392
2024-03-20,6.5,6.58,6.45,6.45,548521
2024-03-21,6.47,6.62,6.47,6.54,471357
2024-03-22,6.54,6.69,6.54,6.56,360772
2024-03-25,6.6,6.66,6.56,6.6,728787
2024-03-26,6.6,6.68,6.59,6.62,311194
2024-03-27,6.69,6.7,6.63,6.67,457277
2024-03-28,6.7,6.7,6.63,6.68,311547
2024-03-29,6.68,6.73,6.63,6.63,391875
2024-04-01,6.65,6.66,6.55,6.61,390444
2024-04-02,6.61,6.64,6.55,6.64,500183
2024-04-03,6.65,6.7,6.58,6.7,519616
2024-04-04,6.7,6.72,6.55,6.6,351359
2024-04-05,6.5,6.6,6.5,6.52,301099
2024-04-08,6.53,6.53,6.45,6.45,300642
2024-04-09,6.49,6.49,6.41,6.43,310224
2024-04-10,6.44,6.49,6.43,6.44,247285
2024-04-11,6.38,6.45,6.37,6.45,212980
2024-04-12,6.45,6.51,6.4,6.44,319488
2024-04-15,6.44,6.46,6.0,6.3,494105
2024-04-16,5.91,6.3,5.91,6.3,730859
2024-04-17,6.3,6.3,6.1,6.24,424292
2024-04-19,6.02,6.24,6.0,6.2,456561
2024-04-22,6.2,6.25,6.09,6.16,203569
2024-04-23,6.02,6.11,5.96,6.05,331158
2024-04-24,6.09,6.16,6.03,6.15,284972
2024-04-25,6.15,6.15,6.04,6.1,327893
2024-04-26,6.08,6.16,6.08,6.16,319096
2024-05-02,6.17,6.17,6.0,6.17,314731
2024-05-03,6.17,6.18,6.09,6.18,142576
2024-05-06,6.18,6.2,6.1,6.18,267513
2024-05-07,6.19,6.26,6.18,6.25,286530
2024-05-08,6.27,6.27,6.16,6.2,248157
2024-05-09,6.2,6.25,6.18,6.19,175697
2024-05-10,6.22,6.62,6.22,6.62,2106652
2024-05-13,6.9,7.08,6.83,7.08,3550459
2024-05-14,7.57,7.57,7.25,7.29,2732575
2024-05-15,7.28,7.28,7.06,7.15,2307888
2024-05-16,7.25,7.65,7.24,7.6,2882216
2024-05-17,7.69,7.71,7.39,7.45,1050087
2024-05-20,7.5,7.62,7.12,7.2,2394965
2024-05-21,7.15,7.35,7.15,7.35,1170165
2024-05-22,7.4,7.41,7.0,7.1,2150309
2024-05-23,7.1,7.3,7.0,7.18,1154123
2024-05-24,7.18,7.34,6.8,6.9,1654882
2024-05-27,7.0,7.05,6.85,6.91,753479
2024-05-28,6.99,7.2,6.92,7.2,1853099
2024-05-29,7.3,7.35,7.13,7.28,2079503
2024-05-30,7.22,7.24,7.04,7.15,1224633
2024-05-31,7.23,7.45,7.11,7.17,1530606
2024-06-03,7.18,7.33,7.16,7.16,994937
2024-06-04,7.3,7.51,7.2,7.39,2529810
2024-06-05,7.6,7.9,7.5,7.9,4702008
2024-06-06,8.35,8.35,7.92,8.02,2863653
2024-06-07,8.22,8.22,7.75,7.9,2306048
2024-06-10,7.9,7.99,7.68,7.8,2649966
2024-06-11,7.72,7.8,7.57,7.6,1703303
2024-06-12,7.56,7.85,7.56,7.75,784455
2024-06-13,7.99,7.99,7.61,7.62,1308403
2024-06-14,7.62,7.8,7.49,7.5,1882850
2024-06-17,7.45,7.5,7.19,7.19,1296619
2024-06-18,7.24,7.39,7.14,7.26,1366093
2024-06-19,7.21,7.29,7.15,7.21,1023482
2024-06-20,7.23,7.5,7.23,7.4,1262414
2024-06-21,7.45,7.45,7.33,7.33,533659
2024-06-24,7.33,7.5,7.1,7.1,1252220
2024-06-25,7.06,7.17,7.06,7.11,705007
2024-06-26,7.1,7.24,7.07,7.2,509987
2024-06-27,7.2,7.24,7.13,7.2,345416
2024-06-28,7.2,7.23,6.9,6.92,1337199
2024-07-01,6.91,6.92,6.82,6.9,722407
2024-07-02,6.82,7.0,6.82,6.9,809584
2024-07-03,6.99,6.99,6.9,6.92,455457
2024-07-04,6.93,7.15,6.93,7.01,773666
2024-07-05,6.97,7.07,6.92,7.0,440723
2024-07-08,7.18,7.18,6.98,6.98,414906
2024-07-09,6.99,7.04,6.94,7.0,693102
2024-07-10,7.01,7.2,6.99,7.0,640274
2024-07-11,7.09,7.09,7.0,7.04,322881
2024-07-12,7.11,7.11,6.94,6.99,606466
2024-07-15,6.99,6.99,6.7,6.85,1042367
2024-07-16,6.86,6.95,6.77,6.78,532400
2024-07-17,6.75,6.84,6.35,6.8,1031393
2024-07-18,6.69,6.8,6.6,6.8,303132
2024-07-19,6.66,6.77,6.64,6.72,390897
2024-07-22,6.72,6.72,6.4,6.48,680929
2024-07-23,6.42,6.59,6.31,6.47,864358
2024-07-24,6.42,6.45,6.28,6.35,466884
2024-07-25,6.35,6.35,6.28,6.35,304303
2024-07-26,6.34,6.37,6.27,6.37,256300
2024-07-29,6.37,6.52,6.37,6.51,394400
2024-07-30,6.75,6.96,6.71,6.96,1783800
2024-07-31,6.98,7.3,6.96,6.97,1686800
2024-08-01,6.97,7.0,6.54,6.54,871000
2024-08-02,6.45,6.68,6.45,6.62,480000
2024-08-05,6.61,6.61,6.3,6.51,784300
2024-08-06,6.5,6.55,6.34,6.5,360100
2024-08-07,6.5,6.65,6.45,6.59,229100
2024-08-08,6.57,6.62,6.5,6.58,192600
2024-08-09,6.64,6.64,6.53,6.6,271800
2024-08-12,6.6,6.63,6.54,6.6,195700
2024-08-13,6.53,6.59,6.51,6.54,254600
2024-08-14,6.54,6.6,6.5,6.51,130200
2024-08-15,6.51,6.54,6.06,6.54,282900
2024-08-16,6.54,6.72,6.47,6.67,590000
