time,open,high,low,close,volume
2023-03-30,21.58,21.76,21.32,21.76,641300
2023-03-31,21.76,21.76,21.76,21.76,0
2023-04-03,21.76,21.76,21.76,21.76,0
2023-04-04,21.5,22.81,21.5,22.81,1600
2023-04-05,21.5,22.72,21.5,22.72,294300
2023-04-06,23.34,23.34,21.76,21.85,274000
2023-04-07,22.81,22.81,21.5,21.5,200
2023-04-10,21.76,21.76,21.76,21.76,100
2023-04-11,21.76,21.76,21.76,21.76,0
2023-04-12,21.76,21.76,21.76,21.76,9400
2023-04-13,21.76,21.76,21.76,21.76,0
2023-04-14,21.85,22.64,21.85,22.64,200
2023-04-17,22.72,22.72,22.72,22.72,100
2023-04-18,22.55,22.55,22.55,22.55,300
2023-04-19,22.55,22.55,22.55,22.55,0
2023-04-20,21.58,22.37,21.58,22.37,200
2023-04-21,22.37,22.46,22.37,22.46,700
2023-04-24,22.46,22.46,22.46,22.46,0
2023-04-25,22.55,22.72,20.27,22.72,700
2023-04-26,22.72,22.72,22.72,22.72,0
2023-04-27,22.64,22.64,22.64,22.64,500
2023-04-28,22.64,22.64,22.64,22.64,0
2023-05-04,22.37,22.37,22.37,22.37,100
2023-05-05,22.37,22.37,22.37,22.37,900
2023-05-08,22.37,22.37,22.37,22.37,0
2023-05-09,22.46,22.46,22.46,22.46,100
2023-05-10,22.46,22.46,22.46,22.46,0
2023-05-11,22.46,22.46,22.46,22.46,0
2023-05-12,22.64,22.64,22.64,22.64,100
2023-05-15,22.46,22.46,22.02,22.02,1000
2023-05-16,22.02,22.02,22.02,22.02,100
2023-05-17,22.46,22.46,22.46,22.46,100
2023-05-18,22.46,22.46,22.46,22.46,400
2023-05-19,22.55,22.55,20.53,20.53,300
2023-05-22,22.55,22.55,22.55,22.55,700
2023-05-23,22.55,22.55,22.55,22.55,2
2023-05-24,22.55,22.55,22.55,22.55,1
2023-05-25,22.55,22.55,22.55,22.55,0
2023-05-26,22.55,22.55,22.55,22.55,0
2023-05-29,22.55,22.55,22.55,22.55,0
2023-05-30,22.55,22.55,22.55,22.55,0
2023-05-31,21.23,22.81,21.23,22.81,1200
2023-06-01,21.93,21.93,21.93,21.93,600
2023-06-02,21.93,21.93,21.93,21.93,0
2023-06-05,22.37,22.46,22.37,22.46,1000
2023-06-06,22.46,22.46,22.46,22.46,0
2023-06-07,22.46,22.46,22.46,22.46,0
2023-06-08,22.46,22.46,22.46,22.46,0
2023-06-09,22.11,22.11,22.11,22.11,500
2023-06-12,22.11,22.11,22.11,22.11,0
2023-06-13,22.11,22.11,22.11,22.11,0
2023-06-14,22.11,22.11,22.11,22.11,0
2023-06-15,21.93,21.93,21.06,21.06,403
2023-06-16,21.93,22.37,21.93,21.93,7702
2023-06-19,21.93,21.93,21.93,21.93,0
2023-06-20,21.93,21.93,21.93,21.93,0
2023-06-21,22.9,22.9,22.9,22.9,100
2023-06-22,22.9,22.9,22.9,22.9,0
2023-06-23,22.9,22.9,22.9,22.9,0
2023-06-26,22.9,22.9,22.9,22.9,0
2023-06-27,22.9,22.9,22.9,22.9,2
2023-06-28,22.9,22.9,22.9,22.9,15
2023-06-29,22.9,22.9,22.9,22.9,0
2023-06-30,22.9,22.9,22.9,22.9,0
2023-07-03,20.71,21.93,20.62,21.93,800
2023-07-04,21.93,21.93,21.93,21.93,0
2023-07-05,21.93,21.93,21.93,21.93,0
2023-07-06,22.81,22.81,22.81,22.81,101
2023-07-07,21.93,21.93,20.71,20.71,600
2023-07-10,22.72,22.72,22.72,22.72,100
2023-07-11,22.9,23.08,22.81,22.9,922
2023-07-12,22.9,22.9,22.9,22.9,4
2023-07-13,22.46,22.46,22.46,22.46,102
2023-07-14,22.46,22.46,22.46,22.46,500
2023-07-17,22.46,22.46,22.46,22.46,0
2023-07-18,22.46,22.46,22.46,22.46,22
2023-07-19,22.46,22.46,22.46,22.46,200
