time,open,high,low,close,volume
2023-03-30,33.14,33.14,32.58,33.1,1001
2023-03-31,33.1,33.14,33.1,33.14,301
2023-04-03,33.14,33.14,33.1,33.14,3800
2023-04-04,33.14,33.14,32.58,32.86,14900
2023-04-05,33.1,33.1,32.86,32.86,7087
2023-04-06,33.1,33.1,32.86,32.86,2300
2023-04-07,33.1,33.22,32.9,33.22,21852
2023-04-10,32.94,33.14,32.86,33.1,9805
2023-04-11,33.1,33.1,32.62,33.1,9195
2023-04-12,33.1,33.1,32.62,32.86,13702
2023-04-13,32.46,32.86,32.46,32.86,1808
2023-04-14,32.86,32.86,32.46,32.86,5500
2023-04-17,32.46,32.86,32.06,32.86,1201
2023-04-18,32.46,32.86,32.46,32.86,3058
2023-04-19,31.66,32.7,31.66,32.46,20604
2023-04-20,32.06,32.46,32.06,32.38,32104
2023-04-21,32.46,32.86,32.06,32.14,4602
2023-04-24,32.22,32.78,32.22,32.78,500
2023-04-25,32.54,32.54,32.54,32.54,15350
2023-04-26,32.06,32.54,32.06,32.3,12300
2023-04-27,32.86,32.86,31.74,32.06,28800
2023-04-28,32.06,32.06,31.82,32.06,26718
2023-05-04,31.9,31.9,31.26,31.26,25019
2023-05-05,31.26,31.26,31.26,31.26,58686
2023-05-08,32.06,32.06,31.22,31.26,13004
2023-05-09,31.26,31.26,31.26,31.26,4900
2023-05-10,31.26,31.66,31.26,31.66,2913
2023-05-11,31.66,31.66,31.66,31.66,0
2023-05-12,31.66,31.66,31.66,31.66,200
2023-05-15,31.58,31.58,31.18,31.26,82425
2023-05-16,31.26,31.26,31.18,31.18,21400
2023-05-17,31.18,31.42,31.18,31.26,58891
2023-05-18,31.26,31.66,30.93,31.26,6624
2023-05-19,31.26,31.26,30.97,31.26,4816
2023-05-22,31.58,31.58,31.42,31.42,207
2023-05-23,31.42,31.42,29.65,29.65,4530
2023-05-24,31.26,31.26,31.26,31.26,200
2023-05-25,31.26,31.26,31.26,31.26,703
2023-05-26,31.22,31.26,31.1,31.26,1235
2023-05-29,31.26,31.3,31.26,31.26,400
2023-05-30,31.26,31.26,30.93,31.26,27510
2023-05-31,30.93,31.26,30.85,30.85,11358
2023-06-01,31.26,31.3,30.85,31.18,16701
2023-06-02,31.34,31.34,31.34,31.34,246
2023-06-05,32.06,32.06,31.26,31.26,13815
2023-06-06,31.26,31.26,30.45,31.26,1374
2023-06-07,31.26,31.66,30.45,31.26,10420
2023-06-08,31.66,31.66,31.66,31.66,100
2023-06-09,30.85,31.66,30.77,31.26,15925
2023-06-12,31.82,31.82,31.26,31.26,500
2023-06-13,30.93,31.26,30.45,30.85,8568
2023-06-14,31.66,31.66,30.85,30.85,7900
2023-06-15,30.85,31.01,30.85,30.85,14157
2023-06-16,31.26,31.26,30.85,30.93,17845
2023-06-19,31.18,31.26,29.65,30.85,4500
2023-06-20,30.85,30.89,30.85,30.85,13300
2023-06-21,31.26,31.26,30.85,31.01,22900
2023-06-22,31.18,31.26,30.85,30.85,27700
2023-06-23,30.85,31.01,30.61,30.77,34880
2023-06-26,31.26,31.26,31.01,31.26,11900
2023-06-27,31.26,31.66,31.26,31.26,5269
2023-06-28,31.26,31.66,31.01,31.26,11500
2023-06-29,31.26,31.26,31.26,31.26,4600
2023-06-30,31.1,31.26,31.1,31.26,2006
2023-07-03,31.26,31.34,30.53,31.34,27000
2023-07-04,31.01,31.42,31.01,31.26,21800
2023-07-05,31.26,31.26,31.18,31.26,9411
2023-07-06,30.77,31.66,30.77,31.26,16958
2023-07-07,31.26,31.26,31.26,31.26,418
2023-07-10,31.26,31.9,31.26,31.9,56112
2023-07-11,31.66,31.9,31.62,31.62,88389
2023-07-12,31.74,31.82,31.66,31.74,74301
2023-07-13,31.9,32.06,31.82,32.02,37208
2023-07-14,32.06,32.06,31.7,31.9,63047
2023-07-17,32.07,32.07,31.51,31.64,35923
2023-07-18,31.72,31.72,31.47,31.64,15000
2023-07-19,31.04,31.64,31.04,31.25,20500
2023-07-20,31.25,31.25,30.87,31.21,17715
2023-07-21,31.13,31.21,30.87,31.21,6706
2023-07-24,31.21,31.21,30.87,30.96,4700
2023-07-25,31.13,31.13,30.87,30.96,9300
2023-07-26,30.96,30.96,30.83,30.87,14607
2023-07-27,30.61,30.96,30.61,30.87,28900
2023-07-28,31.17,31.25,30.96,31.25,23215
2023-07-31,31.43,31.55,31.3,31.34,15758
2023-08-01,31.47,31.47,31.38,31.47,11736
2023-08-02,31.47,31.47,31.38,31.47,7803
2023-08-03,31.47,31.55,31.38,31.51,12078
2023-08-04,31.55,31.81,31.55,31.81,27134
2023-08-07,31.85,31.98,31.81,31.85,16266
2023-08-08,31.9,32.15,31.85,32.07,14504
2023-08-09,32.07,32.07,31.81,31.98,6201
2023-08-10,31.72,31.98,31.72,31.94,11000
2023-08-11,31.64,32.07,31.64,31.94,6014
2023-08-14,32.49,32.49,31.98,32.07,3000
2023-08-15,32.07,32.49,32.07,32.07,8578
2023-08-16,31.81,32.15,31.81,32.07,1600
2023-08-17,32.07,32.07,31.81,32.07,11104
2023-08-18,31.81,32.07,31.21,31.68,48992
2023-08-21,31.9,31.98,31.68,31.72,2231
2023-08-22,31.72,31.81,31.3,31.64,5274
2023-08-23,31.9,31.9,31.64,31.72,701
2023-08-24,31.64,31.9,31.64,31.9,2115
2023-08-25,31.98,31.98,31.9,31.98,602
2023-08-28,31.98,32.15,31.98,32.15,10412
2023-08-29,32.24,32.41,32.15,32.32,10011
2023-08-30,32.49,32.75,32.49,32.71,2200
2023-08-31,32.88,32.88,32.84,32.84,402
2023-09-05,32.67,32.84,32.67,32.67,2821
2023-09-06,32.67,32.67,32.67,32.67,0
2023-09-07,31.43,32.58,31.43,32.41,4801
2023-09-08,32.07,32.75,31.72,32.58,10741
2023-09-11,32.49,32.49,32.49,32.49,1447
2023-09-12,31.81,32.49,31.64,32.49,15300
2023-09-13,32.45,32.62,32.41,32.58,24902
2023-09-14,32.45,32.75,32.15,32.49,7210
2023-09-15,32.49,32.49,32.41,32.49,2666
2023-09-18,32.32,32.41,32.24,32.41,3201
2023-09-19,32.49,32.49,32.07,32.24,3110
2023-09-20,32.49,32.49,32.49,32.49,193
2023-09-21,32.49,32.49,32.32,32.32,1100
2023-09-22,32.32,32.32,31.81,32.24,500
2023-09-25,32.49,32.49,32.07,32.07,13700
2023-09-26,32.58,32.58,32.28,32.28,2300
2023-09-27,32.28,32.28,32.28,32.28,400
2023-09-28,32.37,32.41,32.24,32.41,3506
2023-09-29,32.45,32.45,32.41,32.41,2800
2023-10-02,32.41,32.41,32.37,32.41,440
2023-10-03,32.07,32.41,32.07,32.2,1300
2023-10-04,32.2,32.49,32.02,32.45,58802
2023-10-05,32.45,32.49,32.32,32.45,14920
2023-10-06,32.49,32.75,32.49,32.49,715
2023-10-09,32.49,32.49,31.9,32.49,7105
2023-10-10,32.49,32.75,31.98,32.75,34969
2023-10-11,32.75,32.75,32.49,32.58,2100
2023-10-12,32.58,32.58,32.49,32.49,1500
2023-10-13,32.49,32.49,32.49,32.49,16000
2023-10-16,32.49,32.49,32.07,32.49,3210
2023-10-17,32.49,32.67,32.49,32.67,16200
2023-10-18,32.92,32.92,32.24,32.49,3211
2023-10-19,32.49,32.49,32.07,32.07,1899
2023-10-20,32.07,32.49,32.07,32.49,4341
2023-10-23,32.49,32.49,32.49,32.49,520
2023-10-24,32.76,33.37,31.62,32.93,6400
2023-10-25,32.93,32.93,31.75,32.93,3024
2023-10-26,32.93,32.93,31.79,32.49,3900
2023-10-27,32.49,32.49,31.79,32.49,670
2023-10-30,32.93,32.93,32.05,32.05,11002
2023-10-31,32.49,32.49,31.62,32.05,9100
2023-11-01,32.05,32.05,31.35,31.62,15401
2023-11-02,32.45,32.45,31.62,32.32,8110
2023-11-03,32.23,32.32,32.23,32.27,3300
2023-11-06,32.27,32.32,31.62,32.14,17461
2023-11-07,31.62,32.14,31.62,32.14,600
2023-11-08,31.62,32.14,31.62,32.14,2700
2023-11-09,32.05,32.49,31.97,32.49,5949
