time,open,high,low,close,volume
2023-03-30,8.3,8.3,8.1,8.1,2600
2023-03-31,7.7,7.8,7.7,7.8,1092
2023-04-03,8.3,8.3,8.1,8.1,2200
2023-04-04,8.4,8.7,8.1,8.4,77508
2023-04-05,8.4,8.9,8.4,8.7,49500
2023-04-06,7.9,9.5,7.9,8.8,12329
2023-04-07,9.5,9.5,8.3,9.3,5400
2023-04-10,9.2,10.2,9.1,10.2,14506
2023-04-11,10.2,10.2,9.5,9.8,2600
2023-04-12,10.2,10.5,9.6,9.6,4550
2023-04-13,9.6,10.5,8.7,10.0,30500
2023-04-14,9.8,11.0,9.8,10.5,8100
2023-04-17,9.5,11.3,9.5,10.8,12200
2023-04-18,10.0,10.8,9.8,9.8,26500
2023-04-19,9.5,9.8,9.5,9.8,700
2023-04-20,9.8,10.5,8.9,10.0,25300
2023-04-21,10.0,10.2,9.0,9.0,10315
2023-04-24,9.5,9.7,8.6,8.6,3703
2023-04-25,8.5,8.5,8.4,8.4,1800
2023-04-26,8.7,8.7,8.4,8.7,1200
2023-04-27,8.9,9.5,8.9,9.3,6818
2023-04-28,9.7,10.0,8.6,9.7,6800
2023-05-04,8.9,8.9,8.9,8.9,900
2023-05-05,8.9,8.9,8.3,8.3,3700
2023-05-08,8.3,8.7,8.3,8.7,4200
2023-05-09,8.3,8.8,8.3,8.8,7400
2023-05-10,8.3,8.7,8.3,8.7,2700
2023-05-11,8.9,8.9,8.9,8.9,4000
2023-05-12,8.5,8.8,8.2,8.8,1100
2023-05-15,8.8,8.8,8.2,8.6,6800
2023-05-16,8.3,8.3,8.1,8.2,3500
2023-05-17,8.6,8.6,8.4,8.4,300
2023-05-18,8.0,8.0,7.8,8.0,11417
2023-05-19,7.5,7.9,7.5,7.9,3300
2023-05-22,8.3,8.3,8.1,8.3,351
2023-05-23,7.7,8.2,7.6,7.6,19721
2023-05-24,7.9,7.9,7.3,7.8,7300
2023-05-25,8.0,8.0,7.5,7.5,2100
2023-05-26,7.5,7.8,7.5,7.8,400
2023-05-29,8.0,8.5,7.6,7.9,10535
2023-05-30,8.4,8.4,7.9,7.9,2000
2023-05-31,8.3,8.5,8.0,8.4,3100
2023-06-01,8.3,8.3,7.7,8.1,7920
2023-06-02,7.9,7.9,7.7,7.8,4500
2023-06-05,7.6,8.0,7.6,8.0,700
2023-06-06,7.8,8.0,7.8,7.8,3820
2023-06-07,7.8,8.0,7.8,8.0,1955
2023-06-08,7.9,8.1,7.9,8.1,3710
2023-06-09,7.9,8.0,7.8,7.8,2700
2023-06-12,8.0,8.0,8.0,8.0,241
2023-06-13,7.8,8.3,7.8,8.1,51900
2023-06-14,8.2,8.3,8.0,8.1,1900
2023-06-15,8.0,8.0,7.8,7.8,2600
2023-06-16,7.8,7.8,7.7,7.8,5700
2023-06-19,7.8,7.8,7.8,7.8,100
2023-06-20,7.6,7.8,7.6,7.8,8800
2023-06-21,7.8,7.8,7.6,7.8,4500
2023-06-22,8.1,8.1,7.7,7.7,1600
2023-06-23,7.8,7.9,7.6,7.6,3002
2023-06-26,7.6,7.6,7.4,7.4,7800
2023-06-27,7.8,8.0,7.5,7.7,9100
2023-06-28,7.7,7.7,7.7,7.7,200
2023-06-29,7.7,7.7,7.7,7.7,300
2023-06-30,7.5,7.5,7.3,7.3,800
2023-07-03,7.2,7.9,7.0,7.8,33700
2023-07-04,7.8,7.8,7.8,7.8,300
2023-07-05,7.5,7.6,7.5,7.5,3100
2023-07-06,7.5,7.5,7.5,7.5,700
2023-07-07,7.5,7.7,7.4,7.7,40000
2023-07-10,7.7,7.7,7.6,7.6,1702
2023-07-11,7.5,7.8,7.5,7.5,10100
2023-07-12,7.5,7.5,7.4,7.5,1818
2023-07-13,7.5,7.5,7.5,7.5,1000
2023-07-14,7.4,7.5,7.3,7.5,5700
2023-07-17,7.5,7.6,7.0,7.5,16500
2023-07-18,7.5,7.5,7.5,7.5,400
2023-07-19,7.6,7.6,7.1,7.1,3000
2023-07-20,7.4,7.5,6.9,7.4,9900
2023-07-21,7.4,7.4,7.0,7.4,5500
2023-07-24,7.4,7.4,7.4,7.4,100
2023-07-25,7.4,7.5,7.4,7.4,1900
2023-07-26,7.1,7.2,7.1,7.1,3700
2023-07-27,7.1,7.1,7.1,7.1,700
2023-07-28,7.4,7.4,7.3,7.3,200
2023-07-31,7.1,7.2,6.7,7.0,9700
2023-08-01,7.1,7.3,7.0,7.0,10000
2023-08-02,7.3,7.3,7.1,7.2,5700
2023-08-03,7.2,7.2,7.0,7.1,3600
2023-08-04,6.9,7.1,6.9,7.1,3801
2023-08-07,7.3,7.3,7.1,7.1,12805
2023-08-08,7.2,7.3,7.1,7.2,9401
2023-08-09,7.2,7.5,7.2,7.5,27638
2023-08-10,7.5,8.1,7.5,8.1,57138
2023-08-11,8.4,8.4,7.7,8.3,21750
2023-08-14,8.2,8.8,8.0,8.3,13804
2023-08-15,7.7,9.0,7.7,8.4,15700
2023-08-16,8.7,8.7,8.3,8.4,1965
2023-08-17,8.3,8.3,8.0,8.3,1300
2023-08-18,7.6,7.6,7.5,7.5,2300
2023-08-21,7.0,7.6,7.0,7.4,2238
2023-08-22,7.4,7.4,7.0,7.3,4200
2023-08-23,7.6,7.6,7.1,7.4,1200
2023-08-24,7.5,7.5,6.8,7.0,20900
2023-08-25,6.9,7.2,6.7,7.2,8862
