time,open,high,low,close,volume
2023-03-30,19.0,19.0,17.8,18.35,969544
2023-03-31,18.35,18.8,17.45,17.45,642304
2023-04-03,17.5,17.5,16.45,17.0,455417
2023-04-04,16.7,16.95,16.5,16.9,131718
2023-04-05,17.15,18.05,16.9,17.45,612432
2023-04-06,17.9,18.15,17.5,17.65,988600
2023-04-07,17.7,17.7,17.0,17.05,298500
2023-04-10,17.05,17.7,16.65,16.7,260637
2023-04-11,16.6,16.6,15.7,15.9,313519
2023-04-12,15.9,16.3,15.25,15.5,230145
2023-04-13,15.25,16.5,15.25,16.2,411108
2023-04-14,16.2,16.7,15.8,15.8,178845
2023-04-17,16.1,16.1,15.5,15.7,126609
2023-04-18,16.0,16.0,15.55,15.75,87900
2023-04-19,15.8,15.9,15.6,15.6,104500
2023-04-20,15.85,15.85,15.6,15.6,148108
2023-04-21,15.6,15.9,15.6,15.6,185150
2023-04-24,15.8,16.0,15.7,15.9,72968
2023-04-25,16.15,16.15,15.3,15.3,68500
2023-04-26,15.3,15.7,15.3,15.4,31957
2023-04-27,15.5,15.65,15.2,15.2,49100
2023-04-28,15.55,15.9,15.4,15.7,83088
2023-05-04,15.7,15.7,15.0,15.4,71214
2023-05-05,15.35,15.5,15.3,15.35,66200
2023-05-08,15.4,15.65,15.4,15.4,89845
2023-05-09,15.4,16.45,15.4,16.45,170355
2023-05-10,17.55,17.6,16.5,17.6,275794
2023-05-11,18.0,18.8,18.0,18.8,565870
2023-05-12,19.8,19.8,18.3,18.8,803821
2023-05-15,18.4,18.8,18.3,18.55,134580
2023-05-16,18.55,18.95,18.45,18.6,103461
2023-05-17,18.4,18.65,17.4,17.4,95315
2023-05-18,17.4,18.6,17.4,18.6,73545
2023-05-19,19.9,19.9,19.9,19.9,135144
2023-05-22,21.0,21.0,20.1,20.25,230243
2023-05-23,20.35,21.65,20.35,21.65,299273
2023-05-24,21.7,23.15,21.7,23.15,212254
2023-05-25,24.7,24.7,22.5,24.2,324654
2023-05-26,22.65,24.2,22.65,23.2,87421
2023-05-29,24.0,24.1,22.0,23.4,196902
2023-05-30,23.15,24.8,23.0,23.5,80726
2023-05-31,24.75,24.75,23.55,24.0,37007
2023-06-01,23.7,25.0,23.6,25.0,88970
2023-06-02,25.0,25.0,24.4,24.55,36042
2023-06-05,25.95,25.95,23.8,24.4,50861
2023-06-06,25.4,25.4,23.7,24.55,16666
2023-06-07,24.55,24.6,24.15,24.25,23536
2023-06-08,24.0,24.25,23.7,23.95,46002
2023-06-09,24.0,24.15,22.5,23.0,44538
2023-06-12,24.0,24.0,22.8,22.8,75601
2023-06-13,23.9,24.35,23.45,24.35,87623
2023-06-14,26.0,26.0,24.35,25.75,69025
2023-06-15,24.5,25.9,24.5,24.95,53303
2023-06-16,25.2,25.2,24.75,24.75,40529
2023-06-19,24.25,25.05,24.25,24.35,28302
2023-06-20,24.25,25.45,24.05,25.1,77937
2023-06-21,24.8,26.85,24.8,26.85,127699
2023-06-22,28.7,28.7,26.9,28.7,94303
2023-06-23,29.5,30.7,28.7,29.8,102372
2023-06-26,30.75,31.5,27.75,27.75,210782
2023-06-27,27.75,29.25,25.85,25.85,232179
2023-06-28,25.85,25.85,24.95,25.0,86400
2023-06-29,25.0,26.75,23.35,26.3,354843
2023-06-30,25.9,26.3,24.95,25.7,118201
2023-07-03,25.6,25.6,24.95,25.3,42101
2023-07-04,25.5,25.5,24.2,24.4,69842
2023-07-05,25.15,25.15,24.4,24.8,43160
2023-07-06,24.8,25.3,24.5,24.5,32098
2023-07-07,24.05,24.8,24.05,24.8,33335
2023-07-10,24.5,24.95,24.5,24.7,25101
2023-07-11,24.7,24.95,24.7,24.9,32610
2023-07-12,25.0,25.0,24.7,24.7,23305
2023-07-13,24.15,24.9,24.15,24.8,42905
2023-07-14,25.0,26.0,24.5,25.5,97306
2023-07-17,24.95,26.0,24.75,24.75,99136
2023-07-18,24.8,25.3,24.55,24.9,57221
2023-07-19,24.6,25.0,24.5,24.95,41600
2023-07-20,24.95,24.95,24.5,24.95,45549
2023-07-21,24.95,24.95,24.55,24.55,44003
2023-07-24,24.6,24.9,24.4,24.8,73400
2023-07-25,24.5,24.95,24.5,24.9,33300
2023-07-26,24.85,24.85,24.45,24.8,43111
2023-07-27,24.75,24.8,23.1,23.8,270889
2023-07-28,23.1,24.0,23.0,23.4,114303
2023-07-31,23.0,24.0,21.8,23.9,252305
2023-08-01,23.95,23.95,22.25,23.25,213024
2023-08-02,22.5,22.9,21.95,22.75,91807
2023-08-03,22.0,22.8,21.9,22.2,84000
2023-08-04,21.85,22.15,21.85,22.1,57823
2023-08-07,22.15,23.2,22.1,23.1,302047
2023-08-08,23.4,24.2,23.4,23.7,277704
2023-08-09,24.5,24.5,22.95,23.4,78890
2023-08-10,22.95,23.0,22.4,22.95,39908
2023-08-11,22.5,23.15,22.45,22.95,50553
2023-08-14,23.0,23.2,22.95,23.1,34157
2023-08-15,23.0,23.0,21.95,22.8,137021
2023-08-16,22.8,22.8,22.65,22.8,14491
2023-08-17,22.95,22.95,21.75,22.65,195104
2023-08-18,22.85,22.85,21.1,21.15,86813
2023-08-21,20.95,22.6,20.95,22.6,181902
2023-08-22,23.5,23.5,21.65,22.0,80610
2023-08-23,22.0,22.45,21.0,21.6,71476
2023-08-24,21.1,21.7,20.95,21.15,75508
2023-08-25,21.2,21.7,21.1,21.35,22549
2023-08-28,21.6,21.6,21.3,21.6,67010
2023-08-29,21.8,21.9,21.5,21.6,21610
2023-08-30,21.6,21.65,21.4,21.6,8401
2023-08-31,21.6,22.0,21.55,21.95,28228
2023-09-05,21.95,22.0,21.8,21.85,24150
2023-09-06,21.85,21.95,21.7,21.75,37956
2023-09-07,21.95,21.95,21.7,21.8,40102
2023-09-08,21.8,21.85,21.7,21.8,32409
2023-09-11,21.6,21.9,21.6,21.6,19009
2023-09-12,21.5,21.8,21.45,21.45,30723
2023-09-13,21.5,21.8,21.5,21.65,400500
2023-09-14,21.8,22.4,21.6,21.95,645656
2023-09-15,22.45,22.45,21.75,21.95,566921
2023-09-18,21.7,22.15,20.45,20.9,457474
2023-09-19,21.0,21.0,19.45,19.45,149100
2023-09-20,19.4,19.4,18.1,18.3,250314
2023-09-21,18.4,19.55,18.4,19.35,179204
2023-09-22,19.35,19.55,18.65,19.0,136100
2023-09-25,19.05,19.45,17.7,18.45,83010
2023-09-26,19.1,19.1,18.3,18.3,122609
2023-09-27,18.25,18.25,17.05,17.9,58900
2023-09-28,17.9,18.3,17.5,17.7,126400
2023-09-29,17.7,18.2,17.7,17.85,184500
2023-10-02,18.35,18.35,17.9,17.9,153400
2023-10-03,17.5,17.8,17.4,17.4,57400
2023-10-04,17.5,17.55,17.4,17.5,139800
2023-10-05,17.8,17.9,17.5,17.5,7900
2023-10-06,17.5,17.9,17.0,17.4,6605
2023-10-09,17.95,17.95,16.9,17.35,6424
2023-10-10,17.8,17.8,17.3,17.6,11502
2023-10-11,17.6,18.05,17.6,17.7,8500
2023-10-12,17.95,18.1,17.7,18.0,78704
2023-10-13,18.0,18.0,17.3,17.9,4100
2023-10-16,17.9,17.9,17.5,17.6,9045
2023-10-17,17.6,17.9,17.2,17.6,301100
2023-10-18,17.3,17.5,16.85,17.0,135242
2023-10-19,17.45,17.45,17.0,17.3,1020700
2023-10-20,18.0,18.0,17.3,17.85,519211
2023-10-23,18.1,18.25,17.5,17.8,8400
2023-10-24,17.8,17.8,17.2,17.5,7005
2023-10-25,17.0,17.65,17.0,17.1,194200
2023-10-26,17.8,17.8,16.3,17.0,89300
2023-10-27,17.5,17.5,16.95,17.25,9700
2023-10-30,17.5,17.5,17.0,17.0,7200
2023-10-31,17.55,17.55,17.0,17.0,23300
2023-11-01,17.05,17.45,16.9,17.0,40400
2023-11-02,18.0,18.0,17.5,17.5,3728
2023-11-03,17.1,17.45,17.1,17.45,3900
2023-11-06,17.5,17.5,17.35,17.45,5800
2023-11-07,17.55,17.55,17.4,17.4,2413
2023-11-08,17.4,17.4,16.95,17.35,46706
2023-11-09,17.35,17.4,17.0,17.1,22214
2023-11-10,17.0,17.2,17.0,17.2,23503
2023-11-13,17.3,17.3,17.0,17.2,27020
2023-11-14,17.2,18.4,17.2,18.4,127993
2023-11-15,19.25,19.4,18.5,18.9,1069656
2023-11-16,19.0,19.8,18.65,19.45,449308
2023-11-17,19.6,19.95,18.5,18.6,398120
2023-11-20,18.6,19.3,18.5,19.0,512805
2023-11-21,19.0,20.3,19.0,19.4,436405
2023-11-22,19.4,19.5,18.95,19.15,195903
2023-11-23,19.15,19.35,18.4,18.4,290400
2023-11-24,18.05,18.9,17.35,18.0,226600
2023-11-27,18.0,18.0,17.5,17.6,54900
2023-11-28,17.7,18.8,17.3,18.8,228900
2023-11-29,18.8,20.0,18.8,19.9,339000
2023-11-30,19.9,19.9,19.0,19.5,114009
