time,open,high,low,close,volume
2023-03-30,17.69,17.69,17.69,17.69,0
2023-03-31,15.96,17.69,15.96,17.69,500
2023-04-03,17.69,17.69,17.69,17.69,100
2023-04-04,17.69,17.69,17.69,17.69,0
2023-04-05,17.69,17.69,17.69,17.69,0
2023-04-06,17.69,17.69,17.69,17.69,0
2023-04-07,17.69,17.69,17.69,17.69,0
2023-04-10,17.69,17.69,17.69,17.69,0
2023-04-11,17.52,17.52,17.52,17.52,100
2023-04-12,17.52,17.52,17.52,17.52,0
2023-04-13,17.52,17.52,17.52,17.52,0
2023-04-14,15.79,17.6,15.79,17.6,400
2023-04-17,17.6,17.6,17.6,17.6,0
2023-04-18,17.6,17.6,17.6,17.6,0
2023-04-19,17.6,17.6,17.6,17.6,0
2023-04-20,16.83,16.83,16.83,16.83,100
2023-04-21,16.48,16.48,16.48,16.48,100
2023-04-24,16.48,16.48,16.48,16.48,100
2023-04-25,17.26,17.26,17.26,17.26,102
2023-04-26,17.26,17.26,17.26,17.26,0
2023-04-27,17.26,17.26,17.26,17.26,0
2023-04-28,17.26,17.26,17.26,17.26,1
2023-05-04,17.26,17.26,17.26,17.26,0
2023-05-05,17.26,17.26,17.26,17.26,1
2023-05-08,17.26,17.26,17.26,17.26,0
2023-05-09,17.26,17.26,17.26,17.26,0
2023-05-10,16.83,16.83,16.4,16.4,700
2023-05-11,16.4,16.83,14.93,15.02,906
2023-05-12,16.48,16.48,16.48,16.48,100
2023-05-15,15.53,15.53,15.53,15.53,201
2023-05-16,16.57,16.57,16.57,16.57,102
2023-05-17,16.57,16.57,16.57,16.57,0
2023-05-18,16.57,16.57,16.57,16.57,0
2023-05-19,16.57,16.57,16.57,16.57,0
2023-05-22,16.4,16.4,15.02,16.4,500
2023-05-23,16.4,16.4,16.4,16.4,0
2023-05-24,17.69,17.69,17.69,17.69,101
2023-05-25,17.26,17.26,17.26,17.26,200
2023-05-26,17.26,17.26,17.26,17.26,6
2023-05-29,17.26,17.26,17.26,17.26,200
2023-05-30,18.73,18.73,18.73,18.73,100
2023-05-31,18.73,18.73,18.73,18.73,0
2023-06-01,18.73,18.73,18.73,18.73,0
2023-06-02,18.73,18.73,18.73,18.73,0
2023-06-05,18.12,18.55,18.12,18.55,200
2023-06-06,18.55,18.55,18.55,18.55,0
2023-06-07,18.55,18.55,18.55,18.55,0
2023-06-08,19.76,19.76,19.76,19.76,107
2023-06-09,19.76,19.76,19.76,19.76,0
2023-06-12,18.12,18.12,18.12,18.12,100
2023-06-13,18.12,19.93,18.12,19.93,203
2023-06-14,19.93,19.93,19.93,19.93,0
2023-06-15,18.12,18.12,17.95,17.95,503
2023-06-16,19.42,19.42,19.42,19.42,104
2023-06-19,17.6,17.6,17.6,17.6,100
2023-06-20,17.6,17.6,17.6,17.6,1
2023-06-21,18.55,18.55,15.96,15.96,200
2023-06-22,14.84,14.84,14.84,14.84,100
2023-06-23,16.31,16.31,16.31,16.31,300
2023-06-26,17.52,17.52,17.52,17.52,105
2023-06-27,18.9,18.9,18.9,18.9,100
2023-06-28,18.12,18.9,18.12,18.9,1100
2023-06-29,17.26,17.26,17.26,17.26,600
2023-06-30,18.47,18.47,18.47,18.47,100
2023-07-03,18.47,18.47,18.47,18.47,0
2023-07-04,18.47,18.47,18.47,18.47,0
2023-07-05,18.47,18.47,18.47,18.47,0
2023-07-06,18.47,18.47,18.47,18.47,0
2023-07-07,18.47,18.47,18.47,18.47,1000
2023-07-10,18.47,18.47,18.47,18.47,0
2023-07-11,16.65,18.55,16.65,16.74,593
2023-07-12,16.4,16.4,16.4,16.4,200
2023-07-13,16.4,16.4,16.4,16.4,0
2023-07-14,18.04,18.04,18.04,18.04,200
2023-07-17,18.04,18.04,18.04,18.04,0
2023-07-18,18.04,18.04,18.04,18.04,0
2023-07-19,18.04,18.04,18.04,18.04,0
2023-07-20,18.04,18.04,18.04,18.04,0
2023-07-21,16.48,16.48,16.4,16.48,2500
2023-07-24,16.57,16.57,16.57,16.57,126
2023-07-25,16.57,16.57,16.57,16.57,0
2023-07-26,18.21,18.21,18.21,18.21,102
2023-07-27,18.21,18.21,18.21,18.21,0
2023-07-28,18.21,18.21,18.21,18.21,0
2023-07-31,18.21,18.21,18.21,18.21,0
2023-08-01,18.21,18.21,18.21,18.21,0
2023-08-02,18.21,18.21,18.21,18.21,0
2023-08-03,18.38,18.38,18.38,18.38,100
2023-08-04,18.38,18.38,18.38,18.38,0
2023-08-07,18.38,18.38,18.38,18.38,0
2023-08-08,17.26,17.26,17.26,17.26,401
2023-08-09,18.9,18.9,18.9,18.9,600
2023-08-10,18.9,18.9,18.9,18.9,0
2023-08-11,18.9,18.9,18.9,18.9,0
2023-08-14,18.9,18.9,18.9,18.9,0
2023-08-15,18.9,18.9,18.9,18.9,36
2023-08-16,18.9,18.9,18.9,18.9,0
2023-08-17,18.9,18.9,18.9,18.9,0
2023-08-18,18.9,18.9,18.9,18.9,0
2023-08-21,18.9,18.9,18.9,18.9,0
2023-08-22,18.9,18.9,18.9,18.9,0
2023-08-23,18.9,18.9,18.9,18.9,0
2023-08-24,18.9,18.9,18.9,18.9,0
2023-08-25,18.9,18.9,18.9,18.9,0
2023-08-28,17.26,17.26,17.26,17.26,500
2023-08-29,18.98,18.98,15.53,15.53,1108
2023-08-30,15.53,15.53,15.53,15.53,0
2023-08-31,15.62,17.09,15.62,17.09,2100
2023-09-05,16.4,16.4,16.4,16.4,200
2023-09-06,17.26,17.26,17.26,17.26,100
