time,open,high,low,close,volume
2023-03-30,47.0,47.5,44.5,44.5,1663
2023-03-31,46.95,47.0,46.95,46.95,5300
2023-04-03,47.0,47.0,46.95,47.0,5200
2023-04-04,47.85,47.95,47.85,47.95,1202
2023-04-05,46.0,47.95,46.0,47.95,1204
2023-04-06,47.5,47.95,47.5,47.95,7900
2023-04-07,47.95,48.0,47.5,48.0,14705
2023-04-10,48.0,48.95,48.0,48.65,4103
2023-04-11,48.65,48.65,48.5,48.5,7000
2023-04-12,48.5,48.5,48.5,48.5,5002
2023-04-13,49.9,49.9,45.5,46.0,8200
2023-04-14,45.9,48.0,45.9,48.0,21307
2023-04-17,48.0,48.0,48.0,48.0,5802
2023-04-18,48.0,48.5,48.0,48.5,5500
2023-04-19,48.5,49.0,48.5,49.0,38000
2023-04-20,50.9,50.9,49.6,49.65,116905
2023-04-21,49.65,49.65,49.5,49.5,200103
2023-04-24,49.4,49.45,49.25,49.25,96724
2023-04-25,49.3,49.5,49.0,49.5,134802
2023-04-26,49.5,52.6,49.5,52.6,358600
2023-04-27,52.6,54.9,52.5,54.9,547200
2023-04-28,54.9,55.0,54.5,55.0,14402
2023-05-04,54.7,54.9,54.1,54.5,256969
2023-05-05,53.4,53.4,53.4,53.4,100
2023-05-08,54.0,54.0,54.0,54.0,250
2023-05-09,55.0,55.0,53.4,54.0,11315
2023-05-10,54.0,54.0,53.3,53.5,350
2023-05-11,53.9,53.9,53.9,53.9,100
2023-05-12,53.8,53.8,53.8,53.8,100
2023-05-15,53.8,53.8,53.8,53.8,0
2023-05-16,53.8,53.8,53.8,53.8,0
2023-05-17,50.1,53.8,50.1,53.8,1577
2023-05-18,53.8,53.8,53.8,53.8,0
2023-05-19,53.5,54.0,53.5,53.7,8605
2023-05-22,51.7,51.7,50.0,50.1,3511
2023-05-23,49.0,49.45,49.0,49.1,11800
2023-05-24,49.1,49.25,49.1,49.25,800
2023-05-25,49.45,49.6,49.25,49.25,11900
2023-05-26,49.3,49.3,49.25,49.25,2601
2023-05-29,49.3,49.3,49.3,49.3,815
2023-05-30,49.4,49.5,49.4,49.5,8700
2023-05-31,49.4,49.9,49.3,49.3,6100
2023-06-01,49.3,49.3,49.3,49.3,0
2023-06-02,49.3,49.3,49.3,49.3,32
2023-06-05,49.3,49.3,49.25,49.3,900
2023-06-06,49.3,49.3,49.3,49.3,100
2023-06-07,49.3,49.6,49.3,49.6,10400
2023-06-08,49.5,49.6,49.0,49.0,12300
2023-06-09,49.0,49.0,49.0,49.0,2120
2023-06-12,49.2,49.4,49.2,49.4,7238
2023-06-13,49.4,49.4,49.4,49.4,1801
2023-06-14,47.1,49.3,47.1,49.3,435
2023-06-15,49.2,49.2,49.2,49.2,1036
