time,open,high,low,close,volume
2023-03-30,23.04,23.39,22.61,23.22,98903
2023-03-31,23.22,23.31,22.91,23.17,49107
2023-04-03,23.31,23.78,23.13,23.74,131406
2023-04-04,23.83,24.0,23.74,23.91,85910
2023-04-05,24.17,24.35,23.57,23.65,49913
2023-04-06,23.65,23.65,23.31,23.31,57102
2023-04-07,23.31,23.39,23.17,23.22,8400
2023-04-10,23.04,23.22,22.96,23.22,42420
2023-04-11,23.22,23.22,23.04,23.22,11120
2023-04-12,23.09,23.44,23.09,23.22,31551
2023-04-13,23.35,24.35,23.26,23.83,82486
2023-04-14,24.26,24.26,23.31,23.48,40110
2023-04-17,23.48,23.48,23.13,23.48,31025
2023-04-18,23.91,23.91,23.39,23.52,61773
2023-04-19,23.52,24.17,23.52,24.0,79040
2023-04-20,24.0,24.78,24.0,24.52,154997
2023-04-21,24.0,24.7,24.0,24.17,56315
2023-04-24,23.65,24.22,23.65,24.17,50400
2023-04-25,24.17,24.17,23.83,24.09,21451
2023-04-26,23.91,24.26,23.91,24.13,33800
2023-04-27,24.22,25.04,24.22,24.52,80286
2023-04-28,24.52,25.0,24.48,24.96,56600
2023-05-04,24.96,25.26,24.7,24.96,76625
2023-05-05,24.96,25.04,24.35,24.52,38731
2023-05-08,24.44,24.7,24.35,24.48,29500
2023-05-09,24.35,24.48,24.17,24.35,38897
2023-05-10,24.17,24.52,24.0,24.35,49700
2023-05-11,24.35,25.04,24.35,24.7,56504
2023-05-12,24.7,24.83,24.44,24.52,21900
2023-05-15,24.52,24.78,24.35,24.35,50200
2023-05-16,24.35,24.35,24.22,24.35,5647
2023-05-17,24.0,24.44,23.61,23.61,81341
2023-05-18,23.61,23.83,23.57,23.61,4801
2023-05-19,23.61,23.65,23.48,23.61,21831
2023-05-22,23.96,24.09,23.91,23.96,12221
2023-05-23,23.57,23.91,23.57,23.74,14504
2023-05-24,23.83,23.83,23.48,23.48,23435
2023-05-25,23.13,23.91,23.13,23.7,28601
2023-05-26,23.48,23.7,23.31,23.61,44914
2023-05-29,23.48,23.78,23.44,23.78,9825
2023-05-30,23.96,23.96,23.7,23.74,10830
