time,open,high,low,close,volume
2023-03-30,18.7,19.0,18.7,19.0,2400
2023-03-31,18.6,18.9,18.6,18.9,2400
2023-04-03,19.0,19.0,18.8,18.9,18700
2023-04-04,19.1,19.1,18.9,18.9,6700
2023-04-05,19.7,19.7,18.9,19.4,5200
2023-04-06,19.0,19.2,19.0,19.1,7300
2023-04-07,18.6,19.1,18.6,19.0,3500
2023-04-10,19.3,19.3,18.9,19.1,7600
2023-04-11,19.0,19.3,18.6,19.0,6400
2023-04-12,19.0,19.0,18.7,18.7,6100
2023-04-13,18.8,19.1,18.8,19.0,3300
2023-04-14,18.9,18.9,18.5,18.7,7200
2023-04-17,18.5,18.8,18.3,18.8,1300
2023-04-18,18.8,18.8,18.3,18.8,5911
2023-04-19,18.6,18.6,18.3,18.3,7900
2023-04-20,18.8,18.8,18.3,18.8,13000
2023-04-21,18.7,18.8,18.5,18.5,6105
2023-04-24,18.6,18.6,18.6,18.6,200
2023-04-25,18.5,18.6,18.5,18.5,16600
2023-04-26,18.5,18.5,17.9,18.4,18500
2023-04-27,18.1,18.4,17.8,18.3,11500
2023-04-28,18.3,18.6,18.1,18.4,7903
2023-05-04,18.3,18.9,18.3,18.7,13005
2023-05-05,18.6,18.6,18.3,18.6,12600
2023-05-08,18.7,18.7,18.6,18.7,9901
2023-05-09,18.9,19.0,18.8,19.0,12902
2023-05-10,19.2,19.6,19.2,19.3,10300
2023-05-11,20.0,20.0,19.3,19.3,5900
2023-05-12,19.3,19.3,19.0,19.0,16500
2023-05-15,19.9,19.9,19.0,19.0,3700
2023-05-16,19.2,19.2,19.2,19.2,0
2023-05-17,19.2,19.2,19.0,19.1,1904
2023-05-18,18.8,19.0,18.8,19.0,2000
2023-05-19,19.0,19.3,19.0,19.3,18100
2023-05-22,19.1,19.2,19.1,19.1,16700
2023-05-23,19.2,19.3,19.1,19.3,9100
2023-05-24,19.8,20.4,19.8,20.3,40900
2023-05-25,19.8,21.1,19.8,20.9,97000
2023-05-26,21.0,21.4,20.9,21.3,38300
2023-05-29,21.5,22.2,21.5,21.8,24501
2023-05-30,21.8,21.8,21.1,21.7,11700
2023-05-31,21.5,21.6,20.8,21.0,23900
2023-06-01,20.8,21.1,20.5,20.7,29600
2023-06-02,20.7,20.7,20.1,20.1,51300
2023-06-05,20.3,20.4,20.2,20.3,8000
2023-06-06,20.4,20.4,20.3,20.3,13300
2023-06-07,20.3,20.5,20.3,20.5,14200
2023-06-08,20.5,20.9,20.5,20.9,14600
2023-06-09,21.3,23.3,21.0,22.5,89007
2023-06-12,23.0,23.0,22.0,22.5,1711
2023-06-13,22.0,22.4,22.0,22.4,15000
2023-06-14,22.0,22.2,22.0,22.2,15403
2023-06-15,22.8,23.2,22.8,22.8,35900
2023-06-16,23.0,23.0,22.4,22.9,4300
2023-06-19,22.5,22.9,22.5,22.8,14100
2023-06-20,22.7,22.8,22.7,22.8,400
2023-06-21,22.9,23.1,22.8,23.1,27100
2023-06-22,23.2,23.2,22.5,23.0,6334
2023-06-23,23.2,23.3,23.2,23.3,12700
2023-06-26,23.0,23.5,22.8,23.5,25300
2023-06-27,23.1,23.1,23.1,23.1,1101
2023-06-28,23.1,23.1,23.1,23.1,22353
2023-06-29,23.1,23.1,23.0,23.1,16200
2023-06-30,23.1,23.1,23.1,23.1,8700
2023-07-03,23.1,23.1,23.1,23.1,1700
2023-07-04,23.1,23.1,23.1,23.1,400
2023-07-05,23.1,23.2,23.1,23.1,11800
2023-07-06,23.1,23.2,23.1,23.2,6600
2023-07-07,23.1,23.5,23.1,23.2,13400
2023-07-10,23.6,23.6,23.3,23.3,700
2023-07-11,23.5,24.4,23.5,23.8,13300
2023-07-12,23.8,24.5,23.5,24.5,10900
2023-07-13,25.0,25.4,25.0,25.0,23511
2023-07-14,25.0,25.0,25.0,25.0,4501
2023-07-17,25.0,25.3,25.0,25.0,7100
2023-07-18,25.1,25.3,25.1,25.1,7100
2023-07-19,25.1,25.3,25.1,25.3,1700
2023-07-20,25.4,26.0,25.4,25.7,9900
