time,open,high,low,close,volume
2023-03-30,92.46,92.46,92.46,92.46,0
2023-03-31,92.46,103.05,78.62,103.05,5800
2023-04-03,97.23,97.23,97.23,97.23,1
2023-04-04,97.23,97.23,97.23,97.23,0
2023-04-05,97.23,97.23,97.23,97.23,0
2023-04-06,97.23,97.23,97.23,97.23,0
2023-04-07,97.23,97.23,97.23,97.23,0
2023-04-10,97.23,97.23,97.23,97.23,0
2023-04-11,97.23,97.23,97.23,97.23,0
2023-04-12,83.01,83.01,83.01,83.01,500
2023-04-13,95.32,95.32,95.32,95.32,3000
2023-04-14,95.32,95.32,95.32,95.32,0
2023-04-17,95.32,95.32,95.32,95.32,0
2023-04-18,95.32,95.32,95.32,95.32,2
2023-04-19,95.32,95.32,95.32,95.32,0
2023-04-20,95.32,95.32,95.32,95.32,0
2023-04-21,95.32,95.32,95.32,95.32,0
2023-04-24,95.32,95.32,95.32,95.32,0
2023-04-25,95.32,95.32,95.32,95.32,0
2023-04-26,95.32,95.32,95.32,95.32,0
2023-04-27,91.6,91.6,91.6,91.6,2000
2023-04-28,86.83,93.51,86.83,93.51,201
2023-05-04,90.17,90.17,90.17,90.17,0
2023-05-05,90.17,90.17,90.17,90.17,0
2023-05-08,90.17,90.17,90.17,90.17,0
2023-05-09,90.17,90.17,90.17,90.17,0
2023-05-10,90.17,90.17,90.17,90.17,0
2023-05-11,90.17,90.17,90.17,90.17,0
2023-05-12,90.17,90.17,90.17,90.17,0
2023-05-15,90.17,90.17,90.17,90.17,0
2023-05-16,90.17,90.17,90.17,90.17,0
2023-05-17,90.17,90.17,90.17,90.17,0
2023-05-18,90.17,90.17,90.17,90.17,0
2023-05-19,90.17,90.17,90.17,90.17,0
2023-05-22,90.17,90.17,90.17,90.17,0
2023-05-23,87.3,90.64,87.3,90.64,302101
2023-05-24,90.64,90.64,90.64,90.64,0
2023-05-25,90.64,90.64,90.64,90.64,0
2023-05-26,90.64,90.64,90.64,90.64,0
2023-05-29,90.64,90.64,90.64,90.64,0
2023-05-30,90.64,90.64,90.64,90.64,0
2023-05-31,90.64,90.64,90.64,90.64,0
2023-06-01,90.64,90.64,90.64,90.64,0
2023-06-02,90.64,90.64,90.64,90.64,0
2023-06-05,90.64,90.64,90.64,90.64,0
2023-06-06,90.64,90.64,90.64,90.64,0
2023-06-07,90.64,90.64,90.64,90.64,0
2023-06-08,89.5,90.64,89.5,90.64,1601
2023-06-09,90.26,90.26,90.26,90.26,0
2023-06-12,90.26,90.26,90.26,90.26,0
2023-06-13,90.26,90.26,90.26,90.26,0
2023-06-14,90.26,90.26,90.26,90.26,0
2023-06-15,90.26,90.26,90.26,90.26,0
2023-06-16,90.26,90.26,90.26,90.26,0
2023-06-19,90.55,90.64,90.55,90.64,1400
2023-06-20,90.64,90.64,90.64,90.64,101
2023-06-21,90.64,90.64,90.64,90.64,0
2023-06-22,90.64,90.64,90.64,90.64,0
2023-06-23,90.64,90.64,90.64,90.64,0
2023-06-26,90.64,90.64,90.64,90.64,2
2023-06-27,90.64,90.64,90.64,90.64,0
2023-06-28,102.76,102.76,102.76,102.76,106
2023-06-29,112.59,112.59,112.59,112.59,1001
2023-06-30,98.75,128.81,98.75,128.81,6004
2023-07-03,111.16,111.16,111.16,111.16,1
2023-07-04,95.41,95.41,95.41,95.41,1003
2023-07-05,95.41,95.41,95.41,95.41,0
2023-07-06,95.41,95.41,95.41,95.41,86
2023-07-07,95.41,95.41,95.41,95.41,0
2023-07-10,95.41,95.41,95.41,95.41,17
2023-07-11,95.41,95.41,95.41,95.41,0
2023-07-12,104.86,104.86,104.86,104.86,100
2023-07-13,104.86,104.86,104.86,104.86,3
2023-07-14,95.41,95.41,95.32,95.32,28643
2023-07-17,85.87,85.87,85.87,85.87,12000
2023-07-18,85.87,85.87,85.87,85.87,2
2023-07-19,85.87,85.87,85.87,85.87,13
2023-07-20,98.75,98.75,98.75,98.75,110
2023-07-21,98.75,98.75,98.75,98.75,1
2023-07-24,98.75,98.75,98.75,98.75,5
2023-07-25,98.75,98.75,98.75,98.75,0
2023-07-26,90.64,95.41,90.64,95.41,200
2023-07-27,93.03,93.03,93.03,93.03,0
2023-07-28,93.03,93.03,93.03,93.03,0
2023-07-31,93.03,93.03,93.03,93.03,0
2023-08-01,93.03,93.03,93.03,93.03,0
2023-08-02,93.03,93.03,93.03,93.03,0
2023-08-03,93.03,93.03,93.03,93.03,0
2023-08-04,93.03,93.03,93.03,93.03,0
2023-08-07,93.03,93.03,93.03,93.03,0
2023-08-08,93.03,93.03,93.03,93.03,0
2023-08-09,93.03,93.03,93.03,93.03,0
2023-08-10,93.03,93.03,93.03,93.03,0
2023-08-11,93.03,93.03,93.03,93.03,1
2023-08-14,93.03,93.03,93.03,93.03,0
2023-08-15,93.03,93.03,93.03,93.03,0
2023-08-16,93.03,93.03,93.03,93.03,0
2023-08-17,93.03,93.03,93.03,93.03,0
2023-08-18,90.64,90.64,90.64,90.64,1510200
2023-08-21,90.64,90.64,90.64,90.64,11
2023-08-22,90.64,90.64,90.64,90.64,0
2023-08-23,90.64,90.64,90.64,90.64,0
2023-08-24,90.64,90.64,90.64,90.64,0
2023-08-25,90.64,90.64,90.64,90.64,0
2023-08-28,90.64,90.64,90.64,90.64,10500
2023-08-29,90.64,90.64,90.64,90.64,3
2023-08-30,90.64,90.64,90.64,90.64,0
2023-08-31,90.64,90.64,90.64,90.64,0
2023-09-05,90.64,90.64,90.64,90.64,0
2023-09-06,90.64,90.64,90.64,90.64,0
2023-09-07,90.64,90.64,90.64,90.64,11
2023-09-08,90.64,90.64,90.64,90.64,0
2023-09-11,90.64,90.64,90.64,90.64,0
2023-09-12,90.64,90.64,90.64,90.64,0
2023-09-13,90.64,90.64,90.64,90.64,0
2023-09-14,90.64,90.64,90.64,90.64,0
2023-09-15,90.64,90.64,90.64,90.64,0
2023-09-18,90.64,90.64,90.64,90.64,0
2023-09-19,90.64,90.64,90.64,90.64,0
2023-09-20,90.64,90.64,90.64,90.64,0
2023-09-21,90.64,90.64,90.64,90.64,27361
2023-09-22,90.64,90.64,90.64,90.64,841
2023-09-25,90.64,90.64,90.64,90.64,0
2023-09-26,90.64,90.64,90.64,90.64,0
2023-09-27,90.64,90.64,90.64,90.64,0
2023-09-28,90.64,90.64,90.64,90.64,0
2023-09-29,90.64,90.64,90.64,90.64,0
2023-10-02,90.64,90.64,90.64,90.64,0
2023-10-03,90.64,90.64,90.64,90.64,0
2023-10-04,90.64,90.64,90.64,90.64,0
2023-10-05,90.64,90.64,90.64,90.64,0
2023-10-06,90.64,90.64,90.64,90.64,0
2023-10-09,90.64,90.64,90.64,90.64,0
2023-10-10,90.64,90.64,90.64,90.64,0
2023-10-11,95.41,95.41,95.41,95.41,300
2023-10-12,95.41,95.41,95.41,95.41,1
2023-10-13,95.41,95.41,95.41,95.41,0
2023-10-16,95.41,95.41,95.41,95.41,0
2023-10-17,95.41,95.41,95.41,95.41,0
2023-10-18,95.41,95.41,95.41,95.41,0
2023-10-19,95.41,95.41,95.41,95.41,0
2023-10-20,95.41,95.41,95.41,95.41,0
2023-10-23,95.41,95.41,95.41,95.41,0
2023-10-24,95.41,95.41,95.41,95.41,0
2023-10-25,95.41,95.41,95.41,95.41,0
2023-10-26,95.41,95.41,95.41,95.41,14
2023-10-27,95.41,95.41,95.41,95.41,0
2023-10-30,95.41,95.41,95.41,95.41,0
2023-10-31,95.41,95.41,95.41,95.41,0
2023-11-01,95.41,95.41,95.41,95.41,0
2023-11-02,90.64,90.64,90.64,90.64,3400
2023-11-03,90.64,90.64,90.64,90.64,0
2023-11-06,90.64,90.64,90.64,90.64,0
2023-11-07,90.64,90.64,90.64,90.64,0
2023-11-08,90.64,90.64,90.64,90.64,1
2023-11-09,90.64,90.64,90.64,90.64,0
2023-11-10,90.64,90.64,90.64,90.64,0
2023-11-13,90.64,90.64,90.64,90.64,0
2023-11-14,90.64,90.64,90.64,90.64,0
2023-11-15,90.64,90.64,90.64,90.64,1024
2023-11-16,90.64,90.64,90.64,90.64,43
2023-11-17,90.64,90.64,90.64,90.64,0
2023-11-20,90.64,90.64,90.64,90.64,0
2023-11-21,89.69,89.69,89.69,89.69,114
2023-11-22,89.69,89.69,89.69,89.69,800
2023-11-23,89.69,89.69,89.69,89.69,6
2023-11-24,89.69,89.69,89.69,89.69,14
2023-11-27,89.69,89.69,89.69,89.69,0
2023-11-28,76.33,77.99,76.33,77.99,1100
2023-11-29,76.53,76.53,76.53,76.53,0
2023-11-30,87.94,87.94,87.94,87.94,100
2023-12-01,101.0,101.0,87.94,87.94,211
2023-12-04,80.33,80.33,80.33,80.33,100
2023-12-05,80.33,80.33,80.33,80.33,0
2023-12-06,92.32,92.32,77.99,77.99,1100
2023-12-07,79.26,79.26,79.26,79.26,0
2023-12-08,79.26,79.26,79.26,79.26,0
2023-12-11,79.26,79.26,79.26,79.26,0
2023-12-12,79.26,79.26,79.26,79.26,0
2023-12-13,87.64,87.64,87.64,87.64,100
2023-12-14,100.71,100.71,100.71,100.71,100
2023-12-15,85.69,85.69,85.69,85.69,1700
2023-12-18,85.69,85.69,85.69,85.69,0
2023-12-19,73.12,73.12,73.12,73.12,840
2023-12-20,73.12,73.12,73.12,73.12,0
2023-12-21,84.04,84.04,83.84,83.84,600
2023-12-22,83.84,83.84,83.84,83.84,0
2023-12-25,83.84,83.84,83.84,83.84,0
2023-12-26,71.66,71.66,71.66,71.66,300
2023-12-27,71.66,71.66,71.66,71.66,0
2023-12-28,71.66,71.66,71.66,71.66,0
2023-12-29,82.38,82.38,82.38,82.38,100
2024-01-02,82.38,82.38,82.38,82.38,0
2024-01-03,94.66,94.66,94.66,94.66,100
2024-01-04,94.66,94.66,94.66,94.66,0
2024-01-05,80.53,108.8,80.53,108.8,200
2024-01-08,80.53,80.53,80.53,80.53,200
2024-01-09,68.54,68.54,68.54,68.54,100
2024-01-10,68.54,68.54,68.54,68.54,0
2024-01-11,68.54,68.54,68.54,68.54,0
2024-01-12,58.3,58.3,58.3,58.3,100
2024-01-15,58.3,58.3,58.3,58.3,5
2024-01-16,58.3,58.3,58.3,58.3,0
2024-01-17,58.3,58.3,58.3,58.3,30
2024-01-18,49.72,66.98,49.72,66.98,1100
2024-01-19,74.87,74.87,65.32,65.32,10280
2024-01-22,67.17,67.17,67.17,67.17,0
2024-01-23,67.17,67.17,67.17,67.17,0
2024-01-24,67.17,67.17,67.17,67.17,0
2024-01-25,57.23,57.23,57.23,57.23,100
2024-01-26,65.81,65.81,48.74,65.81,31700
2024-01-29,60.54,60.54,60.54,60.54,100
2024-01-30,60.93,66.29,60.93,65.03,2100
2024-01-31,63.86,63.86,63.86,63.86,100
2024-02-01,62.88,63.66,62.39,62.39,7700
2024-02-02,71.46,71.95,56.06,71.95,700
2024-02-05,78.87,78.87,78.87,78.87,101
2024-02-06,86.67,86.67,67.17,85.69,800
2024-02-07,87.64,87.64,71.07,71.07,2500
2024-02-15,83.94,83.94,83.94,83.94,102
2024-02-16,89.2,89.2,71.36,83.84,3106
2024-02-19,86.18,86.18,86.18,86.18,133
2024-02-20,73.31,97.3,73.31,92.62,9748
2024-02-21,84.72,84.72,84.72,84.72,113
2024-02-22,88.23,88.23,86.77,86.77,600
2024-02-23,87.06,87.06,87.06,87.06,0
2024-02-26,74.09,74.09,74.09,74.09,738
2024-02-27,73.99,74.09,73.99,74.09,1021
2024-02-28,72.63,72.63,72.63,72.63,1504
2024-02-29,83.35,83.35,83.35,83.35,125
2024-03-01,83.35,83.35,83.35,83.35,91
2024-03-04,83.35,83.35,83.35,83.35,1
2024-03-05,83.35,83.35,83.35,83.35,23
2024-03-06,70.88,70.88,70.88,70.88,4501
2024-03-07,70.88,70.88,70.88,70.88,2852
2024-03-08,70.88,70.88,70.88,70.88,0
2024-03-11,70.88,70.88,70.88,70.88,0
2024-03-12,60.54,60.54,60.54,60.54,139
2024-03-13,60.54,60.54,60.54,60.54,42
2024-03-14,69.61,69.61,69.61,69.61,1200
2024-03-15,60.05,60.05,60.05,60.05,138
2024-03-18,69.02,69.02,69.02,69.02,100
2024-03-19,69.02,69.02,69.02,69.02,0
2024-03-20,69.02,69.02,69.02,69.02,0
2024-03-21,69.02,69.02,69.02,69.02,13
2024-03-22,69.02,69.02,69.02,69.02,500
2024-03-25,69.02,69.02,69.02,69.02,100
2024-03-26,69.02,69.02,69.02,69.02,265
2024-03-27,69.02,69.02,69.02,69.02,500
2024-03-28,69.02,69.02,69.02,69.02,0
2024-03-29,69.02,78.97,69.02,78.97,1303
2024-04-01,60.83,60.83,60.83,60.83,100
2024-04-02,52.74,54.59,52.74,54.59,600
2024-04-03,62.39,62.39,62.39,62.39,700
2024-04-04,71.75,71.75,71.75,71.75,100
2024-04-05,71.75,71.75,71.75,71.75,12
2024-04-08,81.89,81.89,81.89,81.89,205
2024-04-09,81.89,81.89,81.89,81.89,103
2024-04-10,81.89,81.89,81.89,81.89,4
2024-04-11,81.89,81.89,81.89,81.89,198
2024-04-12,92.32,92.32,92.32,92.32,555
2024-04-15,92.32,92.32,92.32,92.32,108
2024-04-16,92.32,92.32,92.32,92.32,99
2024-04-17,92.32,92.32,92.32,92.32,0
2024-04-19,92.32,92.32,92.32,92.32,293
2024-04-22,92.32,92.32,92.32,92.32,0
2024-04-23,92.32,92.32,92.32,92.32,0
2024-04-24,92.32,92.32,92.32,92.32,0
2024-04-25,92.32,92.32,92.32,92.32,0
2024-04-26,92.32,92.32,92.32,92.32,0
2024-05-02,92.32,92.32,92.32,92.32,0
2024-05-03,92.32,92.32,92.32,92.32,0
2024-05-06,92.32,92.32,92.32,92.32,0
2024-05-07,92.32,92.32,92.32,92.32,9
2024-05-08,92.32,92.32,92.32,92.32,0
2024-05-09,92.32,92.32,92.32,92.32,0
2024-05-10,92.32,92.32,92.32,92.32,0
2024-05-13,92.32,92.32,92.32,92.32,0
2024-05-14,92.32,92.32,92.32,92.32,0
2024-05-15,78.48,78.48,78.48,78.48,2200
2024-05-16,78.48,78.48,78.48,78.48,11
2024-05-17,78.38,78.48,73.8,73.8,2200
2024-05-20,78.28,78.28,78.28,78.28,81
2024-05-21,78.28,78.28,78.28,78.28,0
2024-05-22,78.28,78.28,78.28,78.28,64
2024-05-23,78.28,78.28,78.28,78.28,0
2024-05-24,78.28,78.28,77.99,77.99,1100
2024-05-27,77.89,77.99,77.89,77.99,700
2024-05-28,77.99,77.99,77.99,77.99,300
2024-05-29,77.99,77.99,77.99,77.99,300
2024-05-30,77.89,77.89,77.89,77.89,452
2024-05-31,77.89,77.89,77.89,77.89,0
2024-06-03,77.89,77.89,77.89,77.89,0
2024-06-04,77.89,77.89,77.89,77.89,5000
2024-06-05,77.5,77.89,77.5,77.89,700
2024-06-06,77.8,77.8,77.8,77.8,0
2024-06-07,77.8,77.8,77.8,77.8,0
2024-06-10,77.8,77.8,77.8,77.8,0
2024-06-11,77.8,77.8,77.8,77.8,0
2024-06-12,77.8,77.8,77.8,77.8,0
2024-06-13,77.8,77.8,77.8,77.8,0
2024-06-14,77.8,77.8,77.8,77.8,0
2024-06-17,77.8,77.8,77.8,77.8,4
2024-06-18,77.8,77.8,77.8,77.8,0
2024-06-19,77.8,77.8,77.8,77.8,0
2024-06-20,77.8,77.8,77.8,77.8,52
2024-06-21,77.8,77.8,77.8,77.8,0
2024-06-24,77.8,77.8,77.8,77.8,0
2024-06-25,77.8,77.8,77.8,77.8,0
2024-06-26,77.8,77.8,77.8,77.8,0
2024-06-27,77.8,77.8,77.8,77.8,0
2024-06-28,77.8,77.8,77.8,77.8,0
2024-07-01,77.8,77.8,77.8,77.8,0
2024-07-02,77.8,77.8,77.8,77.8,0
2024-07-03,77.8,77.8,77.8,77.8,0
2024-07-04,77.8,77.8,77.8,77.8,0
2024-07-05,77.8,77.8,77.8,77.8,0
2024-07-08,77.8,77.8,77.8,77.8,0
2024-07-09,77.8,77.8,77.8,77.8,0
2024-07-10,77.8,77.8,77.8,77.8,0
2024-07-11,77.8,77.8,77.8,77.8,0
2024-07-12,77.8,77.8,77.8,77.8,0
2024-07-15,77.8,77.8,77.8,77.8,0
2024-07-16,77.8,77.8,77.8,77.8,0
2024-07-17,77.8,77.8,77.8,77.8,0
2024-07-18,77.8,77.8,77.8,77.8,0
2024-07-19,77.8,77.8,77.8,77.8,0
2024-07-22,77.8,77.8,77.8,77.8,0
2024-07-23,77.8,77.8,77.8,77.8,0
2024-07-24,77.8,77.8,77.8,77.8,0
2024-07-25,77.8,77.8,77.8,77.8,0
2024-07-26,77.8,77.8,77.8,77.8,0
2024-07-29,77.8,77.8,77.8,77.8,0
2024-07-30,77.8,77.8,77.8,77.8,0
2024-07-31,77.8,77.8,77.8,77.8,0
2024-08-01,77.8,77.8,77.8,77.8,0
2024-08-02,77.8,77.8,77.8,77.8,0
2024-08-05,77.8,77.8,77.8,77.8,0
