time,open,high,low,close,volume
2023-03-30,40.93,40.93,39.42,39.9,771305
2023-03-31,40.46,40.46,39.18,39.82,426304
2023-04-03,39.98,40.14,39.58,40.06,509806
2023-04-04,40.22,40.22,39.66,40.06,352993
2023-04-05,39.9,39.9,39.58,39.82,357558
2023-04-06,39.82,40.77,39.58,39.98,909659
2023-04-07,39.98,40.46,39.82,40.22,557384
2023-04-10,40.77,40.77,39.54,40.14,519866
2023-04-11,39.74,40.22,39.46,39.98,249061
2023-04-12,40.06,40.46,39.46,40.22,891536
2023-04-13,40.38,40.46,39.82,40.22,421617
2023-04-14,40.38,40.62,39.5,40.14,765739
2023-04-17,40.22,40.22,39.62,39.98,369925
2023-04-18,40.06,40.3,39.7,40.06,521410
2023-04-19,40.06,40.06,39.7,39.74,263213
2023-04-20,39.82,40.46,39.82,40.14,697392
2023-04-21,40.14,40.93,39.9,40.85,964165
2023-04-24,40.85,42.13,40.77,41.33,1013196
2023-04-25,41.41,42.13,39.9,41.49,1024718
2023-04-26,41.33,42.2,40.54,42.2,653492
2023-04-27,41.65,42.28,41.49,42.05,478745
2023-04-28,41.89,42.13,41.49,41.89,468339
2023-05-04,41.89,41.89,40.93,41.33,392261
2023-05-05,41.09,41.57,40.62,41.09,366402
2023-05-08,41.33,41.49,40.62,40.93,296963
2023-05-09,40.93,41.17,40.14,40.22,386744
2023-05-10,40.46,40.54,39.82,40.38,508662
2023-05-11,40.46,40.69,40.06,40.46,344718
2023-05-12,40.46,40.46,39.9,40.46,338505
2023-05-15,40.46,40.46,39.98,40.22,367533
2023-05-16,40.14,40.3,39.66,40.22,367642
2023-05-17,39.74,40.38,39.7,39.98,493048
2023-05-18,39.82,40.14,39.7,39.98,392717
2023-05-19,39.98,40.06,39.5,39.98,415125
2023-05-22,40.06,40.06,39.62,39.98,558405
2023-05-23,39.82,40.06,39.66,39.9,401702
2023-05-24,39.9,39.98,39.42,39.42,468395
2023-05-25,39.42,39.74,39.22,39.74,346582
2023-05-26,39.74,39.9,39.62,39.74,538835
2023-05-29,39.74,39.9,39.46,39.74,392345
2023-05-30,39.74,39.82,39.58,39.82,278141
2023-05-31,39.82,40.14,39.66,40.06,772562
2023-06-01,40.14,40.3,39.9,40.22,589912
2023-06-02,40.3,40.46,39.9,40.22,461488
2023-06-05,40.3,41.17,40.3,40.93,781690
2023-06-06,40.93,41.57,40.93,41.33,762210
2023-06-07,41.33,41.73,40.93,41.25,450585
2023-06-08,40.93,41.41,40.22,40.85,639765
2023-06-09,40.77,40.85,40.3,40.77,381853
2023-06-12,40.54,41.01,40.3,40.85,404930
2023-06-13,41.01,42.44,40.93,42.44,940604
2023-06-14,42.44,43.87,42.13,43.87,1020526
2023-06-15,43.72,44.11,42.6,43.16,681241
2023-06-16,43.24,43.79,42.92,42.92,705435
2023-06-19,43.32,43.56,42.2,42.92,334398
2023-06-20,43.24,43.24,42.28,43.08,269813
2023-06-21,43.32,44.35,43.08,44.35,832764
2023-06-22,44.35,44.91,43.72,44.35,763670
2023-06-23,44.35,44.83,43.79,44.03,666281
2023-06-26,44.03,44.51,43.0,44.43,340717
2023-06-27,44.35,44.59,43.56,44.43,519747
2023-06-28,43.87,45.3,43.87,45.3,797048
2023-06-29,45.3,45.38,43.72,45.23,473445
2023-06-30,45.07,45.23,44.59,44.75,320593
2023-07-03,44.75,44.99,43.95,44.91,516934
2023-07-04,44.91,45.15,44.51,44.91,360600
2023-07-05,44.51,44.99,43.79,43.95,348800
2023-07-06,43.87,43.87,41.57,42.05,459931
2023-07-07,41.65,43.16,41.65,43.16,480909
2023-07-10,43.08,43.87,41.89,43.08,542839
2023-07-11,42.44,43.32,42.44,42.92,591559
2023-07-12,42.92,43.0,41.89,42.36,450919
2023-07-13,42.52,43.08,42.2,42.76,911247
2023-07-14,42.76,43.08,42.44,42.84,781360
2023-07-17,42.84,43.95,42.84,43.87,997481
2023-07-18,44.03,44.03,42.76,43.4,652134
2023-07-19,43.64,43.64,41.97,42.68,571668
2023-07-20,42.2,42.44,41.49,42.36,751771
2023-07-21,42.6,42.68,41.49,42.13,463544
2023-07-24,42.13,42.36,41.17,41.89,817105
2023-07-25,41.73,41.89,40.93,41.65,958529
2023-07-26,41.57,41.57,40.85,41.41,620761
2023-07-27,40.93,41.17,40.46,40.85,488581
2023-07-28,40.46,41.17,40.3,41.17,838922
2023-07-31,41.17,41.25,40.54,41.09,468715
2023-08-01,41.01,41.09,40.62,41.09,993095
2023-08-02,40.77,40.85,40.46,40.77,551659
2023-08-03,40.77,40.93,40.38,40.77,549803
2023-08-04,40.62,40.77,40.38,40.69,487517
2023-08-07,40.38,40.62,39.82,40.22,744768
2023-08-08,40.3,40.62,40.06,40.54,583103
2023-08-09,40.69,41.09,40.54,41.01,1578217
2023-08-10,40.93,41.41,40.3,40.85,1298209
2023-08-11,40.69,40.85,39.98,40.69,845791
2023-08-14,40.85,40.85,40.06,40.46,788092
2023-08-15,40.46,40.54,39.66,39.66,639527
2023-08-16,39.18,39.74,39.07,39.42,838275
2023-08-17,39.42,39.5,38.39,39.18,1067640
2023-08-18,38.79,39.03,36.44,37.36,633637
2023-08-21,37.04,38.15,36.24,38.15,737905
2023-08-22,38.15,38.71,37.44,38.47,503535
2023-08-23,38.63,38.63,37.67,38.07,367311
2023-08-24,37.79,38.15,37.67,38.15,363269
2023-08-25,38.11,38.11,37.44,37.67,435431
2023-08-28,37.91,37.99,37.44,37.71,577645
2023-08-29,37.75,37.83,37.36,37.59,662811
2023-08-30,37.36,37.99,37.36,37.87,766900
2023-08-31,38.07,39.46,37.91,39.42,1128309
2023-09-05,39.74,39.74,39.11,39.5,696688
2023-09-06,39.5,39.58,39.07,39.5,635628
2023-09-07,39.5,39.7,39.11,39.11,798103
2023-09-08,39.03,39.26,38.55,39.14,783018
2023-09-11,39.58,39.62,38.87,39.18,681102
2023-09-12,39.34,39.34,38.63,38.95,475854
2023-09-13,38.99,39.18,36.36,38.55,767302
2023-09-14,38.71,38.79,37.2,38.47,702785
2023-09-15,38.39,38.55,37.59,38.11,725973
2023-09-18,38.07,38.07,37.36,37.99,344626
2023-09-19,37.79,38.11,37.52,37.91,293103
2023-09-20,37.75,39.58,37.63,38.95,957131
2023-09-21,39.3,39.3,38.63,38.79,329379
2023-09-22,38.23,38.91,37.83,38.39,755965
2023-09-25,38.95,38.95,36.56,38.15,585926
2023-09-26,37.04,37.75,36.88,37.67,503236
2023-09-27,36.96,38.59,36.56,38.59,471529
2023-09-28,38.15,38.31,37.44,38.15,396023
2023-09-29,38.27,38.27,37.52,37.87,438714
2023-10-02,37.87,37.99,37.59,37.91,327112
2023-10-03,37.59,37.75,36.84,37.36,401823
2023-10-04,36.68,37.48,36.68,37.48,462803
2023-10-05,37.0,38.07,37.0,37.59,695245
2023-10-06,37.59,37.91,37.04,37.75,698012
2023-10-09,37.87,37.87,37.2,37.59,327398
2023-10-10,37.67,37.71,37.36,37.59,525538
2023-10-11,38.07,39.26,37.63,39.26,1662539
2023-10-12,39.22,39.26,38.63,38.79,738216
2023-10-13,38.55,39.26,38.47,39.11,989627
2023-10-16,39.11,39.26,37.75,37.75,669336
2023-10-17,37.99,37.99,36.92,37.75,1083570
2023-10-18,37.08,37.44,35.77,37.28,746092
2023-10-19,36.68,37.24,36.08,37.24,316302
2023-10-20,37.2,37.36,36.16,37.36,500003
2023-10-23,37.04,37.28,36.4,37.2,385700
2023-10-24,37.45,38.35,37.36,37.72,481555
