time,open,high,low,close,volume
2023-03-30,33.71,33.71,33.2,33.2,48552
2023-03-31,32.83,33.98,32.83,33.2,4402
2023-04-03,33.2,33.43,33.2,33.2,5002
2023-04-04,33.2,34.03,33.2,33.75,30404
2023-04-05,33.8,34.4,33.8,34.26,357300
2023-04-06,34.26,34.67,34.26,34.49,373120
2023-04-07,34.58,34.95,34.58,34.86,112975
2023-04-10,34.4,34.86,34.4,34.77,9455
2023-04-11,34.77,34.9,34.49,34.9,599300
2023-04-12,34.9,34.95,34.63,34.63,13380
2023-04-13,34.86,34.95,34.63,34.63,108125
2023-04-14,34.9,34.9,34.63,34.63,39338
2023-04-17,34.12,34.86,34.03,34.77,46800
2023-04-18,34.77,34.86,34.77,34.86,11908
2023-04-19,36.7,36.7,34.72,34.95,47308
2023-04-20,35.13,35.36,34.58,34.81,11110
2023-04-21,35.5,35.69,34.63,35.64,157610
2023-04-24,35.64,35.87,35.59,35.59,26949
2023-04-25,35.87,35.87,35.13,35.78,75569
2023-04-26,35.41,35.82,35.13,35.82,34303
2023-04-27,35.82,35.87,35.78,35.87,92902
2023-04-28,35.73,35.82,35.04,35.04,8665
2023-05-04,34.95,35.82,34.95,35.82,173594
2023-05-05,35.78,36.28,35.5,36.28,101266
2023-05-08,36.24,36.79,35.78,36.79,352243
2023-05-09,36.79,36.79,36.51,36.79,50314
2023-05-10,36.65,36.79,36.56,36.79,173945
2023-05-11,35.87,36.79,35.87,36.74,38201
2023-05-12,36.56,36.61,36.38,36.38,7916
2023-05-15,36.38,36.7,36.24,36.33,4302
2023-05-16,36.33,36.79,36.33,36.79,38651
2023-05-17,36.51,36.79,36.47,36.79,21710
2023-05-18,36.38,36.79,35.87,35.87,76420
2023-05-19,35.87,36.79,35.87,36.79,31636
2023-05-22,36.42,36.7,36.33,36.61,6500
2023-05-23,35.96,36.56,35.96,35.96,18400
2023-05-24,36.01,36.01,35.87,35.87,7800
2023-05-25,36.01,36.51,35.69,35.78,26108
2023-05-26,36.33,36.33,35.59,35.59,15200
2023-05-29,35.59,35.87,35.59,35.59,3300
2023-05-30,35.59,35.59,35.04,35.23,8003
2023-05-31,35.23,36.15,35.23,36.15,50728
2023-06-01,36.15,36.15,35.59,35.69,6400
2023-06-02,35.69,35.87,35.69,35.82,5333
2023-06-05,35.0,35.5,35.0,35.13,43828
2023-06-06,35.13,35.41,35.13,35.41,208620
2023-06-07,35.32,35.82,35.18,35.41,4632
2023-06-08,35.32,35.41,35.23,35.36,17106
2023-06-09,35.04,35.69,33.52,35.41,9900
2023-06-12,35.32,35.41,34.86,34.86,4200
2023-06-13,34.86,35.04,34.58,34.86,111450
2023-06-14,34.67,34.77,34.58,34.58,8500
2023-06-15,34.67,34.9,34.58,34.58,4802
2023-06-16,34.77,35.13,34.49,34.49,8201
2023-06-19,34.49,34.81,34.49,34.54,3500
2023-06-20,35.41,35.41,34.12,34.54,53103
2023-06-21,34.86,34.86,34.17,34.4,12300
2023-06-22,34.49,34.67,34.35,34.67,37300
2023-06-23,34.49,34.95,34.31,34.95,7009
2023-06-26,34.31,34.31,33.94,34.26,27110
2023-06-27,34.21,34.9,34.08,34.86,10800
2023-06-28,34.86,35.27,34.86,34.86,21601
2023-06-29,34.86,35.23,34.49,34.86,32828
2023-06-30,34.86,34.9,34.49,34.49,62606
2023-07-03,34.12,35.13,34.03,35.13,36101
2023-07-04,35.13,35.23,34.49,34.49,37406
2023-07-05,34.49,34.95,34.49,34.49,3851
2023-07-06,34.95,35.09,34.49,34.95,29610
