time,open,high,low,close,volume
2023-03-30,24.08,24.46,24.08,24.46,44700
2023-03-31,22.8,25.24,22.8,24.08,42137
2023-04-03,24.08,24.46,24.08,24.46,21100
2023-04-04,24.46,25.24,24.12,24.12,61100
2023-04-05,25.71,25.71,25.32,25.4,64303
2023-04-06,25.4,25.55,24.85,24.89,83706
2023-04-07,25.63,25.63,25.01,25.55,88105
2023-04-10,25.24,25.51,25.24,25.51,86000
2023-04-11,25.24,25.44,25.24,25.44,84100
2023-04-12,25.24,25.44,25.24,25.44,88103
2023-04-13,25.44,25.44,25.44,25.44,0
2023-04-14,25.4,25.55,25.4,25.55,118100
2023-04-17,25.32,25.47,25.32,25.47,122000
2023-04-18,25.24,25.47,25.24,25.47,88100
2023-04-19,25.47,25.55,25.47,25.55,88000
2023-04-20,25.4,25.47,25.24,25.47,85000
2023-04-21,25.4,25.44,25.32,25.44,84000
2023-04-24,25.4,25.47,25.32,25.47,90000
2023-04-25,25.47,25.55,25.4,25.55,80100
2023-04-26,25.47,25.47,25.47,25.47,80000
2023-04-27,25.47,25.47,25.4,25.47,88000
2023-04-28,25.47,25.47,25.47,25.47,0
2023-05-04,25.47,25.47,25.47,25.47,80000
2023-05-05,25.4,25.44,25.4,25.44,80000
2023-05-08,25.32,25.32,25.32,25.32,80000
2023-05-09,25.24,25.24,24.85,24.85,151500
2023-05-10,24.85,24.89,23.69,24.85,123501
2023-05-11,24.85,24.85,23.53,24.85,154836
2023-05-12,23.38,24.85,23.38,24.85,82800
2023-05-15,24.46,24.78,24.46,24.78,106500
2023-05-16,24.7,24.78,24.7,24.74,244200
2023-05-17,24.78,24.78,24.78,24.78,222500
2023-05-18,24.78,24.78,24.78,24.78,202200
2023-05-19,24.78,24.78,24.7,24.78,72000
2023-05-22,23.38,24.78,23.38,24.78,122901
2023-05-23,24.78,24.78,24.7,24.74,134600
2023-05-24,24.7,24.7,24.7,24.7,167900
2023-05-25,23.77,24.78,23.77,24.78,118400
2023-05-26,24.78,24.78,24.78,24.78,120207
2023-05-29,24.78,24.81,24.78,24.78,233300
2023-05-30,24.85,24.85,24.78,24.78,218000
2023-05-31,24.85,24.85,24.78,24.85,125000
2023-06-01,24.93,24.93,24.85,24.93,40000
2023-06-02,24.85,24.85,24.85,24.85,81000
2023-06-05,24.85,24.85,24.85,24.85,156000
2023-06-06,24.85,24.85,24.85,24.85,106000
2023-06-07,24.85,24.85,24.85,24.85,114000
2023-06-08,24.85,24.85,24.7,24.85,134700
2023-06-09,24.85,24.85,23.46,24.85,200710
2023-06-12,24.85,24.93,24.78,24.85,111033
2023-06-13,24.85,24.85,24.85,24.85,157103
2023-06-14,24.85,24.85,24.85,24.85,157000
2023-06-15,24.85,25.09,24.85,25.09,155801
2023-06-16,26.1,26.79,26.1,26.79,92013
2023-06-19,25.92,26.79,25.23,26.79,369800
2023-06-20,25.23,27.84,25.23,27.84,157621
2023-06-21,27.84,28.45,27.79,28.45,157800
2023-06-22,26.49,26.49,26.49,26.49,100
2023-06-23,26.97,28.14,26.97,28.1,116634
2023-06-26,28.1,28.1,28.1,28.1,0
2023-06-27,28.01,28.01,27.79,28.01,81400
2023-06-28,27.84,27.92,26.62,26.62,80300
2023-06-29,27.84,28.36,27.84,28.36,4846
2023-06-30,26.4,30.27,26.4,30.27,86400
2023-07-03,29.58,29.58,28.45,29.49,81200
2023-07-04,29.49,29.49,27.84,27.84,82900
2023-07-05,28.71,28.71,26.97,26.97,82556
2023-07-06,27.05,27.05,25.23,26.53,172300
2023-07-07,24.71,26.45,24.71,26.27,167200
2023-07-10,26.27,27.18,25.23,26.27,176300
2023-07-11,26.53,27.62,26.27,27.62,80200
2023-07-12,27.4,28.71,27.36,28.71,151800
2023-07-13,28.71,28.88,27.4,28.88,146200
2023-07-14,28.88,28.88,28.88,28.88,0
2023-07-17,28.27,28.45,27.23,27.71,133500
2023-07-18,28.45,28.45,27.23,27.23,64600
2023-07-19,28.27,28.27,28.1,28.1,82000
2023-07-20,28.27,28.27,27.14,27.14,40100
2023-07-21,27.23,28.45,27.23,28.36,102301
2023-07-24,28.45,28.53,28.19,28.53,99701
2023-07-25,28.49,28.49,27.14,27.14,127600
2023-07-26,27.14,27.14,27.14,27.14,86
2023-07-27,28.27,28.45,28.27,28.36,116600
2023-07-28,28.71,28.71,28.27,28.27,100116
2023-07-31,28.19,28.19,28.01,28.14,120800
2023-08-01,28.53,28.53,28.19,28.19,131600
2023-08-02,28.19,28.19,27.32,28.19,100200
2023-08-03,26.27,28.19,26.27,28.1,91600
2023-08-04,28.53,28.53,28.45,28.45,219100
2023-08-07,28.45,28.71,28.19,28.19,153100
2023-08-08,29.97,29.97,28.01,28.71,149300
2023-08-09,26.79,28.88,26.79,28.88,290230
2023-08-10,28.27,28.88,27.62,27.62,168900
2023-08-11,28.27,28.62,28.27,28.53,228360
2023-08-14,28.53,29.79,28.36,29.79,286324
2023-08-15,28.71,29.4,28.1,28.1,282984
