time,open,high,low,close,volume
2023-03-30,7.3,7.3,7.21,7.24,56800
2023-03-31,7.24,7.28,7.23,7.23,53700
2023-04-03,7.28,7.48,7.21,7.39,88782
2023-04-04,7.43,7.44,7.35,7.35,92500
2023-04-05,7.36,7.53,7.36,7.53,129432
2023-04-06,7.87,8.02,7.53,7.75,257054
2023-04-07,7.66,7.75,7.61,7.73,84836
2023-04-10,7.75,7.79,7.61,7.64,84590
2023-04-11,7.57,7.61,7.5,7.61,84900
2023-04-12,7.61,7.86,7.61,7.77,98919
2023-04-13,7.79,7.79,7.65,7.67,72919
2023-04-14,7.67,7.68,7.52,7.52,79543
2023-04-17,7.39,7.57,7.39,7.49,61705
2023-04-18,7.5,7.69,7.5,7.6,106600
2023-04-19,7.57,7.62,7.52,7.57,67413
2023-04-20,7.57,7.6,7.56,7.58,71600
2023-04-21,7.58,7.77,7.58,7.66,104450
2023-04-24,7.66,7.93,7.66,7.91,176449
2023-04-25,8.2,8.2,7.75,7.95,142225
2023-04-26,7.57,7.95,7.57,7.86,156505
2023-04-27,7.86,7.86,7.75,7.75,136925
2023-04-28,7.76,7.97,7.76,7.84,106500
2023-05-04,7.89,7.93,7.8,7.84,146500
2023-05-05,7.87,7.87,7.76,7.85,217619
2023-05-08,7.85,8.39,7.85,8.34,219638
2023-05-09,8.49,8.5,8.24,8.41,136781
2023-05-10,8.41,8.51,8.11,8.12,184861
2023-05-11,8.13,8.19,7.97,8.04,182013
2023-05-12,8.04,8.18,8.04,8.15,126190
2023-05-15,8.51,8.72,8.21,8.72,361701
2023-05-16,9.28,9.32,9.01,9.32,716523
2023-05-17,9.41,9.46,8.87,9.14,515922
2023-05-18,9.14,9.14,8.69,8.69,282302
2023-05-19,8.79,8.87,8.61,8.65,258677
2023-05-22,8.83,9.23,8.64,8.98,357143
2023-05-23,9.32,9.32,8.98,9.1,333210
2023-05-24,9.14,9.14,8.95,8.97,241334
2023-05-25,8.97,8.97,8.78,8.83,143300
2023-05-26,8.78,9.14,8.78,9.01,198931
2023-05-29,9.1,9.23,9.01,9.23,185383
2023-05-30,9.28,9.37,9.01,9.28,245306
2023-05-31,9.28,9.86,9.23,9.59,546407
2023-06-01,9.68,9.77,9.37,9.55,222200
2023-06-02,9.55,9.68,9.28,9.28,280611
2023-06-05,9.28,9.37,9.05,9.28,261938
2023-06-06,9.28,9.32,9.1,9.28,126066
2023-06-07,9.32,9.41,9.19,9.32,288850
2023-06-08,9.32,9.68,9.32,9.32,267005
2023-06-09,9.37,9.59,9.32,9.55,163252
2023-06-12,9.46,9.59,9.28,9.46,131250
2023-06-13,9.46,9.5,9.28,9.41,354047
2023-06-14,9.5,9.55,9.28,9.55,347939
2023-06-15,9.65,9.66,9.5,9.56,110907
2023-06-16,9.6,9.65,9.56,9.59,200903
2023-06-19,9.6,9.63,9.2,9.2,185700
2023-06-20,9.25,9.33,9.15,9.21,123801
2023-06-21,9.25,9.29,9.2,9.24,133987
2023-06-22,9.24,9.59,9.24,9.55,199424
2023-06-23,9.6,9.65,9.4,9.48,125421
2023-06-26,9.44,9.44,9.2,9.32,121389
2023-06-27,9.32,9.38,9.25,9.3,101867
2023-06-28,9.31,9.34,9.2,9.22,118875
2023-06-29,9.22,9.25,9.0,9.0,139534
2023-06-30,9.02,9.05,8.9,9.0,103100
2023-07-03,9.03,9.1,8.95,9.1,116411
2023-07-04,9.1,9.14,9.05,9.1,110541
2023-07-05,9.11,9.15,9.1,9.11,153691
2023-07-06,9.15,9.2,9.05,9.13,127000
2023-07-07,9.35,9.35,9.17,9.35,139608
2023-07-10,9.4,9.45,9.35,9.42,211425
2023-07-11,9.5,9.7,9.0,9.69,370047
2023-07-12,9.69,9.7,9.53,9.65,118713
2023-07-13,9.7,9.85,9.66,9.75,154682
2023-07-14,9.75,9.8,9.55,9.65,218321
2023-07-17,9.7,9.81,9.6,9.79,230393
2023-07-18,9.8,9.83,9.5,9.68,102555
2023-07-19,9.7,9.85,9.69,9.84,220510
2023-07-20,9.8,10.4,9.79,10.4,563694
2023-07-21,10.45,10.5,10.2,10.2,168137
2023-07-24,10.25,10.3,10.0,10.2,193622
2023-07-25,10.2,10.25,9.9,10.1,291853
2023-07-26,10.1,10.1,9.85,10.1,240706
2023-07-27,10.1,10.3,9.96,10.25,169375
2023-07-28,10.4,10.4,10.0,10.2,140632
2023-07-31,10.5,10.5,10.2,10.25,219892
2023-08-01,10.3,10.45,10.0,10.0,171840
2023-08-02,10.0,10.15,9.8,10.1,281444
2023-08-03,10.1,10.2,9.93,10.1,176965
2023-08-04,10.05,10.1,9.5,10.05,232613
2023-08-07,10.1,10.35,10.0,10.05,238858
2023-08-08,10.0,10.1,9.8,10.05,343133
2023-08-09,10.05,10.75,10.05,10.75,845168
2023-08-10,10.9,10.9,10.4,10.4,267241
2023-08-11,10.5,10.65,10.15,10.3,334565
2023-08-14,10.35,10.45,10.15,10.25,309283
2023-08-15,10.3,10.35,10.05,10.2,313392
2023-08-16,10.2,10.25,10.1,10.2,170748
2023-08-17,10.2,10.75,10.1,10.55,609184
2023-08-18,10.6,10.65,10.05,10.1,613512
2023-08-21,10.1,10.2,9.95,10.2,230987
2023-08-22,10.2,10.2,9.9,10.2,204707
2023-08-23,10.25,10.25,10.0,10.0,149947
2023-08-24,10.05,10.15,10.0,10.15,153642
2023-08-25,10.2,10.25,10.05,10.05,152728
2023-08-28,10.1,10.25,10.0,10.2,205116
2023-08-29,10.3,10.35,10.1,10.2,316167
2023-08-30,10.25,10.25,10.05,10.2,136850
2023-08-31,10.2,10.25,10.15,10.2,283607
2023-09-05,10.25,10.5,10.25,10.3,195862
2023-09-06,10.35,10.45,10.2,10.45,296319
2023-09-07,10.45,10.6,10.3,10.5,214707
2023-09-08,10.5,10.5,10.05,10.3,219497
2023-09-11,10.2,10.4,10.1,10.2,269609
2023-09-12,10.2,10.3,10.1,10.3,296330
2023-09-13,10.3,10.35,10.1,10.2,168248
2023-09-14,10.15,10.2,9.95,10.0,195230
2023-09-15,9.98,10.25,9.95,10.1,255699
2023-09-18,10.1,10.1,9.95,10.0,130473
2023-09-19,10.0,10.15,9.99,10.05,128956
2023-09-20,10.05,10.3,10.0,10.2,174125
2023-09-21,10.25,10.3,10.1,10.15,106826
2023-09-22,10.1,10.15,9.95,10.1,132495
2023-09-25,10.1,10.15,9.9,9.97,108642
2023-09-26,9.96,10.05,9.9,9.95,167700
2023-09-27,9.95,10.0,9.94,10.0,107253
2023-09-28,10.1,10.1,9.95,10.05,42500
2023-09-29,10.05,10.1,10.0,10.0,25800
2023-10-02,10.1,10.1,9.98,10.05,24912
2023-10-03,10.0,10.0,9.95,9.98,65600
2023-10-04,9.95,10.1,9.95,10.05,50650
2023-10-05,10.0,10.1,10.0,10.1,25600
2023-10-06,10.1,10.2,10.05,10.2,34911
2023-10-09,10.25,10.9,10.25,10.7,478363
2023-10-10,10.8,11.4,10.5,10.9,420721
2023-10-11,11.1,11.1,10.5,10.7,142625
2023-10-12,10.7,10.7,9.96,9.96,548521
2023-10-13,9.75,10.1,9.71,9.98,219374
2023-10-16,10.15,10.15,9.8,9.97,73303
2023-10-17,9.96,10.0,9.85,9.85,67694
2023-10-18,9.85,9.85,9.4,9.4,125910
2023-10-19,9.4,9.4,9.3,9.4,90700
2023-10-20,9.4,9.6,9.3,9.6,35200
2023-10-23,9.5,9.6,9.5,9.55,59644
2023-10-24,9.55,9.6,9.45,9.6,16002
2023-10-25,9.5,9.6,9.5,9.5,22073
2023-10-26,9.49,9.49,9.0,9.25,91402
2023-10-27,9.22,9.5,9.19,9.5,41638
2023-10-30,9.3,9.5,9.3,9.3,4905
2023-10-31,9.3,9.3,9.1,9.3,16500
2023-11-01,9.3,9.35,9.22,9.22,13100
2023-11-02,9.25,9.55,9.23,9.55,90900
2023-11-03,9.4,9.8,9.24,9.8,3602
2023-11-06,9.77,9.8,9.75,9.75,31000
2023-11-07,9.7,9.75,9.4,9.4,2100
2023-11-08,9.5,9.68,9.3,9.5,66400
2023-11-09,9.5,9.7,9.5,9.7,33718
2023-11-10,9.6,9.7,9.4,9.5,55860
2023-11-13,9.79,9.79,9.4,9.5,25732
2023-11-14,9.51,9.8,9.5,9.75,46347
2023-11-15,9.7,9.8,9.7,9.74,68063
2023-11-16,9.74,9.74,9.72,9.72,9400
2023-11-17,9.72,9.8,9.5,9.75,5850
