time,open,high,low,close,volume
2023-03-30,42.0,42.17,41.75,42.09,17516
2023-03-31,42.26,42.26,41.83,42.0,12437
2023-04-03,42.04,42.68,42.04,42.17,39265
2023-04-04,41.92,42.51,41.92,42.17,9034
2023-04-05,42.51,45.06,42.51,42.77,59505
2023-04-06,43.7,44.04,42.94,42.94,37802
2023-04-07,43.79,43.79,42.09,42.94,17327
2023-04-10,42.43,44.3,42.43,44.21,99015
2023-04-11,44.13,44.81,44.13,44.81,99051
2023-04-12,44.47,46.34,44.47,46.34,116626
2023-04-13,46.17,46.68,45.06,45.23,49514
2023-04-14,45.23,45.83,44.21,44.21,15892
2023-04-17,44.21,44.55,44.21,44.21,34641
2023-04-18,44.21,44.64,43.79,44.21,34919
2023-04-19,44.21,44.55,43.53,44.38,22808
2023-04-20,44.21,44.64,43.36,43.45,14114
2023-04-21,42.94,43.7,42.94,43.11,38409
2023-04-24,43.36,43.45,42.94,43.19,12422
2023-04-25,43.36,44.64,42.94,44.21,82688
2023-04-26,44.21,44.47,43.11,44.47,112041
2023-04-27,44.55,44.64,43.11,44.64,68710
2023-04-28,43.87,46.76,43.87,46.34,140853
2023-05-04,46.25,46.25,44.64,45.06,51845
2023-05-05,45.66,45.66,44.47,44.98,25201
2023-05-08,45.06,45.06,43.7,44.47,45025
2023-05-09,44.3,44.98,44.04,44.72,51103
2023-05-10,44.21,45.06,44.21,44.55,76705
2023-05-11,44.55,45.49,44.55,45.49,81358
2023-05-12,45.15,45.57,44.64,45.49,15207
2023-05-15,45.49,45.49,44.55,44.55,29258
2023-05-16,45.06,45.06,44.21,44.64,31369
2023-05-17,44.55,45.06,44.21,44.98,51542
2023-05-18,44.38,44.98,44.3,44.64,37200
2023-05-19,44.89,47.7,44.3,47.7,363711
2023-05-22,47.61,47.78,46.93,47.02,57363
2023-05-23,46.42,47.61,46.34,47.1,51423
2023-05-24,46.51,48.46,46.42,47.1,31319
2023-05-25,47.27,47.36,46.42,46.51,22900
2023-05-26,46.59,47.95,46.51,47.95,43000
2023-05-29,46.93,48.04,46.93,47.87,22435
2023-05-30,47.19,48.63,47.19,48.63,63764
2023-05-31,48.38,49.23,47.78,49.23,87777
2023-06-01,48.89,49.31,48.04,48.21,47998
2023-06-02,49.23,49.23,48.21,48.72,27827
2023-06-05,47.78,48.72,47.78,48.12,18721
2023-06-06,47.61,48.12,47.61,47.61,19505
2023-06-07,47.61,48.29,47.61,47.7,9772
