time,open,high,low,close,volume
2023-03-30,23.18,23.45,23.09,23.45,5404
2023-03-31,23.09,23.27,22.64,23.18,2900
2023-04-03,23.09,23.09,22.19,22.19,6700
2023-04-04,22.19,23.81,22.19,23.36,7100
2023-04-05,23.0,23.0,22.82,23.0,3761
2023-04-06,23.18,23.18,22.82,22.91,3605
2023-04-07,22.73,22.91,22.73,22.91,2900
2023-04-10,22.91,23.36,20.75,20.75,15504
2023-04-11,22.55,22.82,22.55,22.82,9704
2023-04-12,23.18,24.36,22.73,24.36,32406
2023-04-13,24.36,26.07,24.36,24.81,17602
2023-04-14,25.26,25.26,23.45,23.45,5800
2023-04-17,23.45,24.36,23.45,24.36,20000
2023-04-18,24.36,24.45,24.36,24.36,8602
2023-04-19,24.36,25.53,24.36,25.17,16467
2023-04-20,25.17,25.17,25.17,25.17,6
2023-04-21,24.45,24.45,24.45,24.45,210
2023-04-24,23.81,24.45,22.55,24.45,7604
2023-04-25,24.45,24.45,24.36,24.36,3000
2023-04-26,24.36,24.72,24.36,24.72,4564
2023-04-27,24.36,24.36,24.36,24.36,3400
2023-04-28,23.72,26.16,23.45,25.98,16300
2023-05-04,24.81,24.81,24.81,24.81,1005
2023-05-05,24.36,24.36,24.36,24.36,3169
2023-05-08,24.36,24.36,23.9,23.9,900
2023-05-09,24.08,24.63,23.99,24.63,15000
2023-05-10,23.99,24.26,23.72,24.17,5500
2023-05-11,24.17,24.17,23.72,24.17,5300
2023-05-12,24.17,24.54,24.17,24.17,12800
2023-05-15,24.17,24.17,24.17,24.17,1500
2023-05-16,24.17,24.17,24.17,24.17,5
2023-05-17,24.17,24.17,24.17,24.17,2400
2023-05-18,24.36,24.36,24.26,24.26,1200
2023-05-19,23.99,25.17,23.9,24.54,16400
2023-05-22,24.45,25.53,24.45,25.35,1700
2023-05-23,27.24,27.24,24.81,25.17,3200
2023-05-24,26.43,26.43,26.43,26.43,301
2023-05-25,26.43,26.43,25.08,25.08,1400
2023-05-26,25.08,25.53,24.45,24.45,1105
2023-05-29,24.45,26.07,24.45,25.26,37700
2023-05-30,26.32,26.32,25.26,25.26,7800
2023-05-31,25.26,27.78,25.16,25.16,13500
2023-06-01,26.23,26.23,24.87,24.96,4700
2023-06-02,26.13,26.13,24.96,25.06,14600
2023-06-05,26.03,26.03,25.06,25.35,27678
2023-06-06,26.03,26.62,25.06,25.45,8701
2023-06-07,25.45,25.45,25.06,25.06,2800
2023-06-08,25.35,25.35,24.28,24.38,30400
2023-06-09,24.58,25.06,24.58,24.77,3250
2023-06-12,24.77,25.26,24.77,25.06,4316
2023-06-13,25.26,25.45,25.06,25.35,20000
2023-06-14,25.55,27.78,25.55,26.03,18920
2023-06-15,26.71,26.71,25.55,25.94,19305
2023-06-16,26.52,27.98,25.84,26.62,5420
2023-06-19,25.84,26.71,25.55,25.55,5000
2023-06-20,25.55,26.13,25.26,25.26,3400
2023-06-21,25.26,26.03,25.26,26.03,1300
2023-06-22,26.71,26.71,25.35,25.84,3095
2023-06-23,26.23,26.62,25.55,26.13,706
2023-06-26,25.55,25.84,25.45,25.84,800
2023-06-27,26.13,26.13,26.13,26.13,200
2023-06-28,25.84,26.13,25.45,25.74,1600
2023-06-29,26.13,26.13,25.45,25.84,6442
2023-06-30,25.84,26.03,25.45,26.03,6300
2023-07-03,26.03,27.2,25.94,26.42,12503
2023-07-04,26.42,26.42,25.94,26.23,3500
2023-07-05,26.42,26.42,26.03,26.32,10500
2023-07-06,26.71,26.71,25.84,26.23,500
2023-07-07,25.26,26.13,24.87,26.13,10200
2023-07-10,26.42,26.42,26.13,26.13,600
2023-07-11,25.74,26.23,25.74,26.13,20300
2023-07-12,26.03,26.03,25.74,25.94,1700
2023-07-13,25.84,26.71,25.84,26.71,5600
2023-07-14,26.71,26.71,26.23,26.42,1601
2023-07-17,26.71,26.71,25.94,26.03,2200
2023-07-18,26.23,26.23,25.64,26.13,1200
2023-07-19,26.13,26.13,26.13,26.13,0
2023-07-20,27.2,28.66,27.2,28.66,36557
2023-07-21,31.47,31.47,31.08,31.47,47400
2023-07-24,34.58,34.58,31.67,33.51,74704
2023-07-25,36.43,36.43,32.06,33.51,16800
2023-07-26,34.97,34.97,33.51,34.0,32364
2023-07-27,34.97,34.97,32.44,33.42,9600
2023-07-28,33.42,34.97,33.42,34.0,38900
2023-07-31,37.4,37.4,37.4,37.4,27627
2023-08-01,41.09,41.09,38.86,40.7,108823
2023-08-02,43.23,43.23,39.15,40.6,28514
2023-08-03,38.18,39.73,38.08,39.73,14832
2023-08-04,38.47,38.47,37.01,37.69,14021
2023-08-07,37.69,37.69,36.23,37.11,24700
2023-08-08,37.4,40.8,37.4,38.86,32053
2023-08-09,40.31,40.8,39.15,39.73,12221
2023-08-10,40.31,40.31,38.95,38.95,8600
2023-08-11,38.56,38.66,37.88,37.88,8526
2023-08-14,37.88,38.08,37.3,37.3,14510
2023-08-15,37.3,37.69,36.91,36.91,13115
2023-08-16,36.91,37.88,36.52,37.69,17698
2023-08-17,38.27,38.27,37.88,37.88,210
2023-08-18,37.88,37.88,34.1,34.58,42710
2023-08-21,34.58,36.82,34.58,36.82,7622
2023-08-22,38.76,38.76,35.65,37.01,2403
2023-08-23,35.94,36.72,35.94,36.04,4500
2023-08-24,37.79,37.79,36.14,36.33,8100
2023-08-25,37.3,37.3,36.04,36.82,3000
2023-08-28,36.62,36.72,36.43,36.72,1800
2023-08-29,35.94,36.91,35.94,36.91,4500
2023-08-30,36.14,37.3,35.94,37.3,10300
2023-08-31,37.5,38.27,37.3,38.27,13800
2023-09-05,38.66,38.66,37.4,37.88,800
2023-09-06,37.88,38.18,37.79,38.18,6200
2023-09-07,38.18,41.77,38.18,39.73,34133
2023-09-08,39.83,40.31,38.86,40.22,826
2023-09-11,38.86,39.83,37.88,39.34,8527
2023-09-12,38.86,39.34,38.86,39.34,733
2023-09-13,38.08,39.34,36.91,39.34,6700
2023-09-14,37.88,38.86,37.88,38.86,3607
2023-09-15,37.88,38.66,37.88,38.66,8000
2023-09-18,38.66,38.86,38.18,38.18,8300
2023-09-19,38.86,38.86,36.04,38.08,26710
2023-09-20,38.37,38.37,37.2,37.3,600
2023-09-21,37.4,38.27,37.4,38.18,700
2023-09-22,37.69,37.69,37.01,37.69,3200
2023-09-25,37.4,38.27,37.11,37.4,818
2023-09-26,36.91,37.4,35.94,36.62,24100
2023-09-27,36.04,36.62,36.04,36.62,6600
2023-09-28,37.3,37.3,36.52,36.62,10100
2023-09-29,36.52,36.52,35.94,36.43,7400
2023-10-02,36.43,39.63,36.43,37.69,27921
2023-10-03,37.79,37.79,37.11,37.79,1400
2023-10-04,37.69,37.79,37.69,37.79,5500
2023-10-05,37.69,40.31,37.69,40.02,53382
2023-10-06,40.02,40.8,38.86,40.6,9876
2023-10-09,39.34,40.41,38.86,39.83,6174
2023-10-10,39.83,41.58,39.54,39.83,31600
2023-10-11,39.83,40.8,39.63,40.8,5606
2023-10-12,39.83,40.31,39.63,40.31,8700
2023-10-13,39.63,40.8,38.66,40.7,18036
2023-10-16,40.7,40.7,39.15,39.92,16600
2023-10-17,39.54,40.22,39.44,40.12,2741
2023-10-18,39.34,39.83,38.86,39.73,9501
2023-10-19,39.34,39.34,38.27,38.27,10424
2023-10-20,39.73,39.73,37.88,38.76,3700
2023-10-23,39.83,41.48,38.76,39.34,12710
2023-10-24,39.34,39.63,38.86,39.63,15810
2023-10-25,38.86,39.63,38.66,38.66,3100
2023-10-26,39.24,39.24,36.04,38.66,23915
