time,open,high,low,close,volume
2023-03-30,37.01,37.01,36.37,36.37,15850
2023-03-31,36.44,36.44,36.44,36.44,684
2023-04-03,36.51,36.87,36.51,36.72,1100
2023-04-04,36.65,36.65,36.15,36.58,4300
2023-04-05,36.37,36.37,36.3,36.3,400
2023-04-06,36.8,36.8,36.3,36.3,1589
2023-04-07,36.72,37.01,36.3,36.87,3400
2023-04-10,36.3,36.65,36.3,36.65,1228
2023-04-11,35.94,36.3,35.94,35.94,3682
2023-04-12,35.59,35.94,35.59,35.8,4300
2023-04-13,36.51,36.51,35.59,35.73,3326
2023-04-14,35.59,36.51,35.59,36.51,1905
2023-04-17,36.3,36.51,35.66,35.66,1700
2023-04-18,35.73,36.51,34.3,35.73,3400
2023-04-19,36.01,36.01,35.59,35.59,500
2023-04-20,36.51,36.51,35.59,35.59,1400
2023-04-21,36.23,36.3,35.59,35.59,3800
2023-04-24,35.41,35.59,34.16,34.87,2112
2023-04-25,34.87,36.08,34.87,35.09,3396
2023-04-26,35.09,35.3,35.02,35.09,6699
2023-04-27,35.94,36.3,35.94,35.94,1293
2023-04-28,36.01,36.01,35.87,35.87,317
2023-05-04,35.59,37.44,35.59,36.58,2639
2023-05-05,35.44,35.44,35.44,35.44,150
2023-05-08,35.44,35.44,35.41,35.44,2901
2023-05-09,35.37,35.37,34.16,35.23,11772
2023-05-10,35.19,35.19,34.87,35.16,821
2023-05-11,34.87,35.16,34.8,34.8,1564
2023-05-12,34.87,34.87,34.3,34.3,6559
2023-05-15,34.38,34.38,34.27,34.3,1155
2023-05-16,34.23,34.23,34.16,34.2,800
2023-05-17,34.2,34.2,32.74,32.74,19666
2023-05-18,33.88,34.09,33.41,34.09,842
2023-05-19,34.09,34.09,33.45,33.45,2124
2023-05-22,33.13,33.45,32.95,33.45,3656
2023-05-23,32.74,33.45,32.38,32.88,4470
2023-05-24,32.88,32.88,32.88,32.88,184
2023-05-25,32.88,33.38,32.38,32.45,7248
2023-05-26,32.45,32.45,32.38,32.38,3065
2023-05-29,32.81,32.85,32.74,32.74,2447
2023-05-30,32.7,32.74,32.1,32.74,8837
2023-05-31,32.74,33.81,32.38,33.63,8915
2023-06-01,33.59,33.95,33.09,33.95,7002
2023-06-02,33.81,33.95,33.24,33.95,1684
2023-06-05,33.95,34.52,33.66,34.16,4744
2023-06-06,34.16,34.16,33.81,33.81,2202
2023-06-07,33.81,33.81,32.74,32.81,7459
2023-06-08,33.95,33.95,33.09,33.09,1000
