time,open,high,low,close,volume
2023-03-30,13.51,13.75,13.43,13.51,950720
2023-03-31,13.59,13.59,13.35,13.43,1358250
2023-04-03,13.51,14.22,13.51,14.06,2639135
2023-04-04,14.14,14.3,13.98,14.3,2566632
2023-04-05,14.3,14.45,14.06,14.14,2112133
2023-04-06,14.22,14.53,13.98,13.98,2928205
2023-04-07,13.98,14.06,13.67,13.82,1899591
2023-04-10,13.59,14.06,13.35,13.51,1931578
2023-04-11,13.51,13.9,13.51,13.9,1347037
2023-04-12,13.9,14.45,13.82,14.22,2536957
2023-04-13,14.22,14.53,14.06,14.14,2570156
2023-04-14,14.14,14.3,13.67,13.67,1704070
2023-04-17,13.67,13.98,13.67,13.75,901747
2023-04-18,13.43,13.9,12.41,13.75,1341005
2023-04-19,13.75,13.98,13.67,13.82,1143391
2023-04-20,13.75,14.69,13.75,14.53,5495342
2023-04-21,14.61,14.69,14.14,14.3,2203814
2023-04-24,14.3,14.61,13.98,14.06,2284939
2023-04-25,14.14,15.16,13.98,14.69,4291783
2023-04-26,14.69,15.71,14.61,15.71,4013369
2023-04-27,15.79,15.87,15.16,15.4,2472758
2023-04-28,15.47,15.63,15.16,15.47,2610741
2023-05-04,15.47,16.18,15.32,15.4,3240062
2023-05-05,14.14,15.47,14.14,14.92,2431542
2023-05-08,14.92,15.4,14.77,15.08,1994440
2023-05-09,15.08,15.47,15.08,15.32,1438766
2023-05-10,15.4,15.47,15.16,15.4,1847528
2023-05-11,15.4,15.87,15.24,15.24,2683266
2023-05-12,15.24,15.55,15.0,15.32,1953731
2023-05-15,15.4,15.95,15.24,15.55,2331132
2023-05-16,15.55,15.55,15.32,15.32,1122526
2023-05-17,15.4,15.47,14.92,14.92,1584612
2023-05-18,14.92,15.16,14.85,14.92,1129621
2023-05-19,15.16,15.32,14.92,15.08,1493388
2023-05-22,15.47,15.47,14.92,15.24,1340161
2023-05-23,15.24,15.63,15.08,15.63,1910664
2023-05-24,15.71,16.02,15.32,15.32,3066601
2023-05-25,15.32,15.4,15.08,15.16,1335901
2023-05-26,15.16,15.4,15.16,15.16,1293574
2023-05-29,15.16,15.47,15.16,15.4,2011852
2023-05-30,15.47,15.87,15.4,15.47,2623707
2023-05-31,15.63,16.18,15.55,15.79,3831116
2023-06-01,15.87,15.95,15.55,15.63,1826997
2023-06-02,16.02,16.1,15.47,15.63,2186513
2023-06-05,15.87,16.26,15.71,16.1,3814231
2023-06-06,16.18,16.42,15.95,16.02,2136118
2023-06-07,16.1,16.26,15.95,16.02,2719568
2023-06-08,16.02,16.18,15.55,15.55,2548362
2023-06-09,14.92,15.79,14.53,15.71,2043454
2023-06-12,15.71,15.95,15.55,15.95,1457212
2023-06-13,15.87,16.18,15.63,15.63,1684947
2023-06-14,16.54,16.71,15.78,15.78,1176622
2023-06-15,15.78,16.03,15.61,15.86,1103729
2023-06-16,15.86,16.12,15.69,15.78,1594904
2023-06-19,15.78,15.86,15.36,15.36,1234433
2023-06-20,15.36,15.69,15.36,15.69,1020155
2023-06-21,15.69,15.86,15.69,15.78,1182936
2023-06-22,15.86,16.37,15.78,16.2,2275718
2023-06-23,16.37,16.37,16.03,16.12,1339276
2023-06-26,16.12,16.2,15.78,16.12,1206259
2023-06-27,16.12,16.71,16.03,16.71,2988255
2023-06-28,16.97,16.97,16.37,16.54,1472327
2023-06-29,16.54,16.54,16.12,16.12,1344299
2023-06-30,16.12,16.2,15.95,16.12,663593
2023-07-03,16.12,16.37,15.95,16.37,782793
2023-07-04,16.37,16.54,16.12,16.37,1308908
2023-07-05,16.37,16.88,16.2,16.54,2397798
2023-07-06,16.63,16.71,16.2,16.71,2085709
2023-07-07,16.71,17.39,16.71,17.05,2158345
2023-07-10,17.05,17.22,16.8,16.97,1664086
2023-07-11,16.97,17.22,16.8,16.88,2030093
2023-07-12,16.88,16.97,16.71,16.8,1489877
2023-07-13,16.8,17.05,16.8,16.97,1407655
2023-07-14,17.05,17.14,16.8,16.88,1528924
