time,open,high,low,close,volume
2023-03-30,18.44,18.47,18.19,18.39,123419
2023-03-31,18.39,18.39,18.19,18.39,102310
2023-04-03,18.39,18.44,18.32,18.39,105510
2023-04-04,18.39,18.44,18.19,18.42,117211
2023-04-05,18.24,18.47,18.24,18.42,95589
2023-04-06,18.47,18.47,18.29,18.42,109333
2023-04-07,18.42,18.42,18.14,18.34,93630
2023-04-10,18.34,18.34,18.14,18.34,176990
2023-04-11,18.34,18.34,18.04,18.29,180718
2023-04-12,18.29,18.29,17.84,17.84,307856
2023-04-13,17.84,17.84,17.39,17.82,266148
2023-04-14,17.79,17.82,17.42,17.42,168970
2023-04-17,17.54,17.54,17.42,17.54,253716
2023-04-18,17.59,17.59,17.47,17.54,183260
2023-04-19,17.64,18.29,17.64,17.94,236079
2023-04-20,19.18,19.18,18.48,19.18,287851
2023-04-21,19.71,20.28,19.39,20.28,396172
2023-04-24,20.35,20.42,19.75,20.28,150979
2023-04-25,20.24,20.28,19.25,19.92,125828
2023-04-26,19.75,20.1,19.15,20.06,154071
2023-04-27,19.92,19.96,19.18,19.96,183885
2023-04-28,19.5,19.96,19.25,19.96,234050
2023-05-04,19.96,19.96,19.11,19.68,261497
2023-05-05,19.39,19.68,19.15,19.68,242992
2023-05-08,19.46,19.61,19.25,19.32,216311
2023-05-09,19.32,19.39,18.97,18.97,304566
2023-05-10,18.97,19.08,18.79,19.04,52142
2023-05-11,19.39,19.39,19.01,19.04,481837
2023-05-12,19.04,19.22,19.01,19.04,177114
2023-05-15,19.04,19.04,18.9,19.04,189368
2023-05-16,19.04,19.04,18.87,19.04,112820
2023-05-17,19.04,19.04,18.9,18.97,195275
2023-05-18,18.94,18.97,18.76,18.94,171186
2023-05-19,18.83,18.97,18.69,18.97,300351
2023-05-22,18.97,19.32,18.58,19.32,476622
2023-05-23,19.32,19.39,19.01,19.39,275531
2023-05-24,19.32,19.39,19.01,19.32,208295
2023-05-25,19.08,19.11,18.87,19.11,187373
2023-05-26,19.08,19.08,18.87,19.04,81600
2023-05-29,18.72,19.04,18.72,19.01,103495
2023-05-30,18.72,19.04,18.41,19.04,499044
2023-05-31,19.04,19.04,18.34,18.87,373728
2023-06-01,18.87,18.87,18.51,18.76,91068
2023-06-02,18.76,19.01,18.48,19.01,348709
2023-06-05,18.97,19.04,18.79,19.01,209290
2023-06-06,18.94,18.97,18.72,18.97,196146
2023-06-07,18.83,18.94,18.62,18.94,227064
2023-06-08,18.9,18.9,18.62,18.9,291064
2023-06-09,18.69,18.87,18.65,18.69,328744
2023-06-12,18.69,18.83,18.65,18.76,240805
2023-06-13,18.76,19.36,18.76,19.22,432343
2023-06-14,19.36,19.46,19.18,19.18,191377
2023-06-15,19.08,19.18,18.94,19.01,144507
2023-06-16,19.01,19.29,18.94,19.15,586138
2023-06-19,19.15,19.64,19.15,19.39,391918
2023-06-20,19.39,19.39,19.25,19.25,88496
2023-06-21,19.36,19.61,19.36,19.43,477781
2023-06-22,19.43,19.61,19.43,19.5,150439
2023-06-23,19.54,19.54,19.25,19.5,211421
2023-06-26,19.46,19.46,19.08,19.32,168154
2023-06-27,19.32,19.39,19.04,19.32,234357
2023-06-28,19.32,19.32,19.04,19.04,112357
2023-06-29,19.04,19.04,18.79,19.04,138091
2023-06-30,19.04,19.04,18.69,18.97,75133
2023-07-03,19.04,19.04,18.69,18.72,107361
2023-07-04,18.76,18.94,18.69,18.76,65049
2023-07-05,18.9,18.94,18.76,18.87,50895
2023-07-06,18.79,18.87,18.69,18.69,51571
2023-07-07,18.83,18.83,18.62,18.69,118249
2023-07-10,18.69,18.87,18.69,18.76,62172
2023-07-11,18.9,18.9,18.76,18.9,103374
2023-07-12,19.04,19.04,18.69,18.97,113180
2023-07-13,18.97,19.04,18.72,19.01,133557
2023-07-14,19.01,19.46,18.97,19.39,733390
2023-07-17,19.32,20.06,19.32,19.99,429882
2023-07-18,19.99,19.99,19.64,19.82,220688
2023-07-19,19.82,19.96,19.57,19.68,219249
2023-07-20,19.5,19.71,19.5,19.61,161744
2023-07-21,19.61,19.71,19.39,19.71,209844
2023-07-24,19.75,19.75,19.39,19.61,142919
