time,open,high,low,close,volume
2025-02-06,12.4,12.4,12.4,12.4,100
2025-02-07,14.2,14.2,14.2,14.2,100
2025-02-10,16.3,16.3,16.3,16.3,400
2025-02-11,18.7,18.7,18.7,18.7,100
2025-02-12,21.5,21.5,21.5,21.5,100
2025-02-13,24.7,24.7,24.7,24.7,100
2025-02-14,28.4,28.4,28.4,28.4,2200
2025-02-17,32.6,32.6,32.6,32.6,100
2025-02-18,37.4,37.4,37.4,37.4,1000
2025-02-19,43.0,43.0,31.9,31.9,1600
2025-02-20,48.6,48.6,48.6,48.6,800
2025-02-21,48.6,48.6,48.6,48.6,100
2025-02-24,41.4,41.4,41.4,41.4,100
2025-02-25,35.2,35.3,35.2,35.2,2100
2025-02-26,30.0,40.1,30.0,40.1,1100
2025-02-27,26.3,26.3,26.3,26.3,1100
2025-02-28,22.4,22.4,22.4,22.4,5600
2025-03-03,19.1,19.1,19.1,19.1,3100
2025-03-04,16.3,16.3,16.3,16.3,4500
2025-03-05,14.2,17.9,14.2,14.2,8100
2025-03-06,14.6,14.6,12.5,12.6,6100
2025-03-07,14.5,14.5,11.5,12.1,10000
2025-03-10,11.2,11.6,11.2,11.6,11500
2025-03-11,11.8,12.8,10.5,12.8,14500
2025-03-12,11.3,12.4,10.5,10.9,22200
2025-03-13,11.9,12.4,10.6,12.4,57000
2025-03-14,13.3,13.3,10.7,12.0,32400
2025-03-17,12.8,12.8,11.4,11.4,10900
2025-03-18,11.5,11.5,11.0,11.2,2300
2025-03-19,11.2,11.2,11.0,11.1,3700
2025-03-20,10.8,12.6,10.8,12.5,11400
2025-03-21,12.6,12.6,11.9,11.9,600
2025-03-24,12.3,12.5,12.2,12.5,11300
2025-03-25,14.1,14.1,10.7,13.0,16300
2025-03-26,12.8,12.8,11.2,12.2,700
2025-03-27,11.9,11.9,11.3,11.3,700
2025-03-28,11.3,11.8,10.8,11.8,4300
