time,open,high,low,close,volume
2023-03-30,61.3,61.3,61.3,61.3,0
2023-03-31,69.44,69.44,69.44,69.44,100
2023-04-03,61.48,61.48,61.48,61.48,100
2023-04-04,61.48,61.48,61.48,61.48,0
2023-04-05,61.48,61.48,61.48,61.48,0
2023-04-06,61.48,61.48,61.48,61.48,0
2023-04-07,61.75,61.75,61.75,61.75,100
2023-04-10,61.75,61.75,61.75,61.75,0
2023-04-11,61.75,61.75,61.75,61.75,0
2023-04-12,53.61,66.79,53.61,66.79,1000
2023-04-13,61.48,61.48,61.48,61.48,0
2023-04-14,61.48,61.48,61.48,61.48,0
2023-04-17,64.04,64.04,64.04,64.04,100
2023-04-18,64.04,73.65,57.73,57.73,8002
2023-04-19,72.09,72.09,72.09,72.09,0
2023-04-20,61.66,61.66,61.66,61.66,100
2023-04-21,61.66,61.66,61.66,61.66,0
2023-04-24,61.66,61.66,61.66,61.66,0
2023-04-25,58.64,58.64,58.64,58.64,100
2023-04-26,58.64,58.64,58.64,58.64,0
2023-04-27,58.64,58.64,58.64,58.64,0
2023-04-28,58.64,58.64,58.64,58.64,0
2023-05-04,58.64,58.64,58.64,58.64,0
2023-05-05,67.43,67.43,67.43,67.43,200
2023-05-08,67.43,67.43,67.43,67.43,0
2023-05-09,68.62,68.62,68.62,68.62,200
2023-05-10,78.68,78.68,59.1,64.22,6200
2023-05-11,68.71,68.71,68.71,68.71,100
2023-05-12,70.45,70.45,69.99,69.99,301
2023-05-15,78.68,78.68,68.89,68.89,2000
2023-05-16,78.68,78.68,78.68,78.68,1000
2023-05-17,66.88,66.88,66.88,66.88,100
2023-05-18,66.88,66.88,66.88,66.88,0
2023-05-19,66.88,66.88,66.88,66.88,0
2023-05-22,66.88,66.88,66.88,66.88,0
2023-05-23,66.88,66.88,66.88,66.88,0
2023-05-24,66.88,66.88,66.88,66.88,0
2023-05-25,62.24,76.9,62.24,76.9,300
2023-05-26,61.22,61.22,61.22,61.22,100
2023-05-29,61.22,61.22,61.22,61.22,0
2023-05-30,61.22,61.22,61.22,61.22,0
2023-05-31,61.22,61.22,61.22,61.22,0
2023-06-01,70.4,70.4,70.4,70.4,500
2023-06-02,80.89,80.89,65.02,69.66,3700
2023-06-05,68.18,68.18,68.18,68.18,100
2023-06-06,78.38,78.38,63.54,63.54,200
2023-06-07,70.96,70.96,70.96,70.96,0
2023-06-08,70.96,70.96,70.96,70.96,0
2023-06-09,61.78,61.78,61.78,61.78,100
2023-06-12,61.78,61.78,61.78,61.78,30
2023-06-13,70.96,70.96,70.96,70.96,100
