time,open,high,low,close,volume
2023-03-30,7.89,7.89,7.63,7.72,51232
2023-03-31,7.81,8.24,7.63,8.07,57000
2023-04-03,8.24,8.42,7.89,7.98,34500
2023-04-04,7.98,7.98,7.81,7.81,49105
2023-04-05,7.89,7.89,7.72,7.81,53100
2023-04-06,7.81,8.07,7.72,7.89,57506
2023-04-07,7.89,7.89,7.72,7.89,61101
2023-04-10,7.89,7.98,7.81,7.98,45317
2023-04-11,7.89,7.89,7.81,7.81,13300
2023-04-12,7.81,7.89,7.46,7.81,48039
2023-04-13,7.81,7.81,7.72,7.81,17106
2023-04-14,7.81,7.81,7.63,7.81,19000
2023-04-17,7.81,7.81,7.63,7.63,12100
2023-04-18,7.63,7.63,7.63,7.63,6100
2023-04-19,7.63,7.63,7.54,7.63,23500
2023-04-20,7.63,7.72,7.54,7.54,14100
2023-04-21,7.63,7.63,7.46,7.46,9517
2023-04-24,7.54,7.54,7.37,7.46,18700
2023-04-25,7.54,7.89,7.46,7.63,34617
2023-04-26,7.72,7.72,7.72,7.72,7516
2023-04-27,7.72,7.72,7.54,7.63,15412
2023-04-28,7.54,7.63,7.54,7.63,4415
2023-05-04,7.63,7.63,7.46,7.54,17400
2023-05-05,7.54,7.54,7.46,7.54,11010
2023-05-08,7.63,7.72,7.63,7.63,38271
2023-05-09,7.72,7.72,7.63,7.63,15653
2023-05-10,7.72,7.81,7.54,7.81,50303
2023-05-11,7.63,7.72,7.63,7.72,22800
2023-05-12,7.81,7.89,7.72,7.81,35197
2023-05-15,7.98,7.98,7.81,7.81,21400
2023-05-16,7.89,7.89,7.54,7.54,25810
2023-05-17,7.72,7.72,7.54,7.63,36720
2023-05-18,7.63,7.63,7.46,7.63,21910
2023-05-19,7.54,7.63,7.46,7.54,28400
2023-05-22,7.54,7.54,7.46,7.46,17200
2023-05-23,7.54,7.63,7.46,7.54,15800
2023-05-24,7.54,7.63,7.46,7.54,19700
2023-05-25,7.54,7.63,7.46,7.63,23900
2023-05-26,7.63,7.72,7.54,7.63,29000
2023-05-29,7.63,7.89,7.63,7.89,57030
2023-05-30,8.07,8.07,7.81,7.89,40405
2023-05-31,7.89,8.16,7.89,8.07,74170
2023-06-01,8.07,8.33,7.98,8.33,61327
2023-06-02,8.16,8.42,8.16,8.33,57300
2023-06-05,8.24,8.42,8.07,8.24,32612
