time,open,high,low,close,volume
2023-03-30,4.7,4.8,4.6,4.8,436810
2023-03-31,4.8,4.8,4.6,4.7,539709
2023-04-03,4.8,4.9,4.7,4.8,575601
2023-04-04,4.8,4.9,4.7,4.8,359761
2023-04-05,4.8,5.2,4.8,5.2,1729671
2023-04-06,5.2,5.7,5.2,5.3,2008586
2023-04-07,5.4,5.4,5.1,5.2,843125
2023-04-10,5.2,5.4,5.1,5.2,930500
2023-04-11,5.1,5.2,5.0,5.2,667600
2023-04-12,5.2,5.2,5.0,5.1,446129
2023-04-13,5.0,5.1,5.0,5.0,573410
2023-04-14,5.0,5.1,4.9,4.9,583744
2023-04-17,4.9,5.0,4.8,5.0,446747
2023-04-18,5.0,5.1,4.9,5.0,345451
2023-04-19,5.0,5.1,5.0,5.0,177806
2023-04-20,4.9,5.1,4.9,5.0,250100
2023-04-21,5.0,5.1,4.9,5.0,424192
2023-04-24,5.0,5.0,4.9,5.0,211406
2023-04-25,4.9,5.1,4.9,5.0,637061
2023-04-26,5.0,5.0,4.9,5.0,205164
2023-04-27,5.0,5.0,4.8,4.9,605027
2023-04-28,4.9,5.0,4.8,4.9,698123
2023-05-04,4.9,5.3,4.9,5.1,1255580
2023-05-05,5.1,5.2,5.0,5.1,189940
2023-05-08,5.1,5.3,5.1,5.2,782532
2023-05-09,5.2,5.3,5.1,5.3,885291
2023-05-10,5.3,5.8,5.3,5.8,1287582
2023-05-11,6.3,6.3,6.1,6.3,4868550
2023-05-12,6.3,6.4,6.1,6.4,1892632
2023-05-15,6.4,7.0,6.4,6.4,2438438
2023-05-16,6.5,6.6,6.3,6.4,1315851
2023-05-17,6.4,6.6,6.3,6.4,1719329
2023-05-18,6.4,6.5,6.2,6.3,1259821
2023-05-19,6.3,6.3,5.9,6.1,1987420
2023-05-22,5.8,5.9,5.5,5.6,4591556
2023-05-23,5.6,5.8,5.5,5.7,1554546
2023-05-24,5.8,5.8,5.5,5.6,1650364
2023-05-25,5.6,5.6,5.6,5.6,0
2023-05-26,5.5,5.5,5.2,5.3,2732096
2023-05-29,5.3,5.3,5.3,5.3,0
2023-05-30,5.3,5.3,5.3,5.3,0
2023-05-31,5.3,5.3,5.3,5.3,0
2023-06-01,5.3,5.3,5.3,5.3,0
