time,open,high,low,close,volume
2023-03-30,8.6,8.9,8.0,8.8,4300
2023-03-31,8.3,8.9,8.1,8.9,600
2023-04-03,8.9,8.9,8.9,8.9,9
2023-04-04,8.6,8.6,8.4,8.4,7909
2023-04-05,8.4,8.4,8.4,8.4,0
2023-04-06,8.5,8.7,8.1,8.7,4000
2023-04-07,8.7,8.7,8.7,8.7,0
2023-04-10,9.4,9.4,9.4,9.4,100
2023-04-11,9.0,9.0,8.5,8.6,3304
2023-04-12,8.8,8.9,8.8,8.8,307
2023-04-13,8.6,8.6,8.6,8.6,8604
2023-04-14,8.6,8.6,8.6,8.6,0
2023-04-17,8.6,8.6,8.6,8.6,2
2023-04-18,8.1,8.6,8.1,8.6,200
2023-04-19,8.3,8.6,8.3,8.6,300
2023-04-20,8.4,8.5,8.4,8.5,1203
2023-04-21,8.5,8.5,8.5,8.5,0
2023-04-24,8.9,8.9,8.8,8.8,3100
2023-04-25,8.8,8.8,8.8,8.8,1000
2023-04-26,8.8,8.8,8.8,8.8,0
2023-04-27,8.8,8.8,8.8,8.8,700
2023-04-28,9.2,9.2,8.5,8.5,8800
2023-05-04,9.0,9.0,9.0,9.0,100
2023-05-05,9.0,9.0,8.4,8.9,833
2023-05-08,9.1,9.3,9.0,9.3,300
2023-05-09,9.3,9.3,9.3,9.3,0
2023-05-10,9.3,9.4,9.3,9.4,328
2023-05-11,9.4,9.4,9.4,9.4,5000
2023-05-12,9.4,9.4,9.4,9.4,16
2023-05-15,9.4,9.4,9.4,9.4,0
2023-05-16,9.4,9.4,9.4,9.4,55
2023-05-17,9.2,9.2,9.2,9.2,1205
2023-05-18,9.2,9.2,9.2,9.2,0
2023-05-19,8.6,9.3,8.3,9.3,2720
2023-05-22,9.2,9.8,9.2,9.7,4654
2023-05-23,9.0,9.0,9.0,9.0,1200
2023-05-24,9.0,9.0,9.0,9.0,100
2023-05-25,8.7,9.0,8.7,9.0,200
2023-05-26,9.0,9.0,9.0,9.0,0
2023-05-29,8.6,9.0,8.4,9.0,6100
2023-05-30,9.0,9.0,9.0,9.0,0
2023-05-31,8.8,8.9,8.1,8.9,10100
2023-06-01,8.8,8.8,8.8,8.8,400
2023-06-02,8.8,8.8,8.8,8.8,0
2023-06-05,8.7,8.8,8.4,8.8,5900
2023-06-06,8.4,9.6,8.4,9.6,2429
2023-06-07,9.4,9.4,9.4,9.4,100
2023-06-08,9.5,9.5,9.5,9.5,300
2023-06-09,8.8,8.8,8.8,8.8,100
2023-06-12,8.6,8.6,8.5,8.5,5780
2023-06-13,8.5,9.3,8.3,9.2,2614
2023-06-14,8.7,9.5,8.5,9.5,2560
2023-06-15,9.0,9.1,9.0,9.1,700
2023-06-16,8.6,8.6,8.6,8.6,105
2023-06-19,8.6,9.0,8.6,9.0,489
2023-06-20,9.0,9.0,9.0,9.0,2
2023-06-21,9.0,9.0,8.5,9.0,2360
