time,open,high,low,close,volume
2023-03-30,52.27,52.78,52.1,52.5,411004
2023-03-31,52.56,52.78,51.26,51.77,951283
2023-04-03,51.93,52.61,51.65,52.56,737481
2023-04-04,52.56,52.61,51.88,52.1,270521
2023-04-05,52.27,52.27,51.6,52.16,336349
2023-04-06,51.82,52.16,51.65,51.65,376788
2023-04-07,51.54,51.6,50.69,50.97,747860
2023-04-10,50.97,50.97,50.41,50.41,639645
2023-04-11,50.41,50.97,49.95,49.95,752232
2023-04-12,50.01,50.18,49.84,50.01,518806
2023-04-13,50.01,50.12,49.73,49.95,491499
2023-04-14,50.01,50.46,49.95,50.07,415311
2023-04-17,50.07,50.12,49.73,50.07,489420
2023-04-18,50.01,50.18,49.56,49.84,695427
2023-04-19,49.9,50.24,49.84,50.12,417179
2023-04-20,50.29,50.29,49.84,50.01,258080
2023-04-21,49.84,49.9,49.5,49.56,357041
2023-04-24,49.84,50.12,49.27,49.78,506466
2023-04-25,49.95,50.12,49.56,50.01,546290
2023-04-26,49.84,50.69,49.78,50.63,710670
2023-04-27,50.24,51.26,50.07,50.97,581140
2023-04-28,50.97,51.26,50.29,51.26,705032
2023-05-04,50.97,50.97,50.12,50.12,496435
2023-05-05,50.12,50.92,49.95,50.86,226102
2023-05-08,50.97,52.78,50.86,52.67,1502235
2023-05-09,52.67,53.18,52.27,52.27,564410
2023-05-10,52.05,52.67,51.88,52.1,418041
2023-05-11,52.1,52.16,51.54,51.54,506319
2023-05-12,51.54,52.56,51.43,52.56,711269
2023-05-15,52.1,52.67,51.65,51.93,451483
2023-05-16,52.1,52.73,51.71,52.44,666940
2023-05-17,52.39,52.67,52.27,52.56,573251
2023-05-18,52.61,54.37,52.22,53.8,1680806
2023-05-19,53.52,53.75,52.44,53.35,440496
2023-05-22,52.67,53.18,52.22,52.73,623319
2023-05-23,52.67,53.01,52.16,52.56,569233
2023-05-24,52.56,52.56,52.05,52.44,342665
2023-05-25,52.44,53.24,51.77,52.78,607166
2023-05-26,52.78,52.95,52.1,52.1,284190
2023-05-29,52.1,53.8,52.1,52.73,591719
2023-05-30,52.73,53.69,52.33,53.52,565039
2023-05-31,53.18,53.29,52.73,53.24,380711
2023-06-01,53.58,53.58,52.78,53.18,646726
2023-06-02,53.18,53.8,52.84,53.75,739065
2023-06-05,53.92,55.9,53.92,55.5,1299964
2023-06-06,55.5,56.07,54.65,56.07,761266
2023-06-07,56.07,56.07,54.94,54.94,750797
2023-06-08,54.94,57.6,54.94,56.64,1341141
2023-06-09,56.64,57.77,56.07,56.92,821677
2023-06-12,56.58,57.49,55.56,57.2,436746
2023-06-13,56.64,58.33,56.47,58.05,840097
2023-06-14,58.0,58.9,57.49,58.11,842576
2023-06-15,58.05,58.73,57.54,58.62,913438
2023-06-16,59.01,60.26,58.45,59.47,1333946
2023-06-19,58.67,58.96,57.6,57.6,1141315
2023-06-20,57.26,57.26,56.52,56.58,1782749
2023-06-21,56.47,56.92,56.47,56.64,1188227
2023-06-22,57.77,57.77,56.58,56.86,717220
2023-06-23,56.86,56.86,56.35,56.58,706286
2023-06-26,56.13,57.15,56.13,56.64,807728
2023-06-27,56.64,57.2,56.47,56.64,686645
2023-06-28,56.64,57.88,56.52,57.26,822207
2023-06-29,57.66,58.33,57.26,57.71,642122
2023-06-30,57.26,57.66,56.64,56.64,557300
2023-07-03,56.64,57.09,56.52,56.64,490833
2023-07-04,57.03,57.71,56.58,56.64,683429
2023-07-05,57.2,58.05,56.81,57.77,954822
2023-07-06,57.83,57.88,56.92,57.03,1021691
2023-07-07,56.92,59.47,56.86,59.47,1066312
2023-07-10,59.41,59.41,57.94,58.16,916503
2023-07-11,57.66,59.47,57.66,58.33,888492
2023-07-12,58.16,59.18,58.16,58.9,743776
2023-07-13,59.47,59.47,58.73,59.41,929375
2023-07-14,59.41,59.47,58.9,59.47,798828
2023-07-17,59.47,59.47,59.01,59.35,792928
2023-07-18,59.41,59.47,59.07,59.07,590877
2023-07-19,59.24,60.66,59.24,60.32,927729
2023-07-20,59.75,60.26,58.67,59.47,772446
2023-07-21,59.47,59.47,58.9,59.47,664121
2023-07-24,59.52,59.69,59.18,59.24,809968
2023-07-25,60.47,61.87,60.4,61.34,2376800
2023-07-26,61.47,62.48,61.47,62.48,1149142
2023-07-27,62.68,62.68,61.87,62.01,959168
2023-07-28,62.01,62.21,61.41,62.21,1118204
2023-07-31,62.21,62.34,61.27,61.27,1469179
2023-08-01,61.27,62.07,61.0,61.0,1282915
2023-08-02,61.0,61.2,60.87,61.2,1056442
2023-08-03,61.2,61.2,60.54,60.6,838992
2023-08-04,60.67,60.94,60.27,60.27,1232691
2023-08-07,60.27,60.74,60.2,60.74,1112919
2023-08-08,60.74,61.0,60.27,60.67,825329
2023-08-09,60.67,60.8,60.27,60.33,592910
2023-08-10,60.54,60.54,59.2,59.2,1339101
2023-08-11,59.2,60.47,59.2,60.47,922105
2023-08-14,60.4,60.4,59.53,59.53,1472862
2023-08-15,60.2,60.2,59.2,59.47,1149381
2023-08-16,59.4,59.8,59.33,59.67,728443
2023-08-17,59.67,60.07,59.26,59.8,2145945
2023-08-18,60.07,60.4,59.53,59.87,2432095
2023-08-21,60.0,60.33,59.67,60.07,1711594
2023-08-22,59.87,60.0,58.73,59.13,1826735
2023-08-23,59.47,59.47,57.59,57.73,1756869
2023-08-24,57.73,59.0,57.53,58.19,904090
2023-08-25,57.66,58.19,57.53,57.66,1406166
2023-08-28,57.79,58.53,57.66,58.19,1379391
2023-08-29,58.19,59.2,58.13,59.13,1393114
2023-08-30,59.2,59.87,59.2,59.6,1351406
2023-08-31,59.6,59.93,59.06,59.6,1532410
2023-09-05,59.6,60.67,59.6,60.27,1943937
2023-09-06,60.33,60.33,60.0,60.33,2019306
2023-09-07,60.2,60.74,59.87,59.87,1767025
2023-09-08,59.87,59.87,59.6,59.87,1342875
2023-09-11,59.93,60.2,58.86,59.2,1651179
2023-09-12,59.53,60.2,59.47,60.13,1573590
2023-09-13,60.2,60.2,59.47,59.6,1583591
2023-09-14,59.53,59.87,58.93,59.6,1513444
2023-09-15,59.47,60.07,59.26,60.07,2148841
2023-09-18,59.87,60.0,59.06,59.4,721550
2023-09-19,59.4,59.67,57.53,58.93,1121369
2023-09-20,58.93,59.13,57.79,58.86,789315
2023-09-21,58.86,58.86,58.06,58.19,1070108
2023-09-22,57.79,59.87,57.53,59.73,2412619
2023-09-25,59.53,59.87,59.06,59.73,2212485
2023-09-26,59.67,59.8,58.13,58.19,1666399
2023-09-27,58.6,59.53,58.19,58.73,1207226
2023-09-28,58.33,59.06,57.93,58.86,1066237
2023-09-29,59.06,59.06,58.26,58.53,450190
2023-10-02,58.26,58.33,57.86,57.86,767433
2023-10-03,57.86,57.99,57.39,57.73,884115
2023-10-04,57.73,57.73,57.06,57.73,925262
2023-10-05,57.53,57.53,56.52,56.52,891392
2023-10-06,56.52,57.12,55.85,57.12,802652
2023-10-09,57.12,57.12,56.19,56.59,1097445
2023-10-10,56.59,57.66,56.59,57.59,735970
2023-10-11,57.66,57.86,57.32,57.86,720549
2023-10-12,58.13,58.13,57.19,57.53,715133
2023-10-13,57.53,57.93,57.19,57.93,663930
2023-10-16,57.26,57.93,57.26,57.59,333530
2023-10-17,57.59,57.86,57.19,57.46,364184
2023-10-18,57.19,57.53,56.86,57.46,1148543
2023-10-19,57.19,57.53,56.25,56.52,1364661
