time,open,high,low,close,volume
2023-03-30,17.13,17.21,16.6,16.6,7777462
2023-03-31,16.68,16.76,16.19,16.52,9516501
2023-04-03,16.88,17.01,16.64,17.01,10825780
2023-04-04,17.13,17.33,16.88,16.88,11783987
2023-04-05,16.88,17.21,16.8,17.09,10244003
2023-04-06,17.25,17.82,17.01,17.05,25593878
2023-04-07,17.05,17.13,16.76,16.97,7105361
2023-04-10,17.05,17.17,16.19,16.19,21144404
2023-04-11,16.19,16.36,16.07,16.32,7527800
2023-04-12,16.4,16.56,16.23,16.32,9045175
2023-04-13,16.32,16.4,16.15,16.15,4762198
2023-04-14,16.23,16.28,15.83,15.83,8309255
2023-04-17,15.91,16.07,15.75,15.83,4326718
2023-04-18,15.91,16.44,15.83,16.36,12314879
2023-04-19,16.4,16.4,15.99,15.99,4147999
2023-04-20,16.03,16.11,15.83,15.91,2972114
2023-04-21,15.91,15.99,15.46,15.59,7572734
2023-04-24,15.59,15.71,15.3,15.42,4732950
2023-04-25,15.54,15.75,15.34,15.34,3733693
2023-04-26,15.34,15.67,15.22,15.67,2987342
2023-04-27,15.67,15.87,15.59,15.59,3389627
2023-04-28,15.75,15.75,15.5,15.54,3848336
2023-05-04,15.46,15.87,15.38,15.67,4220207
2023-05-05,15.59,15.71,15.54,15.54,2254237
2023-05-08,15.63,15.87,15.63,15.87,4112303
2023-05-09,15.99,16.15,15.91,15.95,4456681
2023-05-10,15.99,16.11,15.83,15.99,5538803
2023-05-11,16.07,16.15,15.95,15.99,7701623
2023-05-12,15.91,16.48,15.91,16.28,9413975
2023-05-15,16.56,16.64,16.15,16.15,5864349
2023-05-16,16.19,16.44,16.07,16.11,5882839
2023-05-17,16.15,16.19,15.67,15.67,7869643
2023-05-18,15.75,15.91,15.67,15.67,4485925
2023-05-19,15.71,15.91,15.59,15.83,4288604
2023-05-22,15.99,16.8,15.95,16.68,15798712
2023-05-23,16.72,16.76,16.36,16.44,8193233
2023-05-24,16.48,16.72,16.36,16.44,10936317
2023-05-25,16.4,16.92,16.28,16.72,14337040
2023-05-26,16.88,17.21,16.76,16.84,9552868
2023-05-29,17.05,17.37,16.84,17.13,14092021
2023-05-30,17.25,17.37,17.01,17.21,10750821
2023-05-31,17.25,17.61,16.92,16.97,11120088
2023-06-01,17.01,17.17,16.84,16.92,10015428
2023-06-02,17.29,17.7,16.97,17.61,17161523
2023-06-05,17.86,18.02,17.45,17.45,8732235
2023-06-06,17.45,17.7,17.33,17.7,11327103
2023-06-07,18.02,18.47,17.98,18.22,15283860
2023-06-08,18.35,18.35,17.45,17.45,20486823
2023-06-09,17.53,17.61,17.05,17.41,11069271
2023-06-12,17.53,18.02,17.41,17.86,14667789
2023-06-13,17.98,17.98,17.53,17.7,12665030
2023-06-14,18.13,18.13,17.68,17.68,9991624
2023-06-15,17.59,17.77,17.41,17.55,5141490
2023-06-16,17.81,18.13,17.55,17.68,9512973
2023-06-19,17.86,18.57,17.86,18.13,14583766
2023-06-20,18.35,18.84,18.17,18.84,10081192
2023-06-21,19.02,19.15,18.84,19.02,11087670
2023-06-22,19.2,19.2,18.88,19.02,10757415
2023-06-23,19.06,19.51,18.93,19.06,9640345
2023-06-26,19.42,19.55,18.93,19.38,15250516
2023-06-27,19.55,19.55,19.24,19.29,6880296
2023-06-28,19.42,19.47,18.97,19.02,9762968
2023-06-29,19.02,19.2,18.62,18.62,12384830
2023-06-30,18.66,18.88,18.57,18.62,4859164
2023-07-03,18.8,19.24,18.71,18.8,6409971
2023-07-04,18.84,19.06,18.8,19.06,6245207
2023-07-05,19.29,19.64,19.06,19.06,12130449
2023-07-06,19.15,19.24,18.84,18.97,8310617
2023-07-07,18.93,19.91,18.93,19.78,18835073
2023-07-10,20.09,20.18,19.73,19.82,7788150
2023-07-11,19.91,20.0,19.47,19.6,12464923
2023-07-12,19.6,20.0,19.55,19.73,7801364
2023-07-13,19.87,20.13,19.78,19.87,7443378
2023-07-14,19.91,20.49,19.82,20.36,14506740
2023-07-17,20.54,20.67,20.27,20.27,8453078
2023-07-18,20.05,20.94,20.0,20.54,13085533
2023-07-19,20.63,20.98,20.54,20.58,9983023
2023-07-20,20.54,20.89,20.45,20.8,8274201
2023-07-21,20.8,21.03,20.67,20.94,8048995
2023-07-24,21.12,22.37,21.03,22.37,11936994
2023-07-25,23.04,23.44,22.32,22.59,13286393
2023-07-26,22.59,22.59,22.19,22.41,8935900
2023-07-27,22.5,23.57,22.5,23.48,13733044
2023-07-28,23.48,23.53,21.88,22.68,28444256
2023-07-31,23.04,23.39,22.81,22.99,9825774
2023-08-01,23.13,24.6,23.13,24.6,24973328
2023-08-02,24.73,25.09,23.84,24.38,15664871
2023-08-03,23.93,24.11,23.08,23.44,18787426
2023-08-04,23.48,24.55,23.35,24.11,11238216
2023-08-07,23.84,24.02,23.53,23.66,13530693
2023-08-08,23.84,24.24,23.71,23.75,7970188
2023-08-09,23.8,24.15,23.66,23.84,9378129
2023-08-10,23.89,23.97,23.17,23.39,8957214
2023-08-11,23.44,23.62,22.59,23.22,10868531
2023-08-14,23.44,24.24,23.3,23.75,7036040
2023-08-15,23.62,24.24,23.48,23.75,11036439
2023-08-16,23.75,24.2,23.57,23.75,7679692
2023-08-17,23.97,24.55,23.71,23.93,19104213
2023-08-18,23.93,24.87,22.72,22.77,40743461
2023-08-21,23.48,23.57,22.77,23.04,8505792
2023-08-22,23.48,23.57,22.1,23.22,17628602
2023-08-23,23.48,24.06,23.13,23.62,14679876
2023-08-24,23.84,24.29,23.62,24.2,12336166
2023-08-25,24.96,25.27,23.66,23.66,33166910
2023-08-28,23.84,24.06,23.13,23.93,19013805
2023-08-29,24.02,24.82,24.02,24.38,29335355
2023-08-30,24.55,24.55,24.15,24.51,15122652
2023-08-31,24.82,25.8,24.64,25.8,33039286
2023-09-05,26.03,26.21,25.63,25.85,15955968
2023-09-06,25.85,26.12,25.49,25.98,15598793
2023-09-07,26.25,26.34,25.49,25.58,21351325
2023-09-08,25.45,26.25,25.36,26.25,19416895
2023-09-11,26.39,26.47,25.09,25.09,19762868
2023-09-12,25.27,25.8,24.73,25.72,12306781
2023-09-13,25.8,26.34,25.36,25.72,20189739
