time,open,high,low,close,volume
2023-03-30,24.71,24.97,23.93,23.93,6209874
2023-03-31,23.48,24.23,23.19,23.93,12492675
2023-04-03,24.45,24.45,24.12,24.34,5513912
2023-04-04,24.34,25.05,24.08,24.83,8345133
2023-04-05,24.6,24.79,24.23,24.68,4621621
2023-04-06,24.68,24.97,23.86,23.86,8040466
2023-04-07,23.86,24.75,23.71,24.56,6091788
2023-04-10,24.9,24.94,23.86,23.89,6184762
2023-04-11,23.93,24.68,23.78,24.68,6912646
2023-04-12,24.75,24.75,24.19,24.27,3789443
2023-04-13,24.27,24.3,23.63,23.63,7137848
2023-04-14,23.82,24.04,22.96,22.96,5917735
2023-04-17,22.96,23.48,22.7,23.22,3218722
2023-04-18,23.26,24.01,23.0,24.01,5322681
2023-04-19,24.01,24.23,23.22,23.45,3703628
2023-04-20,23.45,23.67,23.0,23.33,2604772
2023-04-21,23.41,24.15,23.26,23.56,5287682
2023-04-24,23.52,23.78,22.96,23.22,1711783
2023-04-25,23.56,23.56,22.03,22.37,6212971
2023-04-26,22.66,23.22,22.37,23.19,3234160
2023-04-27,23.26,23.41,22.81,23.0,2784183
2023-04-28,23.26,23.82,23.11,23.71,5279459
2023-05-04,23.41,24.53,23.41,24.23,7097777
2023-05-05,24.23,24.34,23.71,23.78,3857291
2023-05-08,24.08,24.68,23.93,24.42,5541760
2023-05-09,24.56,24.56,24.23,24.38,3156049
2023-05-10,24.6,24.83,24.3,24.34,4675175
2023-05-11,24.45,24.6,24.08,24.15,5042431
2023-05-12,24.15,24.68,23.89,24.64,6185452
2023-05-15,25.05,25.09,24.45,24.49,3485228
2023-05-16,24.49,24.9,24.41,24.52,3714955
2023-05-17,24.6,24.87,24.37,24.37,5917388
2023-05-18,24.52,26.08,24.34,25.66,12339393
2023-05-19,25.66,26.04,25.17,25.7,4570724
2023-05-22,25.74,26.04,25.55,25.89,3612239
2023-05-23,26.0,26.3,25.58,25.62,5624251
2023-05-24,25.89,26.27,25.58,25.74,5065142
2023-05-25,25.58,25.89,25.36,25.74,3609225
2023-05-26,25.81,26.04,25.66,25.74,2610839
2023-05-29,26.04,26.8,25.74,26.49,4157799
