time,open,high,low,close,volume
2023-03-30,44.19,44.36,43.92,44.1,34809
2023-03-31,44.27,45.95,44.19,44.54,32525
2023-04-03,44.72,45.07,44.63,44.98,43235
2023-04-04,45.07,45.95,44.45,44.89,37208
2023-04-05,44.63,46.84,44.63,45.69,87809
2023-04-06,45.69,45.86,45.25,45.25,38968
2023-04-07,45.16,45.78,44.98,44.98,50700
2023-04-10,44.98,46.31,44.98,45.16,50767
2023-04-11,45.42,45.78,45.07,45.6,46524
2023-04-12,45.95,46.39,45.51,46.13,142272
2023-04-13,46.66,46.84,45.07,45.51,50323
2023-04-14,45.51,45.86,44.8,44.8,56381
2023-04-17,44.8,45.25,44.63,44.89,30231
2023-04-18,45.51,45.51,44.72,45.07,33604
2023-04-19,45.33,45.78,44.89,45.07,34438
2023-04-20,45.07,45.16,44.8,45.07,16020
2023-04-21,45.51,45.51,44.72,44.89,33067
2023-04-24,44.8,45.07,44.63,44.8,44057
2023-04-25,44.98,45.07,44.63,44.72,16343
2023-04-26,44.54,44.63,44.19,44.63,55954
2023-04-27,45.16,45.16,44.1,44.19,168822
2023-04-28,44.27,44.54,44.1,44.54,33362
2023-05-04,44.63,44.63,44.1,44.19,41534
2023-05-05,44.19,44.54,44.01,44.19,18877
2023-05-08,44.19,44.72,44.19,44.36,68226
2023-05-09,44.36,44.8,43.83,44.27,173632
2023-05-10,44.63,45.25,44.27,44.89,170529
2023-05-11,44.98,44.98,44.19,44.45,194057
2023-05-12,44.63,44.63,44.36,44.36,97672
2023-05-15,44.36,45.33,44.19,44.89,126528
2023-05-16,44.98,45.33,44.72,44.89,71811
2023-05-17,45.07,45.07,44.72,44.89,90322
2023-05-18,44.8,44.98,44.63,44.89,56012
2023-05-19,44.98,45.25,44.72,44.89,49003
2023-05-22,44.89,46.75,44.89,46.39,181827
2023-05-23,46.39,46.39,45.6,46.04,43555
2023-05-24,46.22,46.57,45.51,45.51,93233
2023-05-25,45.69,49.22,45.33,48.43,359309
2023-05-26,48.6,50.19,48.43,49.05,209687
2023-05-29,50.19,50.37,48.6,49.4,163647
2023-05-30,49.49,49.93,48.78,49.05,107668
2023-05-31,49.05,51.17,48.43,50.28,270379
2023-06-01,50.28,50.73,49.93,50.28,123420
2023-06-02,49.66,50.55,49.66,50.37,131571
2023-06-05,50.37,51.17,50.11,50.37,140664
2023-06-06,50.37,51.26,50.11,51.26,198017
2023-06-07,51.34,52.14,50.81,51.52,93174
2023-06-08,51.52,51.87,49.93,49.93,212070
2023-06-09,49.93,50.37,49.49,49.75,99936
2023-06-12,49.75,50.99,49.75,50.73,145086
2023-06-13,50.73,51.08,50.64,50.9,163070
2023-06-14,50.81,54.79,50.81,54.26,530387
2023-06-15,53.02,55.14,53.02,54.53,176254
2023-06-16,55.62,56.35,52.97,52.97,188946
2023-06-19,53.06,53.06,51.24,52.33,161262
2023-06-20,52.33,52.88,51.88,52.51,112516
2023-06-21,52.61,54.8,52.61,53.7,112629
2023-06-22,54.25,54.34,53.43,54.07,128172
2023-06-23,54.43,55.89,53.88,54.62,123300
2023-06-26,54.62,55.25,53.52,54.8,120493
2023-06-27,54.8,56.53,54.8,55.71,183943
2023-06-28,55.71,57.36,55.53,56.17,218143
2023-06-29,56.17,56.62,55.53,55.53,159216
2023-06-30,55.53,55.62,54.34,55.25,198136
2023-07-03,54.62,55.25,54.43,54.43,157810
2023-07-04,54.43,55.35,54.34,55.07,130124
2023-07-05,55.25,57.17,55.16,56.62,211477
2023-07-06,57.08,57.08,55.71,56.53,165535
2023-07-07,56.62,58.91,56.53,57.99,398107
2023-07-10,57.99,60.28,57.99,59.46,151995
2023-07-11,59.55,59.82,57.54,57.72,276702
2023-07-12,57.54,58.18,57.54,57.81,154965
2023-07-13,58.36,59.0,57.99,58.27,111803
2023-07-14,58.45,58.63,57.81,57.99,169719
2023-07-17,57.99,58.54,57.99,58.18,164956
2023-07-18,58.18,59.64,58.09,58.45,105945
2023-07-19,58.45,58.54,57.99,57.99,115716
2023-07-20,57.99,58.09,57.08,57.26,178797
2023-07-21,58.09,58.36,57.08,58.36,95065
2023-07-24,58.54,59.0,57.72,58.73,204387
2023-07-25,58.73,58.91,58.18,58.36,86614
2023-07-26,58.36,58.36,57.72,57.81,91181
2023-07-27,57.81,58.63,57.17,57.17,244163
2023-07-28,57.17,57.99,56.62,57.99,309699
2023-07-31,58.09,58.18,57.17,57.63,132165
2023-08-01,57.63,58.09,57.54,57.63,226878
2023-08-02,57.54,57.54,56.9,57.45,103258
2023-08-03,57.45,57.99,57.17,57.54,142933
2023-08-04,57.63,57.72,57.36,57.63,171414
2023-08-07,57.99,60.73,57.99,60.28,417393
2023-08-08,60.28,60.73,59.36,59.55,149941
2023-08-09,59.91,60.37,59.36,59.55,113820
2023-08-10,59.55,59.55,57.99,57.99,163284
2023-08-11,57.99,57.99,56.17,56.9,320961
2023-08-14,58.36,58.36,57.08,57.63,99265
2023-08-15,57.72,57.72,57.08,57.17,104960
2023-08-16,57.17,57.99,56.9,57.99,220589
2023-08-17,58.18,58.18,57.26,57.26,72352
2023-08-18,57.08,57.17,53.43,53.88,288672
2023-08-21,53.88,54.43,52.79,53.98,154740
2023-08-22,54.52,54.62,52.88,53.79,106564
2023-08-23,54.62,54.62,53.61,53.7,86514
2023-08-24,53.7,55.07,53.25,55.07,104362
2023-08-25,54.98,55.25,54.16,55.07,63728
2023-08-28,55.07,55.44,55.07,55.25,74336
2023-08-29,55.25,56.08,55.07,55.71,84361
2023-08-30,56.17,60.19,56.17,59.46,449107
2023-08-31,59.46,62.29,59.46,61.65,301907
2023-09-05,61.65,62.84,60.37,61.37,167798
