time,open,high,low,close,volume
2023-03-30,40.24,40.24,40.24,40.24,0
2023-03-31,41.3,41.3,41.3,41.3,1000
2023-04-03,41.3,41.3,41.3,41.3,0
2023-04-04,41.3,41.3,41.3,41.3,0
2023-04-05,41.3,41.3,41.3,41.3,0
2023-04-06,41.3,41.3,41.3,41.3,0
2023-04-07,41.3,41.3,41.3,41.3,0
2023-04-10,41.3,41.3,41.3,41.3,0
2023-04-11,41.3,41.3,41.3,41.3,0
2023-04-12,41.3,41.3,41.3,41.3,0
2023-04-13,41.3,41.3,41.3,41.3,0
2023-04-14,41.3,41.3,41.3,41.3,0
2023-04-17,41.3,41.3,41.3,41.3,0
2023-04-18,41.3,41.3,41.3,41.3,0
2023-04-19,41.3,41.3,41.3,41.3,0
2023-04-20,41.3,41.3,41.3,41.3,0
2023-04-21,41.3,41.3,41.3,41.3,0
2023-04-24,41.3,41.3,41.3,41.3,0
2023-04-25,41.3,41.3,41.3,41.3,0
2023-04-26,41.3,41.3,41.3,41.3,0
2023-04-27,41.3,41.3,41.3,41.3,0
2023-04-28,41.3,41.3,41.3,41.3,0
2023-05-04,35.12,35.12,35.12,35.12,600
2023-05-05,40.04,40.04,29.91,29.91,9400
2023-05-08,30.49,30.68,30.49,30.49,20100
2023-05-09,30.49,30.88,30.49,30.88,200
2023-05-10,31.55,31.55,31.26,31.26,600
2023-05-11,32.03,32.03,31.55,31.55,3600
2023-05-12,31.84,31.84,31.84,31.84,50
2023-05-15,31.84,31.84,31.84,31.84,0
2023-05-16,31.84,31.84,31.84,31.84,0
2023-05-17,32.03,32.03,32.03,32.03,1000
2023-05-18,32.03,32.03,32.03,32.03,0
2023-05-19,30.88,30.97,30.88,30.97,1400
2023-05-22,30.88,30.88,30.88,30.88,8900
2023-05-23,30.88,32.42,30.88,30.88,700
2023-05-24,31.55,31.55,31.55,31.55,0
2023-05-25,31.55,31.55,31.55,31.55,0
2023-05-26,35.51,35.51,35.51,35.51,100
2023-05-29,34.74,34.74,34.74,34.74,100
2023-05-30,34.74,34.74,34.74,34.74,0
2023-05-31,34.74,34.74,34.74,34.74,0
2023-06-01,34.74,34.74,34.74,34.74,0
2023-06-02,32.42,32.42,32.42,32.42,200
2023-06-05,32.42,32.42,32.42,32.42,0
2023-06-06,32.42,32.42,32.42,32.42,100
2023-06-07,32.42,32.42,32.42,32.42,0
2023-06-08,32.23,32.23,30.01,30.68,1700
2023-06-09,30.88,30.88,30.88,30.88,700
2023-06-12,30.88,31.84,30.1,31.84,800
2023-06-13,30.88,30.88,30.88,30.88,103
2023-06-14,30.2,30.3,30.2,30.3,8300
2023-06-15,30.2,30.2,30.1,30.2,4900
2023-06-16,30.2,30.2,30.2,30.2,20
2023-06-19,30.2,30.2,30.2,30.2,0
2023-06-20,30.2,30.2,30.01,30.01,300
2023-06-21,30.1,30.1,30.1,30.1,0
2023-06-22,30.2,30.2,30.01,30.2,5800
2023-06-23,30.1,30.1,30.1,30.1,0
2023-06-26,30.1,30.1,30.1,30.1,0
2023-06-27,30.1,30.1,30.1,30.1,0
2023-06-28,30.1,30.1,30.1,30.1,0
2023-06-29,31.94,31.94,31.94,31.94,100
2023-06-30,32.42,32.52,32.32,32.32,1100
2023-07-03,32.52,32.52,32.52,32.52,110
2023-07-04,32.52,32.52,32.52,32.52,100
2023-07-05,32.42,32.42,32.42,32.42,100
2023-07-06,32.42,32.42,32.42,32.42,0
2023-07-07,31.65,31.65,30.88,30.88,700
2023-07-10,31.07,31.07,31.07,31.07,300
2023-07-11,31.07,31.07,31.07,31.07,113
2023-07-12,31.07,31.07,29.91,29.91,214
2023-07-13,30.49,30.49,30.49,30.49,12600
2023-07-14,30.49,30.49,30.49,30.49,0
2023-07-17,31.36,31.36,31.36,31.36,100
2023-07-18,31.26,31.26,31.26,31.26,300
2023-07-19,31.26,31.26,31.26,31.26,1200
2023-07-20,31.26,31.26,31.26,31.26,400
2023-07-21,31.26,31.26,31.26,31.26,0
2023-07-24,31.26,31.26,31.26,31.26,0
2023-07-25,31.26,31.26,31.26,31.26,0
2023-07-26,31.26,31.26,31.26,31.26,0
2023-07-27,31.26,31.26,31.26,31.26,1
2023-07-28,31.26,31.26,31.26,31.26,0
2023-07-31,31.26,31.26,31.26,31.26,1
2023-08-01,31.26,31.26,31.26,31.26,600
2023-08-02,31.26,31.46,30.88,31.07,2700
2023-08-03,31.17,31.17,31.17,31.17,300
2023-08-04,31.17,31.17,31.17,31.17,0
2023-08-07,31.17,31.17,31.17,31.17,246
2023-08-08,31.17,31.17,31.17,31.17,10
2023-08-09,31.17,31.17,31.17,31.17,126
2023-08-10,31.17,31.17,31.17,31.17,0
2023-08-11,31.17,31.17,31.17,31.17,1
2023-08-14,30.39,30.88,30.39,30.88,1100
2023-08-15,30.88,30.88,30.88,30.88,100
2023-08-16,30.88,30.88,30.88,30.88,100
2023-08-17,30.88,30.88,30.88,30.88,0
2023-08-18,30.88,30.88,30.88,30.88,0
2023-08-21,30.88,30.88,30.88,30.88,0
2023-08-22,30.88,30.88,30.88,30.88,0
2023-08-23,30.88,30.88,30.88,30.88,0
2023-08-24,30.88,30.88,30.88,30.88,0
2023-08-25,30.88,30.88,30.88,30.88,0
2023-08-28,30.88,30.88,30.88,30.88,0
2023-08-29,30.88,30.88,30.88,30.88,0
2023-08-30,30.88,30.88,30.88,30.88,0
2023-08-31,31.84,31.84,30.88,30.88,700
2023-09-05,31.17,31.17,31.17,31.17,0
2023-09-06,31.17,31.17,31.17,31.17,0
2023-09-07,31.17,31.17,31.17,31.17,20
2023-09-08,32.03,32.03,32.03,32.03,200
2023-09-11,32.03,32.03,32.03,32.03,0
2023-09-12,31.94,31.94,31.94,31.94,202
2023-09-13,31.94,31.94,31.94,31.94,0
2023-09-14,29.04,29.04,28.08,28.08,500
2023-09-15,28.27,28.27,28.27,28.27,0
2023-09-18,28.27,28.27,28.27,28.27,0
2023-09-19,29.91,30.2,29.91,30.2,200
2023-09-20,30.1,30.1,30.1,30.1,1
2023-09-21,30.1,30.1,30.1,30.1,0
2023-09-22,30.1,30.1,30.1,30.1,0
2023-09-25,30.88,30.88,30.88,30.88,100
2023-09-26,28.95,28.95,28.95,28.95,400
2023-09-27,28.18,28.18,28.18,28.18,1500
2023-09-28,28.18,28.18,28.18,28.18,0
2023-09-29,28.27,28.27,28.27,28.27,100
2023-10-02,28.18,28.18,28.18,28.18,300
2023-10-03,28.18,28.18,28.18,28.18,0
2023-10-04,28.18,28.18,28.18,28.18,0
2023-10-05,28.18,28.18,28.18,28.18,0
2023-10-06,28.18,28.18,27.5,27.5,1400
2023-10-09,27.98,27.98,27.98,27.98,0
2023-10-10,27.98,27.98,27.98,27.98,0
2023-10-11,27.98,27.98,27.98,27.98,0
2023-10-12,27.98,27.98,27.98,27.98,0
2023-10-13,27.98,27.98,27.98,27.98,0
2023-10-16,27.98,27.98,27.98,27.98,0
2023-10-17,27.98,27.98,27.98,27.98,0
2023-10-18,27.98,27.98,27.98,27.98,0
