time,open,high,low,close,volume
2023-03-30,29.96,29.96,29.88,29.88,49730
2023-03-31,29.81,29.96,29.73,29.73,128359
2023-04-03,29.88,29.96,29.81,29.88,62180
2023-04-04,29.88,29.88,29.49,29.73,171808
2023-04-05,29.81,29.81,29.57,29.73,129312
2023-04-06,29.81,29.81,29.57,29.57,110135
2023-04-07,29.65,29.73,29.57,29.57,96902
2023-04-10,29.73,29.73,29.49,29.49,120803
2023-04-11,29.49,29.57,29.41,29.49,132500
2023-04-12,29.57,29.88,29.49,29.49,72746
2023-04-13,29.65,29.73,29.49,29.65,72011
2023-04-14,29.65,29.73,29.49,29.49,62421
2023-04-17,29.57,29.57,29.25,29.25,140361
2023-04-18,29.33,29.49,29.17,29.17,139910
2023-04-19,29.25,29.25,29.09,29.17,65609
2023-04-20,29.17,29.25,29.01,29.09,55112
2023-04-21,29.09,29.96,29.09,29.17,70415
2023-04-24,29.57,29.57,29.09,29.17,44506
2023-04-25,29.09,29.25,29.01,29.01,88100
2023-04-26,29.09,29.17,28.78,29.01,83070
2023-04-27,28.94,29.25,28.94,29.17,34100
2023-04-28,29.49,29.73,29.01,29.33,80800
2023-05-04,29.25,29.57,28.94,29.09,37206
2023-05-05,29.17,29.25,29.01,29.25,70639
2023-05-08,29.25,29.41,29.09,29.17,70761
2023-05-09,29.17,29.25,29.17,29.25,79818
2023-05-10,29.25,29.41,29.09,29.25,211723
2023-05-11,29.25,29.57,28.94,29.25,294407
2023-05-12,29.25,29.41,29.01,29.41,59037
2023-05-15,29.41,30.44,29.41,29.96,405043
2023-05-16,29.88,30.28,29.88,30.04,102712
2023-05-17,30.04,30.75,30.04,30.36,215756
2023-05-18,30.44,30.52,30.04,30.36,130008
2023-05-19,30.36,30.52,30.04,30.12,125657
2023-05-22,30.44,30.44,30.2,30.28,53188
2023-05-23,30.36,30.44,29.96,30.04,67925
2023-05-24,30.2,30.2,29.81,29.88,54824
2023-05-25,30.12,30.12,29.88,29.88,67108
2023-05-26,30.04,30.67,30.04,30.52,327357
2023-05-29,30.44,30.75,30.44,30.52,117145
2023-05-30,30.52,30.6,29.96,30.2,306700
2023-05-31,30.12,30.28,29.88,30.04,174905
2023-06-01,30.12,30.75,30.12,30.44,288375
2023-06-02,30.44,30.6,30.36,30.44,207221
2023-06-05,30.6,30.67,30.28,30.36,131848
2023-06-06,30.44,30.44,30.12,30.28,113613
2023-06-07,30.28,30.36,30.2,30.28,114101
2023-06-08,30.6,30.6,30.28,30.28,147610
2023-06-09,30.28,30.36,30.04,30.2,149971
2023-06-12,30.2,30.36,30.12,30.36,68703
2023-06-13,30.44,30.44,30.28,30.36,111711
2023-06-14,30.36,30.36,30.04,30.12,161610
2023-06-15,30.04,30.2,29.96,30.04,115500
2023-06-16,30.04,30.36,30.04,30.2,75234
2023-06-19,30.2,30.2,29.96,30.12,111737
2023-06-20,30.04,30.12,29.96,30.12,85101
2023-06-21,30.2,30.28,30.04,30.04,57935
2023-06-22,30.04,30.2,29.96,30.12,163715
2023-06-23,30.2,30.2,30.04,30.04,66431
2023-06-26,30.04,30.12,29.88,30.04,161213
2023-06-27,30.04,30.04,29.96,30.04,142215
2023-06-28,30.04,30.12,29.96,30.04,96076
2023-06-29,30.04,30.04,29.81,29.88,167601
2023-06-30,29.96,29.96,29.73,29.88,142152
2023-07-03,30.04,30.04,29.73,29.88,60912
2023-07-04,29.81,29.81,29.65,29.81,126122
2023-07-05,29.73,29.81,29.65,29.73,118814
2023-07-06,29.73,29.81,29.57,29.65,136032
2023-07-07,29.65,29.81,29.49,29.65,69601
2023-07-10,29.65,29.73,29.49,29.65,256686
2023-07-11,29.65,29.73,29.49,29.65,137295
2023-07-12,29.65,29.96,29.65,29.73,183363
2023-07-13,29.88,30.04,29.73,29.73,169805
2023-07-14,29.88,29.88,29.49,29.73,186545
2023-07-17,29.81,29.81,29.49,29.49,567707
2023-07-18,29.65,29.88,29.65,29.81,371631
2023-07-19,29.81,29.88,29.65,29.65,170197
2023-07-20,29.81,29.96,29.81,29.96,361700
2023-07-21,29.96,30.91,29.96,30.6,1237452
2023-07-24,30.91,31.15,30.44,30.52,660589
2023-07-25,30.6,30.75,30.04,30.2,568577
2023-07-26,30.36,30.36,29.65,29.73,1215394
