time,open,high,low,close,volume
2023-03-30,53.83,53.83,53.83,53.83,100
2023-03-31,53.83,53.83,53.83,53.83,0
2023-04-03,53.83,53.83,53.83,53.83,0
2023-04-04,53.83,53.83,53.83,53.83,0
2023-04-05,53.83,53.83,53.83,53.83,0
2023-04-06,53.83,53.83,53.83,53.83,0
2023-04-07,53.83,53.83,53.83,53.83,0
2023-04-10,53.83,53.83,53.83,53.83,0
2023-04-11,53.83,53.83,53.83,53.83,0
2023-04-12,53.83,53.83,53.83,53.83,0
2023-04-13,53.83,53.83,53.83,53.83,0
2023-04-14,53.83,53.83,53.83,53.83,0
2023-04-17,53.83,53.83,53.83,53.83,0
2023-04-18,53.83,53.83,53.83,53.83,0
2023-04-19,53.83,53.83,53.83,53.83,0
2023-04-20,61.86,61.86,61.86,61.86,1800
2023-04-21,61.86,61.86,61.86,61.86,25
2023-04-24,61.86,61.86,61.86,61.86,2
2023-04-25,61.86,61.86,61.86,61.86,15
2023-04-26,71.06,71.06,62.06,62.06,2309
2023-04-27,70.19,70.19,70.19,70.19,0
2023-04-28,70.19,70.19,70.19,70.19,0
2023-05-04,70.19,70.19,70.19,70.19,0
2023-05-05,70.19,70.19,70.19,70.19,0
2023-05-08,77.45,80.64,59.73,59.73,2400
2023-05-09,86.65,86.65,75.42,75.42,900
2023-05-10,72.61,72.61,72.61,72.61,100
2023-05-11,72.61,72.61,72.61,72.61,0
2023-05-12,72.61,72.61,72.61,72.61,0
2023-05-15,72.61,72.61,72.61,72.61,3
2023-05-16,72.61,72.61,72.61,72.61,0
2023-05-17,72.61,72.61,72.61,72.61,0
2023-05-18,72.61,72.61,72.61,72.61,0
2023-05-19,72.61,72.61,72.61,72.61,0
2023-05-22,72.61,72.61,72.61,72.61,0
2023-05-23,72.61,72.61,61.77,61.77,200
2023-05-24,67.19,67.19,67.19,67.19,0
2023-05-25,57.12,57.12,57.12,57.12,100
2023-05-26,57.12,57.12,57.12,57.12,0
2023-05-29,57.12,57.12,57.12,57.12,0
2023-05-30,48.6,48.6,48.6,48.6,150
2023-05-31,48.41,48.41,48.41,48.41,1000
2023-06-01,48.41,48.41,48.41,48.41,800
2023-06-02,48.41,48.41,48.41,48.41,0
2023-06-05,48.41,48.41,48.41,48.41,900
2023-06-06,48.41,48.41,48.41,48.41,0
2023-06-07,48.41,48.41,48.41,48.41,0
2023-06-08,55.67,55.67,55.67,55.67,139
2023-06-09,55.67,55.67,55.67,55.67,0
2023-06-12,63.99,63.99,63.99,63.99,100
2023-06-13,63.99,63.99,63.99,63.99,54
2023-06-14,63.99,63.99,63.99,63.99,0
2023-06-15,73.58,73.58,73.58,73.58,100
2023-06-16,84.61,84.61,72.71,72.71,4100
2023-06-19,84.03,84.03,84.03,84.03,0
2023-06-20,71.45,71.45,71.45,71.45,101
2023-06-21,60.8,60.8,60.8,60.8,105
2023-06-22,51.7,51.7,51.7,51.7,109
2023-06-23,44.05,44.05,44.05,44.05,105
2023-06-26,44.53,44.53,44.53,44.53,7001
2023-06-27,44.53,44.53,44.53,44.53,5
2023-06-28,44.53,44.53,44.53,44.53,0
2023-06-29,44.53,44.53,44.53,44.53,0
2023-06-30,51.21,51.21,51.21,51.21,100
2023-07-03,51.21,51.21,51.21,51.21,1
2023-07-04,51.21,51.21,51.21,51.21,0
2023-07-05,58.86,58.86,58.86,58.86,123
2023-07-06,67.67,67.67,67.67,67.67,300
2023-07-07,77.74,77.74,67.77,67.77,2600
2023-07-10,72.61,84.81,62.73,62.73,20620
2023-07-11,62.93,62.93,62.93,62.93,500
2023-07-12,62.93,62.93,62.93,62.93,800
2023-07-13,63.9,72.32,58.18,58.28,3400
2023-07-14,65.83,65.83,65.83,65.83,100
2023-07-17,75.71,75.71,65.93,65.93,910
2023-07-18,85.58,85.58,63.99,63.99,14200
2023-07-19,85.19,85.19,72.61,72.61,1100
2023-07-20,72.71,72.71,72.71,72.71,201
2023-07-21,62.15,62.15,62.15,62.15,100
2023-07-24,62.15,62.15,62.15,62.15,26
2023-07-25,62.15,62.15,62.15,62.15,10
2023-07-26,62.15,62.15,62.15,62.15,25
2023-07-27,62.15,62.15,62.15,62.15,0
2023-07-28,62.15,62.15,62.15,62.15,0
2023-07-31,62.15,62.15,62.15,62.15,0
2023-08-01,62.15,62.15,62.15,62.15,0
2023-08-02,62.15,62.15,62.15,62.15,0
2023-08-03,61.86,71.45,52.86,52.86,2200
2023-08-04,64.86,64.86,64.86,64.86,0
2023-08-07,55.76,55.76,55.76,55.76,100
2023-08-08,47.44,47.44,47.44,47.44,101
2023-08-09,47.44,47.44,47.44,47.44,0
2023-08-10,47.44,47.44,47.44,47.44,0
2023-08-11,47.44,47.44,47.44,47.44,4
2023-08-14,47.44,47.44,47.44,47.44,3
2023-08-15,47.44,47.44,47.44,47.44,1
2023-08-16,47.44,47.44,47.44,47.44,0
2023-08-17,47.44,47.44,47.44,47.44,0
2023-08-18,54.51,54.51,54.51,54.51,100
2023-08-21,54.51,54.51,54.51,54.51,0
2023-08-22,54.51,54.51,54.51,54.51,0
2023-08-23,62.64,62.64,62.64,62.64,104
2023-08-24,62.44,62.44,62.44,62.44,2603
2023-08-25,65.83,65.83,65.83,65.83,100
2023-08-28,65.83,65.83,65.83,65.83,0
2023-08-29,64.35,64.35,62.37,62.37,1005
2023-08-30,68.31,68.31,68.31,68.31,107
2023-08-31,77.22,77.22,77.22,77.22,100
2023-09-05,77.22,88.8,65.93,65.93,8900
2023-09-06,88.31,88.31,88.31,88.31,0
2023-09-07,88.11,88.11,88.11,88.11,100
2023-09-08,88.11,88.11,88.11,88.11,0
2023-09-11,74.94,74.94,74.94,74.94,100
2023-09-12,66.33,66.33,64.35,64.35,2200
2023-09-13,64.84,64.84,64.84,64.84,130
