time,open,high,low,close,volume
2023-03-30,31.38,33.36,31.38,33.36,1800
2023-03-31,31.21,34.24,31.21,31.25,1200
2023-04-03,32.92,32.92,31.69,31.69,2100
2023-04-04,33.8,33.8,31.25,31.25,600
2023-04-05,32.48,32.48,31.25,31.64,1100
2023-04-06,31.25,31.64,31.16,31.64,5300
2023-04-07,31.64,32.44,31.64,32.44,300
2023-04-10,32.52,32.52,31.64,32.44,3600
2023-04-11,31.73,32.35,31.64,31.64,1903
2023-04-12,32.3,32.3,31.64,31.64,1602
2023-04-13,31.69,31.95,31.29,31.95,2311
2023-04-14,31.47,32.13,31.25,32.04,1500
2023-04-17,32.04,32.04,32.04,32.04,3
2023-04-18,32.04,32.04,32.04,32.04,0
2023-04-19,31.29,31.29,31.29,31.29,102
2023-04-20,31.73,32.04,31.51,32.0,906
2023-04-21,31.69,32.3,31.69,32.3,1100
2023-04-24,32.48,32.48,31.64,31.64,1101
2023-04-25,31.64,31.64,31.34,31.6,1900
2023-04-26,32.92,32.92,31.38,31.38,504
2023-04-27,31.29,31.29,31.29,31.29,500
2023-04-28,31.29,31.29,31.25,31.29,3000
2023-05-04,31.29,31.29,30.94,30.94,4100
2023-05-05,31.21,31.69,31.21,31.69,400
2023-05-08,31.21,31.64,31.21,31.64,700
2023-05-09,31.64,31.69,31.64,31.64,2210
2023-05-10,31.64,31.64,31.64,31.64,1
2023-05-11,33.84,33.84,33.84,33.84,112
2023-05-12,33.84,33.84,33.84,33.84,1
2023-05-15,31.64,33.31,31.64,33.31,1111
2023-05-16,33.31,33.31,33.31,33.31,9
2023-05-17,32.96,32.96,32.96,32.96,500
2023-05-18,33.42,33.42,32.96,33.24,1400
2023-05-19,32.6,32.6,32.51,32.51,2200
2023-05-22,32.51,32.51,32.51,32.51,2
2023-05-23,32.51,32.51,32.51,32.51,0
2023-05-24,32.51,32.51,32.51,32.51,500
2023-05-25,32.51,32.51,32.05,32.05,1700
2023-05-26,32.73,32.73,32.73,32.73,105
2023-05-29,32.73,32.73,32.73,32.73,0
2023-05-30,32.96,32.96,32.14,32.14,1500
2023-05-31,32.18,32.18,32.05,32.05,1800
2023-06-01,32.23,32.51,30.67,32.51,4900
2023-06-02,32.05,32.83,32.05,32.83,700
2023-06-05,32.46,32.6,32.32,32.6,2900
2023-06-06,32.6,32.6,32.6,32.6,0
2023-06-07,32.69,32.96,32.69,32.96,1004
2023-06-08,33.24,33.7,33.24,33.24,2100
2023-06-09,33.24,33.24,33.24,33.24,1101
2023-06-12,32.96,32.96,32.96,32.96,506
2023-06-13,33.24,33.24,33.15,33.15,300
2023-06-14,32.69,32.69,32.69,32.69,200
2023-06-15,32.69,32.69,32.69,32.69,0
2023-06-16,32.96,33.38,32.51,33.38,2020
2023-06-19,32.55,32.55,32.55,32.55,1800
2023-06-20,32.32,32.32,32.32,32.32,200
2023-06-21,32.51,32.51,32.51,32.51,611
2023-06-22,32.96,32.96,32.92,32.96,1306
2023-06-23,32.96,32.96,32.96,32.96,301
2023-06-26,32.96,32.96,32.6,32.96,2000
2023-06-27,32.6,32.6,32.6,32.6,1700
2023-06-28,32.6,32.6,32.6,32.6,6
2023-06-29,32.96,32.96,32.6,32.6,2900
2023-06-30,32.96,32.96,32.96,32.96,1000
2023-07-03,33.7,33.7,33.7,33.7,200
2023-07-04,33.33,33.42,33.33,33.42,400
2023-07-05,33.42,33.42,33.42,33.42,0
2023-07-06,32.69,32.69,32.69,32.69,604
2023-07-07,33.79,34.79,33.79,33.88,4000
2023-07-10,33.88,33.88,33.88,33.88,0
2023-07-11,32.96,32.96,32.96,32.96,500
2023-07-12,32.96,32.96,32.96,32.96,500
2023-07-13,32.96,33.65,32.96,33.65,2800
2023-07-14,33.05,33.15,33.05,33.15,210
2023-07-17,33.15,33.15,33.15,33.15,3400
2023-07-18,33.51,33.6,33.51,33.6,1000
2023-07-19,33.88,33.88,33.42,33.42,602
2023-07-20,33.42,33.79,33.19,33.7,1800
2023-07-21,33.7,33.7,33.7,33.7,700
2023-07-24,33.88,33.88,33.88,33.88,2100
2023-07-25,33.88,33.92,33.88,33.88,8110
2023-07-26,34.61,34.61,34.61,34.61,1300
2023-07-27,34.7,34.79,33.88,34.34,3102
2023-07-28,34.79,34.79,34.06,34.66,1640
2023-07-31,34.61,34.61,34.34,34.61,1302
2023-08-01,34.61,34.61,34.15,34.15,5312
2023-08-02,34.15,34.15,34.15,34.15,3501
2023-08-03,34.15,34.79,34.15,34.75,2702
2023-08-04,34.34,34.34,33.6,34.29,3800
2023-08-07,34.06,34.34,34.06,34.34,1622
2023-08-08,34.61,34.61,34.15,34.61,3800
2023-08-09,34.8,34.99,34.71,34.71,1904
2023-08-10,34.71,34.71,34.42,34.42,2108
2023-08-11,34.8,34.99,34.52,34.8,4720
2023-08-14,34.8,34.8,34.52,34.52,1604
2023-08-15,33.86,33.86,33.86,33.86,562
2023-08-16,33.86,34.14,33.86,34.14,2400
2023-08-17,33.95,34.42,33.86,34.42,4104
2023-08-18,34.52,34.75,34.0,34.0,13429
2023-08-21,34.0,34.0,34.0,34.0,6
2023-08-22,33.11,34.24,33.11,34.0,1157
2023-08-23,34.0,34.33,34.0,34.33,636
2023-08-24,34.33,34.33,34.33,34.33,20
2023-08-25,34.33,34.33,34.33,34.33,1401
2023-08-28,34.05,34.61,34.05,34.61,4200
2023-08-29,34.52,34.61,34.52,34.52,1512
2023-08-30,34.52,34.52,34.24,34.24,5100
2023-08-31,34.42,34.42,34.05,34.05,28915
2023-09-05,34.1,34.1,34.05,34.05,3300
2023-09-06,34.05,34.05,34.05,34.05,2800
2023-09-07,34.1,34.33,34.05,34.33,10600
2023-09-08,34.61,34.61,34.52,34.61,1911
2023-09-11,34.05,34.61,34.05,34.61,11502
2023-09-12,34.61,34.71,34.61,34.71,700
2023-09-13,34.71,34.8,34.71,34.8,3200
2023-09-14,34.8,34.8,34.8,34.8,1501
2023-09-15,34.8,34.8,34.8,34.8,3200
2023-09-18,34.8,34.8,34.8,34.8,3
2023-09-19,34.8,34.8,34.8,34.8,0
2023-09-20,34.33,34.33,34.33,34.33,703
2023-09-21,34.61,34.8,34.61,34.66,6201
2023-09-22,34.33,34.33,34.33,34.33,300
2023-09-25,34.19,34.19,34.05,34.05,6400
2023-09-26,34.05,34.05,34.05,34.05,0
2023-09-27,34.05,34.05,34.05,34.05,5601
2023-09-28,34.8,34.8,34.14,34.14,3300
2023-09-29,34.14,34.14,34.05,34.05,3400
2023-10-02,34.1,34.1,34.1,34.1,1000
2023-10-03,34.05,34.14,34.0,34.0,14000
2023-10-04,34.05,34.05,34.05,34.05,1111
2023-10-05,33.2,33.2,33.2,33.2,180
2023-10-06,33.86,33.86,33.86,33.86,512
2023-10-09,33.86,33.86,33.86,33.86,200
2023-10-10,34.38,34.52,33.86,34.24,5300
2023-10-11,34.05,34.05,34.05,34.05,2220
2023-10-12,34.05,34.05,34.05,34.05,0
2023-10-13,34.28,34.42,34.24,34.42,2300
2023-10-16,34.05,34.05,34.05,34.05,2000
2023-10-17,34.24,34.24,34.24,34.24,300
2023-10-18,34.24,34.24,34.05,34.05,600
2023-10-19,36.4,36.4,36.21,36.21,2800
2023-10-20,34.33,34.33,34.33,34.33,202
2023-10-23,34.05,34.05,34.05,34.05,800
2023-10-24,34.33,34.71,34.33,34.71,900
2023-10-25,34.71,34.71,34.71,34.71,0
2023-10-26,34.05,35.51,34.05,35.51,2500
2023-10-27,35.27,35.27,35.27,35.27,2600
2023-10-30,35.27,35.27,35.27,35.27,0
2023-10-31,34.05,34.05,34.05,34.05,3001
2023-11-01,34.05,34.05,34.05,34.05,0
2023-11-02,34.33,34.33,34.33,34.33,606
2023-11-03,34.33,34.33,34.33,34.33,0
2023-11-06,34.14,34.33,34.14,34.33,600
2023-11-07,34.33,34.33,34.33,34.33,100
2023-11-08,34.33,34.33,34.33,34.33,7
2023-11-09,34.33,34.33,34.33,34.33,1000
2023-11-10,34.33,34.33,34.33,34.33,0
2023-11-13,33.86,34.14,33.86,34.14,900
2023-11-14,34.33,34.33,34.33,34.33,3200
2023-11-15,34.33,34.33,34.33,34.33,0
2023-11-16,34.24,34.24,34.24,34.24,300
2023-11-17,34.8,34.8,34.33,34.61,4000
