time,open,high,low,close,volume
2023-03-30,20.2,20.4,20.0,20.2,195940
2023-03-31,20.1,21.4,20.1,21.3,1175577
2023-04-03,21.3,21.8,21.3,21.5,474159
2023-04-04,21.5,21.5,21.1,21.3,378339
2023-04-05,21.3,22.1,21.3,21.7,421730
2023-04-06,21.4,21.7,21.1,21.3,637304
2023-04-07,21.3,21.4,20.8,21.1,366694
2023-04-10,21.0,21.6,21.0,21.0,373080
2023-04-11,21.1,21.3,20.8,21.2,355157
2023-04-12,21.2,22.0,21.2,21.8,818676
2023-04-13,21.8,22.2,21.7,21.8,566355
2023-04-14,21.8,22.1,20.9,20.9,585637
2023-04-17,21.1,21.1,20.7,21.0,266386
2023-04-18,21.0,21.4,20.8,21.1,225384
2023-04-19,21.3,21.4,20.9,21.0,292664
2023-04-20,20.9,21.3,20.9,21.1,204287
2023-04-21,21.1,21.3,20.7,20.9,171565
2023-04-24,21.1,21.1,20.8,20.9,154150
2023-04-25,20.9,21.0,20.7,20.8,160576
2023-04-26,20.8,20.8,20.4,20.8,289399
2023-04-27,20.8,21.3,20.6,21.0,233507
2023-04-28,21.2,21.3,20.9,21.1,260533
2023-05-04,21.0,21.6,21.0,21.3,332989
2023-05-05,21.1,21.4,21.1,21.3,190930
2023-05-08,21.4,22.5,21.4,22.3,1340212
2023-05-09,22.3,22.5,21.9,22.1,416299
2023-05-10,22.1,22.5,21.9,22.4,722019
2023-05-11,22.4,22.5,22.0,22.1,436129
2023-05-12,22.1,22.6,21.9,22.5,861999
2023-05-15,22.5,22.8,21.9,22.1,709289
2023-05-16,22.1,22.3,21.6,21.9,567893
2023-05-17,21.9,22.4,21.6,21.8,652510
2023-05-18,21.8,22.1,21.6,22.0,441408
2023-05-19,22.1,22.1,21.7,22.0,399839
2023-05-22,21.6,23.1,21.6,22.8,1086181
2023-05-23,22.8,22.8,22.2,22.3,608487
2023-05-24,22.4,22.6,22.1,22.2,417840
2023-05-25,22.2,22.7,22.2,22.5,460845
2023-05-26,22.7,23.4,22.5,23.2,1231703
2023-05-29,23.2,23.6,22.9,23.2,659625
2023-05-30,23.2,23.5,22.8,23.4,993060
