time,open,high,low,close,volume
2023-03-30,29.16,29.16,29.16,29.16,0
2023-03-31,29.16,29.16,29.16,29.16,0
2023-04-03,29.16,29.16,29.16,29.16,0
2023-04-04,25.0,30.61,25.0,30.61,900
2023-04-05,25.25,25.25,25.25,25.25,100
2023-04-06,25.51,28.91,25.51,28.91,1200
2023-04-07,25.42,28.91,25.42,28.91,400
2023-04-10,28.06,28.06,28.06,28.06,0
2023-04-11,28.06,28.06,28.06,28.06,0
2023-04-12,29.5,29.5,29.42,29.5,7700
2023-04-13,33.16,33.93,33.16,33.93,2500
2023-04-14,28.82,33.93,28.82,32.05,800
2023-04-17,27.63,27.63,27.63,27.63,100
2023-04-18,27.63,27.63,27.63,27.63,0
2023-04-19,27.63,27.63,27.63,27.63,0
2023-04-20,27.72,27.72,27.63,27.63,200
2023-04-21,27.72,27.72,27.72,27.72,0
2023-04-24,27.72,27.72,27.72,27.72,0
2023-04-25,27.72,27.72,27.72,27.72,0
2023-04-26,28.06,28.06,28.06,28.06,200
2023-04-27,28.06,28.06,28.06,28.06,0
2023-04-28,28.06,28.06,28.06,28.06,0
2023-05-04,28.06,28.06,28.06,28.06,0
2023-05-05,31.03,31.03,25.51,25.51,3500
2023-05-08,27.38,27.38,27.38,27.38,0
2023-05-09,30.18,30.35,30.18,30.35,900
2023-05-10,25.68,33.84,25.68,33.84,1600
2023-05-11,31.46,31.46,28.48,28.48,1600
2023-05-12,28.82,28.82,28.82,28.82,400
2023-05-15,28.82,28.82,28.82,28.82,0
2023-05-16,29.76,29.76,29.76,29.76,100
2023-05-17,29.76,29.76,29.76,29.76,0
2023-05-18,29.76,29.76,29.76,29.76,0
2023-05-19,29.76,29.76,29.76,29.76,0
2023-05-22,29.33,29.33,29.33,29.33,100
2023-05-23,29.76,30.61,29.76,30.61,400
2023-05-24,30.18,30.18,30.18,30.18,100
2023-05-25,29.93,30.18,29.93,30.1,3300
2023-05-26,30.01,30.01,30.01,30.01,0
2023-05-29,30.01,30.01,30.01,30.01,100
2023-05-30,30.8,30.8,30.8,30.8,200
2023-05-31,30.54,30.8,30.54,30.8,2000
2023-06-01,30.71,30.71,30.71,30.71,800
2023-06-02,30.71,30.71,30.71,30.71,0
2023-06-05,30.71,30.71,30.71,30.71,0
2023-06-06,34.91,34.91,34.91,34.91,100
2023-06-07,29.75,29.75,29.75,29.75,100
2023-06-08,29.75,29.75,29.75,29.75,0
2023-06-09,29.75,29.75,29.75,29.75,0
2023-06-12,29.75,29.75,29.75,29.75,0
2023-06-13,29.75,29.75,29.75,29.75,0
2023-06-14,29.75,29.75,29.75,29.75,0
2023-06-15,29.75,29.75,29.75,29.75,0
2023-06-16,29.75,29.75,29.75,29.75,0
2023-06-19,29.75,29.75,29.75,29.75,0
2023-06-20,29.75,29.75,29.75,29.75,0
2023-06-21,29.75,29.75,29.75,29.75,0
2023-06-22,29.75,29.75,29.75,29.75,0
2023-06-23,29.75,29.75,29.75,29.75,0
2023-06-26,29.75,29.75,29.75,29.75,0
2023-06-27,34.13,34.13,33.69,33.69,1200
2023-06-28,33.69,34.13,33.69,34.13,6900
2023-06-29,34.13,34.21,34.13,34.21,3700
2023-06-30,34.13,34.13,34.13,34.13,0
2023-07-03,34.13,34.74,34.13,34.74,22400
2023-07-04,34.39,34.56,34.39,34.56,3600
2023-07-05,34.56,34.91,34.56,34.91,2500
2023-07-06,34.56,35.0,34.56,35.0,8500
2023-07-07,34.65,34.65,34.65,34.65,0
2023-07-10,29.49,29.49,29.49,29.49,100
2023-07-11,33.25,33.25,33.25,33.25,200
2023-07-12,34.13,34.13,33.25,34.13,1408
2023-07-13,34.13,34.13,34.13,34.13,300
2023-07-14,29.49,29.49,29.49,29.49,100
2023-07-17,33.86,33.86,33.86,33.86,800
2023-07-18,38.94,38.94,38.94,38.94,200
2023-07-19,33.16,34.91,33.16,34.91,1400
2023-07-20,30.19,30.19,30.19,30.19,100
2023-07-21,30.19,30.19,30.19,30.19,0
2023-07-24,34.65,34.65,34.65,34.65,108
2023-07-25,34.65,34.65,34.65,34.65,0
2023-07-26,34.65,34.65,34.65,34.65,0
2023-07-27,34.65,34.65,34.65,34.65,0
2023-07-28,34.65,34.65,34.65,34.65,0
2023-07-31,34.65,34.65,34.65,34.65,0
2023-08-01,34.65,34.65,34.65,34.65,0
2023-08-02,34.3,34.3,34.3,34.3,200
2023-08-03,34.3,34.3,34.3,34.3,0
2023-08-04,34.3,34.3,34.3,34.3,0
2023-08-07,34.3,34.3,34.3,34.3,0
2023-08-08,34.3,34.3,34.3,34.3,0
2023-08-09,34.3,34.3,34.3,34.3,0
2023-08-10,34.3,34.3,34.3,34.3,0
2023-08-11,34.3,34.3,34.3,34.3,0
2023-08-14,34.3,34.3,34.3,34.3,0
2023-08-15,34.3,34.3,34.3,34.3,0
2023-08-16,34.3,34.3,34.3,34.3,0
2023-08-17,34.3,34.3,34.3,34.3,0
2023-08-18,34.3,34.3,34.3,34.3,6300
2023-08-21,34.3,34.3,34.3,34.3,0
2023-08-22,34.3,34.3,34.3,34.3,92
2023-08-23,34.3,34.3,34.3,34.3,0
2023-08-24,30.36,30.36,30.36,30.36,100
2023-08-25,30.36,30.36,30.36,30.36,0
2023-08-28,30.36,30.36,30.36,30.36,1300
2023-08-29,34.91,34.91,34.91,34.91,100
2023-08-30,30.71,34.91,30.71,33.78,1100
2023-08-31,31.59,34.91,31.59,34.91,800
2023-09-05,31.59,33.25,31.59,33.25,1500
2023-09-06,33.69,33.69,33.69,33.69,300
2023-09-07,33.69,33.69,33.69,33.69,1000
2023-09-08,33.69,33.69,33.69,33.69,100
2023-09-11,30.36,30.36,30.36,30.36,100
2023-09-12,33.25,33.25,33.25,33.25,2000
2023-09-13,30.89,33.34,30.89,33.34,1400
2023-09-14,30.89,30.89,30.89,30.89,100
2023-09-15,30.89,30.89,30.89,30.89,0
2023-09-18,32.81,32.81,32.81,32.81,500
2023-09-19,32.81,32.81,32.81,32.81,800
2023-09-20,34.48,34.48,34.48,34.48,101
2023-09-21,31.15,34.13,31.15,33.34,400
2023-09-22,32.81,32.81,32.81,32.81,500
2023-09-25,31.5,37.63,31.5,32.38,1100
2023-09-26,32.55,32.55,32.55,32.55,8
2023-09-27,32.81,32.81,32.81,32.81,500
2023-09-28,32.81,32.81,32.81,32.81,0
2023-09-29,32.81,32.81,32.81,32.81,200
2023-10-02,30.63,30.63,30.63,30.63,100
2023-10-03,32.38,32.38,32.38,32.38,1000
2023-10-04,32.38,32.38,32.38,32.38,0
2023-10-05,33.95,33.95,33.95,33.95,100
2023-10-06,33.43,33.43,33.43,33.43,600
2023-10-09,33.43,33.43,33.43,33.43,0
2023-10-10,33.43,33.43,33.43,33.43,0
2023-10-11,38.33,38.33,31.5,31.5,1100
2023-10-12,30.8,33.25,30.8,33.25,200
2023-10-13,32.03,32.03,32.03,32.03,1000
2023-10-16,32.03,32.03,32.03,32.03,0
2023-10-17,29.49,29.49,29.49,29.49,1500
2023-10-18,29.58,29.84,28.53,29.75,11000
2023-10-19,29.05,29.05,29.05,29.05,0
2023-10-20,32.81,33.25,32.81,33.25,3700
2023-10-23,30.63,30.63,30.63,30.63,100
2023-10-24,30.63,30.63,30.63,30.63,0
2023-10-25,30.63,30.63,30.63,30.63,0
2023-10-26,33.25,33.69,33.25,33.25,300
2023-10-27,29.93,29.93,29.93,29.93,100
2023-10-30,31.06,31.06,31.06,31.06,200
2023-10-31,31.06,33.16,31.06,33.16,600
2023-11-01,31.41,31.41,31.41,31.41,300
2023-11-02,34.04,34.04,33.69,33.69,200
2023-11-03,29.31,29.31,29.31,29.31,100
2023-11-06,33.16,33.16,33.16,33.16,600
2023-11-07,31.24,31.24,31.24,31.24,100
2023-11-08,31.24,31.24,31.24,31.24,0
2023-11-09,31.24,31.24,31.24,31.24,0
2023-11-10,31.24,31.24,31.24,31.24,0
2023-11-13,31.24,31.24,31.24,31.24,0
2023-11-14,31.24,31.24,31.24,31.24,0
2023-11-15,32.38,32.38,32.38,32.38,300
2023-11-16,32.38,32.38,32.38,32.38,200
2023-11-17,32.38,32.38,32.38,32.38,0
2023-11-20,32.38,32.38,32.38,32.38,0
2023-11-21,32.38,32.38,32.38,32.38,0
2023-11-22,32.38,32.38,32.38,32.38,0
2023-11-23,32.38,32.38,32.38,32.38,0
2023-11-24,32.38,32.38,32.38,32.38,0
2023-11-27,32.38,32.38,32.38,32.38,500
2023-11-28,32.38,32.38,32.38,32.38,0
2023-11-29,34.39,34.39,34.39,34.39,100
2023-11-30,31.06,32.38,31.06,32.38,600
2023-12-01,32.2,32.2,32.2,32.2,0
2023-12-04,33.08,33.08,33.08,33.08,100
2023-12-05,34.91,34.91,34.91,34.91,100
2023-12-06,31.5,31.68,31.5,31.68,15100
2023-12-07,33.6,33.6,33.6,33.6,100
2023-12-08,33.25,33.25,32.73,32.73,1600
2023-12-11,32.9,32.9,32.9,32.9,192
2023-12-12,32.9,32.9,32.9,32.9,0
2023-12-13,31.68,32.2,31.68,32.2,200
2023-12-14,31.94,31.94,31.94,31.94,0
2023-12-15,32.11,32.11,32.11,32.11,101
2023-12-18,30.01,31.59,30.01,31.59,22700
2023-12-19,31.5,31.5,31.5,31.5,0
2023-12-20,31.76,31.76,31.76,31.76,200
2023-12-21,31.76,31.76,31.76,31.76,0
2023-12-22,31.59,32.64,31.59,32.38,30700
2023-12-25,32.81,32.81,32.81,32.81,2300
2023-12-26,32.81,32.81,32.81,32.81,0
2023-12-27,31.85,31.85,31.85,31.85,20000
2023-12-28,31.85,31.85,31.85,31.85,9
2023-12-29,32.81,32.81,32.81,32.81,700
2024-01-02,32.81,33.16,32.81,32.81,2505
2024-01-03,32.99,34.21,32.99,33.69,3500
2024-01-04,33.69,33.69,32.03,33.69,38500
2024-01-05,34.13,34.13,34.13,34.13,5000
2024-01-08,34.13,34.13,34.13,34.13,4200
2024-01-09,34.13,34.13,34.13,34.13,3000
2024-01-10,34.13,34.13,34.13,34.13,517
2024-01-11,34.13,34.13,34.13,34.13,0
2024-01-12,33.95,34.13,33.95,34.13,1800
2024-01-15,34.04,34.04,34.04,34.04,0
2024-01-16,31.76,31.76,31.76,31.76,100
2024-01-17,34.13,34.13,34.13,34.13,3540
2024-01-18,34.13,34.13,34.13,34.13,0
2024-01-19,34.13,34.13,34.13,34.13,0
2024-01-22,34.13,34.13,34.13,34.13,1000
2024-01-23,34.13,34.13,34.13,34.13,100
2024-01-24,34.13,34.13,34.13,34.13,0
2024-01-25,34.13,34.13,34.13,34.13,6800
2024-01-26,34.13,34.13,34.13,34.13,1002
2024-01-29,35.0,35.0,35.0,35.0,2100
2024-01-30,34.91,34.91,34.91,34.91,120
2024-01-31,34.91,34.91,34.91,34.91,20
2024-02-01,35.0,35.0,35.0,35.0,6000
2024-02-02,35.0,35.0,35.0,35.0,0
2024-02-05,33.08,35.18,33.08,35.18,1300
2024-02-06,35.18,35.18,35.18,35.18,1000
2024-02-07,35.18,35.18,35.18,35.18,100
2024-02-15,35.18,35.18,35.18,35.18,0
2024-02-16,35.18,35.18,35.18,35.18,0
2024-02-19,35.88,37.63,35.88,37.63,1000
2024-02-20,34.3,34.3,34.3,34.3,100
2024-02-21,39.38,39.38,35.53,38.85,300
2024-02-22,35.09,35.53,35.09,35.44,1100
2024-02-23,37.63,39.2,37.63,38.33,700
2024-02-26,35.18,38.5,35.18,37.19,1800
2024-02-27,37.63,37.63,37.45,37.45,6000
2024-02-28,37.63,37.63,37.63,37.63,0
2024-02-29,35.44,37.63,35.44,37.63,3000
2024-03-01,37.63,37.71,37.54,37.71,12200
2024-03-04,37.63,37.98,37.63,37.98,8500
2024-03-05,38.06,38.68,38.06,38.68,9300
2024-03-06,39.99,39.99,38.5,38.5,2100
2024-03-07,38.5,38.94,38.5,38.94,400
2024-03-08,38.94,38.94,38.94,38.94,300
2024-03-11,38.94,38.94,38.94,38.94,0
2024-03-12,38.94,38.94,38.94,38.94,200
2024-03-13,38.85,38.85,38.5,38.5,400
2024-03-14,38.76,38.76,38.76,38.76,0
2024-03-15,38.5,38.5,38.5,38.5,1700
2024-03-18,40.25,42.0,38.59,41.56,11600
2024-03-19,42.88,46.81,42.88,46.81,23601
2024-03-20,49.0,49.88,48.13,48.13,4780
2024-03-21,49.0,49.0,48.39,48.39,1100
2024-03-22,48.39,50.84,48.39,50.75,24200
2024-03-25,52.33,55.13,51.89,54.78,23456
2024-03-26,54.95,55.04,54.16,54.78,23100
2024-03-27,54.69,55.56,54.69,55.3,50135
2024-03-28,56.88,56.88,55.39,55.48,19302
2024-03-29,55.83,56.0,52.5,54.25,16084
2024-04-01,54.86,56.0,54.86,55.83,73289
2024-04-02,55.82,55.82,52.93,55.44,18846
2024-04-03,53.89,53.89,46.36,50.7,19897
2024-04-04,49.45,49.45,48.29,48.87,22595
2024-04-05,48.68,50.13,48.48,49.26,8059
2024-04-08,48.87,48.87,48.77,48.77,11022
2024-04-09,49.74,49.74,49.26,49.26,508
2024-04-10,49.45,49.45,49.26,49.26,4260
2024-04-11,49.26,50.22,49.26,49.45,5700
2024-04-12,52.15,56.89,52.15,53.41,19661
