time,open,high,low,close,volume
2023-03-30,10.21,10.49,10.21,10.21,170000
2023-03-31,10.3,10.3,10.02,10.21,306566
2023-04-03,10.3,10.77,10.02,10.68,653550
2023-04-04,10.68,10.68,10.49,10.58,337315
2023-04-05,10.58,10.87,10.49,10.77,553715
2023-04-06,10.77,11.05,10.68,10.77,578648
2023-04-07,10.77,10.77,10.58,10.68,345610
2023-04-10,10.68,10.87,10.58,10.58,310612
2023-04-11,10.77,10.77,10.49,10.77,375102
2023-04-12,10.68,11.05,10.68,10.96,618550
2023-04-13,10.96,11.24,10.87,10.87,572366
2023-04-14,10.87,11.05,10.58,10.58,537800
2023-04-17,10.58,10.68,10.4,10.58,307020
2023-04-18,10.4,10.58,10.4,10.58,311421
2023-04-19,10.58,10.58,10.3,10.4,260520
2023-04-20,10.4,10.87,10.4,10.77,714345
2023-04-21,10.68,11.05,10.68,10.96,694757
2023-04-24,10.96,10.96,10.58,10.58,332500
2023-04-25,10.58,10.87,10.58,10.68,387060
2023-04-26,10.68,10.96,10.58,10.87,329553
2023-04-27,10.96,11.52,10.96,11.24,1433044
2023-04-28,11.33,11.43,11.05,11.24,380148
2023-05-04,11.15,11.24,10.87,10.87,486188
2023-05-05,10.96,10.96,10.68,10.87,255434
2023-05-08,10.96,11.05,10.68,10.96,521215
2023-05-09,10.87,11.05,10.87,10.96,173810
2023-05-10,10.96,11.24,10.87,11.24,772251
2023-05-11,11.24,11.33,11.05,11.15,688484
2023-05-12,11.05,11.24,10.96,11.15,447420
2023-05-15,11.15,11.33,11.05,11.15,629855
2023-05-16,11.24,11.24,10.96,11.15,252171
2023-05-17,11.15,11.15,10.87,10.96,420210
2023-05-18,10.96,10.96,10.68,10.77,446056
2023-05-19,10.77,10.87,10.58,10.77,420587
2023-05-22,10.87,10.96,10.77,10.96,246510
2023-05-23,10.96,11.05,10.68,10.87,309023
2023-05-24,10.87,10.96,10.68,10.77,330328
2023-05-25,10.77,10.87,10.68,10.77,177300
2023-05-26,10.77,10.87,10.68,10.87,261846
2023-05-29,10.87,11.24,10.87,11.24,1081600
2023-05-30,11.15,11.33,11.05,11.24,709502
2023-05-31,11.24,11.8,11.24,11.61,2102896
2023-06-01,11.71,11.9,11.52,11.8,999400
2023-06-02,11.71,11.9,11.43,11.61,845050
2023-06-05,11.71,12.08,11.61,11.99,1485100
2023-06-06,11.9,12.08,11.8,11.99,829483
2023-06-07,11.99,11.99,11.71,11.9,1056939
2023-06-08,11.8,12.27,11.71,11.8,1264072
2023-06-09,11.9,11.9,11.52,11.8,647110
2023-06-12,11.8,11.9,11.61,11.9,736550
2023-06-13,11.8,12.27,11.71,12.18,1138851
2023-06-14,12.27,12.27,11.8,11.8,654698
2023-06-15,11.8,11.99,11.61,11.71,666600
2023-06-16,11.71,11.9,11.71,11.8,635700
2023-06-19,11.71,11.8,11.61,11.71,380872
2023-06-20,11.8,11.9,11.61,11.9,370728
2023-06-21,11.9,12.08,11.8,12.08,865050
2023-06-22,12.08,12.46,12.08,12.18,1263410
2023-06-23,12.27,12.27,11.99,12.18,670109
2023-06-26,12.18,12.27,11.8,12.08,707730
2023-06-27,11.99,12.55,11.99,12.55,1643858
2023-06-28,12.46,12.64,12.27,12.27,515024
2023-06-29,12.76,12.76,12.17,12.26,998310
2023-06-30,12.26,12.46,12.07,12.26,624542
2023-07-03,12.26,12.46,12.17,12.46,457410
2023-07-04,12.36,12.66,12.26,12.46,693416
2023-07-05,12.56,12.95,12.36,12.95,1554396
2023-07-06,12.76,12.95,12.56,12.85,995006
2023-07-07,12.85,13.15,12.66,13.05,903116
2023-07-10,13.05,13.25,12.95,13.25,1095068
2023-07-11,13.34,13.34,12.95,13.05,1012776
2023-07-12,13.05,13.15,12.85,13.05,566317
2023-07-13,13.05,13.15,12.76,13.15,1401199
2023-07-14,13.15,13.25,12.95,13.05,767669
2023-07-17,13.05,13.93,13.05,13.83,1880733
2023-07-18,13.54,13.93,13.54,13.74,589592
2023-07-19,13.93,13.93,13.44,13.44,949846
2023-07-20,13.54,13.54,13.25,13.44,528910
2023-07-21,13.34,13.83,13.34,13.54,1102216
2023-07-24,13.54,13.64,13.34,13.44,1009751
2023-07-25,13.44,13.54,13.25,13.34,1041951
2023-07-26,13.34,13.34,13.05,13.25,946021
2023-07-27,13.25,13.25,12.85,13.15,1013097
2023-07-28,12.95,13.25,12.85,13.15,1238701
2023-07-31,13.15,13.34,12.85,13.34,1407143
2023-08-01,13.34,13.44,13.05,13.05,1100821
2023-08-02,13.05,13.25,12.85,13.05,922050
2023-08-03,12.95,13.15,12.85,12.95,778900
2023-08-04,12.95,12.95,12.76,12.85,702520
2023-08-07,12.85,13.05,12.85,13.05,941889
2023-08-08,13.05,13.25,13.05,13.25,1003284
2023-08-09,13.34,13.34,12.95,13.05,718960
2023-08-10,13.05,13.25,12.95,12.95,747130
2023-08-11,12.85,13.15,12.66,12.95,807266
2023-08-14,12.95,13.15,12.85,13.05,485366
2023-08-15,12.95,13.05,12.85,12.95,849240
2023-08-16,12.95,13.05,12.85,12.95,487633
2023-08-17,12.95,12.95,12.76,12.85,813961
2023-08-18,12.76,12.76,11.38,11.58,1721917
2023-08-21,11.38,11.87,11.38,11.58,690302
2023-08-22,11.68,11.87,11.19,11.77,606847
2023-08-23,11.77,11.87,11.48,11.58,249032
2023-08-24,11.58,11.68,11.48,11.68,344528
2023-08-25,11.77,12.07,11.68,11.97,852854
2023-08-28,11.97,12.07,11.77,11.97,245944
2023-08-29,12.07,12.26,11.87,12.07,464292
2023-08-30,12.07,12.07,11.87,12.07,267600
