time,open,high,low,close,volume
2023-03-30,53.5,54.9,53.4,53.7,994908
2023-03-31,53.6,55.2,53.6,55.0,2620659
2023-04-03,55.9,58.8,55.6,58.0,4855219
2023-04-04,58.5,58.7,56.8,56.8,1873373
2023-04-05,56.7,56.7,55.0,55.5,1975351
2023-04-06,56.4,56.4,54.5,54.5,2066461
2023-04-07,55.0,55.0,53.4,54.4,2380942
2023-04-10,54.5,54.6,53.3,53.8,2146135
2023-04-11,53.7,53.7,52.8,53.6,1848162
2023-04-12,53.3,53.5,52.6,53.1,3647130
2023-04-13,53.1,53.5,52.7,53.0,1921142
2023-04-14,53.2,53.5,52.7,52.9,1664261
2023-04-17,52.9,53.0,52.4,52.9,1758658
2023-04-18,52.9,52.9,52.4,52.8,1756337
2023-04-19,52.6,52.7,52.3,52.6,1746672
2023-04-20,52.5,52.7,52.2,52.6,1217699
2023-04-21,52.6,52.7,52.1,52.7,1699992
2023-04-24,52.7,52.7,52.2,52.6,1496627
2023-04-25,52.8,52.8,51.8,52.5,2717851
2023-04-26,52.4,52.4,51.7,51.9,1836987
2023-04-27,51.8,51.8,50.5,50.5,3597812
2023-04-28,50.6,52.1,50.6,52.1,2242703
2023-05-04,52.1,52.1,51.1,51.3,1499378
2023-05-05,50.9,51.4,50.6,50.7,1299514
2023-05-08,50.7,50.9,50.5,50.9,1338752
2023-05-09,50.9,51.0,50.4,50.6,1114436
2023-05-10,50.8,50.8,50.4,50.6,1070093
2023-05-11,50.7,50.7,50.3,50.5,1191201
2023-05-12,50.7,51.9,50.5,51.7,2093909
2023-05-15,54.9,54.9,54.0,54.4,4523393
2023-05-16,54.6,54.8,52.8,52.9,2624245
2023-05-17,52.9,53.8,52.5,53.2,2169972
2023-05-18,53.6,53.8,53.0,53.2,2080586
2023-05-19,53.4,53.4,52.1,52.5,1934303
2023-05-22,52.5,52.7,51.9,52.1,1857211
2023-05-23,52.2,53.5,52.2,52.6,2021009
2023-05-24,52.8,52.8,52.3,52.6,1291275
2023-05-25,52.6,52.7,52.2,52.6,1454432
2023-05-26,52.4,52.5,52.0,52.0,1594510
2023-05-29,52.0,52.9,52.0,52.7,1382409
2023-05-30,52.7,52.9,52.3,52.4,1316559
2023-05-31,52.4,52.4,52.0,52.0,2433098
2023-06-01,52.0,52.2,51.6,52.0,1528292
2023-06-02,52.0,52.3,51.9,52.0,1732748
2023-06-05,52.1,52.5,52.0,52.1,1826290
2023-06-06,52.2,53.2,52.2,53.2,2121567
2023-06-07,53.3,53.6,52.6,52.8,1657766
