time,open,high,low,close,volume
2023-03-30,11.25,11.25,11.07,11.16,803
2023-03-31,11.16,11.16,11.16,11.16,100
2023-04-03,11.16,11.16,11.16,11.16,0
2023-04-04,11.16,11.16,11.16,11.16,0
2023-04-05,11.16,11.16,11.16,11.16,0
2023-04-06,11.16,11.16,11.16,11.16,0
2023-04-07,10.53,10.53,10.26,10.26,1000
2023-04-10,10.98,11.25,10.98,11.25,4700
2023-04-11,11.25,11.25,11.25,11.25,4
2023-04-12,11.25,11.25,11.25,11.25,0
2023-04-13,11.25,11.25,11.25,11.25,700
2023-04-14,11.25,11.25,11.25,11.25,1304
2023-04-17,11.34,11.7,11.34,11.7,1100
2023-04-18,12.33,12.33,11.79,11.79,2100
2023-04-19,11.79,12.15,11.7,12.15,2200
2023-04-20,12.15,12.42,12.15,12.42,1000
2023-04-21,11.79,12.42,11.79,12.42,200
2023-04-24,11.79,12.42,11.79,12.42,1400
2023-04-25,11.97,11.97,11.97,11.97,100
2023-04-26,11.97,11.97,11.97,11.97,0
2023-04-27,11.97,11.97,11.97,11.97,0
2023-04-28,11.97,11.97,11.97,11.97,0
2023-05-04,12.42,12.42,12.24,12.24,800
2023-05-05,12.42,12.42,12.42,12.42,201
2023-05-08,12.69,12.69,12.69,12.69,200
2023-05-09,12.69,12.69,12.69,12.69,0
2023-05-10,12.51,12.6,12.51,12.6,2600
2023-05-11,12.69,12.78,12.51,12.51,2500
2023-05-12,12.6,13.41,12.6,13.41,900
2023-05-15,13.41,13.5,13.41,13.5,4100
2023-05-16,13.05,13.86,13.05,13.86,6000
2023-05-17,14.13,14.13,13.86,13.86,404
2023-05-18,13.68,13.68,13.59,13.59,700
2023-05-19,13.59,13.59,13.59,13.59,300
2023-05-22,13.41,13.59,13.41,13.59,300
2023-05-23,13.5,13.5,12.6,13.5,1000
2023-05-24,13.5,13.5,13.5,13.5,0
2023-05-25,13.41,13.41,13.41,13.41,300
2023-05-26,13.5,13.5,13.5,13.5,100
2023-05-29,13.5,13.5,13.5,13.5,0
2023-05-30,12.96,12.96,12.96,12.96,300
2023-05-31,12.96,12.96,12.96,12.96,0
2023-06-01,12.96,12.96,12.96,12.96,0
2023-06-02,12.96,12.96,12.96,12.96,0
2023-06-05,13.05,13.05,13.05,13.05,100
2023-06-06,13.05,13.05,13.05,13.05,0
2023-06-07,13.05,13.05,13.05,13.05,0
2023-06-08,12.51,13.41,12.51,13.41,200
2023-06-09,13.43,13.43,13.43,13.43,0
2023-06-12,13.43,13.43,13.43,13.43,0
2023-06-13,13.43,13.43,13.43,13.43,500
2023-06-14,13.43,13.43,13.43,13.43,0
2023-06-15,13.63,13.63,13.34,13.34,200
2023-06-16,13.34,13.34,13.34,13.34,0
2023-06-19,13.34,13.34,13.34,13.34,0
2023-06-20,13.34,13.34,13.34,13.34,0
2023-06-21,13.34,13.34,13.34,13.34,0
2023-06-22,12.96,13.53,12.96,13.43,4100
2023-06-23,13.43,13.43,13.43,13.43,0
2023-06-26,13.43,13.43,13.43,13.43,0
2023-06-27,13.43,13.43,13.43,13.43,0
2023-06-28,13.72,14.77,13.72,14.77,5033600
2023-06-29,16.2,16.2,16.1,16.2,22200
2023-06-30,17.82,17.82,14.67,16.67,16404
2023-07-03,15.34,15.34,15.05,15.05,4700
2023-07-04,13.82,14.96,13.82,14.86,3801
2023-07-05,14.86,14.86,14.86,14.86,100
2023-07-06,14.29,14.29,14.1,14.1,1500
2023-07-07,14.1,14.29,13.43,14.29,2100
2023-07-10,13.53,13.53,13.34,13.53,1000
2023-07-11,13.53,13.53,13.34,13.34,300
2023-07-12,13.43,13.82,13.43,13.82,700
2023-07-13,14.1,14.1,14.1,14.1,100
2023-07-14,14.29,14.48,14.29,14.48,600
2023-07-17,14.48,14.48,14.48,14.48,500
2023-07-18,14.48,14.48,14.48,14.48,0
2023-07-19,14.77,14.77,14.01,14.01,651
2023-07-20,13.05,14.29,13.05,14.29,200
2023-07-21,14.29,14.29,14.29,14.29,1800
2023-07-24,13.53,13.53,13.34,13.34,2512
2023-07-25,13.34,13.82,13.34,13.82,2500
2023-07-26,13.82,14.67,13.63,14.67,10400
2023-07-27,14.58,14.77,14.58,14.77,1100
2023-07-28,13.82,14.86,13.53,13.63,9600
2023-07-31,14.67,14.67,14.48,14.48,506
2023-08-01,14.48,14.48,13.82,13.82,1700
2023-08-02,13.82,14.48,13.82,14.29,2400
2023-08-03,14.29,14.58,13.91,14.58,2603
2023-08-04,14.77,14.77,14.29,14.29,503
2023-08-07,14.29,14.29,14.29,14.29,1000
2023-08-08,14.86,15.72,14.58,15.72,30011
2023-08-09,16.2,17.25,15.72,17.15,40228
2023-08-10,17.06,17.15,16.29,17.15,5302
2023-08-11,15.44,17.06,15.44,17.06,26300
2023-08-14,17.06,17.25,16.86,17.15,24300
2023-08-15,17.25,17.44,17.15,17.34,16902
2023-08-16,17.34,17.34,17.25,17.25,16500
2023-08-17,17.25,17.44,17.15,17.25,7400
2023-08-18,17.25,17.25,16.67,17.06,11000
2023-08-21,17.06,17.06,16.96,16.96,4400
2023-08-22,16.96,16.96,16.96,16.96,0
2023-08-23,16.96,16.96,16.67,16.67,1800
2023-08-24,16.67,17.15,16.2,16.96,3700
2023-08-25,17.15,17.15,16.67,17.06,9900
2023-08-28,17.15,17.15,17.15,17.15,1000
2023-08-29,17.15,17.15,17.15,17.15,500
2023-08-30,17.15,17.15,16.96,17.06,4500
2023-08-31,17.06,17.06,17.06,17.06,302
2023-09-05,17.34,17.34,16.96,16.96,1200
2023-09-06,16.86,16.86,16.86,16.86,400
2023-09-07,16.96,16.96,16.77,16.86,1001
2023-09-08,16.86,16.86,16.77,16.77,500
2023-09-11,16.77,16.86,16.77,16.77,1100
2023-09-12,16.77,16.77,16.77,16.77,700
2023-09-13,16.77,16.96,16.77,16.96,300
2023-09-14,16.77,16.77,16.77,16.77,300
2023-09-15,17.06,18.39,17.06,18.1,19808
2023-09-18,18.58,18.58,17.53,17.63,7000
2023-09-19,18.58,18.58,16.2,17.34,9710
2023-09-20,17.25,17.34,16.67,17.34,2359
2023-09-21,17.63,17.63,16.29,17.53,12300
2023-09-22,17.72,18.1,17.25,17.25,2409
2023-09-25,17.15,18.1,17.15,18.1,1500
2023-09-26,18.1,18.1,17.82,18.01,2001
2023-09-27,18.1,18.1,17.15,18.01,2601
2023-09-28,18.1,18.1,18.01,18.01,1300
2023-09-29,18.01,18.01,18.01,18.01,500
2023-10-02,18.01,18.01,17.63,17.72,2505
2023-10-03,17.63,17.63,17.44,17.53,1500
2023-10-04,17.63,17.63,17.53,17.53,1400
2023-10-05,17.53,17.53,17.44,17.44,700
2023-10-06,17.44,17.44,17.15,17.15,1700
2023-10-09,17.44,17.44,17.15,17.15,2000
2023-10-10,17.44,17.44,17.15,17.15,900
2023-10-11,17.63,17.63,17.63,17.63,200
2023-10-12,17.63,17.63,17.15,17.15,2119
2023-10-13,17.15,17.15,16.96,16.96,800
2023-10-16,16.96,16.96,16.96,16.96,301
2023-10-17,17.15,17.15,17.15,17.15,200
2023-10-18,17.15,17.15,17.15,17.15,300
2023-10-19,17.15,17.15,17.15,17.15,0
2023-10-20,17.15,17.44,17.15,17.15,800
2023-10-23,17.15,17.15,17.15,17.15,300
2023-10-24,17.15,17.15,16.86,16.86,500
2023-10-25,16.96,16.96,16.86,16.86,300
2023-10-26,16.86,16.86,16.86,16.86,143
2023-10-27,16.86,16.86,16.2,16.39,5800
2023-10-30,16.39,16.39,16.39,16.39,500
2023-10-31,16.39,16.39,16.39,16.39,800
2023-11-01,16.39,16.39,16.39,16.39,500
2023-11-02,16.67,16.67,16.67,16.67,200
2023-11-03,16.67,16.67,16.67,16.67,200
2023-11-06,17.06,17.06,17.06,17.06,100
2023-11-07,17.06,17.06,17.06,17.06,0
2023-11-08,17.06,17.06,17.06,17.06,0
2023-11-09,17.06,17.06,17.06,17.06,0
2023-11-10,17.06,17.06,17.06,17.06,0
2023-11-13,16.39,16.39,16.39,16.39,100
2023-11-14,16.39,16.39,16.39,16.39,0
2023-11-15,16.39,16.39,16.39,16.39,0
2023-11-16,16.39,16.39,16.39,16.39,2900
2023-11-17,16.39,16.39,16.39,16.39,1801
2023-11-20,17.34,17.34,16.39,17.34,1200
2023-11-21,17.63,17.63,16.67,17.34,3700
