time,open,high,low,close,volume
2023-03-30,106.1,107.5,104.2,106.3,151330
2023-03-31,106.3,106.6,104.5,105.1,211460
2023-04-03,105.1,106.0,102.6,102.6,298802
2023-04-04,103.0,103.4,102.0,102.0,309900
2023-04-05,102.9,102.9,101.0,102.9,207606
2023-04-06,103.4,103.4,101.5,102.2,205963
2023-04-07,102.3,103.0,101.5,103.0,183768
2023-04-10,102.9,103.0,101.2,102.3,304713
2023-04-11,102.3,102.3,101.0,102.3,275348
2023-04-12,102.0,102.0,99.3,99.7,232714
2023-04-13,99.1,100.0,98.2,99.3,96234
2023-04-14,99.6,100.1,98.1,98.5,97960
2023-04-17,98.7,99.7,98.0,99.6,201713
2023-04-18,99.2,100.1,98.8,99.0,144115
2023-04-19,99.0,100.1,98.6,100.1,142168
2023-04-20,99.1,101.7,99.1,99.5,92748
2023-04-21,99.6,99.8,97.5,97.5,132029
2023-04-24,97.2,97.5,95.9,97.4,225026
2023-04-25,97.4,97.6,95.0,95.9,280612
2023-04-26,95.7,96.9,94.8,95.2,172186
2023-04-27,95.2,95.9,95.0,95.1,89424
2023-04-28,95.9,97.0,95.5,97.0,182154
2023-05-04,98.0,98.0,95.5,95.5,212733
2023-05-05,95.5,96.8,95.5,96.0,42303
2023-05-08,96.2,97.1,95.6,96.3,64071
2023-05-09,96.2,96.3,95.4,95.4,94596
2023-05-10,95.4,96.8,95.4,96.8,257124
2023-05-11,96.7,97.0,95.9,96.7,141034
2023-05-12,96.3,97.2,95.7,97.2,353197
2023-05-15,97.5,97.7,96.4,97.3,808993
2023-05-16,97.5,97.5,97.0,97.5,974053
2023-05-17,97.5,99.1,97.5,98.3,990303
2023-05-18,98.0,99.5,97.8,99.4,1086803
2023-05-19,99.2,100.0,98.2,98.7,945557
2023-05-22,98.8,99.4,97.5,99.2,1154004
2023-05-23,99.2,99.7,98.0,98.7,1204723
2023-05-24,98.7,99.0,97.9,98.4,811241
2023-05-25,98.4,98.7,96.7,98.0,978989
2023-05-26,98.0,99.0,97.4,98.1,868557
2023-05-29,98.1,99.5,98.1,99.5,516487
2023-05-30,99.5,99.8,98.0,98.5,538169
2023-05-31,98.5,99.4,97.5,97.5,587184
2023-06-01,98.1,98.6,97.0,97.5,491690
2023-06-02,98.4,98.9,96.5,96.8,592845
2023-06-05,98.0,99.0,96.4,96.8,604404
2023-06-06,97.1,98.0,96.6,97.7,480712
2023-06-07,97.9,97.9,96.6,96.6,478500
2023-06-08,96.9,97.9,96.1,97.2,763444
2023-06-09,96.6,97.4,96.0,96.0,787019
2023-06-12,96.0,96.7,95.1,96.4,751083
2023-06-13,96.5,96.9,95.8,96.5,1037668
2023-06-14,96.5,97.5,96.2,97.1,1357614
2023-06-15,97.4,97.7,96.8,97.1,875552
2023-06-16,97.3,97.6,95.5,95.5,872662
2023-06-19,96.0,96.4,95.4,95.6,633757
2023-06-20,95.7,96.1,94.8,95.1,775984
2023-06-21,95.4,95.8,93.6,94.0,840966
2023-06-22,94.7,95.0,93.8,94.2,689817
2023-06-23,94.2,94.7,93.5,94.7,551781
2023-06-26,94.7,96.0,94.3,94.8,916193
