time,open,high,low,close,volume,close_t0,close_t1,close_t2,close_t3,close_t4,close_t5,close_t6,coef_close_t0_to_close_t6,ground_truth
2023-03-30,106.1,107.5,104.2,106.3,151330,1.0,0.9887111947318908,0.9651928504233301,0.9595484477892756,0.9680150517403575,0.9614299153339605,0.9689557855126999,-0.005174035747883343,down
2023-03-31,106.3,106.6,104.5,105.1,211460,1.0,0.9762131303520457,0.9705042816365367,0.9790675547098003,0.972407231208373,0.9800190294957184,0.9733587059942912,-0.00251461193421231,sideways
2023-04-03,105.1,106.0,102.6,102.6,298802,1.0,0.9941520467836258,1.0029239766081872,0.9961013645224173,1.003898635477583,0.9970760233918129,0.9970760233918129,-6.961849067112024e-05,sideways
2023-04-04,103.0,103.4,102.0,102.0,309900,1.0,1.0088235294117647,1.0019607843137255,1.0098039215686274,1.0029411764705882,1.0029411764705882,0.9774509803921569,-0.0028011204481792613,sideways
2023-04-05,102.9,102.9,101.0,102.9,207606,1.0,0.9931972789115646,1.000971817298348,0.9941690962099125,0.9941690962099125,0.9689018464528668,0.9650145772594751,-0.00572678050812163,down
2023-04-06,103.4,103.4,101.5,102.2,205963,1.0,1.0078277886497065,1.0009784735812133,1.0009784735812133,0.9755381604696673,0.971624266144814,0.9637964774951076,-0.007373497344143148,down
2023-04-07,102.3,103.0,101.5,103.0,183768,1.0,0.9932038834951457,0.9932038834951457,0.9679611650485437,0.9640776699029125,0.9563106796116505,0.9669902912621359,-0.007212205270457705,down
2023-04-10,102.9,103.0,101.2,102.3,304713,1.0,1.0,0.9745845552297165,0.9706744868035191,0.9628543499511242,0.9736070381231672,0.967741935483871,-0.005760368663594464,down
2023-04-11,102.3,102.3,101.0,102.3,275348,1.0,0.9745845552297165,0.9706744868035191,0.9628543499511242,0.9736070381231672,0.967741935483871,0.978494623655914,-0.002688172043010749,sideways
2023-04-12,102.0,102.0,99.3,99.7,232714,1.0,0.995987963891675,0.9879638916750251,0.9989969909729187,0.9929789368104313,1.004012036108325,0.9979939819458374,0.0005373262645077974,sideways
2023-04-13,99.1,100.0,98.2,99.3,96234,1.0,0.9919436052366566,1.0030211480362536,0.9969788519637462,1.0080563947633434,1.002014098690836,0.9818731117824774,-0.0010430153934685516,sideways
2023-04-14,99.6,100.1,98.1,98.5,97960,1.0,1.0111675126903552,1.0050761421319796,1.016243654822335,1.0101522842639594,0.9898477157360406,0.9888324873096447,-0.002538071065989835,sideways
2023-04-17,98.7,99.7,98.0,99.6,201713,1.0,0.9939759036144579,1.0050200803212852,0.9989959839357431,0.9789156626506025,0.9779116465863454,0.96285140562249,-0.006059954102122764,down
2023-04-18,99.2,100.1,98.8,99.0,144115,1.0,1.011111111111111,1.005050505050505,0.9848484848484849,0.9838383838383838,0.9686868686868687,0.9616161616161616,-0.007900432900432894,down
2023-04-19,99.0,100.1,98.6,100.1,142168,1.0,0.9940059940059941,0.9740259740259741,0.9730269730269732,0.9580419580419581,0.9510489510489512,0.9500499500499501,-0.008991008991008985,down
2023-04-20,99.1,101.7,99.1,99.5,92748,1.0,0.9798994974874372,0.9788944723618092,0.963819095477387,0.95678391959799,0.9557788944723618,0.9748743718592965,-0.005204594400574306,down
2023-04-21,99.6,99.8,97.5,97.5,132029,1.0,0.998974358974359,0.9835897435897436,0.9764102564102565,0.9753846153846153,0.9948717948717949,0.9794871794871794,-0.0027838827838827947,sideways
2023-04-24,97.2,97.5,95.9,97.4,225026,1.0,0.9845995893223819,0.9774127310061601,0.9763860369609855,0.9958932238193018,0.9804928131416837,0.9856262833675564,-0.001173364623056624,sideways
2023-04-25,97.4,97.6,95.0,95.9,280612,1.0,0.9927007299270073,0.9916579770594368,1.0114702815432741,0.9958289885297184,1.0010427528675703,1.0041710114702815,0.0011917175629375743,sideways
2023-04-26,95.7,96.9,94.8,95.2,172186,1.0,0.9989495798319327,1.01890756302521,1.0031512605042017,1.0084033613445378,1.0115546218487395,1.0021008403361344,0.0007503001200480244,sideways
2023-04-27,95.2,95.9,95.0,95.1,89424,1.0,1.0199789695057835,1.0042060988433228,1.0094637223974765,1.0126182965299684,1.0031545741324923,1.017875920084122,0.0010139702568724822,sideways
2023-04-28,95.9,97.0,95.5,97.0,182154,1.0,0.9845360824742269,0.9896907216494846,0.9927835051546392,0.9835051546391753,0.9979381443298969,0.9969072164948454,0.0004050073637702488,sideways
2023-05-04,98.0,98.0,95.5,95.5,212733,1.0,1.0052356020942408,1.0083769633507853,0.9989528795811519,1.013612565445026,1.012565445026178,1.0178010471204189,0.0026178010471204255,sideways
2023-05-05,95.5,96.8,95.5,96.0,42303,1.0,1.003125,0.99375,1.0083333333333333,1.0072916666666667,1.0125,1.0135416666666666,0.002604166666666649,sideways
