time,open,high,low,close,volume
2023-03-30,27.12,27.21,26.58,26.67,165000
2023-03-31,26.76,26.76,26.4,26.49,109100
2023-04-03,26.67,26.85,26.4,26.67,125878
2023-04-04,26.85,28.03,26.4,27.76,533714
2023-04-05,27.67,28.21,27.67,27.94,260301
2023-04-06,28.03,28.21,27.12,27.21,337939
2023-04-07,27.67,27.67,26.85,27.58,123000
2023-04-10,27.58,28.75,27.58,28.3,400306
2023-04-11,28.03,28.39,27.94,28.12,117604
2023-04-12,28.21,28.3,27.76,28.21,152600
2023-04-13,28.39,29.65,28.12,29.38,409004
2023-04-14,29.2,29.47,28.21,28.75,150502
2023-04-17,28.93,28.93,28.03,28.84,101701
2023-04-18,28.66,29.56,28.57,29.47,157101
2023-04-19,28.93,30.29,28.93,30.02,306505
2023-04-20,29.93,29.93,26.94,27.12,1076100
2023-04-21,26.85,26.94,26.4,26.67,315600
2023-04-24,26.67,26.67,26.04,26.4,283200
2023-04-25,26.22,26.31,25.13,25.59,302280
2023-04-26,25.13,25.77,25.04,25.77,112506
2023-04-27,25.86,25.86,25.22,25.59,95201
2023-04-28,25.59,25.77,25.04,25.31,196527
2023-05-04,25.31,25.86,25.13,25.86,151800
2023-05-05,25.95,26.31,25.59,25.77,77715
2023-05-08,25.95,25.95,25.5,25.77,133800
2023-05-09,25.77,26.22,25.77,25.86,74400
2023-05-10,25.86,26.31,25.77,26.22,131000
2023-05-11,26.22,26.76,26.22,26.58,131517
2023-05-12,26.58,26.94,26.31,26.85,91913
2023-05-15,26.76,26.76,26.31,26.49,97200
2023-05-16,26.4,26.49,26.04,26.13,96500
2023-05-17,26.22,26.22,25.68,25.86,142600
2023-05-18,25.86,26.04,25.59,25.86,88100
2023-05-19,25.86,26.22,25.59,26.22,87900
2023-05-22,26.22,26.85,25.95,26.67,204214
2023-05-23,26.67,26.76,26.4,26.49,92901
2023-05-24,26.58,26.67,26.04,26.4,118804
2023-05-25,26.13,26.58,26.04,26.31,87900
2023-05-26,26.22,26.4,26.04,26.13,117619
2023-05-29,26.13,26.58,26.13,26.31,246738
2023-05-30,26.31,26.4,26.13,26.31,164500
2023-05-31,26.58,28.3,26.58,27.94,684086
2023-06-01,27.76,28.12,27.3,27.67,114202
2023-06-02,27.85,27.94,27.12,27.58,218400
2023-06-05,27.94,28.03,27.48,27.67,152600
2023-06-06,27.67,27.85,27.58,27.76,153053
2023-06-07,28.48,29.56,27.76,28.57,440353
2023-06-08,28.57,29.38,28.57,29.2,496627
2023-06-09,29.02,29.29,28.75,29.11,232118
2023-06-12,29.2,30.02,29.2,29.84,355606
2023-06-13,29.84,29.84,29.11,29.29,278098
2023-06-14,29.38,29.47,28.66,29.02,348304
2023-06-15,28.93,29.11,28.48,29.11,191280
2023-06-16,28.93,29.56,28.66,28.93,251703
2023-06-19,28.93,29.84,28.48,29.2,166210
2023-06-20,29.56,29.75,29.2,29.56,125913
2023-06-21,29.65,32.28,29.65,31.73,848479
2023-06-22,31.82,33.45,31.28,32.73,351713
2023-06-23,33.0,34.63,32.91,33.9,561362
2023-06-26,33.9,35.35,33.81,34.9,433477
2023-06-27,34.9,35.26,33.9,34.27,311304
2023-06-28,34.45,34.45,33.54,33.72,294430
2023-06-29,33.9,34.45,33.0,33.9,389008
2023-06-30,33.45,34.54,33.45,34.08,156777
2023-07-03,34.08,37.25,34.08,37.25,586646
2023-07-04,37.25,38.42,36.62,37.25,342698
2023-07-05,37.34,37.52,36.62,36.62,337604
2023-07-06,36.71,36.98,35.98,36.98,359960
2023-07-07,36.62,38.15,36.62,37.97,204011
2023-07-10,38.06,38.79,37.52,37.97,349382
2023-07-11,38.06,38.42,37.52,37.61,295855
2023-07-12,37.97,38.88,37.61,37.97,231149
2023-07-13,37.97,38.15,37.61,37.88,185555
2023-07-14,37.7,38.97,37.52,38.88,547146
2023-07-17,38.88,39.06,38.33,38.7,124744
2023-07-18,38.88,38.88,38.15,38.42,98882
2023-07-19,38.42,39.51,38.15,38.88,323666
2023-07-20,38.88,40.68,38.51,39.69,343078
2023-07-21,39.6,40.32,39.24,39.42,230650
2023-07-24,39.69,40.5,39.33,39.6,301462
2023-07-25,39.6,39.78,38.61,38.79,520520
2023-07-26,38.79,39.15,38.24,38.42,199756
2023-07-27,38.61,38.88,37.52,37.79,493713
