time,open,high,low,close,volume
2023-03-30,13.34,13.38,12.91,12.95,23380638
2023-03-31,12.95,13.25,12.83,13.17,29056850
2023-04-03,13.55,13.59,13.34,13.51,34681678
2023-04-04,13.51,13.93,13.34,13.76,40440157
2023-04-05,13.68,13.85,13.55,13.76,18895836
2023-04-06,13.85,14.02,13.29,13.29,35824848
2023-04-07,13.29,13.51,13.21,13.42,26887428
2023-04-10,13.68,13.97,13.42,13.51,35577401
2023-04-11,13.51,13.59,13.21,13.51,26665091
2023-04-12,13.51,13.59,13.25,13.25,19424980
2023-04-13,13.29,13.38,12.83,12.91,30570863
2023-04-14,13.0,13.08,12.62,12.62,28533358
2023-04-17,12.62,12.78,12.49,12.66,10502292
2023-04-18,12.74,13.0,12.66,12.91,16181067
2023-04-19,13.0,13.04,12.62,12.66,13744806
2023-04-20,12.66,12.7,12.57,12.62,7250525
2023-04-21,12.62,13.04,12.57,12.78,18469997
2023-04-24,12.78,12.87,12.53,12.7,8926646
2023-04-25,12.7,12.83,12.36,12.4,13474280
2023-04-26,12.4,12.53,12.19,12.45,12599999
2023-04-27,12.53,12.62,12.32,12.36,10857389
2023-04-28,12.49,12.66,12.4,12.66,13111013
2023-05-04,12.53,12.87,12.53,12.74,12569554
2023-05-05,12.66,12.78,12.53,12.53,8592817
2023-05-08,12.62,12.87,12.62,12.87,15767698
2023-05-09,12.87,12.91,12.74,12.78,8649680
2023-05-10,12.87,13.08,12.87,13.0,18789581
2023-05-11,13.08,13.42,13.04,13.21,23968227
2023-05-12,13.21,13.46,13.08,13.46,22652586
2023-05-15,13.59,13.68,13.17,13.17,20910025
2023-05-16,13.17,13.42,13.12,13.25,14623214
2023-05-17,13.21,13.34,12.95,12.95,15607226
2023-05-18,13.04,13.42,12.95,13.17,19187521
2023-05-19,13.25,13.8,13.17,13.68,72110304
2023-05-22,13.8,14.02,13.68,13.76,24466540
2023-05-23,13.85,14.19,13.76,13.97,46128046
2023-05-24,14.19,14.19,13.68,13.68,38546043
2023-05-25,13.59,13.72,13.42,13.46,26768285
2023-05-26,13.55,13.76,13.46,13.55,17486350
2023-05-29,13.76,14.48,13.72,14.48,44837531
2023-05-30,14.65,14.82,14.48,14.78,40645103
2023-05-31,14.78,15.16,14.65,14.87,38032661
2023-06-01,14.87,15.55,14.7,15.46,36683901
2023-06-02,15.59,15.84,15.38,15.55,29902639
2023-06-05,15.8,15.8,15.25,15.33,38180382
2023-06-06,15.33,16.4,15.25,16.4,52230233
2023-06-07,16.52,16.52,16.14,16.35,28302588
2023-06-08,16.31,16.57,15.38,15.38,66290790
2023-06-09,15.55,16.14,15.38,16.1,43033394
2023-06-12,16.14,16.18,15.59,16.01,24097380
2023-06-13,16.1,16.18,15.8,15.84,25978183
2023-06-14,15.97,16.27,15.84,15.89,38790855
2023-06-15,15.89,16.23,15.84,16.23,34129551
2023-06-16,16.48,17.33,16.44,16.48,69384757
2023-06-19,16.65,16.78,16.31,16.31,28660173
2023-06-20,16.31,16.65,16.01,16.65,29634059
2023-06-21,16.69,16.95,16.57,16.78,28170761
2023-06-22,16.86,16.99,16.57,16.69,27520062
2023-06-23,16.69,16.91,16.48,16.74,30943184
2023-06-26,16.69,16.74,16.06,16.44,33582516
2023-06-27,16.52,16.74,16.4,16.69,16764946
2023-06-28,16.91,17.07,16.61,16.61,28430524
2023-06-29,16.61,16.65,15.97,15.97,29424344
2023-06-30,15.97,16.27,15.89,16.06,18364070
2023-07-03,16.23,16.27,15.97,16.01,10499680
2023-07-04,15.97,16.65,15.97,16.65,28227968
2023-07-05,16.74,16.82,16.4,16.4,20035239
2023-07-06,16.35,16.61,15.25,15.33,105891505
2023-07-07,15.12,15.25,14.4,15.04,49842092
2023-07-10,15.04,15.5,14.91,15.08,39496049
2023-07-11,15.04,15.38,14.95,15.21,32386606
2023-07-12,15.29,15.33,14.82,14.95,30800944
2023-07-13,15.12,15.38,14.99,15.25,25385185
2023-07-14,15.38,15.8,15.29,15.72,43615367
2023-07-17,15.89,15.89,15.46,15.55,21392759
2023-07-18,15.55,15.76,15.38,15.63,17157255
2023-07-19,15.76,15.76,15.38,15.38,18244544
2023-07-20,15.42,15.46,15.21,15.42,14071374
2023-07-21,15.55,16.1,15.46,15.97,41509671
2023-07-24,16.23,16.31,16.01,16.18,27180010
2023-07-25,16.35,16.35,15.93,16.06,25345091
2023-07-26,16.1,16.57,15.8,16.4,35827836
2023-07-27,16.48,16.74,16.27,16.48,30817387
2023-07-28,16.52,17.33,16.52,17.24,55136843
2023-07-31,17.46,17.84,17.12,17.67,35290458
2023-08-01,17.67,17.71,16.99,16.99,39036965
2023-08-02,16.99,17.41,16.91,17.16,29562488
2023-08-03,16.99,17.33,16.74,16.82,47197241
2023-08-04,16.99,17.54,16.82,17.5,26525653
2023-08-07,17.63,18.01,17.46,17.46,31070397
2023-08-08,17.58,17.63,17.03,17.07,34368151
2023-08-09,17.07,17.33,16.91,16.99,23286654
2023-08-10,17.03,17.24,16.91,17.07,19459651
2023-08-11,17.16,17.24,16.78,17.03,24697078
2023-08-14,17.33,18.22,17.24,18.18,58784078
2023-08-15,18.22,18.26,17.88,17.92,24636931
2023-08-16,17.84,18.09,17.67,18.09,26662130
2023-08-17,18.35,18.86,18.26,18.26,44632556
2023-08-18,18.05,18.35,16.99,16.99,59574376
2023-08-21,17.37,17.67,16.82,17.37,33882557
2023-08-22,17.41,17.88,16.61,17.84,42754129
2023-08-23,18.09,18.09,17.46,17.46,22120138
2023-08-24,17.58,18.09,17.41,18.09,29767951
2023-08-25,18.14,18.86,17.97,18.56,50320332
2023-08-28,18.69,19.03,18.6,18.86,24778560
2023-08-29,19.03,19.37,18.69,19.03,39299369
2023-08-30,19.11,19.96,18.9,19.96,34472777
2023-08-31,20.01,20.22,19.79,19.96,22517126
2023-09-05,20.13,20.26,19.79,19.96,28263906
2023-09-06,19.96,20.77,19.71,20.39,26254144
2023-09-07,20.56,20.6,20.13,20.22,21161529
2023-09-08,20.05,20.47,20.01,20.09,21527924
2023-09-11,20.22,20.56,19.88,19.88,36125068
2023-09-12,19.88,21.24,19.84,21.24,35224189
2023-09-13,21.36,21.45,20.77,20.81,33601072
2023-09-14,20.81,20.98,20.39,20.52,33331745
2023-09-15,20.64,20.81,20.22,20.39,21084545
2023-09-18,20.35,21.03,20.18,20.86,29097165
2023-09-19,21.11,21.15,20.47,21.03,20811663
2023-09-20,21.07,21.75,20.98,21.45,25569194
2023-09-21,21.41,21.49,20.56,20.56,36164108
2023-09-22,19.79,20.13,19.16,19.16,56068786
2023-09-25,19.03,19.28,17.84,17.84,38987602
2023-09-26,17.84,18.77,17.54,17.54,40839710
2023-09-27,17.84,18.56,17.29,18.56,25999001
2023-09-28,18.43,18.52,17.71,17.88,26181690
2023-09-29,18.09,18.31,17.67,17.84,17395744
2023-10-02,17.84,18.26,17.84,17.92,12291623
2023-10-03,17.71,17.71,16.69,16.69,41986223
2023-10-04,16.14,17.75,16.14,17.29,31620951
2023-10-05,17.5,17.54,16.61,16.61,18542007
2023-10-06,16.65,17.75,16.52,17.75,34770671
2023-10-09,17.75,18.56,17.67,18.35,22742550
2023-10-10,18.65,18.65,18.14,18.18,25681695
2023-10-11,18.26,18.86,18.14,18.86,22412890
2023-10-12,18.94,19.11,18.6,18.73,24578966
2023-10-13,18.52,18.86,18.22,18.69,22598405
2023-10-16,18.69,18.69,17.75,17.8,27914902
2023-10-17,17.92,18.26,16.99,16.99,18444528
2023-10-18,17.24,17.63,16.14,17.12,29543073
2023-10-19,17.07,17.33,16.18,16.27,23341271
2023-10-20,16.27,16.99,15.59,16.95,27269793
2023-10-23,16.95,17.16,16.44,16.48,16014021
2023-10-24,16.65,16.91,16.35,16.78,12967177
2023-10-25,16.82,17.2,16.69,16.69,14195267
2023-10-26,16.14,16.48,15.55,15.55,48731307
2023-10-27,15.8,15.93,15.08,15.72,21609447
2023-10-30,15.46,15.67,14.7,14.7,12761942
2023-10-31,14.7,15.04,13.85,13.85,27716538
2023-11-01,14.02,14.74,13.89,14.74,24338820
2023-11-02,15.04,15.76,14.95,15.76,24918963
2023-11-03,15.8,15.97,15.5,15.72,21185558
2023-11-06,16.01,16.01,15.67,15.89,13115292
2023-11-07,15.72,16.18,15.46,15.55,20230121
2023-11-08,15.55,16.61,15.55,16.61,27170457
2023-11-09,16.82,17.67,16.69,17.03,32288567
2023-11-10,16.82,17.54,16.78,17.03,28869463
2023-11-13,17.16,17.33,16.69,17.16,19406887
2023-11-14,17.41,17.67,17.16,17.33,22283244
2023-11-15,17.92,18.09,17.41,17.41,23075539
2023-11-16,17.41,17.84,17.24,17.84,17284239
2023-11-17,17.92,18.05,16.99,17.2,29465385
2023-11-20,16.65,18.01,16.65,18.01,38214504
2023-11-21,18.26,18.6,18.14,18.43,33702228
2023-11-22,18.48,18.65,18.26,18.6,31413973
2023-11-23,18.69,18.99,17.5,17.5,45924504
2023-11-24,17.8,18.09,17.16,18.09,31436815
2023-11-27,18.09,18.18,17.5,17.5,18361401
2023-11-28,17.5,17.71,16.91,17.67,26429176
2023-11-29,17.67,18.01,17.67,17.88,17484531
2023-11-30,17.92,18.22,17.8,17.8,28334262
2023-12-01,18.01,18.22,17.67,18.14,19090701
2023-12-04,18.52,19.37,18.43,19.28,56553832
2023-12-05,19.28,19.37,19.07,19.16,27418743
2023-12-06,19.16,19.5,19.07,19.33,30767131
2023-12-07,19.37,19.45,18.26,18.69,67404135
2023-12-08,18.69,18.86,18.35,18.43,20890088
2023-12-11,18.43,18.73,18.18,18.65,24147425
2023-12-12,18.69,18.94,18.69,18.73,16264210
2023-12-13,18.9,18.99,18.26,18.35,21681418
2023-12-14,18.65,18.65,18.18,18.22,17896320
2023-12-15,18.22,18.86,18.14,18.52,37994591
2023-12-18,18.6,18.6,18.31,18.31,12219353
2023-12-19,18.31,18.52,18.01,18.52,18450671
2023-12-20,18.56,18.86,18.43,18.65,14222296
2023-12-21,18.48,18.65,18.43,18.48,11955563
2023-12-22,18.52,18.82,18.26,18.26,19705942
2023-12-25,18.26,18.6,18.22,18.43,12928766
2023-12-26,18.48,18.65,18.43,18.56,18507538
2023-12-27,18.69,19.07,18.65,18.69,21421940
2023-12-28,18.69,18.99,18.65,18.82,16513094
2023-12-29,18.86,18.99,18.77,18.9,18546454
2024-01-02,19.07,19.24,18.77,18.82,27971485
2024-01-03,18.82,18.99,18.6,18.99,16602049
2024-01-04,19.07,19.5,18.94,18.94,44995036
2024-01-05,18.99,19.07,18.69,18.94,23799326
2024-01-08,19.03,19.24,18.86,18.9,21891921
2024-01-09,18.94,19.03,18.77,18.82,19379273
2024-01-10,18.82,18.86,18.43,18.48,28681449
2024-01-11,18.48,18.86,18.48,18.65,15972091
2024-01-12,18.48,18.69,18.26,18.52,20647931
2024-01-15,18.56,18.69,18.26,18.26,9197174
2024-01-16,18.22,18.52,18.18,18.52,9711344
2024-01-17,18.52,19.11,18.43,18.65,22720348
2024-01-18,18.6,18.82,18.56,18.6,10530579
2024-01-19,18.82,18.82,18.43,18.43,13262865
2024-01-22,18.82,18.94,18.52,18.65,20101293
2024-01-23,18.69,18.9,18.6,18.6,15881459
2024-01-24,18.65,18.94,18.65,18.73,21132724
